latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.8969,36.5843,301.1,1.2,1.1,2023-01-17,0818,Terra,MODIS,44,61.03,287.7,3.9,D,0
32.5338,35.6523,304.6,1,1,2023-01-24,0811,Terra,MODIS,58,61.03,291.5,4.7,D,0
31.6678,35.9127,305.2,1.4,1.2,2023-02-10,0823,Terra,MODIS,57,61.03,282.8,12,D,0
31.9044,35.8849,304.1,1.1,1,2023-02-15,1052,Aqua,MODIS,39,61.03,285.3,6.3,D,2
31.9026,35.8736,309.4,1.1,1,2023-02-15,1052,Aqua,MODIS,67,61.03,286.4,10.3,D,2
31.8892,35.9751,315.4,1.4,1.2,2023-04-06,0821,Terra,MODIS,58,61.03,296.9,12,D,2
31.8866,35.989,313.1,1.4,1.2,2023-04-06,0821,Terra,MODIS,36,61.03,296.5,8.9,D,2
31.8516,36.0191,312.3,1.4,1.2,2023-04-06,0821,Terra,MODIS,43,61.03,296.6,8.2,D,2
32.0929,36.2213,319.3,1.1,1.1,2023-04-25,0813,Terra,MODIS,25,61.03,305.8,6.5,D,2
32.0909,36.233,321.8,1.1,1.1,2023-04-25,0813,Terra,MODIS,43,61.03,305.7,9.5,D,2
31.8489,36.0135,321,1.1,1.1,2023-04-25,0813,Terra,MODIS,59,61.03,304.4,10.5,D,2
31.7512,35.9855,320.8,1.1,1.1,2023-04-25,0813,Terra,MODIS,43,61.03,308.4,6.5,D,0
32.0912,36.2294,321.7,1,1,2023-05-14,0805,Terra,MODIS,30,61.03,308.2,5.1,D,2
31.8449,36.0162,324.6,1,1,2023-06-07,0804,Terra,MODIS,54,61.03,310.8,5.1,D,2
32.2493,35.8821,304.7,1.1,1,2023-06-22,1928,Terra,MODIS,61,61.03,293.3,6,N,0
32.0876,36.2261,323.9,1.5,1.2,2023-06-29,0819,Terra,MODIS,30,61.03,310,12,D,2
31.9355,36.0242,303.3,1,1,2023-07-06,2344,Aqua,MODIS,54,61.03,289.3,6.2,N,0
32.2485,35.5719,341.7,1.1,1,2023-07-11,2357,Aqua,MODIS,100,61.03,299.3,49.5,N,0
32.2483,35.5659,336.9,1.1,1.1,2023-07-12,1057,Aqua,MODIS,80,61.03,321.7,13.4,D,0
32.6522,35.5983,314.9,1.5,1.2,2023-07-13,1902,Terra,MODIS,88,61.03,298.6,17.3,N,0
32.2444,35.7875,367,1.7,1.3,2023-07-14,1043,Aqua,MODIS,100,61.03,314.6,198.9,D,0
32.2408,35.7693,392.7,1.7,1.3,2023-07-14,1043,Aqua,MODIS,100,61.03,318.7,431.4,D,0
31.8901,35.965,331.4,1,1,2023-07-25,0801,Terra,MODIS,67,61.03,315,10.9,D,2
32.636,35.5757,332.9,1,1,2023-08-07,1107,Aqua,MODIS,46,61.03,318.8,9.3,D,0
32.7336,35.7323,360.3,1,1,2023-08-07,1107,Aqua,MODIS,100,61.03,316.7,64.7,D,0
32.0827,35.8491,328.6,1.1,1,2023-09-04,1100,Aqua,MODIS,32,61.03,313.4,10.2,D,2
31.8691,35.5969,324.9,1.3,1.1,2023-09-21,0813,Terra,MODIS,26,61.03,307,10.8,D,0
31.0543,35.4971,352.1,1.2,1.1,2023-09-30,0747,Terra,MODIS,95,61.03,308.3,65.1,D,0
31.0528,35.5096,322.4,1.2,1.1,2023-09-30,0747,Terra,MODIS,47,61.03,307.3,7.5,D,0
31.0504,35.4903,332.7,1.2,1.1,2023-09-30,0747,Terra,MODIS,74,61.03,307.8,22.9,D,0
31.0488,35.5026,331.8,1.2,1.1,2023-09-30,0747,Terra,MODIS,77,61.03,307.3,21.5,D,0
30.1492,35.8063,324.3,1.2,1.1,2023-10-14,1100,Aqua,MODIS,63,61.03,310.9,8.6,D,0
32.1739,36.6865,317.3,1.1,1.1,2023-10-21,1057,Aqua,MODIS,49,61.03,300.6,6.6,D,0
30.356,35.1865,307.5,1,1,2023-10-25,1923,Terra,MODIS,72,61.03,293.4,7.8,N,0
30.3547,35.1762,304.8,1,1,2023-10-25,1923,Terra,MODIS,61,61.03,293.5,5.8,N,0
32.0719,35.5928,309.1,1,1,2023-11-15,0755,Terra,MODIS,58,61.03,294.3,5,D,0
32.6474,35.5734,315.9,1.6,1.3,2023-11-18,0818,Terra,MODIS,66,61.03,298.6,17.5,D,0
32.6442,35.5837,312.8,1.6,1.3,2023-11-18,0818,Terra,MODIS,26,61.03,297.8,12.1,D,0
29.5421,35.7286,318.5,1,1,2023-11-27,0753,Terra,MODIS,74,61.03,295.6,12,D,0
29.5406,35.7386,314,1,1,2023-11-27,0753,Terra,MODIS,68,61.03,294.6,7.9,D,0
31.9142,36.5786,305.5,1.1,1,2023-12-02,0759,Terra,MODIS,53,61.03,291.8,4.4,D,0
29.5368,35.7316,305.6,1,1,2023-12-09,0749,Terra,MODIS,40,61.03,292.5,3.5,D,0
29.5354,35.7419,312.5,1,1,2023-12-09,0749,Terra,MODIS,67,61.03,292.4,8.2,D,0
31.9125,36.5793,301.5,1,1,2023-12-14,0756,Terra,MODIS,47,61.03,287.7,3.9,D,0
32.2507,38.7961,302,1.4,1.2,2023-12-31,0759,Terra,MODIS,50,61.03,288.1,6,D,0
