latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.2595,75.6548,301.1,1.1,1,2023-01-03,1619,Terra,MODIS,37,61.03,267.6,10.7,N,2
50.0204,78.7424,306.3,1,1,2023-01-03,1619,Terra,MODIS,68,61.03,270,13.1,N,0
50.0185,78.7288,302.8,1,1,2023-01-03,1619,Terra,MODIS,51,61.03,269.8,11.1,N,0
40.7809,68.2529,300.2,1.3,1.1,2023-01-04,0859,Aqua,MODIS,31,61.03,283,8.7,D,0
50.0203,78.7416,300.6,1,1,2023-01-18,0537,Terra,MODIS,39,61.03,269.9,9.2,D,0
46.4573,49.2803,359,2.7,1.6,2023-01-18,0908,Aqua,MODIS,0,61.03,277.1,365.3,D,0
46.449,49.2478,326.1,2.7,1.6,2023-01-18,0908,Aqua,MODIS,0,61.03,275,118.7,D,0
44.9275,63.892,301.3,1.1,1,2023-01-19,0620,Terra,MODIS,46,61.03,266.7,10.5,D,0
46.4677,49.2764,303.5,1,1,2023-01-19,0950,Aqua,MODIS,53,61.03,274.5,9.6,D,0
46.4658,49.2636,338.6,1,1,2023-01-19,0950,Aqua,MODIS,69,61.03,278,45.5,D,0
47.0482,52.1807,300.9,3.7,1.8,2023-01-20,1032,Aqua,MODIS,42,61.03,270.8,53.4,D,0
44.9295,63.7698,307.7,4.2,1.9,2023-01-21,0758,Aqua,MODIS,66,61.03,273.3,93.8,D,0
44.2942,66.8007,301.2,3,1.7,2023-01-21,0758,Aqua,MODIS,45,61.03,275.8,39.5,D,0
44.9266,63.775,303.8,4.2,1.9,2023-01-21,0758,Aqua,MODIS,57,61.03,273.3,72.6,D,0
44.2947,66.8079,305.7,3,1.7,2023-01-21,0758,Aqua,MODIS,62,61.03,276,52.5,D,0
46.498,55.4927,316.3,1.1,1,2023-01-21,0936,Aqua,MODIS,77,61.03,275.6,20.3,D,0
44.9635,63.887,312.5,1.2,1.1,2023-01-22,0840,Aqua,MODIS,73,61.03,273.7,20.1,D,0
44.9382,64.1037,315.7,1.2,1.1,2023-01-22,0840,Aqua,MODIS,76,61.03,272.9,22.2,D,0
44.9407,64.1181,327.2,1.2,1.1,2023-01-22,0840,Aqua,MODIS,85,61.03,273.5,36.6,D,0
44.8898,64.5209,300.4,1.8,1.3,2023-01-23,0922,Aqua,MODIS,36,61.03,273.8,18.6,D,0
44.949,63.8731,304.6,1.7,1.3,2023-01-23,0923,Aqua,MODIS,59,61.03,274.7,21.1,D,0
44.854,62.468,325,1.1,1,2023-01-25,0909,Aqua,MODIS,83,61.03,275.8,28.7,D,0
44.2839,66.6839,314.2,1,1,2023-01-29,0842,Aqua,MODIS,74,61.03,283,15.1,D,0
44.2821,66.6715,306.3,1,1,2023-01-29,0842,Aqua,MODIS,63,61.03,282.2,9.3,D,0
