latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.1738,34.9853,322.6,1.3,1.1,2023-01-01,1136,Aqua,MODIS,67,61.03,307.5,10.3,D,0
-1.0592,34.5149,316.1,1.2,1.1,2023-01-01,1136,Aqua,MODIS,48,61.03,303.2,7.5,D,0
-0.0347,34.8615,312.4,1.1,1,2023-01-02,0759,Terra,MODIS,52,61.03,300.3,5.8,D,0
0.8809,35.2749,311.1,1.1,1.1,2023-01-02,0759,Terra,MODIS,40,61.03,296.4,4.9,D,0
-0.2555,34.9168,317.3,1.1,1,2023-01-02,0759,Terra,MODIS,44,61.03,305.3,9.4,D,0
0.3467,35.7709,314,1.2,1.1,2023-01-02,0759,Terra,MODIS,60,61.03,293.1,12,D,0
0.4166,35.1682,319,1.1,1.1,2023-01-02,0759,Terra,MODIS,71,61.03,297.4,13.3,D,0
-1.4531,39.9254,319.3,2.1,1.4,2023-01-02,1040,Aqua,MODIS,0,61.03,298.1,36.7,D,0
4.2642,34.1238,317.6,2.3,1.5,2023-01-05,0823,Terra,MODIS,24,61.03,304.1,22.6,D,0
0.3922,34.1116,323.9,1.5,1.2,2023-01-05,1110,Aqua,MODIS,76,61.03,301.3,22.6,D,0
-1.5528,35.7711,317.5,1.2,1.1,2023-01-05,1110,Aqua,MODIS,60,61.03,298.5,14,D,0
-1.1167,34.7432,318.9,1.4,1.2,2023-01-05,1110,Aqua,MODIS,35,61.03,289.7,21.9,D,0
-0.0251,34.026,332,1.5,1.2,2023-01-05,1110,Aqua,MODIS,0,61.03,296.8,47.3,D,0
-0.0204,34.0325,330.9,1.5,1.2,2023-01-05,1110,Aqua,MODIS,80,61.03,296.6,44.4,D,0
0.3903,34.0985,329.7,1.5,1.2,2023-01-05,1110,Aqua,MODIS,82,61.03,301,35.2,D,0
3.9242,34.2099,328.6,1.3,1.1,2023-01-05,1111,Aqua,MODIS,67,61.03,310.1,19.4,D,0
3.9259,34.2214,325.3,1.3,1.1,2023-01-05,1111,Aqua,MODIS,49,61.03,309.3,13.2,D,0
-2.1039,40.8502,303.3,2,1.4,2023-01-05,1906,Terra,MODIS,54,61.03,292.7,9.9,N,0
0.7366,35.4127,321.7,2,1.4,2023-01-06,0727,Terra,MODIS,71,61.03,299.4,33,D,0
0.7331,35.4053,320.5,2,1.4,2023-01-06,0727,Terra,MODIS,70,61.03,300,31.7,D,0
1.2465,35.9283,337.9,3.4,1.7,2023-01-06,1153,Aqua,MODIS,87,61.03,306.1,154.2,D,0
1.2459,35.9549,323.3,3.4,1.7,2023-01-06,1153,Aqua,MODIS,63,61.03,307.6,49.4,D,0
1.2416,35.9247,338,3.4,1.7,2023-01-06,1153,Aqua,MODIS,87,61.03,306.7,161.7,D,0
3.8316,34.2141,326.8,1.2,1.1,2023-01-07,0807,Terra,MODIS,71,61.03,303.4,20.4,D,0
0.606,35.3448,313.4,1.6,1.3,2023-01-07,0808,Terra,MODIS,43,61.03,299.4,11.5,D,0
-3.986,38.2577,319.3,3.3,1.7,2023-01-07,0809,Terra,MODIS,63,61.03,295.9,41.8,D,0
-2.3979,40.7846,325.3,1.1,1,2023-01-07,1056,Aqua,MODIS,38,61.03,304.6,9.3,D,0
