latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.2678,21.1757,305.9,1,1,2023-02-21,1153,Aqua,MODIS,62,61.03,291.3,6.7,D,0
42.7883,21.2006,302.4,1,1,2023-02-21,1153,Aqua,MODIS,52,61.03,290.9,4.1,D,0
42.6992,20.4971,301.9,1,1,2023-02-21,1153,Aqua,MODIS,50,61.03,291.6,3.1,D,0
42.8699,21.2628,305,1,1,2023-02-21,1153,Aqua,MODIS,60,61.03,289.9,5.9,D,0
42.9546,21.2218,312.4,1.5,1.2,2023-03-19,1213,Aqua,MODIS,72,61.03,291.8,18.4,D,0
42.898,20.65,305.3,1,1,2023-03-24,0915,Terra,MODIS,46,61.03,293.7,4.2,D,0
42.5802,20.283,310.4,1,1,2023-03-24,0915,Terra,MODIS,69,61.03,293.7,7.4,D,0
42.7491,21.2281,305.3,1.6,1.2,2023-03-26,1214,Aqua,MODIS,44,61.03,293.7,6.3,D,0
42.7602,21.2271,310.6,1.6,1.2,2023-03-26,1214,Aqua,MODIS,69,61.03,294.1,13.3,D,0
42.2966,21.1069,301.5,1,1,2023-03-30,1146,Aqua,MODIS,37,61.03,288.8,3.4,D,0
42.176,21.1634,311.4,1,1,2023-04-13,1147,Aqua,MODIS,67,61.03,293.6,9,D,0
42.339,20.8179,311.7,1.4,1.2,2023-05-20,1134,Aqua,MODIS,70,61.03,295.9,10.6,D,0
42.6399,21.105,311.3,1.2,1.1,2023-06-09,0924,Terra,MODIS,53,61.03,298.1,7.4,D,2
42.3494,20.825,310.3,1.1,1.1,2023-06-09,0924,Terra,MODIS,46,61.03,297.6,5.4,D,2
42.3461,20.8189,318.6,1.1,1.1,2023-06-22,1145,Aqua,MODIS,56,61.03,303.2,7.6,D,0
42.3445,20.8155,313,1.1,1.1,2023-06-29,1144,Aqua,MODIS,51,61.03,299.8,6.3,D,0
42.7308,20.9847,313.9,1,1,2023-07-10,0913,Terra,MODIS,71,61.03,298.1,8.4,D,0
42.3465,20.8236,313.9,1,1,2023-07-10,0913,Terra,MODIS,56,61.03,300.4,6.6,D,2
