latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.0378,47.5445,310.1,1,1,2023-01-02,2254,Aqua,MODIS,79,61.03,279.4,14.1,N,0
29.03,47.5974,302.1,2.5,1.5,2023-01-05,2323,Aqua,MODIS,46,61.03,278.6,33.2,N,0
28.7229,48.329,303.8,1,1,2023-01-06,0719,Terra,MODIS,57,61.03,290.2,4.9,D,0
29.0269,47.5908,302.5,1,1,2023-01-06,0719,Terra,MODIS,52,61.03,288,3.8,D,0
28.9144,47.9827,306.6,1,1,2023-01-06,0719,Terra,MODIS,64,61.03,290.3,5.7,D,0
29.9065,47.7038,311,1.1,1,2023-01-06,1022,Aqua,MODIS,66,61.03,293.9,8.1,D,0
29.0197,47.586,302.6,3.6,1.8,2023-01-07,0800,Terra,MODIS,53,61.03,288.5,20.7,D,0
29.8571,47.7414,301.9,1.3,1.2,2023-01-08,0703,Terra,MODIS,50,61.03,288.8,5,D,2
29.8429,47.6833,309.5,1.4,1.2,2023-01-08,0703,Terra,MODIS,69,61.03,288.3,12.5,D,0
29.8413,47.6971,309.2,1.4,1.2,2023-01-08,0703,Terra,MODIS,68,61.03,287.6,12.2,D,0
28.7196,48.3321,309.1,1,1,2023-01-08,1009,Aqua,MODIS,59,61.03,294.7,6.4,D,0
29.8276,47.6678,314.1,1.4,1.2,2023-01-10,0956,Aqua,MODIS,74,61.03,285.6,20.9,D,0
29.0194,47.5787,310.9,1.5,1.2,2023-01-10,0956,Aqua,MODIS,45,61.03,286.1,17.8,D,0
29.8354,47.6631,304.5,1.1,1.1,2023-01-11,0728,Terra,MODIS,59,61.03,284.9,7.4,D,0
29.8336,47.6743,312.4,1.1,1.1,2023-01-11,0728,Terra,MODIS,73,61.03,284.9,13.8,D,0
29.0872,47.7003,305.1,1.1,1.1,2023-01-11,0728,Terra,MODIS,61,61.03,285,7.5,D,0
29.8238,47.6652,301.6,1.9,1.3,2023-01-11,1038,Aqua,MODIS,48,61.03,287.3,9.2,D,0
29.8293,47.6694,300.7,1.3,1.1,2023-01-11,1827,Terra,MODIS,33,61.03,278.9,11.5,N,0
29.9165,47.6974,305.4,1.3,1.1,2023-01-11,1827,Terra,MODIS,64,61.03,279.2,15.4,N,0
29.8362,47.6683,304.7,1.1,1,2023-01-11,2243,Aqua,MODIS,61,61.03,277.4,12.1,N,0
29.0564,48.1389,319.7,1,1,2023-01-11,2244,Aqua,MODIS,99,61.03,280.8,22.6,N,2
29.8258,47.6623,302.3,2.4,1.5,2023-01-12,0943,Aqua,MODIS,52,61.03,287.8,12.5,D,0
28.7236,48.3334,305.8,1,1,2023-01-13,0713,Terra,MODIS,62,61.03,289.2,5.5,D,0
29.8785,47.7342,333.3,1,1,2023-01-18,0722,Terra,MODIS,88,61.03,287.2,34.3,D,2
29.8654,47.7001,307.1,1,1,2023-01-18,0722,Terra,MODIS,65,61.03,287.1,7.6,D,2
29.8565,47.6984,306.3,1,1,2023-01-18,0722,Terra,MODIS,63,61.03,286.8,7.1,D,0
