latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.7581,73.3184,304.4,1,1,2023-02-23,0821,Aqua,MODIS,32,61.03,290,4,D,2
40.7145,72.9591,322.3,1,1,2023-02-23,0821,Aqua,MODIS,82,61.03,291,19,D,0
40.7127,72.9474,307,1,1,2023-02-23,0821,Aqua,MODIS,65,61.03,290.4,6.3,D,0
40.8114,73.2978,305.8,1,1,2023-02-23,0821,Aqua,MODIS,48,61.03,292.2,4.3,D,0
40.8168,73.2722,312.3,1,1,2023-02-23,0821,Aqua,MODIS,72,61.03,292.2,9.1,D,0
42.705,74.2392,310.2,2.3,1.5,2023-03-01,0741,Aqua,MODIS,67,61.03,286.4,34.6,D,0
42.7031,74.2335,306.6,2.3,1.5,2023-03-01,0741,Aqua,MODIS,64,61.03,286.9,28.6,D,0
42.8352,73.6704,322,1,1,2023-03-02,0539,Terra,MODIS,81,61.03,285.3,22.3,D,2
40.5616,72.6744,310.4,1.1,1,2023-03-02,0539,Terra,MODIS,70,61.03,284.9,11.5,D,0
41.0275,72.656,303.7,1,1,2023-03-02,0823,Aqua,MODIS,55,61.03,283.1,6.3,D,0
42.8888,74.0756,312.5,1,1,2023-03-02,0824,Aqua,MODIS,73,61.03,290.6,10.7,D,0
42.8872,74.0632,315.4,1,1,2023-03-02,0824,Aqua,MODIS,76,61.03,291,13.2,D,0
42.8345,73.6682,301.6,1,1,2023-03-02,0824,Aqua,MODIS,48,61.03,289.7,3.6,D,2
42.9892,74.1348,306.8,1,1,2023-03-02,0824,Aqua,MODIS,64,61.03,288.8,7.1,D,0
40.6227,73.0607,302.5,1.2,1.1,2023-03-04,0810,Aqua,MODIS,46,61.03,284.9,6,D,0
40.6996,73.1912,304.2,1.2,1.1,2023-03-04,0810,Aqua,MODIS,42,61.03,289.8,5.3,D,2
42.8635,74.0512,301.1,2.4,1.5,2023-03-06,0506,Terra,MODIS,42,61.03,281.6,16.5,D,0
42.488,78.0631,308,1.4,1.2,2023-03-07,0547,Terra,MODIS,0,61.03,288.1,12.6,D,0
42.9114,73.9694,307.8,1,1,2023-03-07,0547,Terra,MODIS,66,61.03,290.6,6.3,D,0
42.9096,73.9815,304.5,1,1,2023-03-07,0547,Terra,MODIS,59,61.03,291.2,4.2,D,0
41.072,72.2059,308.1,1,1,2023-03-07,0548,Terra,MODIS,65,61.03,293.5,6.2,D,0
40.5543,72.7049,302.5,1,1,2023-03-07,0548,Terra,MODIS,47,61.03,291.5,3.1,D,2
40.7428,73.1998,313.9,1.2,1.1,2023-03-07,0838,Aqua,MODIS,68,61.03,299.2,9.3,D,0
40.7137,72.9469,307.5,1.2,1.1,2023-03-07,0838,Aqua,MODIS,48,61.03,296.2,3.8,D,0
40.7121,72.933,310.9,1.2,1.1,2023-03-07,0838,Aqua,MODIS,61,61.03,297.4,6.9,D,0
42.8542,73.5668,303.3,1.3,1.1,2023-03-07,0839,Aqua,MODIS,48,61.03,286.5,5.5,D,0
42.976,73.9831,305.5,1.4,1.2,2023-03-07,0839,Aqua,MODIS,60,61.03,285.9,7.5,D,0
42.9743,73.9659,308,1.4,1.2,2023-03-07,0839,Aqua,MODIS,65,61.03,284.5,10,D,0
42.9887,74.1789,305.8,1.8,1.3,2023-03-10,0612,Terra,MODIS,59,61.03,286.2,15.2,D,0
40.3216,72.2063,303.9,1.7,1.3,2023-03-10,0613,Terra,MODIS,54,61.03,287.6,7.9,D,0
42.9008,75.0374,308.6,1.6,1.2,2023-03-11,0515,Terra,MODIS,35,61.03,290.2,9.2,D,0
42.899,75.0564,311.1,1.6,1.2,2023-03-11,0515,Terra,MODIS,53,61.03,292.6,12.2,D,0
40.7403,73.3499,306.2,1.5,1.2,2023-03-17,0605,Terra,MODIS,57,61.03,293.7,7.5,D,0
40.5627,72.697,317.7,1.4,1.2,2023-03-17,0605,Terra,MODIS,76,61.03,294.5,21.5,D,0
40.5597,72.7127,322.4,1.4,1.2,2023-03-17,0605,Terra,MODIS,81,61.03,293.8,28.6,D,2
42.9417,74.6188,301.2,1.1,1,2023-03-19,0548,Terra,MODIS,45,61.03,287.2,3,D,2
40.4978,72.6292,314.9,1,1,2023-03-19,0549,Terra,MODIS,74,61.03,291.8,9.7,D,0
40.489,72.6269,314.1,1,1,2023-03-19,0549,Terra,MODIS,65,61.03,295.9,9,D,0
43.1802,73.9939,311.5,2.4,1.5,2023-03-19,0855,Aqua,MODIS,71,61.03,293.2,28.2,D,0
43.1745,73.9893,314.5,2.4,1.5,2023-03-19,0855,Aqua,MODIS,75,61.03,293.7,36.9,D,0
42.937,74.8958,306.8,1,1,2023-03-21,0532,Terra,MODIS,62,61.03,291.8,5.4,D,0
42.9131,75.0064,310.5,1,1,2023-03-21,0532,Terra,MODIS,68,61.03,291.9,8,D,0
42.8998,74.3962,306.2,1.1,1,2023-03-21,0532,Terra,MODIS,63,61.03,290.4,5.6,D,0
42.8247,74.7916,309,1.7,1.3,2023-03-21,0841,Aqua,MODIS,68,61.03,292.6,10.9,D,0
42.9701,73.6598,305.4,1.4,1.2,2023-03-21,0841,Aqua,MODIS,59,61.03,287.6,7.5,D,0
42.9777,74.4645,307.4,1.6,1.2,2023-03-23,0516,Terra,MODIS,59,61.03,293.6,8.4,D,0
42.9106,74.1995,309.6,1.7,1.3,2023-03-23,0516,Terra,MODIS,65,61.03,295.3,11,D,0
40.7366,73.2106,313.2,1,1,2023-03-23,0827,Aqua,MODIS,58,61.03,300.9,5.6,D,0
41.3762,71.4437,321.5,1,1,2023-03-23,0827,Aqua,MODIS,59,61.03,300.4,13.9,D,0
42.8867,74.0272,310.2,1.1,1,2023-03-23,0828,Aqua,MODIS,56,61.03,298.7,4.4,D,0
42.9039,73.8634,320.4,1.1,1,2023-03-23,0828,Aqua,MODIS,75,61.03,298.7,13.8,D,0
42.9942,73.9956,313,1.1,1,2023-03-23,0828,Aqua,MODIS,60,61.03,299.6,6.2,D,0
42.9546,73.6076,311.3,1.1,1,2023-03-23,0828,Aqua,MODIS,60,61.03,299.3,4.9,D,0
43.1767,74.0622,312.5,1.1,1,2023-03-23,0828,Aqua,MODIS,63,61.03,298.8,6.4,D,0
42.842,74.9662,311,1.3,1.1,2023-03-24,0557,Terra,MODIS,65,61.03,298.4,6.7,D,0
42.9188,74.3213,325.7,1.2,1.1,2023-03-24,0557,Terra,MODIS,82,61.03,296.6,27.5,D,0
42.8214,74.795,311,1.3,1.1,2023-03-24,0557,Terra,MODIS,64,61.03,296.9,8.2,D,0
42.9572,73.9399,308,1.2,1.1,2023-03-24,0557,Terra,MODIS,54,61.03,296,5.4,D,0
42.9161,74.0395,307.2,1.2,1.1,2023-03-24,0557,Terra,MODIS,56,61.03,295.2,5.3,D,0
42.4602,75.8982,376.1,2.6,1.6,2023-03-24,0732,Aqua,MODIS,100,61.03,300.6,539.2,D,0
42.4662,75.8623,323.1,2.6,1.6,2023-03-24,0732,Aqua,MODIS,66,61.03,291.7,64.1,D,0
42.5241,75.8316,313.4,2.6,1.6,2023-03-24,0732,Aqua,MODIS,67,61.03,294.9,39.4,D,0
42.5172,75.8032,312,2.6,1.6,2023-03-24,0732,Aqua,MODIS,67,61.03,294.5,34.7,D,0
42.5512,75.822,351.4,2.6,1.6,2023-03-24,0732,Aqua,MODIS,96,61.03,292.9,258.3,D,0
42.5443,75.7936,334.6,2.6,1.6,2023-03-24,0732,Aqua,MODIS,89,61.03,294.9,135.3,D,0
42.8798,74.9998,327.8,2.6,1.5,2023-03-25,0500,Terra,MODIS,84,61.03,294.5,85.6,D,0
42.7316,74.1888,309.8,2.9,1.6,2023-03-25,0500,Terra,MODIS,64,61.03,292,30.5,D,0
42.9101,74.791,314.1,1,1,2023-03-25,0814,Aqua,MODIS,66,61.03,300.1,5.5,D,0
42.9081,74.7164,315.5,1,1,2023-03-25,0814,Aqua,MODIS,69,61.03,303.6,6.7,D,0
42.8964,74.2152,316.9,1,1,2023-03-25,0814,Aqua,MODIS,71,61.03,299.3,9.2,D,0
42.8378,73.6106,312.9,1,1,2023-03-25,0814,Aqua,MODIS,63,61.03,299.5,5.3,D,0
42.8358,73.5982,313.9,1,1,2023-03-25,0814,Aqua,MODIS,65,61.03,299.5,6.2,D,0
42.9941,73.829,313.3,1,1,2023-03-25,0814,Aqua,MODIS,64,61.03,298.7,6,D,0
