latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
57.045,24.4971,301.7,1,1,2023-04-10,0920,Terra,MODIS,48,61.03,289,4.8,D,0
56.981,25.9818,311.5,1.4,1.2,2023-04-15,1137,Aqua,MODIS,54,61.03,285.8,16.8,D,0
55.9091,27.463,300.7,1,1,2023-04-19,1109,Aqua,MODIS,41,61.03,288.9,2.9,D,0
57.6009,25.888,305.6,1.1,1,2023-04-21,1056,Aqua,MODIS,62,61.03,280.7,9,D,0
56.478,28.0245,300.2,2.7,1.6,2023-04-23,1001,Terra,MODIS,15,61.03,286.8,9,D,0
57.1274,24.4543,316.8,1.8,1.3,2023-04-23,1001,Terra,MODIS,77,61.03,296,29.5,D,0
57.1258,24.4528,310.1,1.6,1.3,2023-04-23,1042,Aqua,MODIS,61,61.03,296.9,12.9,D,0
56.8723,21.9506,303.2,1,1,2023-05-08,1124,Aqua,MODIS,33,61.03,292,3,D,0
56.855,27.6234,300.1,1.7,1.3,2023-05-09,1028,Aqua,MODIS,16,61.03,289.8,6.2,D,0
56.4127,22.7497,311.5,1.1,1.1,2023-05-10,1110,Aqua,MODIS,68,61.03,290.8,11.3,D,0
57.1143,24.4571,320,1,1,2023-05-11,0912,Terra,MODIS,34,61.03,305.3,13.3,D,0
57.1629,24.4891,316.5,1.9,1.3,2023-05-15,0840,Terra,MODIS,36,61.03,298.3,23,D,0
57.1571,24.4822,318.6,1.9,1.3,2023-05-15,0840,Terra,MODIS,72,61.03,299.6,28.8,D,0
57.1551,24.5125,318,1.8,1.3,2023-05-15,0840,Terra,MODIS,75,61.03,300.3,28.2,D,0
57.2664,21.5405,302.2,1,1,2023-05-22,1124,Aqua,MODIS,28,61.03,288.9,3.1,D,0
56.5001,25.7918,308.1,1.9,1.3,2023-05-24,0953,Terra,MODIS,38,61.03,294.1,12.7,D,0
57.3498,26.2519,301.9,1.1,1.1,2023-05-26,1055,Aqua,MODIS,45,61.03,291.6,3.9,D,0
56.9023,24.019,314.7,1.3,1.1,2023-05-31,0944,Terra,MODIS,75,61.03,297.9,12.2,D,0
57.1134,24.4953,311.6,1.3,1.1,2023-06-02,1055,Aqua,MODIS,71,61.03,289.4,15.5,D,0
56.7575,22.0618,302.3,1,1,2023-06-05,1123,Aqua,MODIS,19,61.03,288.2,3.9,D,0
57.5609,25.1801,308.4,1.6,1.3,2023-06-08,1150,Aqua,MODIS,58,61.03,297.5,9.1,D,0
56.447,21.4541,320,1.1,1,2023-06-12,1122,Aqua,MODIS,72,61.03,300.4,14.6,D,0
57.3908,26.7565,314.7,1.1,1,2023-06-12,1122,Aqua,MODIS,71,61.03,297.8,11.3,D,0
56.9583,25.8128,311.4,1.1,1.1,2023-06-14,0927,Terra,MODIS,63,61.03,297.6,8.9,D,0
56.9551,25.8303,312.6,1.1,1.1,2023-06-14,0927,Terra,MODIS,65,61.03,297.1,10.1,D,0
56.7909,23.7301,314.7,1.1,1.1,2023-06-14,1108,Aqua,MODIS,71,61.03,298.6,10.6,D,0
56.7877,23.7127,321.6,1.1,1.1,2023-06-14,1108,Aqua,MODIS,79,61.03,298.6,18.4,D,0
56.7844,27.8578,310.9,1.1,1.1,2023-06-21,0919,Terra,MODIS,26,61.03,299.6,7.8,D,0
57.4319,24.495,315.9,1.1,1,2023-06-21,1107,Aqua,MODIS,51,61.03,302,8.8,D,0
57.0911,21.5025,303.3,1.1,1,2023-06-24,0943,Terra,MODIS,9,61.03,288.4,4.2,D,0
56.8581,24.7123,308.5,1.6,1.3,2023-06-29,0951,Terra,MODIS,35,61.03,293.6,13.7,D,0
56.9492,23.6315,312.8,1,1,2023-07-08,0926,Terra,MODIS,55,61.03,289.5,11.4,D,2
56.9466,23.6475,311,1,1,2023-07-08,0926,Terra,MODIS,53,61.03,286,10.3,D,0
56.4414,28.1567,306.4,1.5,1.2,2023-07-16,1036,Aqua,MODIS,29,61.03,294.7,6.4,D,0
56.8822,24.7679,305,1,1,2023-07-17,1117,Aqua,MODIS,10,61.03,291.9,2.4,D,0
56.8985,24.249,305.2,3.1,1.7,2023-07-20,0209,Aqua,MODIS,63,61.03,281.1,51.9,N,0
56.8991,24.2456,305.1,3.1,1.7,2023-07-20,0209,Aqua,MODIS,63,61.03,281.1,51.9,N,0
56.4724,24.142,304.4,1,1,2023-08-12,1126,Aqua,MODIS,10,61.03,291.8,3.3,D,0
56.5224,27.7367,304.5,1.1,1,2023-09-13,0912,Terra,MODIS,58,61.03,293.7,4.2,D,0
56.7331,26.6727,300.3,1.8,1.3,2023-09-21,0944,Terra,MODIS,11,61.03,289.8,5.5,D,0
