latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.7435,35.8213,305.7,1,1,2023-01-23,1058,Aqua,MODIS,61,61.03,293.9,4.9,D,0
34.6213,36.3319,312.5,1.2,1.1,2023-03-03,1043,Aqua,MODIS,64,61.03,294.1,11.4,D,0
34.6224,36.3244,308.9,1.2,1.1,2023-03-03,1043,Aqua,MODIS,51,61.03,294.9,7.4,D,0
33.4709,35.3736,313.3,1.3,1.1,2023-05-19,1049,Aqua,MODIS,43,61.03,298,12.1,D,0
34.2214,35.6686,320.3,1.2,1.1,2023-05-22,1117,Aqua,MODIS,57,61.03,300.5,15.9,D,0
34.2327,35.6796,356,1.2,1.1,2023-05-22,1117,Aqua,MODIS,98,61.03,301,95.2,D,0
34.2313,35.6671,344.7,1.2,1.1,2023-05-22,1117,Aqua,MODIS,69,61.03,302.1,60.8,D,0
33.7187,35.8272,324.8,1,1,2023-06-21,1100,Aqua,MODIS,35,61.03,312,9.1,D,0
34.5563,36.2354,327.6,1.1,1,2023-06-24,0811,Terra,MODIS,81,61.03,304.8,18.3,D,0
34.5581,36.2241,337.7,1.1,1,2023-06-24,0811,Terra,MODIS,88,61.03,304.7,33.1,D,0
34.5545,36.2288,333,1.9,1.3,2023-06-24,1128,Aqua,MODIS,69,61.03,307.6,55.1,D,0
34.5598,36.23,310.8,1,1,2023-06-24,1912,Terra,MODIS,81,61.03,293,10.5,N,0
34.5581,36.2188,309,1,1,2023-06-24,1912,Terra,MODIS,76,61.03,292.8,9,N,0
33.4948,35.7753,332.5,1.1,1,2023-07-03,1113,Aqua,MODIS,63,61.03,314.1,14.9,D,0
34.424,36.1466,323.3,1.1,1,2023-07-06,0810,Terra,MODIS,76,61.03,301.1,16,D,0
34.4223,36.1575,316.4,1.1,1,2023-07-06,0810,Terra,MODIS,49,61.03,301.5,8.1,D,0
34.4192,36.1495,305,1,1,2023-07-06,1911,Terra,MODIS,63,61.03,291.5,7.4,N,0
34.4257,36.1482,300.5,1,1,2023-07-06,2343,Aqua,MODIS,28,61.03,289,5.5,N,0
33.7344,35.7987,343.1,1,1,2023-07-31,1108,Aqua,MODIS,86,61.03,313.3,32.1,D,0
33.7359,35.8094,337.5,1,1,2023-07-31,1108,Aqua,MODIS,79,61.03,312.8,22.4,D,0
33.3973,35.3893,334.3,1.2,1.1,2023-08-02,1054,Aqua,MODIS,73,61.03,308.9,27,D,0
33.395,35.3762,336.9,1.2,1.1,2023-08-02,1054,Aqua,MODIS,78,61.03,308.9,33,D,0
33.7689,35.8726,327.2,1.2,1.1,2023-08-02,1054,Aqua,MODIS,15,61.03,311.8,8.9,D,0
34.4253,36.1836,306,1,1,2023-08-22,2348,Aqua,MODIS,66,61.03,291.7,7.5,N,0
33.8023,35.849,321.9,1.6,1.3,2023-09-02,0822,Terra,MODIS,52,61.03,307.9,15.6,D,0
33.802,35.8424,321.1,1.6,1.3,2023-09-02,0822,Terra,MODIS,42,61.03,308.1,13.8,D,0
33.7972,35.7275,323.5,1.2,1.1,2023-09-06,0749,Terra,MODIS,56,61.03,308.4,14.1,D,0
34.4926,36.2294,348,1.6,1.3,2023-09-07,1128,Aqua,MODIS,91,61.03,307.7,99.9,D,0
34.4913,36.2242,334.5,1.6,1.3,2023-09-07,1128,Aqua,MODIS,76,61.03,307.8,51.9,D,0
33.7748,35.6088,311,1.4,1.2,2023-09-09,0012,Aqua,MODIS,81,61.03,293.9,16.5,N,0
33.7902,35.7962,328.8,1,1,2023-09-09,1113,Aqua,MODIS,71,61.03,310.2,14.9,D,0
33.7887,35.7849,333.8,1,1,2023-09-09,1113,Aqua,MODIS,79,61.03,310.6,22.5,D,0
34.3016,35.7097,330,4.2,1.9,2023-09-10,1155,Aqua,MODIS,0,61.03,296.6,172.5,D,0
34.3038,35.7055,325.7,4.2,1.9,2023-09-10,1155,Aqua,MODIS,0,61.03,296.5,130.1,D,0
33.5421,35.4259,327.6,2.2,1.5,2023-09-12,1140,Aqua,MODIS,70,61.03,303.4,45.2,D,0
33.5414,35.4438,323.7,2.3,1.5,2023-09-12,1140,Aqua,MODIS,60,61.03,303,36,D,0
33.5395,35.4211,323.4,2.2,1.5,2023-09-12,1140,Aqua,MODIS,59,61.03,303.4,33.1,D,0
34.5753,36.2909,337.3,1.6,1.3,2023-09-14,0821,Terra,MODIS,85,61.03,305.4,66,D,0
34.5722,36.3074,344.6,1.6,1.3,2023-09-14,0821,Terra,MODIS,91,61.03,302.8,92.1,D,0
33.3317,35.4575,333.1,1.3,1.1,2023-09-14,1125,Aqua,MODIS,77,61.03,310,27.9,D,0
33.3302,35.4439,324.9,1.3,1.1,2023-09-14,1125,Aqua,MODIS,58,61.03,309.6,13,D,0
33.5867,35.5474,339.8,1.3,1.1,2023-09-14,1125,Aqua,MODIS,86,61.03,305.1,53.4,D,0
33.5851,35.5329,327.5,1.3,1.1,2023-09-14,1125,Aqua,MODIS,69,61.03,305.3,27.1,D,0
33.5968,35.5442,339.9,1.3,1.1,2023-09-14,1125,Aqua,MODIS,86,61.03,305.1,53.3,D,0
34.4267,35.9023,340.6,2.8,1.6,2023-09-15,1029,Aqua,MODIS,86,61.03,306.1,160.1,D,0
34.4373,35.9276,327.8,2.8,1.6,2023-09-15,1029,Aqua,MODIS,63,61.03,304.5,74.2,D,0
34.4294,35.8939,326,2.8,1.6,2023-09-15,1029,Aqua,MODIS,55,61.03,306.1,64.4,D,0
33.2899,35.575,326.6,1,1,2023-09-16,1111,Aqua,MODIS,58,61.03,312.1,11,D,0
33.5796,35.4185,332.5,1.2,1.1,2023-09-18,1056,Aqua,MODIS,78,61.03,303.8,31.3,D,0
33.7497,35.923,321.3,1.2,1.1,2023-09-18,1056,Aqua,MODIS,28,61.03,309.4,7.9,D,0
33.4685,35.4209,322.6,1.3,1.1,2023-09-25,1054,Aqua,MODIS,44,61.03,302.1,16.5,D,0
33.466,35.4067,325.9,1.3,1.1,2023-09-25,1054,Aqua,MODIS,63,61.03,302.4,22,D,0
33.4664,35.415,327.2,1.3,1.1,2023-09-25,1054,Aqua,MODIS,68,61.03,302,23.4,D,0
33.297,35.3925,322,1,1,2023-09-28,0803,Terra,MODIS,42,61.03,309.8,8.1,D,0
33.2898,35.38,331.7,1,1,2023-09-28,0803,Terra,MODIS,76,61.03,308.4,19.2,D,0
33.2882,35.3905,338.7,1,1,2023-09-28,0803,Terra,MODIS,85,61.03,308.7,29.4,D,0
33.2453,35.2564,325.8,1.1,1.1,2023-09-28,1121,Aqua,MODIS,56,61.03,305.6,15.3,D,2
33.2395,35.412,318,1,1,2023-09-30,1106,Aqua,MODIS,50,61.03,303.8,7.6,D,0
