latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-29.6419,28.4464,305.3,1,1,2023-04-29,0757,Terra,MODIS,56,61.03,289,6.5,D,0
-29.7823,27.9548,303.2,1.1,1.1,2023-05-17,1224,Aqua,MODIS,55,61.03,286.3,7.6,D,0
-30.6352,27.9525,320.4,1.3,1.1,2023-05-25,0741,Terra,MODIS,80,61.03,284.2,28.4,D,0
-28.7798,28.6619,304.9,1.2,1.1,2023-05-25,0741,Terra,MODIS,60,61.03,286.6,10.5,D,0
-28.7699,28.663,300.2,1.2,1.1,2023-05-25,0741,Terra,MODIS,26,61.03,285.2,6.3,D,0
-29.4602,28.413,306.3,4.3,1.9,2023-05-25,1128,Aqua,MODIS,62,61.03,285.6,66.4,D,0
-29.4634,28.366,311.3,4.3,1.9,2023-05-25,1128,Aqua,MODIS,70,61.03,286.1,97,D,0
-29.4657,28.3742,315,4.3,1.9,2023-05-25,1128,Aqua,MODIS,75,61.03,286.3,120.7,D,0
-29.1483,28.3061,302.3,1.3,1.1,2023-06-06,0740,Terra,MODIS,51,61.03,278.2,10.2,D,0
-29.1703,28.3288,313.6,1.1,1.1,2023-06-07,1223,Aqua,MODIS,74,61.03,287.9,15.5,D,0
-28.9525,28.9116,300.9,1.2,1.1,2023-06-07,1223,Aqua,MODIS,35,61.03,288.4,5.4,D,0
-29.4699,28.1792,309,1,1,2023-06-09,1209,Aqua,MODIS,68,61.03,282.2,11.1,D,0
-29.7019,28.6421,300.5,1,1,2023-06-09,1209,Aqua,MODIS,21,61.03,289,5.1,D,0
-29.4684,28.1901,319.6,1,1,2023-06-09,1209,Aqua,MODIS,79,61.03,281.5,20.6,D,0
-29.552,27.2749,300.6,1,1,2023-06-14,1222,Aqua,MODIS,39,61.03,289.2,3.5,D,0
-29.5429,27.2731,300.2,1,1,2023-06-14,1222,Aqua,MODIS,17,61.03,288.8,3.2,D,0
-29.5504,27.2853,304.9,1,1,2023-06-14,1222,Aqua,MODIS,60,61.03,288.4,5.9,D,0
-29.9567,29.0313,306.8,1,1,2023-06-16,1208,Aqua,MODIS,64,61.03,290.9,6.8,D,0
-28.9145,28.866,308.9,1,1,2023-06-16,1208,Aqua,MODIS,68,61.03,287.5,10.7,D,0
-28.9125,28.87,301.5,3.1,1.7,2023-06-17,1250,Aqua,MODIS,37,61.03,287.1,26.2,D,0
-29.2899,29.3921,302.5,1.4,1.2,2023-06-18,1154,Aqua,MODIS,38,61.03,291.6,6.3,D,0
-29.3302,28.0674,321.5,1.6,1.3,2023-06-18,1154,Aqua,MODIS,81,61.03,287.8,40,D,0
-29.3298,28.0777,312.9,1.6,1.3,2023-06-18,1154,Aqua,MODIS,73,61.03,287.9,26.1,D,0
-29.3317,28.0602,309.3,1.6,1.3,2023-06-18,1154,Aqua,MODIS,68,61.03,287.6,20.9,D,0
-29.435,27.4678,303.2,1.8,1.3,2023-06-19,0821,Terra,MODIS,55,61.03,286.3,14.6,D,0
-29.777,27.5601,300.6,1.4,1.2,2023-06-19,1236,Aqua,MODIS,36,61.03,286.8,6.3,D,0
-30.0666,28.5768,302.5,1.6,1.3,2023-06-19,1236,Aqua,MODIS,50,61.03,290.9,8.1,D,0
-29.8109,28.3944,315.2,1.6,1.2,2023-06-19,1236,Aqua,MODIS,75,61.03,285.3,28.9,D,0
-29.4564,28.4948,303.6,1.6,1.3,2023-06-19,1236,Aqua,MODIS,56,61.03,285.8,14.7,D,0
-29.4257,27.4523,301.7,1.4,1.2,2023-06-19,1236,Aqua,MODIS,48,61.03,288.1,6.6,D,0
-28.8636,28.87,331.6,1.8,1.3,2023-06-19,1236,Aqua,MODIS,87,61.03,284.8,78.5,D,0
-28.9299,28.2072,301.8,1.6,1.3,2023-06-19,1236,Aqua,MODIS,49,61.03,289,8.4,D,0
-28.8811,28.8482,303.7,1.2,1.1,2023-06-21,0804,Terra,MODIS,57,61.03,281.9,11,D,0
-29.7021,28.5818,305.3,1.1,1,2023-06-21,1222,Aqua,MODIS,61,61.03,274.5,11.1,D,0
-28.7967,28.8639,313.9,1.1,1.1,2023-06-21,1222,Aqua,MODIS,74,61.03,282.6,17.2,D,0
-28.7986,28.8526,326.5,1.1,1.1,2023-06-21,1222,Aqua,MODIS,84,61.03,283.5,31.8,D,0
-29.2403,28.1376,302.4,1.1,1,2023-06-23,1208,Aqua,MODIS,52,61.03,288.7,5.6,D,0
-28.8496,28.8665,300.1,1,1,2023-06-23,1208,Aqua,MODIS,26,61.03,287.3,4.2,D,0
-30.272,27.6703,302.4,1.9,1.3,2023-06-25,1153,Aqua,MODIS,49,61.03,287.8,11.5,D,0
-29.7099,27.9849,300.9,1.8,1.3,2023-06-25,1153,Aqua,MODIS,43,61.03,287.2,12.3,D,0
-29.4838,29.2809,301.3,1.4,1.2,2023-06-25,1153,Aqua,MODIS,46,61.03,286.8,9.1,D,0
-29.9351,27.1875,306.6,1.3,1.1,2023-06-26,1235,Aqua,MODIS,63,61.03,291.7,7.8,D,0
-28.8622,28.0615,304.6,1.5,1.2,2023-06-26,1235,Aqua,MODIS,55,61.03,292.2,8.5,D,0
-28.6278,28.389,303.8,1.6,1.3,2023-06-26,1235,Aqua,MODIS,51,61.03,292.1,8.9,D,0
-28.9153,28.4667,303.4,1.7,1.3,2023-07-02,1153,Aqua,MODIS,50,61.03,289.7,14.3,D,0
-30.2695,27.836,311.8,1,1,2023-07-05,1220,Aqua,MODIS,72,61.03,290.6,10,D,0
-30.3031,27.5449,303.2,1,1,2023-07-05,1220,Aqua,MODIS,44,61.03,292.8,4.4,D,0
-29.7471,28.5464,300.4,1,1,2023-07-05,1220,Aqua,MODIS,28,61.03,285.8,5.1,D,0
