latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.9425,-11.2769,313.2,3,1.6,2023-01-01,1456,Aqua,MODIS,34,61.03,295.5,32.5,D,0
8.3818,-10.146,311.4,3.8,1.8,2023-01-01,1456,Aqua,MODIS,53,61.03,300.4,30.2,D,0
6.9424,-11.2079,313.1,2,1.4,2023-01-02,1400,Aqua,MODIS,62,61.03,297.5,19.6,D,0
5.7021,-9.6438,312.4,1.6,1.3,2023-01-02,1400,Aqua,MODIS,62,61.03,296.5,13.3,D,0
8.1435,-10.2178,318.1,1.6,1.3,2023-01-02,1400,Aqua,MODIS,52,61.03,303.1,17.7,D,0
8.1458,-10.2099,318.3,1.6,1.3,2023-01-02,1400,Aqua,MODIS,66,61.03,304.3,19.3,D,0
6.5347,-9.4677,311.8,1.5,1.2,2023-01-02,1400,Aqua,MODIS,53,61.03,300.2,9.9,D,0
6.8135,-10.3404,314.4,1.8,1.3,2023-01-02,1400,Aqua,MODIS,62,61.03,301.7,14,D,0
6.008,-9.5189,310.9,1.6,1.2,2023-01-02,1400,Aqua,MODIS,48,61.03,298.1,10.3,D,0
6.1172,-9.857,315.2,1.7,1.3,2023-01-02,1400,Aqua,MODIS,66,61.03,298.9,17.6,D,0
6.5206,-8.7628,311.1,1.4,1.2,2023-01-02,1400,Aqua,MODIS,44,61.03,300.2,8.5,D,0
6.2771,-10.5754,316.6,1.8,1.3,2023-01-03,1442,Aqua,MODIS,58,61.03,300,16.7,D,0
6.8162,-10.2989,315.6,1.9,1.4,2023-01-03,1442,Aqua,MODIS,58,61.03,303.5,16.3,D,0
6.1011,-10.08,313.3,2,1.4,2023-01-03,1442,Aqua,MODIS,56,61.03,300.8,14.4,D,0
6.3153,-10.0333,315.5,2,1.4,2023-01-03,1442,Aqua,MODIS,61,61.03,300.6,20.7,D,0
6.2794,-10.5594,313.2,1.8,1.3,2023-01-03,1442,Aqua,MODIS,24,61.03,299.2,10.3,D,0
6.2737,-10.5642,317.4,1.8,1.3,2023-01-03,1442,Aqua,MODIS,66,61.03,299.3,19.8,D,0
6.385,-10.6027,322.3,1.8,1.3,2023-01-03,1442,Aqua,MODIS,74,61.03,302.1,27,D,0
6.5498,-10.4988,315,1.8,1.3,2023-01-03,1442,Aqua,MODIS,60,61.03,302,14,D,0
6.5014,-10.8481,317.7,1.7,1.3,2023-01-03,1442,Aqua,MODIS,67,61.03,301.1,17.2,D,0
6.4993,-10.8635,312.7,1.7,1.3,2023-01-03,1442,Aqua,MODIS,47,61.03,300.4,8.6,D,0
6.4993,-10.8548,322.9,1.7,1.3,2023-01-03,1442,Aqua,MODIS,75,61.03,300.8,27.4,D,0
6.7277,-10.8672,319,1.7,1.3,2023-01-03,1442,Aqua,MODIS,69,61.03,302.7,21.6,D,0
6.7256,-10.8826,323.6,1.7,1.3,2023-01-03,1442,Aqua,MODIS,76,61.03,301.4,31.8,D,0
7.2558,-10.6949,317.7,1.8,1.3,2023-01-03,1443,Aqua,MODIS,68,61.03,301.6,22.3,D,0
7.2534,-10.6848,318.3,1.8,1.3,2023-01-03,1443,Aqua,MODIS,69,61.03,301.7,22.3,D,0
8.3636,-10.2509,317.1,2.1,1.4,2023-01-03,1443,Aqua,MODIS,63,61.03,303.5,20.9,D,0
8.2688,-10.0674,316.2,1,1,2023-01-04,1058,Terra,MODIS,71,61.03,299.9,10,D,0
