latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.5811,22.4054,303,1,1,2023-01-02,2027,Terra,MODIS,53,61.03,280.4,9.5,N,2
27.6496,22.501,318.1,1,1,2023-01-02,2027,Terra,MODIS,96,61.03,281,20.4,N,2
29.0708,19.057,303.4,1.1,1.1,2023-01-02,2028,Terra,MODIS,55,61.03,280.8,11.1,N,2
30.895,20.0923,310.6,1,1,2023-01-02,2028,Terra,MODIS,80,61.03,284.1,13.3,N,0
30.8935,20.0819,328.3,1,1,2023-01-02,2028,Terra,MODIS,100,61.03,286.1,30.6,N,0
28.9084,20.9595,316.5,1,1,2023-01-02,2028,Terra,MODIS,93,61.03,282.4,18.3,N,2
28.9069,20.9494,328.7,1,1,2023-01-02,2028,Terra,MODIS,100,61.03,282.2,31,N,2
28.0583,19.905,300.3,1.1,1,2023-01-02,2028,Terra,MODIS,25,61.03,280.6,8.5,N,2
28.0599,19.9155,300.9,1.1,1,2023-01-02,2028,Terra,MODIS,35,61.03,281.2,8.8,N,2
29.2281,19.6989,315.2,1.1,1,2023-01-02,2028,Terra,MODIS,91,61.03,279.4,19,N,2
28.906,19.7718,321.7,1.1,1,2023-01-02,2028,Terra,MODIS,100,61.03,283,25.5,N,2
30.9011,20.0915,326.3,1.1,1.1,2023-01-03,0032,Aqua,MODIS,100,61.03,282.3,34.1,N,0
29.2315,19.7031,307.6,1.1,1.1,2023-01-03,0033,Aqua,MODIS,72,61.03,278.5,14.9,N,2
28.9126,19.7784,331.1,1.1,1.1,2023-01-03,0033,Aqua,MODIS,100,61.03,281.9,41.6,N,2
28.0592,19.9125,304.8,1.1,1,2023-01-03,0033,Aqua,MODIS,62,61.03,279.3,12.5,N,2
28.9087,20.9575,332.4,1,1,2023-01-03,0033,Aqua,MODIS,100,61.03,281.5,37.5,N,2
28.9043,19.7558,302.1,2.8,1.6,2023-01-03,2109,Terra,MODIS,47,61.03,279.2,42.7,N,2
28.9065,19.7853,301.6,2.8,1.6,2023-01-03,2109,Terra,MODIS,42,61.03,278.8,41.2,N,2
28.9177,19.7901,305.5,2.6,1.5,2023-01-04,0115,Aqua,MODIS,65,61.03,278.7,43.2,N,2
29.2292,19.7055,304.3,2.5,1.5,2023-01-04,0115,Aqua,MODIS,59,61.03,278.2,37.4,N,2
28.9164,19.7674,317.9,2.6,1.5,2023-01-04,0115,Aqua,MODIS,96,61.03,279.4,79.2,N,2
28.9109,19.7931,327.1,2.6,1.5,2023-01-04,0115,Aqua,MODIS,100,61.03,279.5,117.7,N,2
28.9097,19.7601,302.9,2.6,1.5,2023-01-04,0115,Aqua,MODIS,52,61.03,278.3,36.1,N,2
28.9042,19.7863,329.5,2.6,1.5,2023-01-04,0115,Aqua,MODIS,100,61.03,279.6,129.1,N,2
28.9044,19.7812,312.9,1,1,2023-01-04,0914,Terra,MODIS,68,61.03,291.5,8.3,D,2
28.9088,19.7762,334.8,1.1,1,2023-01-04,1214,Aqua,MODIS,87,61.03,298.1,34,D,2
28.8967,20.9558,311.8,1.4,1.2,2023-01-04,2012,Terra,MODIS,83,61.03,281.2,24.6,N,2
28.8863,20.9582,313.7,1.4,1.2,2023-01-04,2012,Terra,MODIS,88,61.03,281.7,27.1,N,2
27.6448,22.4939,300.7,1.2,1.1,2023-01-04,2012,Terra,MODIS,32,61.03,281.1,10.7,N,2
27.6468,22.506,305.3,1.2,1.1,2023-01-04,2012,Terra,MODIS,64,61.03,281.3,14.1,N,2
28.907,20.9534,312.8,1.4,1.2,2023-01-04,2012,Terra,MODIS,86,61.03,281.2,25.9,N,2
28.9043,20.965,302.6,1.5,1.2,2023-01-05,0019,Aqua,MODIS,50,61.03,279.1,15,N,2
28.8936,20.9635,303.6,1.5,1.2,2023-01-05,0019,Aqua,MODIS,54,61.03,278.1,15.6,N,2
27.6502,22.5022,307.3,1.2,1.1,2023-01-05,0020,Aqua,MODIS,71,61.03,278.4,15.7,N,2
28.9081,20.9523,301.3,1.8,1.3,2023-01-06,0102,Aqua,MODIS,40,61.03,279.9,19.4,N,2
30.155,19.7537,305.1,1.5,1.2,2023-01-06,0102,Aqua,MODIS,63,61.03,282.3,16.9,N,0
29.2354,19.702,310.4,1.5,1.2,2023-01-06,0102,Aqua,MODIS,80,61.03,279.6,25.4,N,2
28.8929,20.9677,326.6,1.8,1.3,2023-01-06,0102,Aqua,MODIS,100,61.03,281.2,68.9,N,2
27.6433,22.5,309.8,1,1,2023-01-06,0858,Terra,MODIS,56,61.03,290.4,5.9,D,2
28.9091,20.9561,312.2,2.4,1.5,2023-01-07,0006,Aqua,MODIS,84,61.03,282.7,54,N,2
28.8924,20.9544,301.8,1.1,1,2023-01-07,2037,Terra,MODIS,41,61.03,279,8.4,N,2
29.2335,19.6915,305.1,1,1,2023-01-07,2037,Terra,MODIS,63,61.03,280.2,9.9,N,2
28.9115,19.7632,306.3,1,1,2023-01-07,2037,Terra,MODIS,68,61.03,281.3,11.2,N,2
28.9129,19.7735,328.8,1,1,2023-01-07,2037,Terra,MODIS,100,61.03,282.3,31.9,N,2
28.0551,19.9174,300.8,1.1,1,2023-01-08,0049,Aqua,MODIS,33,61.03,278.7,9.6,N,2
28.9105,20.9604,322.5,1.2,1.1,2023-01-08,0049,Aqua,MODIS,100,61.03,282.6,29,N,2
28.8894,20.968,302.8,1.2,1.1,2023-01-08,0049,Aqua,MODIS,52,61.03,282,10.3,N,2
26.7538,12.4112,300.5,1.2,1.1,2023-01-08,2118,Terra,MODIS,29,61.03,277.6,11.9,N,2
28.9053,19.7799,334.8,1.2,1.1,2023-01-09,0923,Terra,MODIS,88,61.03,290.4,43.8,D,2
27.9857,22.3226,303.8,1,1,2023-01-09,2021,Terra,MODIS,57,61.03,281.2,10.1,N,2
28.0529,19.9122,304.9,1.2,1.1,2023-01-09,2021,Terra,MODIS,62,61.03,280.9,14.4,N,2
28.9046,20.9599,306.9,1.1,1,2023-01-09,2021,Terra,MODIS,69,61.03,283.3,11.9,N,2
28.9028,20.949,311.9,1.1,1,2023-01-09,2021,Terra,MODIS,84,61.03,282.8,16,N,2
28.9071,19.7802,307.7,1.2,1.1,2023-01-09,2021,Terra,MODIS,72,61.03,283.4,15.7,N,2
28.9051,19.7682,317.4,1.2,1.1,2023-01-09,2021,Terra,MODIS,95,61.03,283.4,25.7,N,2
29.0734,19.0636,301.9,1.3,1.1,2023-01-09,2021,Terra,MODIS,45,61.03,282.1,12.4,N,2
29.2305,19.6909,305.6,1.2,1.1,2023-01-09,2021,Terra,MODIS,65,61.03,279.3,13.8,N,2
27.6494,22.4838,302,1,1,2023-01-09,2021,Terra,MODIS,46,61.03,280.3,8.3,N,2
28.9113,19.7742,309.3,1.1,1,2023-01-10,0036,Aqua,MODIS,77,61.03,281.2,14.9,N,2
28.9117,20.9599,308.8,1,1,2023-01-10,0036,Aqua,MODIS,75,61.03,281.7,12.5,N,2
29.0723,19.0646,303.1,1.1,1.1,2023-01-10,0036,Aqua,MODIS,53,61.03,278.6,11.5,N,2
28.9068,19.7866,300.8,2.2,1.4,2023-01-10,2102,Terra,MODIS,34,61.03,280,25.3,N,2
28.9049,19.7637,313.5,2.2,1.4,2023-01-10,2102,Terra,MODIS,87,61.03,280.4,51.1,N,2
28.9051,20.9584,310.3,2.7,1.6,2023-01-10,2102,Terra,MODIS,80,61.03,280.5,56.7,N,2
28.9105,20.9513,314,2.7,1.6,2023-01-10,2102,Terra,MODIS,88,61.03,280.2,67.7,N,2
28.9054,19.7695,321,2.2,1.4,2023-01-10,2102,Terra,MODIS,100,61.03,281.1,72.9,N,2
29.2321,19.7023,306.9,2.8,1.6,2023-01-11,0118,Aqua,MODIS,69,61.03,280.5,49.6,N,2
29.2342,19.7102,303,2.8,1.6,2023-01-11,0118,Aqua,MODIS,53,61.03,280.5,39.2,N,2
28.9045,19.7763,311.5,1,1,2023-01-11,0907,Terra,MODIS,68,61.03,289.8,7.6,D,2
29.2328,19.7013,300.9,2.2,1.4,2023-01-11,2006,Terra,MODIS,35,61.03,279.1,22.2,N,2
28.9001,20.9551,337.7,1.8,1.3,2023-01-11,2006,Terra,MODIS,100,61.03,283.2,102.2,N,2
28.9107,20.9657,311.4,1.8,1.3,2023-01-11,2006,Terra,MODIS,82,61.03,282.6,32.7,N,2
28.9073,20.9477,332.8,1.8,1.3,2023-01-11,2006,Terra,MODIS,100,61.03,282.7,85.8,N,2
29.2331,19.6957,307.4,2.2,1.4,2023-01-11,2006,Terra,MODIS,71,61.03,279.2,36.2,N,2
28.9106,20.9499,320.8,1.3,1.1,2023-01-12,0022,Aqua,MODIS,100,61.03,279.6,33.1,N,2
29.2282,19.7061,300,1.6,1.2,2023-01-12,0022,Aqua,MODIS,11,61.03,277.8,15,N,2
28.909,20.9634,325.4,1.3,1.1,2023-01-12,0022,Aqua,MODIS,100,61.03,281.7,40.3,N,2
28.9071,20.9563,344.9,1.3,1.1,2023-01-12,0022,Aqua,MODIS,100,61.03,281.5,84.6,N,2
28.9055,20.9697,306,1.3,1.1,2023-01-12,0022,Aqua,MODIS,66,61.03,280.2,15.9,N,2
28.9125,19.7743,306.8,1.6,1.2,2023-01-12,0023,Aqua,MODIS,69,61.03,279.8,23.6,N,2
28.9131,19.77,321.4,1.2,1.1,2023-01-12,2047,Terra,MODIS,100,61.03,281.8,30.7,N,2
29.2309,19.6961,301.9,1.2,1.1,2023-01-12,2047,Terra,MODIS,45,61.03,276.8,11.8,N,2
28.9093,20.9766,312.5,2.1,1.4,2023-01-13,0105,Aqua,MODIS,85,61.03,280.5,43,N,2
29.2323,19.705,311.6,1.7,1.3,2023-01-13,0105,Aqua,MODIS,83,61.03,280,31,N,2
28.9134,20.9562,332,2,1.4,2023-01-13,0105,Aqua,MODIS,100,61.03,280.3,100.5,N,2
28.9124,20.9487,311,2,1.4,2023-01-13,0105,Aqua,MODIS,81,61.03,279.5,39.6,N,2
28.9083,20.9691,323.8,2.1,1.4,2023-01-13,0105,Aqua,MODIS,100,61.03,280.9,72.6,N,2
