latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
54.9908,22.6104,313.5,1,1,2023-03-20,1120,Aqua,MODIS,64,61.03,277.2,12.5,D,0
54.9904,22.6101,303.2,1.3,1.1,2023-04-20,1151,Aqua,MODIS,52,61.03,292.3,5.9,D,0
54.8965,22.813,309.3,1,1,2023-04-22,0921,Terra,MODIS,53,61.03,293.6,6.6,D,0
54.7789,22.8385,313.3,1.2,1.1,2023-04-24,0905,Terra,MODIS,71,61.03,296,10.7,D,0
54.5795,23.2562,303.7,1,1,2023-05-04,0921,Terra,MODIS,39,61.03,292.8,4.4,D,0
54.8953,23.2236,302.9,1.1,1.1,2023-05-06,0905,Terra,MODIS,21,61.03,292.6,6.1,D,0
54.5134,24.7001,304.3,1,1,2023-05-08,1123,Aqua,MODIS,40,61.03,291.4,4.6,D,0
55.047,23.1592,302.4,1.2,1.1,2023-05-10,1109,Aqua,MODIS,18,61.03,289.1,4,D,0
55.0062,24.3999,311.5,1.1,1,2023-05-21,0929,Terra,MODIS,50,61.03,296.2,8.7,D,0
55.0033,24.3759,338.1,3,1.7,2023-05-21,1219,Aqua,MODIS,90,61.03,295,188.1,D,0
55.0013,24.3717,334.3,3,1.7,2023-05-21,1219,Aqua,MODIS,88,61.03,294.1,163.7,D,0
54.8625,23.6361,306.3,1,1,2023-05-23,0913,Terra,MODIS,29,61.03,292.9,4.5,D,0
54.4306,24.9053,306.1,2.5,1.5,2023-05-29,1001,Terra,MODIS,50,61.03,293.3,19.4,D,0
55.0845,25.8129,322.6,1,1,2023-05-30,0904,Terra,MODIS,63,61.03,304.7,17,D,0
54.7769,23.4496,312.5,1.2,1.1,2023-05-31,1108,Aqua,MODIS,69,61.03,294.1,12.3,D,0
55.5465,24.4302,310.2,1.1,1.1,2023-06-07,1108,Aqua,MODIS,48,61.03,298.2,7.5,D,0
55.0824,25.8107,325.7,1,1,2023-06-11,0904,Terra,MODIS,68,61.03,305.4,19.9,D,0
55.0736,25.8071,326.4,1,1,2023-06-11,0904,Terra,MODIS,71,61.03,301,20.3,D,0
55.0679,25.8152,319.2,1.8,1.3,2023-06-11,1040,Aqua,MODIS,63,61.03,302.8,31.6,D,0
55.0789,25.8072,316.5,1.8,1.3,2023-06-11,1040,Aqua,MODIS,43,61.03,301.4,26.4,D,0
55.0736,25.8037,326.6,1.8,1.3,2023-06-11,1040,Aqua,MODIS,84,61.03,303.2,52.3,D,0
55.077,25.812,323.2,1.3,1.1,2023-06-13,0847,Terra,MODIS,80,61.03,289.7,28.7,D,0
55.0712,25.8149,304.6,2.6,1.5,2023-06-13,1026,Aqua,MODIS,53,61.03,290.8,19.9,D,0
55.3855,24.2298,310.1,1,1,2023-06-21,0919,Terra,MODIS,17,61.03,294.7,6,D,0
55.076,25.8231,300.8,2.9,1.6,2023-06-29,0814,Terra,MODIS,26,61.03,286.9,11.8,D,0
55.0824,25.8329,320.9,1,1,2023-07-05,0902,Terra,MODIS,44,61.03,306,13.6,D,0
55.0804,25.8275,322.5,1.1,1.1,2023-07-05,1105,Aqua,MODIS,65,61.03,308.7,16.9,D,0
55.0098,24.3707,304.6,2.3,1.5,2023-07-09,1036,Aqua,MODIS,42,61.03,291.1,17.8,D,0
56.1161,24.6049,300.6,1.7,1.3,2023-08-04,0948,Terra,MODIS,26,61.03,287.5,3.3,D,0
54.6589,25.1591,339.4,1.2,1.1,2023-08-05,0852,Terra,MODIS,90,61.03,297.7,47.2,D,2
54.8292,24.3346,301.7,3.9,1.8,2023-08-12,1021,Terra,MODIS,23,61.03,287.2,13.1,D,0
54.0812,23.753,304,1,1,2023-08-12,1126,Aqua,MODIS,10,61.03,291.9,3.9,D,0
55.7718,24.8123,307.7,1,1,2023-08-15,0907,Terra,MODIS,33,61.03,295,4,D,0
55.057,25.7791,323.4,1,1,2023-08-19,1124,Aqua,MODIS,51,61.03,296.8,19,D,0
54.6412,23.3117,300.4,3,1.6,2023-09-15,1035,Aqua,MODIS,27,61.03,288.6,11.3,D,0
55.1167,22.7447,301.4,1.1,1,2023-10-12,1122,Aqua,MODIS,46,61.03,285.5,7.1,D,0
