latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.5188,5.9062,303.2,1,1,2023-02-08,1233,Aqua,MODIS,55,61.03,278.5,9.6,D,2
49.5036,5.9524,300.4,1.8,1.3,2023-02-14,2034,Terra,MODIS,26,61.03,272.6,22.2,N,2
49.5215,5.902,320,1,1,2023-04-21,1020,Terra,MODIS,80,61.03,292.4,17.9,D,2
49.5196,5.9155,306.1,1,1,2023-04-21,1020,Terra,MODIS,60,61.03,288.3,6.6,D,2
49.5278,5.9122,303,1,1,2023-05-06,0205,Aqua,MODIS,52,61.03,280.7,9.2,N,2
49.5108,5.9631,313.1,1,1,2023-05-06,0205,Aqua,MODIS,86,61.03,278.8,15.3,N,2
49.966,5.933,300.2,1,1,2023-05-15,1020,Terra,MODIS,20,61.03,288.6,2.8,D,2
49.5252,5.9013,308.3,1.4,1.2,2023-05-18,1044,Terra,MODIS,57,61.03,295.4,12.2,D,2
49.5,5.956,310.8,1.5,1.2,2023-05-21,1218,Aqua,MODIS,67,61.03,285.9,13.5,D,2
49.52,5.9083,307,1.5,1.2,2023-05-24,0955,Terra,MODIS,48,61.03,294.7,10.7,D,2
49.4982,5.963,310.6,1.2,1.1,2023-05-25,1036,Terra,MODIS,33,61.03,299.5,9.4,D,2
49.5236,5.8999,315.5,1,1,2023-05-27,1020,Terra,MODIS,52,61.03,302.4,9.7,D,2
49.5053,5.9592,324.9,1.2,1.1,2023-05-29,1003,Terra,MODIS,81,61.03,303.9,22.1,D,2
49.5216,5.9042,317.4,1,1,2023-05-31,1245,Aqua,MODIS,49,61.03,306,8.4,D,2
49.5237,5.9,305.8,1,1,2023-05-31,2056,Terra,MODIS,66,61.03,287.5,9.2,N,2
49.5253,5.9148,300.8,1,1,2023-06-03,0204,Aqua,MODIS,33,61.03,281.7,7.5,N,2
49.5231,5.9067,317.2,1.1,1,2023-06-03,1011,Terra,MODIS,63,61.03,302.6,10.8,D,2
49.5069,5.9609,316.2,1.1,1,2023-06-03,1011,Terra,MODIS,55,61.03,303.4,8.1,D,2
49.5,5.9578,316.2,2.3,1.5,2023-06-09,1100,Terra,MODIS,66,61.03,300.6,28.7,D,2
49.5019,5.9546,311.9,1.8,1.3,2023-06-09,2031,Terra,MODIS,84,61.03,290.4,27.1,N,2
49.5066,5.9573,322,1.2,1.1,2023-06-10,1003,Terra,MODIS,68,61.03,304.5,13.7,D,2
49.5027,5.9584,304,1.1,1,2023-06-10,2112,Terra,MODIS,58,61.03,291,7,N,2
49.5245,5.9076,315.5,1.1,1,2023-06-10,2112,Terra,MODIS,91,61.03,290.7,15.5,N,2
49.5227,5.8934,305.5,1.1,1,2023-06-10,2112,Terra,MODIS,65,61.03,290.8,7.7,N,2
49.5101,5.9561,303.9,1.5,1.2,2023-06-20,0230,Aqua,MODIS,58,61.03,286.1,13.2,N,2
49.506,5.9757,302.8,1.5,1.2,2023-06-20,0230,Aqua,MODIS,51,61.03,286.2,12.1,N,2
49.5096,5.9672,304.2,1,1,2023-06-24,0202,Aqua,MODIS,59,61.03,285.7,8.2,N,2
49.5081,5.9509,321.1,1,1,2023-06-25,1027,Terra,MODIS,59,61.03,306.5,9.3,D,2
49.5058,5.9648,334.6,1,1,2023-06-25,1027,Terra,MODIS,86,61.03,307.1,25.8,D,2
49.5202,5.9034,315.9,1.2,1.1,2023-08-23,1233,Aqua,MODIS,71,61.03,294,12.1,D,2
49.5262,5.8971,305,1,1,2023-08-28,2058,Terra,MODIS,63,61.03,277.4,10.1,N,2
49.5222,5.9029,303.4,1,1,2023-09-02,2106,Terra,MODIS,55,61.03,287.9,6.9,N,2
49.5089,5.9649,303.6,1.7,1.3,2023-09-05,2130,Terra,MODIS,56,61.03,289.6,14.5,N,2
49.5063,5.9662,302.1,1.1,1.1,2023-09-07,2114,Terra,MODIS,47,61.03,290.4,6.9,N,2
49.5046,5.9505,307,1.1,1.1,2023-09-07,2114,Terra,MODIS,70,61.03,291,10.4,N,2
49.516,5.913,313,2,1.4,2023-09-08,1214,Aqua,MODIS,47,61.03,300.5,15,D,2
49.5194,5.9038,317.6,2,1.4,2023-09-08,1214,Aqua,MODIS,68,61.03,301.7,25.8,D,2
49.5013,5.9566,315.1,1.1,1.1,2023-09-10,1029,Terra,MODIS,63,61.03,303.9,8.6,D,2
49.5223,5.905,319.2,1,1,2023-09-14,2105,Terra,MODIS,98,61.03,285.7,20.1,N,2
49.5228,5.9088,304.2,3.2,1.7,2023-09-17,1158,Aqua,MODIS,36,61.03,281.4,23.5,D,2
49.5242,5.9114,300.1,1.1,1.1,2023-09-21,0157,Aqua,MODIS,18,61.03,286.1,6.4,N,2
49.5249,5.9005,303.4,1,1,2023-09-24,1011,Terra,MODIS,56,61.03,293.4,5.2,D,2
49.5057,5.9623,309.3,1.1,1.1,2023-09-28,1304,Aqua,MODIS,64,61.03,294.9,6.7,D,2
49.508,5.9635,323,1,1,2023-10-15,0216,Aqua,MODIS,100,61.03,277.5,26.6,N,2
49.5234,5.9129,301.9,1.2,1.1,2023-10-22,2043,Terra,MODIS,45,61.03,278.5,10.5,N,2
49.5207,5.8975,307.2,1.2,1.1,2023-10-22,2043,Terra,MODIS,71,61.03,278.6,14.5,N,2
49.5268,5.9058,311.4,1.2,1.1,2023-10-22,2043,Terra,MODIS,83,61.03,279.2,18.6,N,2
49.5018,5.9576,304.3,1.2,1.1,2023-11-11,2112,Terra,MODIS,59,61.03,276.7,13.8,N,2
