latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.821,21.3616,300.9,1.1,1.1,2023-01-02,0926,Terra,MODIS,43,61.03,283.7,8.2,D,0
41.8139,20.6136,308.2,1.7,1.3,2023-01-04,1217,Aqua,MODIS,67,61.03,283.9,23.6,D,0
41.8232,20.6274,300.2,1.7,1.3,2023-01-04,1217,Aqua,MODIS,16,61.03,283.9,11.6,D,0
41.0974,21.4121,300.5,1.2,1.1,2023-01-06,1204,Aqua,MODIS,38,61.03,284.3,7,D,0
41.0966,21.4068,300.8,1.2,1.1,2023-01-06,1204,Aqua,MODIS,42,61.03,284.4,7.2,D,0
41.5923,21.0689,320.3,1,1,2023-01-08,1151,Aqua,MODIS,80,61.03,282.3,20.8,D,0
42.1104,21.0105,321.8,1,1,2023-01-08,1151,Aqua,MODIS,79,61.03,284.8,20.6,D,0
42.1192,21.008,314.3,1,1,2023-01-08,1151,Aqua,MODIS,62,61.03,288,13.8,D,0
41.8643,22.4519,301.3,1.3,1.1,2023-01-19,1128,Aqua,MODIS,35,61.03,288.3,7.1,D,0
41.8438,22.2848,306.3,1.3,1.1,2023-01-19,1128,Aqua,MODIS,59,61.03,288.3,9.3,D,0
41.841,22.2696,361.2,1.3,1.1,2023-01-19,1128,Aqua,MODIS,100,61.03,292.2,129.2,D,0
41.8508,22.2663,335.9,1.3,1.1,2023-01-19,1128,Aqua,MODIS,90,61.03,289.8,53,D,0
41.3087,20.8235,300.8,1.3,1.1,2023-02-09,1135,Aqua,MODIS,41,61.03,277,10.6,D,0
41.847,22.0535,306.4,1.1,1.1,2023-02-09,1135,Aqua,MODIS,63,61.03,275.7,12.3,D,0
41.3026,22.5702,302,1.5,1.2,2023-02-11,1122,Aqua,MODIS,50,61.03,282.5,13.6,D,0
40.9583,21.4478,312,1,1,2023-02-14,1151,Aqua,MODIS,72,61.03,284.9,12,D,0
40.9566,21.4361,305.5,1,1,2023-02-14,1151,Aqua,MODIS,58,61.03,284.7,7.5,D,0
40.9653,21.4432,300.7,1.2,1.1,2023-02-16,1137,Aqua,MODIS,38,61.03,288.4,4,D,0
41.1919,21.1988,300.4,1.2,1.1,2023-02-16,1137,Aqua,MODIS,36,61.03,287.1,5.9,D,0
41.2753,21.4224,301.9,1.2,1.1,2023-02-16,1137,Aqua,MODIS,50,61.03,287.4,5.5,D,0
41.8638,22.3571,302.8,1.1,1,2023-02-16,1137,Aqua,MODIS,54,61.03,287.1,5.6,D,0
41.4641,22.6022,304.2,2.3,1.5,2023-02-17,1220,Aqua,MODIS,43,61.03,291.6,16,D,0
41.4619,22.572,303.3,2.3,1.5,2023-02-17,1220,Aqua,MODIS,39,61.03,290.2,15.1,D,0
41.4748,22.5929,310.6,2.3,1.5,2023-02-17,1220,Aqua,MODIS,64,61.03,291.2,28.1,D,0
41.7998,22.0771,301.4,2.2,1.4,2023-02-17,1220,Aqua,MODIS,46,61.03,291.1,8.9,D,0
41.872,22.3542,300.4,2.3,1.5,2023-02-17,1220,Aqua,MODIS,37,61.03,289.3,9.2,D,2
41.2304,21.2207,303.3,1.7,1.3,2023-02-18,1124,Aqua,MODIS,53,61.03,285.8,11.9,D,0
41.2277,21.2147,306,1.7,1.3,2023-02-18,1124,Aqua,MODIS,63,61.03,285.5,16.2,D,0
41.4771,22.758,307,1.8,1.3,2023-02-19,0936,Terra,MODIS,64,61.03,286.3,16.5,D,0
41.167,22.5544,302.7,1.8,1.3,2023-02-19,0936,Terra,MODIS,53,61.03,291.2,9.2,D,0
41.0601,21.3761,313.6,1.3,1.1,2023-02-19,1206,Aqua,MODIS,74,61.03,292.8,13.6,D,0
