latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-15.2158,35.5619,315,2.8,1.6,2023-01-04,1201,Aqua,MODIS,0,61.03,295.4,26.8,D,0
-16.2431,34.9169,317.1,1.8,1.3,2023-01-19,1112,Aqua,MODIS,30,61.03,296.4,17,D,0
-11.6308,34.1802,311.8,1.5,1.2,2023-02-14,0803,Terra,MODIS,64,61.03,294.8,9.5,D,0
-12.8678,33.2087,300.8,4.7,2,2023-03-13,0831,Terra,MODIS,23,61.03,277.8,18.4,D,0
-12.8681,33.2137,301.1,4.7,2,2023-03-13,0831,Terra,MODIS,27,61.03,278.1,19.1,D,0
-14.0937,33.5338,311.1,1,1,2023-05-06,0745,Terra,MODIS,57,61.03,300.7,4.6,D,0
-15.9321,34.8377,316.8,1.7,1.3,2023-05-06,1118,Aqua,MODIS,67,61.03,298.1,19.7,D,0
-15.9341,34.8329,309.8,1.7,1.3,2023-05-06,1118,Aqua,MODIS,31,61.03,297.8,8.9,D,0
-11.9944,33.7998,342.2,1,1,2023-05-06,1958,Terra,MODIS,100,61.03,285.8,50.4,N,0
-11.9902,33.8048,302.5,1.8,1.3,2023-05-06,2346,Aqua,MODIS,50,61.03,282.9,18.9,N,0
-13.9425,33.6174,315.4,1.1,1.1,2023-05-11,0753,Terra,MODIS,73,61.03,299,8.7,D,0
-11.9198,33.7535,307,1.1,1.1,2023-05-13,0736,Terra,MODIS,33,61.03,291.3,6.6,D,0
-13.935,33.6558,313.2,1.1,1,2023-05-13,0737,Terra,MODIS,60,61.03,299.5,6.7,D,0
-14.5391,34.6642,314.1,1,1,2023-05-13,0737,Terra,MODIS,66,61.03,300.1,5.4,D,0
-13.9335,33.646,314.1,1.1,1,2023-05-13,0737,Terra,MODIS,63,61.03,299.5,7.2,D,0
-15.1244,35.2827,318.7,1.2,1.1,2023-05-16,1146,Aqua,MODIS,66,61.03,302.8,13.8,D,0
-15.126,35.272,317.4,1.2,1.1,2023-05-16,1146,Aqua,MODIS,63,61.03,302.4,11.7,D,0
-16.4188,35.0717,311.4,1.1,1.1,2023-05-16,1146,Aqua,MODIS,51,61.03,299.3,7,D,0
-12.8101,33.532,314.5,1,1,2023-05-16,1147,Aqua,MODIS,64,61.03,300.4,4.8,D,0
-12.5307,34.1626,316.4,1,1,2023-05-18,0744,Terra,MODIS,70,61.03,298.5,8.7,D,0
-13.4056,33.3916,310.6,1,1,2023-05-18,0745,Terra,MODIS,53,61.03,299.1,4.7,D,0
-15.9138,35.6906,311.2,1,1,2023-05-20,0729,Terra,MODIS,53,61.03,296.5,8.3,D,0
-15.658,34.7586,315,1.8,1.3,2023-05-21,1200,Aqua,MODIS,60,61.03,299.7,11.7,D,0
-13.4368,33.7261,313.3,1.1,1.1,2023-05-23,0753,Terra,MODIS,62,61.03,299.2,6.3,D,0
-13.452,33.7665,312.4,1.2,1.1,2023-05-23,0753,Terra,MODIS,60,61.03,298.8,5.5,D,0
-16.3095,34.9319,316,1.1,1,2023-05-23,1145,Aqua,MODIS,61,61.03,300.5,8.9,D,0
-16.4192,35.071,311.9,1.1,1,2023-05-23,1145,Aqua,MODIS,53,61.03,299.4,6.7,D,0
-14.2606,35.0648,316.5,1.2,1.1,2023-05-23,1146,Aqua,MODIS,67,61.03,302.6,7,D,0
-13.8952,34.4484,318.2,1.1,1,2023-05-23,1146,Aqua,MODIS,69,61.03,301.5,8.3,D,0
-13.8704,34.4856,318.9,1.1,1,2023-05-23,1146,Aqua,MODIS,43,61.03,302.9,8.6,D,0
-13.872,34.4755,319.6,1.1,1,2023-05-23,1146,Aqua,MODIS,58,61.03,303.1,8.9,D,0
-13.8626,34.474,322.5,1.1,1,2023-05-23,1146,Aqua,MODIS,73,61.03,301.5,12.5,D,0
-13.8652,34.2843,320.4,1.1,1,2023-05-23,1146,Aqua,MODIS,72,61.03,301.8,13,D,0
-14.4768,33.8561,318.5,1.1,1,2023-05-25,0737,Terra,MODIS,73,61.03,299.5,12.3,D,0
-14.4766,33.8458,322.2,1.2,1.1,2023-05-25,1132,Aqua,MODIS,62,61.03,305.1,14.3,D,0
-14.4725,33.8505,328.2,1.2,1.1,2023-05-25,1132,Aqua,MODIS,81,61.03,305.2,23.4,D,0
-14.4659,33.8278,316,1.2,1.1,2023-05-25,1132,Aqua,MODIS,56,61.03,303.1,8.3,D,0
-14.2802,35.0338,315.2,1,1,2023-05-25,1132,Aqua,MODIS,42,61.03,300.5,7.5,D,0
-14.4247,33.8436,310.7,1.2,1.1,2023-05-25,1132,Aqua,MODIS,45,61.03,300.5,5.2,D,0
-13.8606,34.2898,317.4,1.1,1,2023-05-25,1132,Aqua,MODIS,63,61.03,302.1,11,D,0
-13.862,34.2798,312.2,1.1,1,2023-05-25,1132,Aqua,MODIS,37,61.03,300.5,6.5,D,0
-13.8466,34.4659,316,1.8,1.3,2023-05-28,1200,Aqua,MODIS,68,61.03,301.2,16.2,D,0
-9.9794,33.3343,315.7,1.7,1.3,2023-05-28,1201,Aqua,MODIS,69,61.03,297.2,21.3,D,0
-10.935,33.7421,309.8,3.4,1.7,2023-05-29,1104,Aqua,MODIS,34,61.03,295.6,35.6,D,0
-10.9387,33.7112,325.8,3.5,1.8,2023-05-29,1104,Aqua,MODIS,82,61.03,296.9,120.6,D,0
-13.6169,33.5921,310.4,1,1,2023-05-30,0744,Terra,MODIS,54,61.03,299.1,4.4,D,0
-11.136,33.3982,316.5,1,1,2023-05-30,0744,Terra,MODIS,72,61.03,297.9,10.6,D,0
-11.1374,33.4073,311.2,1,1,2023-05-30,0744,Terra,MODIS,64,61.03,297.6,6.6,D,0
-13.3335,33.6066,310.8,1,1,2023-05-30,0744,Terra,MODIS,58,61.03,300.1,4.8,D,0
-13.9968,34.3825,309.7,1,1,2023-05-30,0744,Terra,MODIS,46,61.03,296.1,5.5,D,0
-14.071,33.736,315.7,1,1,2023-05-30,0745,Terra,MODIS,69,61.03,299,8.7,D,0
-16.3274,34.9775,317.2,1.1,1,2023-05-30,1145,Aqua,MODIS,51,61.03,299.6,10.3,D,0
-15.1761,35.2072,327.3,1.1,1.1,2023-05-30,1145,Aqua,MODIS,82,61.03,301.8,23,D,0
-15.1666,35.206,319.9,1.1,1.1,2023-05-30,1145,Aqua,MODIS,72,61.03,301,14.1,D,0
-14.5439,35.306,322,1.2,1.1,2023-05-30,1145,Aqua,MODIS,77,61.03,297.5,17.8,D,0
-13.8864,34.4335,313.9,1.1,1,2023-05-30,1146,Aqua,MODIS,13,61.03,298.7,5.7,D,0
-13.8683,34.4913,325.2,1.1,1,2023-05-30,1146,Aqua,MODIS,66,61.03,302.8,15.5,D,0
-13.8605,34.4799,321.5,1.1,1,2023-05-30,1146,Aqua,MODIS,36,61.03,305.1,11.4,D,0
-15.0502,35.3335,310.7,1.1,1,2023-06-01,0728,Terra,MODIS,60,61.03,299.3,5,D,0
-16.4199,35.0624,314.4,1.1,1,2023-06-01,1131,Aqua,MODIS,54,61.03,302.6,8,D,0
-16.3977,34.9452,320.9,1.1,1,2023-06-01,1131,Aqua,MODIS,62,61.03,303.8,10.2,D,0
-16.0297,34.6312,316.6,1.1,1.1,2023-06-01,1131,Aqua,MODIS,25,61.03,300.7,8.8,D,0
-15.7625,34.6368,330.4,1.1,1.1,2023-06-01,1131,Aqua,MODIS,82,61.03,305.4,24.3,D,0
-15.7639,34.6266,316.1,1.1,1.1,2023-06-01,1131,Aqua,MODIS,59,61.03,304.7,6.5,D,0
-14.4849,33.8368,321.6,1.2,1.1,2023-06-01,1131,Aqua,MODIS,74,61.03,302.9,14.3,D,0
-14.4098,33.9578,315.6,1.2,1.1,2023-06-01,1131,Aqua,MODIS,64,61.03,301.6,7.4,D,0
-14.4112,33.9471,312.1,1.2,1.1,2023-06-01,1131,Aqua,MODIS,38,61.03,299.3,4.2,D,0
-14.309,34.5868,316.7,1.1,1,2023-06-01,1131,Aqua,MODIS,59,61.03,302.6,6.4,D,0
-14.0327,34.4572,330.7,1.1,1,2023-06-01,1131,Aqua,MODIS,83,61.03,304.7,25.1,D,0
-13.8722,34.4681,329.2,1.1,1,2023-06-01,1131,Aqua,MODIS,65,61.03,300.8,22.3,D,0
-10.988,33.4089,311.6,1.9,1.4,2023-06-02,0808,Terra,MODIS,65,61.03,297.8,17.3,D,0
-14.0192,34.4344,312.9,2.6,1.5,2023-06-02,0809,Terra,MODIS,55,61.03,297.9,22.8,D,0
-14.029,34.452,313.1,2.6,1.5,2023-06-02,0809,Terra,MODIS,55,61.03,298.4,25.3,D,0
-16.0933,34.6954,320.3,3,1.6,2023-06-02,1213,Aqua,MODIS,70,61.03,301.1,41.4,D,0
-16.0986,34.668,317.9,3,1.6,2023-06-02,1213,Aqua,MODIS,60,61.03,301.2,30.1,D,0
-16.0927,34.6874,326.5,3,1.6,2023-06-02,1213,Aqua,MODIS,78,61.03,301.2,74.1,D,0
-16.0781,34.6842,316.4,3,1.6,2023-06-02,1213,Aqua,MODIS,57,61.03,301.4,25.8,D,0
-15.0161,35.3917,310.4,2,1.4,2023-06-03,0712,Terra,MODIS,62,61.03,295.4,13.8,D,0
-16.1471,34.4041,318.2,2,1.4,2023-06-03,1117,Aqua,MODIS,67,61.03,302.4,21.7,D,0
-16.1448,34.3989,317.9,2,1.4,2023-06-03,1117,Aqua,MODIS,67,61.03,301.1,21.4,D,0
-13.2976,33.7562,311.3,1.2,1.1,2023-06-04,0752,Terra,MODIS,53,61.03,296.5,6.9,D,0
-14.2885,33.8228,313.9,1.2,1.1,2023-06-04,0753,Terra,MODIS,66,61.03,297.9,8.9,D,0
-15.8584,35.2132,312.8,1.8,1.3,2023-06-04,1159,Aqua,MODIS,44,61.03,300.7,9.8,D,0
-15.1741,35.233,326.7,1.8,1.3,2023-06-04,1159,Aqua,MODIS,80,61.03,298.8,46.6,D,0
-15.1772,35.2148,337.1,1.8,1.3,2023-06-04,1159,Aqua,MODIS,88,61.03,298.5,80.2,D,0
-11.0669,33.6482,316.3,1.2,1.1,2023-06-06,0735,Terra,MODIS,72,61.03,298.4,10.9,D,0
-13.5154,33.6004,312,1.1,1,2023-06-06,0736,Terra,MODIS,57,61.03,299.8,5.6,D,0
-13.8165,32.8706,309.5,1.2,1.1,2023-06-06,0736,Terra,MODIS,39,61.03,298.6,5.2,D,0
-14.2173,33.5508,311.7,1.1,1,2023-06-06,0736,Terra,MODIS,35,61.03,298.7,6.5,D,0
-14.2189,33.5607,309.7,1.1,1,2023-06-06,0736,Terra,MODIS,24,61.03,297.7,5.3,D,0
-14.4813,33.9525,315,1,1,2023-06-06,0736,Terra,MODIS,67,61.03,301.6,8.1,D,0
-15.9148,35.6841,311.1,1,1,2023-06-06,0737,Terra,MODIS,42,61.03,298.8,7.8,D,0
-15.9162,35.6935,308.5,1,1,2023-06-06,0737,Terra,MODIS,13,61.03,296.7,6,D,0
-16.4559,35.086,320,1.1,1,2023-06-06,1144,Aqua,MODIS,69,61.03,302,12.6,D,0
-16.2032,34.5042,323.8,1,1,2023-06-06,1144,Aqua,MODIS,73,61.03,303.6,14.3,D,0
-16.1021,34.7463,321.1,1,1,2023-06-06,1144,Aqua,MODIS,69,61.03,307.6,7.4,D,0
-15.8898,34.5605,321.5,1,1,2023-06-06,1145,Aqua,MODIS,70,61.03,300.8,13.5,D,0
-15.8884,34.5701,318.5,1,1,2023-06-06,1145,Aqua,MODIS,59,61.03,301.4,10.2,D,0
-15.7466,34.7224,316.9,1,1,2023-06-06,1145,Aqua,MODIS,63,61.03,303.8,6.5,D,0
-14.029,34.4453,315.6,1.1,1,2023-06-06,1145,Aqua,MODIS,53,61.03,301.9,6.4,D,0
-13.6355,34.4868,318.7,1.1,1,2023-06-06,1145,Aqua,MODIS,65,61.03,300.6,9.4,D,0
-15.1097,35.4613,310.7,1.4,1.2,2023-06-08,0720,Terra,MODIS,51,61.03,299.5,7.6,D,0
-15.8686,35.1953,319.5,1.1,1,2023-06-08,1130,Aqua,MODIS,66,61.03,306.4,8.9,D,0
-16.2043,34.5298,316.7,1.2,1.1,2023-06-08,1130,Aqua,MODIS,56,61.03,303.5,9,D,0
-14.7986,35.1654,319,1.1,1,2023-06-08,1131,Aqua,MODIS,48,61.03,304.4,8.8,D,0
-14.788,35.1739,321,1.1,1,2023-06-08,1131,Aqua,MODIS,49,61.03,307.4,10,D,0
-14.4999,34.8041,318.3,1.1,1,2023-06-08,1131,Aqua,MODIS,68,61.03,305.2,8.3,D,0
-14.4662,33.8737,342.4,1.2,1.1,2023-06-08,1131,Aqua,MODIS,91,61.03,304.6,50.7,D,0
-14.4677,33.8626,342.7,1.2,1.1,2023-06-08,1131,Aqua,MODIS,91,61.03,306.6,51.5,D,0
-14.4579,33.8612,331.1,1.2,1.1,2023-06-08,1131,Aqua,MODIS,83,61.03,304,28.1,D,0
-13.9807,34.4333,333.7,1.1,1.1,2023-06-08,1131,Aqua,MODIS,85,61.03,301.7,30.8,D,0
-13.6486,34.4298,317.1,1.1,1.1,2023-06-08,1131,Aqua,MODIS,56,61.03,300,8.1,D,0
-13.6422,34.4326,315.6,1.1,1.1,2023-06-08,1131,Aqua,MODIS,58,61.03,301.2,5.1,D,0
