latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.0689,103.2595,306.6,1.1,1,2023-01-01,0641,Aqua,MODIS,33,61.03,287.4,3.1,D,0
4.4845,101.9282,315.3,1.2,1.1,2023-01-01,0641,Aqua,MODIS,72,61.03,298.6,11.3,D,0
5.2768,116.7961,308.2,1.8,1.3,2023-01-04,0532,Aqua,MODIS,45,61.03,279.4,13.9,D,0
5.2721,116.7918,312.2,1.8,1.3,2023-01-04,0532,Aqua,MODIS,69,61.03,278.9,21.3,D,0
3.5105,103.0339,304.9,1.1,1,2023-01-05,0327,Terra,MODIS,60,61.03,283.1,3.4,D,0
2.9076,101.2948,305.3,1,1,2023-01-05,0327,Terra,MODIS,0,61.03,277.7,4.5,D,2
3.5322,103.3847,312.6,1.1,1,2023-01-05,0327,Terra,MODIS,0,61.03,291.2,7.1,D,2
2.8029,102.4003,319.1,1.1,1.1,2023-01-08,0644,Aqua,MODIS,10,61.03,298.8,11.1,D,2
1.3753,104.1653,308.8,1.5,1.2,2023-01-08,1904,Aqua,MODIS,63,61.03,291.7,12.9,N,2
1.3807,104.1581,310.1,1.5,1.2,2023-01-08,1904,Aqua,MODIS,69,61.03,291.4,14.8,N,2
2.7374,101.7204,309.9,1.2,1.1,2023-01-10,0337,Terra,MODIS,0,61.03,289.4,6.5,D,2
3.7439,101.5223,308,1.1,1,2023-01-12,0321,Terra,MODIS,19,61.03,284.9,4.7,D,2
1.8591,103.0025,310.7,1,1,2023-01-12,0321,Terra,MODIS,59,61.03,286,5.4,D,2
5.0633,100.4549,309,1,1,2023-01-13,0701,Aqua,MODIS,56,61.03,282.6,4.2,D,0
5.062,100.446,310.6,1,1,2023-01-13,0701,Aqua,MODIS,67,61.03,283.1,5.4,D,0
3.2927,113.0888,306.9,1.1,1,2023-01-15,1430,Terra,MODIS,15,61.03,295.4,6.8,N,0
4.7313,116.44,311,1,1,2023-01-16,0551,Aqua,MODIS,65,61.03,296.3,6.2,D,0
4.9855,116.1591,311.5,1,1,2023-01-16,0551,Aqua,MODIS,54,61.03,294.6,6,D,0
3.2887,113.0864,304.5,1,1,2023-01-16,1810,Aqua,MODIS,49,61.03,290.4,5.3,N,0
4.0836,100.9583,322,1,1,2023-01-17,0330,Terra,MODIS,78,61.03,298.9,12.4,D,0
3.7431,101.5154,313,1,1,2023-01-17,0330,Terra,MODIS,39,61.03,299.4,5.9,D,2
3.7417,101.5244,311.9,1,1,2023-01-17,0330,Terra,MODIS,38,61.03,298.8,5.1,D,2
3.4442,102.3506,311.2,1.1,1,2023-01-17,0330,Terra,MODIS,51,61.03,295.9,5.2,D,2
2.3596,102.199,312.5,1.1,1,2023-01-17,0330,Terra,MODIS,52,61.03,298,5.4,D,0
2.2136,102.6923,312.4,1.1,1.1,2023-01-17,0330,Terra,MODIS,61,61.03,298.9,6.4,D,0
2.2121,102.7023,311.6,1.1,1.1,2023-01-17,0330,Terra,MODIS,59,61.03,298.8,5.9,D,0
2.2452,102.4132,311.3,1.1,1.1,2023-01-17,0330,Terra,MODIS,53,61.03,297.8,5.8,D,0
2.1049,102.6089,317.1,1.1,1.1,2023-01-17,0330,Terra,MODIS,53,61.03,299.2,10.3,D,0
2.1034,102.6189,312.4,1.1,1.1,2023-01-17,0330,Terra,MODIS,44,61.03,298.2,5.4,D,2
2.0224,102.6732,315.9,1.1,1.1,2023-01-17,0330,Terra,MODIS,55,61.03,298.6,9.2,D,2
1.9235,102.8509,312.4,1.2,1.1,2023-01-17,0330,Terra,MODIS,60,61.03,298,7.5,D,0
1.6979,103.4163,310.3,1.3,1.1,2023-01-17,0330,Terra,MODIS,49,61.03,297,6.4,D,0
4.22,100.7872,306.5,2.1,1.4,2023-01-17,0634,Aqua,MODIS,36,61.03,287.2,9.5,D,0
2.8361,112.0453,308.5,2.8,1.6,2023-01-19,0314,Terra,MODIS,49,61.03,287.2,22.6,D,0
1.2632,111.707,323.3,1,1,2023-01-19,0620,Aqua,MODIS,74,61.03,290.2,15.7,D,0
6.6434,100.2595,310.6,1.1,1.1,2023-01-22,0651,Aqua,MODIS,42,61.03,293,5.8,D,0
3.541,113.3467,301.6,1.2,1.1,2023-02-01,1802,Aqua,MODIS,43,61.03,290.4,4.2,N,0
2.2437,111.9709,307.5,1.5,1.2,2023-02-02,0300,Terra,MODIS,31,61.03,283.5,7.9,D,2
4.4187,114.0081,314,1.1,1,2023-02-04,0612,Aqua,MODIS,22,61.03,291.7,6.4,D,2
4.2253,100.7848,313.5,1,1,2023-02-05,0325,Terra,MODIS,64,61.03,294.6,7,D,0
5.2164,100.4398,316.6,1.6,1.2,2023-02-07,0642,Aqua,MODIS,20,61.03,295.8,11.8,D,0
5.5937,100.6467,315.1,1.5,1.2,2023-02-07,0642,Aqua,MODIS,51,61.03,297.5,12.2,D,2
4.6678,103.3706,304.2,1.1,1,2023-02-07,1900,Aqua,MODIS,59,61.03,290.4,5.2,N,0
4.6626,103.3632,301.4,1.1,1,2023-02-07,1900,Aqua,MODIS,41,61.03,290,4,N,0
4.8144,101.0806,308.2,1.9,1.3,2023-02-08,0350,Terra,MODIS,41,61.03,288.4,11.9,D,2
4.8119,101.0973,307.7,1.9,1.3,2023-02-08,0350,Terra,MODIS,27,61.03,287.8,9.9,D,2
4.5777,103.4467,301.6,1,1,2023-02-09,1516,Terra,MODIS,43,61.03,285.8,3.8,N,2
6.4905,100.3947,314.1,1,1,2023-02-10,0334,Terra,MODIS,58,61.03,296.6,4.3,D,0
5.4311,101.1324,312.3,1.1,1,2023-02-10,0334,Terra,MODIS,32,61.03,295.2,5.3,D,2
3.7405,101.5224,310.3,1.1,1.1,2023-02-10,0334,Terra,MODIS,39,61.03,290.9,5.8,D,2
3.1292,101.4218,316.8,1.1,1.1,2023-02-10,0335,Terra,MODIS,31,61.03,295.3,11.4,D,2
2.3369,102.215,317.8,1.3,1.1,2023-02-10,0335,Terra,MODIS,71,61.03,295.2,12.5,D,2
2.2108,102.6549,313,1.4,1.2,2023-02-10,0335,Terra,MODIS,64,61.03,294.5,9,D,2
1.6257,103.6665,308,1.7,1.3,2023-02-10,0335,Terra,MODIS,0,61.03,287.8,9.5,D,2
2.7419,101.5571,317,1.4,1.2,2023-02-10,0710,Aqua,MODIS,27,61.03,294.9,10.7,D,0
6.0901,116.1682,310.1,1.1,1,2023-02-11,0236,Terra,MODIS,52,61.03,289.2,6.1,D,2
2.3045,111.838,318.8,1,1,2023-02-11,0614,Aqua,MODIS,41,61.03,295,9.9,D,2
1.8571,103.0032,311.9,1,1,2023-02-12,0319,Terra,MODIS,61,61.03,286,6.4,D,2
2.9026,101.2932,312.7,1,1,2023-02-12,0657,Aqua,MODIS,0,61.03,283,7,D,2
4.0711,101.152,303.7,1,1,2023-02-12,0657,Aqua,MODIS,0,61.03,271.8,3.6,D,2
5.4116,100.5554,319.4,1,1,2023-02-12,0658,Aqua,MODIS,31,61.03,294.3,6.3,D,2
6.3384,99.8305,315.8,1,1,2023-02-12,0658,Aqua,MODIS,59,61.03,293.8,8.9,D,0
4.5718,103.4451,333.8,1.5,1.2,2023-02-14,0302,Terra,MODIS,82,61.03,295.7,47.1,D,2
4.57,103.4583,339.2,1.5,1.2,2023-02-14,0302,Terra,MODIS,0,61.03,297.4,60,D,2
4.5592,103.4569,319.4,1.5,1.2,2023-02-14,0302,Terra,MODIS,49,61.03,294.9,17.9,D,2
2.0239,102.6703,319.7,1.2,1.1,2023-02-14,0643,Aqua,MODIS,33,61.03,297.6,9.8,D,2
2.2617,102.1822,321.3,1.2,1.1,2023-02-14,0643,Aqua,MODIS,13,61.03,296.3,12.1,D,2
4.5591,103.4558,324.5,1,1,2023-02-14,0644,Aqua,MODIS,43,61.03,300.8,14,D,2
4.5578,103.4466,319.6,1,1,2023-02-14,0644,Aqua,MODIS,32,61.03,299.3,9.3,D,2
4.5681,103.4545,338.9,1,1,2023-02-14,0644,Aqua,MODIS,59,61.03,301.9,30.4,D,2
4.5668,103.4453,344,1,1,2023-02-14,0644,Aqua,MODIS,91,61.03,301.9,41.2,D,2
4.5759,103.444,334.3,1,1,2023-02-14,0644,Aqua,MODIS,66,61.03,302,24.6,D,2
4.658,103.3794,313.7,1,1,2023-02-14,0644,Aqua,MODIS,64,61.03,298,6,D,0
4.6566,103.3702,315.1,1,1,2023-02-14,0644,Aqua,MODIS,69,61.03,298.9,7.6,D,0
3.2835,113.0802,300.3,1.1,1.1,2023-02-15,1428,Terra,MODIS,25,61.03,278.2,5.5,N,2
1.4498,110.4515,319.7,1.1,1,2023-02-16,0629,Aqua,MODIS,42,61.03,300.6,9.7,D,2
1.3702,104.1513,311.3,1.6,1.2,2023-02-16,0630,Aqua,MODIS,25,61.03,282.1,14.6,D,2
