latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.2314,73.5453,310.6,1.4,1.2,2023-02-08,0903,Aqua,MODIS,34,61.03,296.3,9.4,D,3
4.1761,73.5108,312.4,1,1,2023-02-10,0513,Terra,MODIS,49,61.03,301.8,7.9,D,3
4.2137,73.5354,311.3,1.1,1,2023-03-03,0856,Aqua,MODIS,44,61.03,297.8,7,D,3
4.1708,73.5115,311.4,1.5,1.2,2023-03-08,0501,Terra,MODIS,48,61.03,296.9,11.8,D,3
4.1735,73.5118,315.4,1.1,1.1,2023-03-13,0509,Terra,MODIS,62,61.03,297.2,10.3,D,3
4.1737,73.5068,316.1,1,1,2023-03-18,0518,Terra,MODIS,62,61.03,298.5,9.2,D,3
4.1724,73.5157,314.4,1,1,2023-03-18,0518,Terra,MODIS,45,61.03,297.4,7.4,D,3
4.1823,73.4426,312.6,1,1,2023-04-18,0512,Terra,MODIS,55,61.03,298.7,6.8,D,3
4.1745,73.5129,317,1,1,2023-04-23,0520,Terra,MODIS,65,61.03,297.5,7.9,D,3
4.1737,73.5054,311.9,1.2,1.1,2023-05-07,0504,Terra,MODIS,46,61.03,297.2,8.3,D,3
4.1721,73.5163,311.2,1.2,1.1,2023-05-07,0504,Terra,MODIS,29,61.03,296.8,7.1,D,3
4.1732,73.5035,315.1,1,1,2023-05-07,0848,Aqua,MODIS,63,61.03,299.8,7.2,D,3
4.1728,73.5119,315.2,1.1,1,2023-05-17,0520,Terra,MODIS,63,61.03,296.3,8.2,D,3
4.1748,73.5092,313.8,1.2,1.1,2023-05-19,0504,Terra,MODIS,59,61.03,300,9.8,D,3
4.1765,73.5083,313.1,1.1,1,2023-05-29,0520,Terra,MODIS,50,61.03,295.5,6.4,D,3
4.1749,73.5122,314.4,1,1,2023-06-17,0511,Terra,MODIS,29,61.03,300.3,7.7,D,3
4.235,73.5447,312.1,1,1,2023-07-28,0515,Terra,MODIS,46,61.03,296.8,6.9,D,3
4.1752,73.5105,314,1,1,2023-07-28,0854,Aqua,MODIS,25,61.03,297.9,6.5,D,3
4.1739,73.5016,313.8,1,1,2023-07-28,0854,Aqua,MODIS,47,61.03,297.8,6.8,D,3
4.1756,73.5121,313.8,1,1,2023-08-04,0507,Terra,MODIS,47,61.03,297.8,7.5,D,3
4.1659,73.5046,313.9,1,1,2023-08-04,0852,Aqua,MODIS,39,61.03,299.6,6.7,D,3
4.1749,73.5033,313.7,1,1,2023-08-04,0852,Aqua,MODIS,41,61.03,298.8,6.5,D,3
4.1747,73.5108,316.4,1,1,2023-08-21,0514,Terra,MODIS,66,61.03,301.3,9,D,3
4.1761,73.5076,312.6,1.4,1.2,2023-09-16,0455,Terra,MODIS,51,61.03,297.4,10.5,D,3
4.1769,73.5073,313.4,1.1,1.1,2023-10-15,0500,Terra,MODIS,38,61.03,300.4,8.5,D,3
4.1698,73.5029,310.2,1.7,1.3,2023-11-02,0919,Aqua,MODIS,22,61.03,294.6,11.5,D,3
