latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.883,-7.1431,301.3,1.1,1.1,2023-01-01,0228,Aqua,MODIS,34,61.03,285.3,7.2,N,0
12.9472,-11.0955,309.2,1.1,1,2023-01-01,0229,Aqua,MODIS,77,61.03,290.8,10.4,N,0
12.9459,-11.0859,300.6,1.1,1,2023-01-01,0229,Aqua,MODIS,30,61.03,289.8,4.8,N,0
12.3423,-10.2898,302.2,1,1,2023-01-01,0229,Aqua,MODIS,47,61.03,291.4,5.5,N,0
12.4108,-10.8271,306.3,1,1,2023-01-01,0229,Aqua,MODIS,68,61.03,289.5,7.5,N,0
13.7819,-9.4833,300.2,1,1,2023-01-01,0229,Aqua,MODIS,21,61.03,284.2,5.9,N,0
13.0901,-9.5452,301.2,1,1,2023-01-01,0229,Aqua,MODIS,37,61.03,289.6,4.5,N,0
11.7829,-7.4428,301.2,1.2,1.1,2023-01-01,0229,Aqua,MODIS,39,61.03,289.2,6.7,N,0
11.7456,-7.8702,320.4,1.6,1.2,2023-01-01,1032,Terra,MODIS,66,61.03,304.1,16.2,D,0
11.5561,-7.823,319,1.5,1.2,2023-01-01,1032,Terra,MODIS,63,61.03,302.5,16.1,D,0
10.6733,-7.8369,316.2,1.5,1.2,2023-01-01,1032,Terra,MODIS,49,61.03,303.1,10.6,D,0
10.5069,-7.5992,315.2,1.4,1.2,2023-01-01,1032,Terra,MODIS,52,61.03,303.3,8.9,D,0
12.157,-8.3948,317.3,1.7,1.3,2023-01-01,1032,Terra,MODIS,56,61.03,303.4,12.5,D,0
12.3367,-9.3616,316.7,2.1,1.4,2023-01-01,1032,Terra,MODIS,61,61.03,301.8,19.2,D,0
12.1665,-8.3875,320.3,1.7,1.3,2023-01-01,1032,Terra,MODIS,68,61.03,304.2,19.6,D,0
12.1688,-8.8518,317.4,1.9,1.3,2023-01-01,1032,Terra,MODIS,61,61.03,305.3,14.7,D,0
12.1195,-8.8992,316.1,1.9,1.3,2023-01-01,1032,Terra,MODIS,37,61.03,303,13,D,0
12.2113,-9.7176,320.7,2.2,1.4,2023-01-01,1032,Terra,MODIS,70,61.03,303.1,29.6,D,0
13.3832,-4.2636,324.6,1,1,2023-01-01,1032,Terra,MODIS,73,61.03,305.1,13.2,D,0
12.1985,-9.7189,321.5,2.2,1.4,2023-01-01,1032,Terra,MODIS,71,61.03,303.9,32.4,D,0
11.6305,-6.7595,316.4,1.3,1.1,2023-01-01,1032,Terra,MODIS,53,61.03,304.5,7.6,D,0
11.8632,-6.2257,320.5,1.2,1.1,2023-01-01,1032,Terra,MODIS,66,61.03,303.2,11.9,D,0
12.339,-9.3801,317.7,2.1,1.4,2023-01-01,1032,Terra,MODIS,63,61.03,303.2,21.4,D,0
