latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.638,-13.1463,328.6,2.9,1.6,2023-01-01,1458,Aqua,MODIS,31,61.03,298.2,87,D,0
16.5967,-15.2235,318.8,1.2,1.1,2023-01-02,1112,Terra,MODIS,62,61.03,300.8,11.9,D,0
17.4318,-12.6407,323.6,4.2,1.9,2023-01-03,1153,Terra,MODIS,71,61.03,304.1,89.2,D,0
16.558,-15.7222,315.2,2.5,1.5,2023-01-03,1153,Terra,MODIS,33,61.03,303.4,20,D,0
17.4365,-12.6068,318.4,4.2,1.9,2023-01-03,1153,Terra,MODIS,57,61.03,304.1,49.2,D,0
17.4439,-12.6449,318.4,4.2,1.9,2023-01-03,1153,Terra,MODIS,57,61.03,304.1,48.3,D,0
17.424,-12.6027,316.9,4.2,1.9,2023-01-03,1153,Terra,MODIS,48,61.03,304,38.8,D,0
16.5173,-16.2989,332.1,1.1,1,2023-01-03,1445,Aqua,MODIS,78,61.03,311.3,26.7,D,0
16.5461,-15.6127,328.9,1.2,1.1,2023-01-03,1445,Aqua,MODIS,69,61.03,311.9,20.7,D,0
16.516,-16.3089,326.5,1.1,1,2023-01-03,1445,Aqua,MODIS,69,61.03,311.4,18.3,D,0
16.6348,-15.2202,320.2,1,1,2023-01-05,1432,Aqua,MODIS,57,61.03,306.1,6.8,D,0
14.8939,-12.4247,325.6,1.5,1.2,2023-01-06,2309,Terra,MODIS,100,61.03,293.7,43.2,N,0
14.9172,-12.4138,313.1,1.5,1.2,2023-01-06,2309,Terra,MODIS,86,61.03,290.9,21,N,0
14.9189,-12.4,314.6,1.5,1.2,2023-01-06,2309,Terra,MODIS,90,61.03,290,24.1,N,0
14.9047,-12.4261,330.2,1.5,1.2,2023-01-06,2309,Terra,MODIS,100,61.03,293,52.5,N,0
14.9064,-12.4124,348.8,1.5,1.2,2023-01-06,2309,Terra,MODIS,100,61.03,294.2,109.9,N,0
14.9081,-12.3985,300.7,1.5,1.2,2023-01-06,2309,Terra,MODIS,19,61.03,289.6,7.9,N,0
14.888,-12.4108,361.1,1.3,1.1,2023-01-07,1122,Terra,MODIS,94,61.03,307.6,108.8,D,0
14.8942,-12.3862,325.9,1.3,1.1,2023-01-07,1122,Terra,MODIS,75,61.03,305.2,16.6,D,0
14.896,-12.3977,367.3,1.3,1.1,2023-01-07,1122,Terra,MODIS,100,61.03,309.7,134.5,D,0
14.8094,-12.1789,319.8,1.3,1.1,2023-01-07,1122,Terra,MODIS,63,61.03,305.7,8.6,D,0
14.8194,-12.1773,329.7,1.3,1.1,2023-01-07,1122,Terra,MODIS,79,61.03,306.7,24.4,D,0
14.8781,-12.4123,326.1,1.3,1.1,2023-01-07,1122,Terra,MODIS,61,61.03,302.9,17.4,D,0
14.8843,-12.3878,320.4,1.3,1.1,2023-01-07,1122,Terra,MODIS,62,61.03,304.7,9.3,D,0
14.8861,-12.3993,369.4,1.3,1.1,2023-01-07,1122,Terra,MODIS,100,61.03,309,144.8,D,0
15.3209,-10.8943,310.5,1.1,1.1,2023-01-10,2238,Terra,MODIS,80,61.03,289.1,10.6,N,0
15.2799,-10.9334,320.4,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,291.2,19.8,N,0
15.2938,-10.9044,317.9,1.1,1.1,2023-01-10,2238,Terra,MODIS,96,61.03,291.7,16.7,N,0
15.2923,-10.9145,337,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,292.2,43.7,N,0
15.3031,-10.9059,320.8,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,291.1,20.4,N,0
15.283,-10.913,335.9,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,293.2,41.5,N,0
15.2691,-10.9422,314.2,1.1,1.1,2023-01-10,2238,Terra,MODIS,89,61.03,290.5,13.7,N,0
15.2706,-10.9319,337.8,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,293.3,45.2,N,0
15.2721,-10.9216,350.6,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,295.3,73.2,N,0
15.2597,-10.9407,364.3,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,294.6,115.1,N,0
15.2613,-10.9304,338.5,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,292.5,46.7,N,0
15.3101,-10.9029,327.4,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,290.8,29,N,0
15.324,-10.8741,314.1,1.1,1,2023-01-10,2238,Terra,MODIS,89,61.03,289.1,13.8,N,0
15.3224,-10.8842,321.7,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,289.4,21.7,N,0
15.2815,-10.9231,330.3,1.1,1.1,2023-01-10,2238,Terra,MODIS,100,61.03,292.6,32.5,N,0
15.3348,-10.8655,319.3,1.1,1,2023-01-10,2238,Terra,MODIS,98,61.03,289,18.9,N,0
15.3333,-10.8756,313.1,1.1,1,2023-01-10,2238,Terra,MODIS,56,61.03,289.4,12.3,N,0
