latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.2747,28.9568,304.3,1,1,2023-02-13,1110,Aqua,MODIS,58,61.03,282.8,8.5,D,0
46.8972,29.1667,307.5,1,1,2023-02-13,1110,Aqua,MODIS,65,61.03,281.4,9.3,D,0
46.4123,29.2828,306,1.2,1.1,2023-02-15,1056,Aqua,MODIS,40,61.03,273.8,12.6,D,0
47.9263,27.4631,327.3,1,1,2023-02-18,1125,Aqua,MODIS,80,61.03,280.6,29.6,D,0
46.0759,28.1058,306.5,2.2,1.4,2023-02-21,1154,Aqua,MODIS,64,61.03,288.5,20.5,D,0
46.6899,29.5231,302.2,1.2,1.1,2023-03-04,1129,Aqua,MODIS,51,61.03,289.8,6,D,0
47.9014,27.6964,314.9,1,1,2023-03-09,0847,Terra,MODIS,75,61.03,291.8,12.3,D,0
47.416,29.2077,304.8,1,1,2023-03-09,0847,Terra,MODIS,50,61.03,290.6,4.2,D,0
47.368,28.2332,312.9,1,1,2023-03-09,0847,Terra,MODIS,73,61.03,287.8,11.2,D,0
47.0093,28.877,303.4,1,1,2023-03-09,0847,Terra,MODIS,56,61.03,287.9,4.1,D,2
47.9584,27.8507,317.1,1.6,1.3,2023-03-10,1048,Aqua,MODIS,77,61.03,291.4,26.7,D,0
47.954,27.8298,304.4,1.6,1.3,2023-03-10,1048,Aqua,MODIS,59,61.03,290.1,7.6,D,0
45.8517,28.5265,310.5,1,1,2023-03-13,1116,Aqua,MODIS,69,61.03,294.2,7.2,D,0
47.3657,28.2338,319.1,1,1,2023-03-13,1117,Aqua,MODIS,79,61.03,287.2,17.2,D,0
47.1849,28.4572,305,1,1,2023-03-13,1117,Aqua,MODIS,60,61.03,289.2,5.7,D,0
47.9081,28.6611,308.2,1,1,2023-03-13,1117,Aqua,MODIS,67,61.03,289.5,7.9,D,2
47.8893,27.6317,306.3,1,1,2023-03-13,1117,Aqua,MODIS,63,61.03,292.6,5.3,D,0
46.0587,28.6495,309.3,1.1,1,2023-03-14,0856,Terra,MODIS,68,61.03,287.7,9.4,D,0
47.6963,28.3808,306.3,3.5,1.8,2023-03-14,1021,Aqua,MODIS,63,61.03,284.6,39,D,0
47.705,28.3698,304,3.5,1.8,2023-03-14,1021,Aqua,MODIS,58,61.03,285.4,32.7,D,0
47.8647,27.8923,304.2,3.6,1.8,2023-03-14,1021,Aqua,MODIS,58,61.03,276.8,41.2,D,0
45.6457,28.1633,318.1,2.2,1.4,2023-03-15,1907,Terra,MODIS,96,61.03,271.1,67.2,N,0
47.3695,28.1974,300.3,2.2,1.4,2023-03-22,0929,Terra,MODIS,31,61.03,284.9,11.6,D,0
47.7892,28.1814,307.7,1.3,1.1,2023-03-23,0832,Terra,MODIS,59,61.03,293.6,6.9,D,0
47.7914,28.1749,307,1.3,1.1,2023-03-23,0832,Terra,MODIS,52,61.03,294.5,6.3,D,0
47.2396,28.8623,307.9,1.2,1.1,2023-03-23,0832,Terra,MODIS,53,61.03,295.2,6.7,D,0
47.2378,28.8779,312.8,1.2,1.1,2023-03-23,0832,Terra,MODIS,70,61.03,295.2,10.9,D,0
46.6906,29.0285,307.3,1.2,1.1,2023-03-23,0833,Terra,MODIS,54,61.03,293.2,4.8,D,0
47.8536,27.9951,308.8,1.3,1.1,2023-03-24,0913,Terra,MODIS,58,61.03,294.8,5.8,D,0
