latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.8352,113.359,305.8,1.9,1.3,2023-02-25,0348,Terra,MODIS,51,61.03,277,22.5,D,0
49.8524,113.3948,338.1,1.9,1.3,2023-02-25,0348,Terra,MODIS,91,61.03,278.7,107,D,0
49.8468,113.4196,321.6,1.9,1.3,2023-02-25,0348,Terra,MODIS,81,61.03,277.5,55.7,D,0
49.8465,113.3648,353.3,1.9,1.3,2023-02-25,0348,Terra,MODIS,97,61.03,280,176.4,D,0
49.8411,113.389,328.6,1.9,1.3,2023-02-25,0348,Terra,MODIS,86,61.03,278.2,71.4,D,0
49.8581,113.417,351.3,2.1,1.4,2023-02-25,0453,Aqua,MODIS,51,61.03,281.3,181.9,D,0
49.8645,113.4442,389.6,2.1,1.4,2023-02-25,0453,Aqua,MODIS,100,61.03,287.4,576.2,D,0
49.8709,113.4711,313.5,2.1,1.4,2023-02-25,0453,Aqua,MODIS,74,61.03,278.6,40.9,D,0
49.8536,113.4433,314.1,2.1,1.4,2023-02-25,0453,Aqua,MODIS,59,61.03,279.6,40.6,D,0
49.847,113.4159,330.4,2.1,1.4,2023-02-25,0453,Aqua,MODIS,73,61.03,280.4,87.1,D,0
49.8721,113.4638,344.7,2.1,1.4,2023-02-25,0453,Aqua,MODIS,94,61.03,279.1,158.6,D,0
49.8656,113.4369,378.6,2.1,1.4,2023-02-25,0453,Aqua,MODIS,100,61.03,286.3,435.7,D,0
49.8591,113.4097,345.3,2.1,1.4,2023-02-25,0453,Aqua,MODIS,94,61.03,280.5,157.4,D,0
49.8525,113.3825,323.3,2.1,1.4,2023-02-25,0453,Aqua,MODIS,79,61.03,279.1,67,D,0
49.8458,113.3547,320,2.1,1.4,2023-02-25,0453,Aqua,MODIS,80,61.03,279.5,60.9,D,0
49.9119,113.5389,319.2,4.1,1.9,2023-02-25,0631,Aqua,MODIS,37,61.03,277,137.9,D,0
49.9095,113.5433,347,4.1,1.9,2023-02-25,0631,Aqua,MODIS,89,61.03,278.1,444.4,D,0
49.8682,113.4379,323,4.1,1.9,2023-02-25,0631,Aqua,MODIS,78,61.03,279.9,160.5,D,0
49.8863,113.496,339.4,4.1,1.9,2023-02-25,0631,Aqua,MODIS,50,61.03,280.4,307.1,D,0
49.8851,113.4363,340.3,4.1,1.9,2023-02-25,0631,Aqua,MODIS,47,61.03,278.3,308.6,D,0
49.8738,113.4286,339,4.1,1.9,2023-02-25,0631,Aqua,MODIS,81,61.03,280.2,312.3,D,0
49.8925,113.5442,342.4,4.1,1.9,2023-02-25,0631,Aqua,MODIS,85,61.03,280.8,367.5,D,0
49.8916,113.4864,356,4.1,1.9,2023-02-25,0631,Aqua,MODIS,98,61.03,281.2,580.9,D,0
49.8905,113.5804,342.8,2,1.4,2023-02-25,1320,Terra,MODIS,100,61.03,268.1,0,N,0
49.8874,113.5889,341.3,2,1.4,2023-02-25,1320,Terra,MODIS,100,61.03,266.9,0,N,0
49.9518,113.7157,319.2,1.4,1.2,2023-02-26,0252,Terra,MODIS,69,61.03,276.7,32.4,D,0
49.9134,113.4574,335.3,1.4,1.2,2023-02-26,0252,Terra,MODIS,89,61.03,275.9,63.1,D,0
49.8818,113.386,307.3,1.4,1.2,2023-02-26,0252,Terra,MODIS,65,61.03,277.2,18,D,0
49.9117,113.4762,338.6,1.4,1.2,2023-02-26,0252,Terra,MODIS,91,61.03,278.2,70.8,D,0
49.9159,113.4709,300.5,1.4,1.2,2023-02-26,0252,Terra,MODIS,27,61.03,274.7,9.8,D,0
49.9074,113.45,313.6,1.4,1.2,2023-02-26,0252,Terra,MODIS,74,61.03,276.9,24.6,D,0
49.95,113.7342,300.2,1.4,1.2,2023-02-26,0252,Terra,MODIS,27,61.03,274.4,11.5,D,0
49.9056,113.4687,346.7,1.4,1.2,2023-02-26,0252,Terra,MODIS,95,61.03,279.6,94.7,D,0
49.8766,113.3729,300.7,1,1,2023-02-26,0535,Aqua,MODIS,15,61.03,282,5.3,D,0
49.9057,113.4497,306.2,1,1,2023-02-26,0535,Aqua,MODIS,28,61.03,285.2,8.2,D,0
50.0102,113.6687,311.9,1,1,2023-02-26,0535,Aqua,MODIS,72,61.03,286.6,11.4,D,0
50.0083,113.6548,337,1,1,2023-02-26,0535,Aqua,MODIS,90,61.03,286.7,40.2,D,0
49.8874,113.3837,313.9,1,1,2023-02-26,0535,Aqua,MODIS,73,61.03,281.4,14.7,D,0
49.9095,113.4773,304.3,1,1,2023-02-26,0535,Aqua,MODIS,45,61.03,282.3,6.8,D,0
49.9076,113.4635,305.7,1,1,2023-02-26,0535,Aqua,MODIS,56,61.03,284.3,8.1,D,0
46.5925,116.7942,313.8,2.8,1.6,2023-03-04,0342,Terra,MODIS,74,61.03,281.8,66.4,D,0
46.5897,116.7861,315.3,2.8,1.6,2023-03-04,0342,Terra,MODIS,76,61.03,281.7,69.4,D,0
46.5991,116.7862,314.8,1.7,1.3,2023-03-04,0454,Aqua,MODIS,70,61.03,284.6,29.4,D,0
46.6073,116.7776,326.2,1.7,1.3,2023-03-04,0454,Aqua,MODIS,84,61.03,285.6,53.5,D,0
46.5964,116.7829,315.7,1.7,1.3,2023-03-04,0454,Aqua,MODIS,76,61.03,284.1,32.3,D,0
46.1301,114.6765,320.5,1.4,1.2,2023-03-17,0552,Aqua,MODIS,80,61.03,286.4,26,D,0
46.1352,114.6225,327.9,1.3,1.1,2023-03-17,0552,Aqua,MODIS,85,61.03,289.3,38.9,D,0
46.1386,114.657,327.1,1.3,1.2,2023-03-17,0552,Aqua,MODIS,85,61.03,288.7,35.9,D,0
