latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.2299,19.1902,300.2,1,1,2023-01-08,1151,Aqua,MODIS,33,61.03,278.8,7,D,0
42.7409,19.7917,305.5,1.1,1.1,2023-02-19,1207,Aqua,MODIS,48,61.03,283.2,10.3,D,2
43.1686,19.6084,305.8,1.1,1.1,2023-02-19,1207,Aqua,MODIS,62,61.03,286.8,10.8,D,0
42.5639,19.2165,302.1,1,1,2023-02-21,1153,Aqua,MODIS,35,61.03,291.2,4.1,D,0
43.289,19.2515,306.8,1.1,1.1,2023-03-23,1146,Aqua,MODIS,36,61.03,293.9,6.6,D,0
43.32,19.2688,312.9,1.9,1.4,2023-03-24,1228,Aqua,MODIS,70,61.03,295.4,21.7,D,0
43.325,19.2609,312,1.9,1.4,2023-03-24,1228,Aqua,MODIS,68,61.03,296,20.3,D,0
43.0616,19.7018,302.2,1.5,1.2,2023-03-26,0859,Terra,MODIS,51,61.03,289.4,6.8,D,0
42.8375,19.5716,306.8,1.3,1.1,2023-03-26,1214,Aqua,MODIS,44,61.03,290.8,10.6,D,0
43.3003,19.2593,309.6,2,1.4,2023-03-31,1229,Aqua,MODIS,64,61.03,291.2,22.6,D,0
41.9832,19.2781,300.8,1.4,1.2,2023-04-07,0900,Terra,MODIS,33,61.03,288.5,5.4,D,0
41.9726,19.2771,306.3,1.4,1.2,2023-04-07,0900,Terra,MODIS,63,61.03,288.4,11.2,D,0
42.4163,18.7242,310.3,1,1,2023-05-28,0924,Terra,MODIS,49,61.03,297.9,5.4,D,0
43.0492,19.7733,311.8,1.2,1.1,2023-07-20,0929,Terra,MODIS,55,61.03,299.3,8.4,D,2
42.4002,19.3087,322.5,1,1,2023-07-27,0920,Terra,MODIS,74,61.03,307.4,8.7,D,0
43.0534,19.773,312,1.2,1.1,2023-08-13,0927,Terra,MODIS,67,61.03,297.7,9.9,D,2
42.4887,19.3608,307.7,1.5,1.2,2023-10-04,0849,Terra,MODIS,64,61.03,291.9,12.6,D,0
