latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.8313,-4.316,301.1,1.3,1.1,2023-01-02,1107,Terra,MODIS,31,61.03,286.6,8.1,D,0
33.8011,-4.4965,306.5,1,1,2023-01-06,1341,Aqua,MODIS,62,61.03,294.4,4.5,D,0
32.8963,-3.8139,305.4,1.1,1.1,2023-01-08,1327,Aqua,MODIS,58,61.03,293.9,4.7,D,0
31.8369,-4.2648,312.1,1.9,1.3,2023-01-10,1314,Aqua,MODIS,65,61.03,296.3,17.8,D,0
31.8331,-4.2838,337,1.9,1.3,2023-01-10,1314,Aqua,MODIS,89,61.03,295.5,88.3,D,0
33.7024,-7.2377,302.9,2.6,1.6,2023-01-10,1315,Aqua,MODIS,48,61.03,292.4,13.1,D,0
33.7134,-7.2166,302.6,2.6,1.6,2023-01-10,1315,Aqua,MODIS,48,61.03,292.5,13.3,D,0
34.9546,-3.9803,300.9,1,1,2023-01-11,1044,Terra,MODIS,32,61.03,290.9,4.6,D,0
30.1627,-9.4366,307.5,1.5,1.2,2023-01-12,1127,Terra,MODIS,54,61.03,295.4,8.4,D,0
33.8146,-5.7621,306.3,1,1,2023-01-13,1344,Aqua,MODIS,55,61.03,295.4,4.4,D,0
32.8475,-5.3476,307,1.2,1.1,2023-01-15,1330,Aqua,MODIS,53,61.03,295.8,8.8,D,0
32.7993,-4.0261,309.6,1.1,1,2023-01-15,1330,Aqua,MODIS,65,61.03,295.8,6.1,D,0
33.9052,-4.3375,306.4,1.1,1,2023-01-15,1331,Aqua,MODIS,45,61.03,291.2,6.6,D,0
32.8438,-3.1173,307.2,1.4,1.2,2023-01-17,1317,Aqua,MODIS,60,61.03,289.6,10,D,0
32.8427,-3.1089,306.9,1.4,1.2,2023-01-17,1317,Aqua,MODIS,60,61.03,289.8,9.7,D,0
29.34,-10.1954,308.9,1.3,1.1,2023-01-31,1123,Terra,MODIS,0,61.03,291.9,9.8,D,0
28.3811,-11.0507,316.2,1.2,1.1,2023-01-31,1123,Terra,MODIS,75,61.03,292.5,14.9,D,0
34.8151,-6.2139,311.1,1.5,1.2,2023-02-01,1405,Aqua,MODIS,71,61.03,296.4,14.1,D,0
34.8191,-6.2,302.9,1.1,1,2023-02-02,1105,Terra,MODIS,54,61.03,289.1,5.9,D,0
30.0472,-9.6174,308,1,1,2023-02-02,1107,Terra,MODIS,64,61.03,294.5,3.6,D,0
30.0457,-9.6073,308.3,1,1,2023-02-02,1107,Terra,MODIS,65,61.03,296.4,3.7,D,0
30.1341,-9.4441,304.1,1,1,2023-02-05,0238,Aqua,MODIS,58,61.03,276.6,10.6,N,2
31.9713,-3.4942,310.6,1.3,1.1,2023-02-09,1059,Terra,MODIS,66,61.03,293.8,10.7,D,0
30.3767,-9.5387,305.4,1.1,1,2023-02-09,1100,Terra,MODIS,53,61.03,292.9,4.3,D,2
30.4851,-8.8372,320.1,1,1,2023-02-09,1100,Terra,MODIS,79,61.03,295.5,14.5,D,0
34.8825,-6.0927,310.1,1,1,2023-02-21,1100,Terra,MODIS,68,61.03,292.4,7.6,D,0
33.9917,-5.6127,306.8,1.1,1,2023-02-21,1101,Terra,MODIS,55,61.03,292.4,4.8,D,0
35.2604,-5.6917,305.9,1.2,1.1,2023-02-21,1330,Aqua,MODIS,56,61.03,292.9,6.3,D,0
31.6788,-7.2707,335.6,1.4,1.2,2023-02-22,1411,Aqua,MODIS,87,61.03,302.2,47.4,D,0
31.6841,-7.2647,325.2,1.4,1.2,2023-02-22,1411,Aqua,MODIS,78,61.03,302.5,24.8,D,0
31.6825,-7.2795,327.8,1.4,1.2,2023-02-22,1411,Aqua,MODIS,81,61.03,301.7,29.7,D,0
34.3173,-5.9954,302.7,1.1,1,2023-03-05,1102,Terra,MODIS,53,61.03,283.7,5.7,D,0
32.4776,-6.2275,309.1,1.3,1.1,2023-03-07,1333,Aqua,MODIS,22,61.03,296.7,7.8,D,0
34.4048,-6.5529,314.4,1.4,1.2,2023-03-14,1039,Terra,MODIS,63,61.03,289.8,17.2,D,0
34.4041,-6.5626,325.9,1.2,1.1,2023-03-14,1335,Aqua,MODIS,62,61.03,300.2,24.5,D,0
34.407,-6.5561,314.4,1.2,1.1,2023-03-14,1335,Aqua,MODIS,59,61.03,300.9,9.4,D,0
34.6393,-1.8803,320,1.1,1,2023-03-23,1322,Aqua,MODIS,52,61.03,306.8,6.4,D,0
34.6411,-1.8688,322,1.1,1,2023-03-23,1322,Aqua,MODIS,60,61.03,308.4,8.3,D,0
35.0283,-2.6233,324.5,1,1,2023-03-24,2157,Terra,MODIS,100,61.03,281.9,24.8,N,0
35.0285,-2.6189,320.7,1.2,1.1,2023-03-25,0206,Aqua,MODIS,100,61.03,285.8,26.9,N,0
23.979,-15.667,300.4,1.6,1.2,2023-03-26,2316,Terra,MODIS,27,61.03,288.3,10.2,N,0
35.1578,-5.4498,325.3,1,1,2023-04-05,1056,Terra,MODIS,83,61.03,293.7,21.8,D,0
35.1593,-5.6403,339.7,1,1,2023-04-05,1056,Terra,MODIS,91,61.03,296.9,40.9,D,0
35.1595,-5.4606,314.5,1,1,2023-04-05,1056,Terra,MODIS,73,61.03,293.2,11.2,D,0
35.432,-5.7293,398.1,1,1,2023-04-05,1056,Terra,MODIS,100,61.03,303.9,237.5,D,0
35.4304,-5.7185,351.9,1,1,2023-04-05,1056,Terra,MODIS,97,61.03,290.5,60.1,D,0
30.8721,-6.8822,318.3,1,1,2023-04-05,1058,Terra,MODIS,67,61.03,301.1,6.9,D,0
35.4306,-5.7281,312.1,2.5,1.5,2023-04-05,1420,Aqua,MODIS,52,61.03,291.2,34.6,D,0
33.9606,-4.3145,305.2,1,1,2023-04-05,2157,Terra,MODIS,63,61.03,283.3,9.8,N,0
34.9893,-4.838,315.2,2.5,1.5,2023-04-06,2239,Terra,MODIS,91,61.03,278.5,64.8,N,0
34.976,-4.8332,321.6,2.5,1.5,2023-04-06,2239,Terra,MODIS,100,61.03,281.5,87.1,N,0
34.9742,-4.8569,300.3,2.5,1.5,2023-04-06,2239,Terra,MODIS,23,61.03,281.7,24.7,N,0
34.9833,-4.8422,331.6,2.5,1.5,2023-04-06,2239,Terra,MODIS,100,61.03,281.1,134.2,N,0
34.9756,-4.8227,311.3,2.6,1.5,2023-04-07,0304,Aqua,MODIS,82,61.03,281.5,54,N,0
34.9895,-4.8207,308.9,2.6,1.5,2023-04-07,0304,Aqua,MODIS,76,61.03,277.8,50.4,N,0
34.9813,-4.8281,370.5,1.1,1.1,2023-04-07,1040,Terra,MODIS,100,61.03,298.8,132.3,D,0
34.9737,-4.8433,352.1,1.1,1.1,2023-04-07,1040,Terra,MODIS,96,61.03,299.1,71.2,D,0
34.9829,-4.8405,357.2,1.1,1.1,2023-04-07,1040,Terra,MODIS,98,61.03,298.9,87.5,D,0
34.9752,-4.8555,333.3,1.1,1.1,2023-04-07,1040,Terra,MODIS,81,61.03,295.3,31.3,D,0
34.9844,-4.8527,318.5,1.1,1.1,2023-04-07,1040,Terra,MODIS,13,61.03,292.7,13.2,D,0
34.9813,-4.8443,332.8,1.7,1.3,2023-04-07,1406,Aqua,MODIS,83,61.03,299.7,58.5,D,0
34.9718,-4.8238,338.7,1.7,1.3,2023-04-07,1406,Aqua,MODIS,88,61.03,297.6,75.7,D,0
