latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-25.5313,16.1748,334.8,1.3,1.1,2023-01-01,1308,Aqua,MODIS,54,61.03,309.1,22.1,D,0
-21.3364,17.7046,339.1,1,1,2023-01-12,1246,Aqua,MODIS,78,61.03,319.9,17.8,D,0
-21.5296,17.9193,324.2,1.6,1.2,2023-01-13,0905,Terra,MODIS,64,61.03,312.2,14.8,D,0
-19.2178,17.7304,307.6,1,1,2023-01-14,0022,Aqua,MODIS,72,61.03,293.5,7.3,N,0
-24.6901,17.8968,358.6,1.3,1.1,2023-01-14,1232,Aqua,MODIS,99,61.03,327.6,74.6,D,0
-22.6274,17.0807,331.1,1.4,1.2,2023-01-14,1232,Aqua,MODIS,37,61.03,316,11,D,0
-24.687,17.9231,341.5,1.3,1.1,2023-01-14,1232,Aqua,MODIS,57,61.03,326.2,18.3,D,0
-24.6989,17.9115,349,1.3,1.1,2023-01-14,1232,Aqua,MODIS,91,61.03,330.2,41.4,D,0
-24.7005,17.8982,370.7,1.3,1.1,2023-01-14,1232,Aqua,MODIS,100,61.03,330.2,131.4,D,0
-24.6886,17.91,355.1,1.3,1.1,2023-01-14,1232,Aqua,MODIS,96,61.03,327.8,61.8,D,0
-22.7475,17.8321,336.6,1.2,1.1,2023-01-17,0834,Terra,MODIS,84,61.03,310.6,25.8,D,0
-22.7479,17.8254,334.1,1.2,1.1,2023-01-17,0834,Terra,MODIS,81,61.03,309.8,20.2,D,0
-21.8838,16.2896,324.5,1.1,1,2023-02-03,0845,Terra,MODIS,68,61.03,303.2,8.9,D,0
-23.5117,18.7626,336.1,1,1,2023-02-03,0845,Terra,MODIS,81,61.03,307.3,20,D,0
-23.5131,18.7725,329.2,1,1,2023-02-03,0845,Terra,MODIS,61,61.03,305.6,10.1,D,0
-23.5018,18.766,341.4,1,1,2023-02-10,0838,Terra,MODIS,88,61.03,310.3,31.5,D,0
-23.5033,18.7758,322.6,1,1,2023-02-10,0838,Terra,MODIS,51,61.03,308.3,5.6,D,0
-23.5118,18.7682,323.4,1,1,2023-02-10,0838,Terra,MODIS,57,61.03,309.2,7,D,0
-21.8065,18.4569,321.3,1.7,1.3,2023-02-12,0822,Terra,MODIS,66,61.03,304.8,19,D,0
-26.4161,18.282,330.5,1.4,1.2,2023-02-12,0823,Terra,MODIS,68,61.03,314.2,16.9,D,0
-21.3947,18.469,330.7,1.6,1.2,2023-02-13,0903,Terra,MODIS,80,61.03,307,39.4,D,0
-21.4991,17.9051,317.2,1.5,1.2,2023-02-13,0903,Terra,MODIS,49,61.03,304.8,10.9,D,0
-21.6239,17.6923,322.7,1.4,1.2,2023-02-13,0903,Terra,MODIS,68,61.03,305.8,18.8,D,0
-21.5094,17.8274,331.2,1.4,1.2,2023-02-13,1230,Aqua,MODIS,68,61.03,315.4,24.4,D,0
-21.8028,18.4354,326.1,1,1,2023-02-15,0847,Terra,MODIS,75,61.03,304.6,11.7,D,0
-17.7957,24.8568,320.8,1,1,2023-02-15,1217,Aqua,MODIS,69,61.03,297.3,7.4,D,0
-19.5616,18.126,326.4,1.4,1.2,2023-02-16,1259,Aqua,MODIS,62,61.03,310.2,14.6,D,0
