latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.0182,164.6832,365.1,1.1,1,2023-01-03,0303,Aqua,MODIS,100,61.03,307.6,103.1,D,3
-21.0159,164.6959,326.7,1.1,1.1,2023-01-04,1440,Aqua,MODIS,100,61.03,293.8,29,N,2
-21.012,164.6856,339.1,1,1,2023-01-06,1427,Aqua,MODIS,100,61.03,289.8,43.4,N,0
-21.0135,164.6955,311.9,1,1,2023-01-06,1427,Aqua,MODIS,84,61.03,289,10.4,N,2
-21.0234,164.6819,321.2,2.3,1.5,2023-01-10,1057,Terra,MODIS,100,61.03,292.7,58.7,N,3
-21.0206,164.6853,327.7,1,1,2023-01-13,1122,Terra,MODIS,100,61.03,293.8,23.9,N,3
-21.0131,164.6918,311.6,1,1,2023-01-13,1430,Aqua,MODIS,83,61.03,292,10.6,N,2
-21.0167,164.6814,320.2,1.4,1.2,2023-01-15,1417,Aqua,MODIS,100,61.03,293.5,24.6,N,3
-21.013,164.6888,315.9,1,1,2023-01-26,2259,Terra,MODIS,0,61.03,298.4,7.6,D,2
-21.0166,164.6849,364.3,1.1,1.1,2023-01-30,1133,Terra,MODIS,100,61.03,296.1,114.8,N,3
-21.0182,164.6742,320.3,1.1,1.1,2023-01-30,1133,Terra,MODIS,100,61.03,295.7,18.3,N,3
-21.0203,164.6813,325.6,1.1,1,2023-02-01,1117,Terra,MODIS,100,61.03,295.5,23.4,N,3
-21.0177,164.6929,350.8,1,1,2023-02-03,1438,Aqua,MODIS,100,61.03,292.7,66.9,N,2
-21.0163,164.6829,360.5,1,1,2023-02-03,1438,Aqua,MODIS,100,61.03,295.1,89.9,N,3
-21.0085,164.6943,300.9,1,1,2023-02-03,1438,Aqua,MODIS,31,61.03,289.5,3.2,N,2
-21.0217,164.685,332.5,1.5,1.2,2023-02-04,1142,Terra,MODIS,100,61.03,293.3,54.3,N,3
-21.0122,164.6866,326.7,1.1,1,2023-02-05,1424,Aqua,MODIS,100,61.03,292.2,26.8,N,0
-21.0139,164.6971,303.9,1.1,1,2023-02-05,1424,Aqua,MODIS,58,61.03,291.1,4.4,N,2
-22.2587,166.4533,310.7,2.1,1.4,2023-02-05,2317,Terra,MODIS,0,61.03,294.4,22.7,D,2
-22.246,166.4551,312.4,2.1,1.4,2023-02-05,2317,Terra,MODIS,0,61.03,294.9,25,D,2
-21.0126,164.6878,378.5,1.1,1,2023-02-12,1427,Aqua,MODIS,100,61.03,293.8,160.2,N,2
-21.0142,164.6979,305.3,1.1,1,2023-02-12,1427,Aqua,MODIS,64,61.03,292,7.2,N,2
-21.019,164.6859,334.4,1,1,2023-02-13,1120,Terra,MODIS,100,61.03,295.5,33.6,N,3
-21.0126,164.6853,315.9,1,1,2023-02-18,1128,Terra,MODIS,89,61.03,294.6,13.5,N,2
-21.0217,164.6869,327.9,1,1,2023-02-18,1128,Terra,MODIS,100,61.03,295.3,24.8,N,3
-20.4031,164.4031,317.5,1,1,2023-02-19,2303,Terra,MODIS,68,61.03,299.9,9.4,D,0
-20.4076,164.3988,315.1,1.7,1.3,2023-02-20,0239,Aqua,MODIS,63,61.03,299.2,16.2,D,0
-20.6351,164.7688,310.7,1.1,1.1,2023-02-23,0308,Aqua,MODIS,31,61.03,296.3,5.7,D,0
-21.0125,164.6875,355.1,1,1,2023-02-26,1431,Aqua,MODIS,100,61.03,291.3,74.7,N,2
-21.014,164.6971,303.2,1,1,2023-02-26,1431,Aqua,MODIS,54,61.03,289.7,4.8,N,2
-21.0215,164.6785,327.1,1.9,1.3,2023-02-28,1146,Terra,MODIS,100,61.03,289.8,57.9,N,3
-21.0195,164.6821,325.5,1.1,1.1,2023-03-04,1114,Terra,MODIS,100,61.03,294.5,24.3,N,3
-21.0147,164.693,312.1,1.3,1.1,2023-03-07,1419,Aqua,MODIS,84,61.03,294.3,15.9,N,2
-21.0119,164.6933,309.8,2.3,1.5,2023-03-08,1501,Aqua,MODIS,68,61.03,294.2,29.8,N,2
-21.7252,166.121,318.3,1.4,1.2,2023-03-09,0311,Aqua,MODIS,69,61.03,301.8,15.5,D,0
-21.7315,166.0937,308.4,1.1,1,2023-03-10,2258,Terra,MODIS,52,61.03,295.8,4.7,D,0
-21.0184,164.6932,315.5,1,1,2023-03-12,1434,Aqua,MODIS,91,61.03,294.4,13.1,N,2
-21.1479,164.8722,317.2,1.3,1.1,2023-03-13,0244,Aqua,MODIS,54,61.03,300.7,12.2,D,0
-21.1495,164.8593,316.7,1.3,1.2,2023-03-13,0244,Aqua,MODIS,39,61.03,300.5,11.3,D,0
-21.0162,164.685,320.4,2.1,1.4,2023-03-23,1408,Aqua,MODIS,100,61.03,293.4,50.8,N,3
-21.0132,164.6852,313,1.1,1,2023-03-28,1116,Terra,MODIS,81,61.03,294.5,11.1,N,2
-21.0131,164.6902,306.6,1.2,1.1,2023-03-28,1422,Aqua,MODIS,69,61.03,294.9,8.2,N,2
-21.0102,164.6897,323.4,1.4,1.2,2023-03-31,1451,Aqua,MODIS,100,61.03,293,34.5,N,2
-21.0113,164.6892,315.1,1.6,1.2,2023-04-01,2316,Terra,MODIS,0,61.03,299.6,15,D,2
-21.0155,164.6842,355.7,1,1,2023-04-02,1125,Terra,MODIS,100,61.03,294.5,75.8,N,3
-21.0119,164.687,308,1,1,2023-04-02,1437,Aqua,MODIS,73,61.03,292.4,7.7,N,0
-21.4223,165.2556,314.2,1.2,1.1,2023-04-03,0247,Aqua,MODIS,42,61.03,297.9,9.1,D,0
-21.1458,164.8678,322.4,1.3,1.1,2023-04-03,0247,Aqua,MODIS,75,61.03,300.6,15.5,D,0
-21.0241,164.699,316.5,2.3,1.5,2023-04-06,2324,Terra,MODIS,0,61.03,295.6,33.9,D,2
-21.021,164.6852,337,1.2,1.1,2023-04-07,1133,Terra,MODIS,100,61.03,294,48.7,N,3
-21.0176,164.6833,367.1,1,1,2023-04-08,0301,Aqua,MODIS,100,61.03,303.5,102.4,D,3
-21.0187,164.6833,350.7,1,1,2023-04-09,1117,Terra,MODIS,100,61.03,295.6,64.2,N,3
-21.0142,164.6859,347.6,1,1,2023-04-09,1438,Aqua,MODIS,100,61.03,295.1,58.3,N,2
-21.0156,164.6956,309.3,1,1,2023-04-09,1438,Aqua,MODIS,77,61.03,293.1,8.9,N,2
-21.0193,164.6782,334,1.2,1.1,2023-04-19,1134,Terra,MODIS,100,61.03,294.6,44.6,N,3
-21.0182,164.6807,323.5,2,1.4,2023-04-20,1410,Aqua,MODIS,100,61.03,294.6,53.2,N,3
-21.0211,164.6839,344.3,1,1,2023-04-21,1117,Terra,MODIS,100,61.03,295.2,49.9,N,3
-21.0193,164.683,376.8,1,1,2023-04-22,2252,Terra,MODIS,100,61.03,297.7,142.6,D,3
-21.0186,164.6842,326.9,1.6,1.3,2023-04-23,1101,Terra,MODIS,100,61.03,293,47.3,N,3
-21.0177,164.694,300.5,1.2,1.1,2023-04-29,2244,Terra,MODIS,28,61.03,276.6,6.1,D,2
