latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.7571,175.2438,314.8,1,1,2023-01-08,2210,Terra,MODIS,21,61.03,299.1,6.8,D,2
-41.0255,172.5576,300.2,1,1,2023-01-08,2211,Terra,MODIS,27,61.03,288.5,3.1,D,0
-42.5459,171.6061,319.9,1,1,2023-01-08,2212,Terra,MODIS,78,61.03,300.7,14.2,D,0
-43.5837,172.3774,308.5,1,1,2023-01-08,2212,Terra,MODIS,26,61.03,295.6,3.6,D,0
-44.3502,171.2415,309,1,1,2023-01-08,2212,Terra,MODIS,49,61.03,298.5,5,D,2
-42.2742,171.5882,318.5,1.9,1.3,2023-01-09,0218,Aqua,MODIS,72,61.03,302.2,25.1,D,0
-39.2099,173.8175,302,1,1,2023-01-15,1101,Terra,MODIS,46,61.03,285.6,6.8,N,0
-43.5351,172.0038,316.2,1,1,2023-01-15,2205,Terra,MODIS,70,61.03,297.7,11.2,D,0
-39.1276,174.286,314.2,1.1,1.1,2023-01-16,0221,Aqua,MODIS,71,61.03,296.1,10.1,D,0
-40.5113,172.7756,317,1,1,2023-01-21,0237,Aqua,MODIS,55,61.03,306.8,13,D,3
-36.1535,174.3624,311.4,1,1,2023-01-23,0225,Aqua,MODIS,49,61.03,296.8,6.4,D,0
-43.7405,170.258,301,1.4,1.2,2023-01-23,2240,Terra,MODIS,28,61.03,288.9,4.5,D,0
-44.3484,171.2462,309.7,1.1,1,2023-01-25,2224,Terra,MODIS,0,61.03,297.4,4.8,D,2
-41.2665,172.7967,308,1,1,2023-01-27,2207,Terra,MODIS,34,61.03,294.5,5.5,D,0
-46.145,170.0254,303.2,1,1,2023-01-28,1346,Aqua,MODIS,54,61.03,284.1,8.1,N,0
-36.9854,174.7847,315.3,1.3,1.1,2023-02-01,0214,Aqua,MODIS,38,61.03,298.4,8.5,D,0
-45.8895,168.681,316.6,1.2,1.1,2023-02-11,2236,Terra,MODIS,76,61.03,293.9,15.3,D,0
-45.857,168.6681,343,1.4,1.2,2023-02-12,0326,Aqua,MODIS,92,61.03,300.1,69.2,D,0
-43.914,172.0228,320.5,1.3,1.1,2023-02-13,0230,Aqua,MODIS,77,61.03,300.3,18.9,D,0
-45.3842,167.5943,302.6,1,1,2023-02-13,2220,Terra,MODIS,24,61.03,291.2,3.9,D,0
-38.0591,175.8036,304.7,1,1,2023-02-15,2201,Terra,MODIS,52,61.03,287.5,5.9,D,0
-45.9036,168.5866,334.2,1,1,2023-02-16,0259,Aqua,MODIS,84,61.03,294,33,D,0
-45.8945,168.5841,343.4,1,1,2023-02-16,0259,Aqua,MODIS,71,61.03,292.1,47.6,D,0
-43.6313,171.6078,395.8,1,1,2023-02-18,0246,Aqua,MODIS,100,61.03,305.4,228.4,D,0
-44.3872,171.0964,313.7,1,1,2023-02-18,0246,Aqua,MODIS,63,61.03,299.6,7.7,D,0
-43.8934,172.1692,311.4,1,1,2023-02-18,0246,Aqua,MODIS,53,61.03,296.7,6.2,D,0
-43.9821,171.6681,323,1.2,1.1,2023-02-18,2228,Terra,MODIS,82,61.03,299.3,22.3,D,0
-44.0274,171.7071,317.9,1.3,1.1,2023-02-18,2228,Terra,MODIS,62,61.03,300,13.8,D,0
-44.0307,171.6526,320.4,1.2,1.1,2023-02-18,2228,Terra,MODIS,73,61.03,297.3,18.5,D,0
-43.8102,171.9559,329.6,1.3,1.1,2023-02-18,2228,Terra,MODIS,86,61.03,300.2,32.5,D,0
-43.8119,171.9719,314.2,1.3,1.1,2023-02-18,2228,Terra,MODIS,73,61.03,298.4,10.6,D,0
-43.9823,171.8612,339.4,1.3,1.1,2023-02-18,2228,Terra,MODIS,89,61.03,296.5,53.5,D,0
-43.575,171.72,313.1,4.6,2,2023-02-19,2309,Terra,MODIS,57,61.03,292.6,83.4,D,0
-43.5929,171.7195,311.6,4.6,2,2023-02-19,2309,Terra,MODIS,42,61.03,293.3,68.2,D,0
-43.5735,171.7129,314.8,4.6,2,2023-02-19,2309,Terra,MODIS,44,61.03,292.5,89.5,D,0
-44.5352,171.125,312.8,4.3,1.9,2023-02-19,2309,Terra,MODIS,29,61.03,291.2,59.5,D,0
-43.685,171.766,323.3,1.3,1.1,2023-02-20,0232,Aqua,MODIS,74,61.03,301.3,16.8,D,0
-43.7052,171.77,365.2,1.3,1.1,2023-02-20,0232,Aqua,MODIS,100,61.03,305.4,128.2,D,0
-43.7035,171.7857,371.8,1.3,1.1,2023-02-20,0232,Aqua,MODIS,100,61.03,307.6,156.1,D,0
-43.7153,171.7721,354,1.3,1.1,2023-02-20,0232,Aqua,MODIS,97,61.03,301.5,87.9,D,0
-43.7136,171.7878,355.1,1.3,1.1,2023-02-20,0232,Aqua,MODIS,98,61.03,304.3,89.9,D,0
-43.8368,171.8661,325.2,1.2,1.1,2023-02-20,0232,Aqua,MODIS,80,61.03,301.7,22,D,0
-43.8351,171.8817,315.8,1.2,1.1,2023-02-20,0232,Aqua,MODIS,52,61.03,302.6,8.7,D,0
-44.0347,171.7245,316,1.3,1.1,2023-02-20,0232,Aqua,MODIS,71,61.03,298.5,11.9,D,0
-44.0864,171.6098,312.7,1.3,1.1,2023-02-20,0232,Aqua,MODIS,65,61.03,297.1,10.9,D,0
-44.0847,171.626,328.5,1.3,1.1,2023-02-20,0232,Aqua,MODIS,83,61.03,298.8,33.3,D,0
-44.4679,171.0674,330.4,1.4,1.2,2023-02-20,0232,Aqua,MODIS,85,61.03,302,36.2,D,0
-44.474,171.0577,316.8,1.4,1.2,2023-02-20,0232,Aqua,MODIS,72,61.03,300.2,11.9,D,0
-44.4723,171.0751,328.4,1.4,1.2,2023-02-20,0232,Aqua,MODIS,83,61.03,302,30.8,D,0
-44.5815,171.1015,329,1.4,1.2,2023-02-20,0232,Aqua,MODIS,84,61.03,297.9,36.3,D,0
-44.5798,171.1188,349.4,1.4,1.2,2023-02-20,0232,Aqua,MODIS,95,61.03,296.6,89.8,D,0
-44.6203,171.1443,318.4,1.4,1.2,2023-02-20,0232,Aqua,MODIS,56,61.03,294.8,19,D,0
-44.658,171.0335,318.4,1.4,1.2,2023-02-20,0232,Aqua,MODIS,65,61.03,294.6,18.3,D,0
-44.282,171.095,318.1,1,1,2023-02-20,2212,Terra,MODIS,66,61.03,304.1,7.3,D,0
-43.7061,172.2171,334.2,1,1,2023-02-20,2212,Terra,MODIS,87,61.03,302.4,28.7,D,0
-43.7079,172.2295,313.9,1,1,2023-02-20,2212,Terra,MODIS,64,61.03,300.5,6.4,D,0
-43.6516,171.7061,335.7,1,1,2023-02-20,2212,Terra,MODIS,88,61.03,302.8,31.1,D,0
-43.7852,172.1904,318.3,1,1,2023-02-20,2212,Terra,MODIS,70,61.03,301.4,9.8,D,0
-43.787,172.2028,318.2,1,1,2023-02-20,2212,Terra,MODIS,66,61.03,302.9,8.9,D,0
-43.8938,171.4676,341.7,1,1,2023-02-20,2212,Terra,MODIS,92,61.03,301.1,42.1,D,0
