latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.0137,-83.6052,312.2,1.2,1.1,2023-01-02,1859,Aqua,MODIS,66,61.03,299.6,7.5,D,0
14.4691,-83.9775,313.8,1.2,1.1,2023-01-02,1859,Aqua,MODIS,59,61.03,297.1,10.8,D,0
14.6511,-83.7201,313,1.2,1.1,2023-01-02,1859,Aqua,MODIS,67,61.03,299.1,7.8,D,0
14.6494,-83.7309,319.2,1.2,1.1,2023-01-02,1859,Aqua,MODIS,76,61.03,298,14.3,D,0
12.5193,-86.3932,319.8,1.7,1.3,2023-01-03,1941,Aqua,MODIS,37,61.03,303.3,16.9,D,0
12.5202,-86.3865,321.2,1.7,1.3,2023-01-03,1941,Aqua,MODIS,75,61.03,302.8,21.3,D,0
11.981,-86.1699,301.9,1.2,1.1,2023-01-04,0340,Terra,MODIS,45,61.03,291.4,4.7,N,1
12.5816,-86.9357,316.4,1.3,1.1,2023-01-04,1554,Terra,MODIS,45,61.03,298,9.5,D,0
12.5831,-86.9474,339.2,1.3,1.1,2023-01-04,1554,Terra,MODIS,90,61.03,302.8,50.2,D,0
12.7655,-87.0924,319.8,3.9,1.8,2023-01-04,1845,Aqua,MODIS,41,61.03,296.7,76,D,0
12.7533,-87.1227,323.5,3.9,1.8,2023-01-04,1845,Aqua,MODIS,56,61.03,297.1,94.5,D,0
14.1029,-83.5864,309.6,2,1.4,2023-01-04,1845,Aqua,MODIS,52,61.03,295.9,13,D,0
12.4512,-87.065,302.2,2.5,1.5,2023-01-05,0421,Terra,MODIS,48,61.03,291.3,15.6,N,0
12.4675,-87.0439,301.9,2.5,1.5,2023-01-05,0421,Terra,MODIS,45,61.03,291,16,N,0
12.4648,-87.0667,315.9,2.5,1.5,2023-01-05,0421,Terra,MODIS,92,61.03,291.1,53,N,0
14.5683,-83.74,315.2,1.6,1.2,2023-01-05,1928,Aqua,MODIS,65,61.03,297.8,14.3,D,0
12.8789,-86.1731,323,1.1,1,2023-01-05,1928,Aqua,MODIS,75,61.03,300.1,15.8,D,0
12.8696,-86.1718,320,1.1,1,2023-01-05,1928,Aqua,MODIS,71,61.03,301.1,12.5,D,0
14.6015,-83.8022,302.3,1.3,1.1,2023-01-06,0324,Terra,MODIS,48,61.03,292,6,N,0
14.6012,-83.8088,302.7,1.3,1.1,2023-01-06,0324,Terra,MODIS,51,61.03,291.9,6.2,N,0
12.965,-87.1779,320,1.2,1.1,2023-01-07,1619,Terra,MODIS,0,61.03,304.2,13,D,0
11.9821,-86.17,318.3,1.1,1,2023-01-07,1914,Aqua,MODIS,65,61.03,301.3,9.6,D,1
12.6926,-87.0127,310.7,1.1,1.1,2023-01-07,1915,Aqua,MODIS,31,61.03,295.6,8.3,D,1
12.5104,-86.9432,303.7,1,1,2023-01-09,0349,Terra,MODIS,56,61.03,291.6,5,N,0
12.5984,-87.1635,320.2,1,1,2023-01-09,1603,Terra,MODIS,63,61.03,302.4,8.7,D,0
13.5398,-84.0224,309.6,1.2,1.1,2023-01-09,1901,Aqua,MODIS,39,61.03,295.3,6.4,D,0
12.1826,-86.3738,319.1,1.9,1.3,2023-01-10,1944,Aqua,MODIS,47,61.03,300.9,18.1,D,0
12.7567,-87.0735,318,3.4,1.7,2023-01-11,1848,Aqua,MODIS,37,61.03,294.6,45.2,D,0
12.7619,-87.0703,320.3,3.4,1.7,2023-01-11,1848,Aqua,MODIS,40,61.03,293.6,54,D,0
14.3485,-83.6337,311.6,1.8,1.3,2023-01-11,1849,Aqua,MODIS,67,61.03,296.5,11.4,D,0
14.1138,-83.5797,309.7,1.8,1.3,2023-01-11,1849,Aqua,MODIS,47,61.03,294.3,10.6,D,0
14.3678,-83.5883,312.1,1.7,1.3,2023-01-11,1849,Aqua,MODIS,63,61.03,295.4,11.7,D,0
14.3678,-83.5789,313.3,1.7,1.3,2023-01-11,1849,Aqua,MODIS,69,61.03,296,14.4,D,0
12.6667,-87.1249,324.1,1.1,1,2023-01-12,1931,Aqua,MODIS,76,61.03,298.8,15.1,D,0
12.6653,-87.1345,346.8,1.1,1,2023-01-12,1931,Aqua,MODIS,94,61.03,299.8,51.9,D,0
13.6624,-83.7255,313.5,1.8,1.3,2023-01-12,1931,Aqua,MODIS,68,61.03,297.4,14.1,D,0
12.6431,-86.9661,331.6,1.1,1,2023-01-12,1931,Aqua,MODIS,85,61.03,299.2,28.1,D,0
12.064,-83.7083,326,1.7,1.3,2023-01-14,0358,Terra,MODIS,100,61.03,293.1,50,N,0
12.0651,-83.7019,310.3,1.7,1.3,2023-01-14,0358,Terra,MODIS,80,61.03,292.9,19.2,N,0
12.2163,-86.0807,319.9,1.2,1.1,2023-01-14,1612,Terra,MODIS,75,61.03,303.7,10.7,D,0
12.5795,-87.0804,332.4,1.1,1,2023-01-14,1917,Aqua,MODIS,83,61.03,308.1,22.7,D,0
12.6506,-86.9216,322,1.1,1,2023-01-14,1917,Aqua,MODIS,72,61.03,302.4,14.6,D,0
12.6988,-86.8374,318.1,1.1,1,2023-01-14,1917,Aqua,MODIS,55,61.03,304.6,8.6,D,0
12.9989,-83.587,311.5,1.1,1,2023-01-14,1917,Aqua,MODIS,64,61.03,288.4,8.3,D,0
14.2219,-83.3628,310.8,1.1,1,2023-01-16,0343,Terra,MODIS,81,61.03,292,10.5,N,0
14.2324,-83.3542,316.7,1.1,1,2023-01-16,0343,Terra,MODIS,94,61.03,292.4,15.3,N,0
14.2311,-83.3641,304,1.1,1,2023-01-16,0343,Terra,MODIS,11,61.03,291.6,5.2,N,0
14.2416,-83.3556,305.8,1.1,1,2023-01-16,0343,Terra,MODIS,28,61.03,291.8,6.4,N,0
14.2232,-83.3529,308.9,1.1,1,2023-01-16,0343,Terra,MODIS,76,61.03,292.1,9,N,0
13.0891,-85.9983,307.7,1.1,1,2023-01-16,1556,Terra,MODIS,28,61.03,297.4,6.3,D,2
13.6846,-83.7206,321.1,1,1,2023-01-16,1556,Terra,MODIS,78,61.03,299.4,14,D,0
11.8901,-86.4002,313.4,1.6,1.2,2023-01-16,1904,Aqua,MODIS,62,61.03,299.3,12.9,D,0
11.7201,-85.9468,310.1,1.5,1.2,2023-01-16,1904,Aqua,MODIS,52,61.03,297.9,7.3,D,0
11.9831,-86.1723,318.5,1.5,1.2,2023-01-16,1904,Aqua,MODIS,66,61.03,303.2,16.2,D,1
11.8885,-86.3932,313.6,1.6,1.2,2023-01-16,1904,Aqua,MODIS,63,61.03,299,13.8,D,0
14.1268,-83.4668,320.5,1,1,2023-01-16,1905,Aqua,MODIS,76,61.03,296.6,13.3,D,0
14.7266,-83.4644,317,1,1,2023-01-16,1905,Aqua,MODIS,70,61.03,302,8.1,D,0
12.7325,-87.0927,322.5,2.3,1.5,2023-01-18,1540,Terra,MODIS,50,61.03,304.3,37.3,D,0
12.6077,-86.4275,329.1,2.8,1.6,2023-01-18,1851,Aqua,MODIS,83,61.03,303.6,83.8,D,0
12.612,-86.4349,326,2.8,1.6,2023-01-18,1851,Aqua,MODIS,81,61.03,303.1,65.7,D,0
13.2029,-83.626,313.3,1.6,1.3,2023-01-18,1851,Aqua,MODIS,66,61.03,298.3,14.4,D,0
13.395,-83.5808,311,1.6,1.2,2023-01-18,1851,Aqua,MODIS,54,61.03,297.9,10.4,D,0
13.3096,-84.2333,310.7,1.8,1.3,2023-01-18,1851,Aqua,MODIS,35,61.03,296.2,12.4,D,0
13.7074,-83.9212,315.9,1.7,1.3,2023-01-18,1851,Aqua,MODIS,70,61.03,299,19,D,0
13.7537,-83.7131,320,1.6,1.3,2023-01-18,1851,Aqua,MODIS,58,61.03,297.8,27.2,D,0
13.8449,-83.5859,361.7,1.6,1.2,2023-01-18,1851,Aqua,MODIS,94,61.03,300.5,167.3,D,0
13.8425,-83.6003,315.4,1.6,1.2,2023-01-18,1851,Aqua,MODIS,71,61.03,298.1,15.2,D,0
14.1905,-83.5758,312.7,1.6,1.2,2023-01-18,1851,Aqua,MODIS,67,61.03,298.3,14.2,D,0
14.1922,-83.5829,312.4,1.6,1.2,2023-01-18,1851,Aqua,MODIS,49,61.03,298.8,12.4,D,0
14.4324,-83.8655,314,1.6,1.3,2023-01-18,1851,Aqua,MODIS,60,61.03,295.7,18.9,D,0
14.4855,-83.8903,314.5,1.6,1.3,2023-01-18,1851,Aqua,MODIS,56,61.03,296.2,19.4,D,0
12.5483,-86.96,328.7,1.2,1.1,2023-01-19,1933,Aqua,MODIS,65,61.03,308.3,15.2,D,0
14.5147,-83.5253,311.4,2.7,1.6,2023-01-20,1838,Aqua,MODIS,61,61.03,297.2,22.7,D,0
14.5153,-83.4954,311,2.7,1.6,2023-01-20,1838,Aqua,MODIS,45,61.03,297.3,22.9,D,0
14.5192,-83.5008,315.3,2.7,1.6,2023-01-20,1838,Aqua,MODIS,69,61.03,297.3,37.5,D,0
14.511,-83.5199,313.6,2.7,1.6,2023-01-20,1838,Aqua,MODIS,71,61.03,297.4,29.6,D,0
12.7235,-86.8681,348.5,1,1,2023-01-21,1605,Terra,MODIS,94,61.03,301.6,51.3,D,0
12.5991,-86.9572,325.2,1,1,2023-01-21,1605,Terra,MODIS,62,61.03,304.1,13.2,D,0
12.5978,-86.9482,333.4,1,1,2023-01-21,1605,Terra,MODIS,86,61.03,304.1,23.5,D,0
12.5928,-87.1759,333.5,1,1,2023-01-21,1605,Terra,MODIS,85,61.03,306.1,24.6,D,0
12.5915,-87.1669,318.9,1,1,2023-01-21,1605,Terra,MODIS,50,61.03,304.7,6.7,D,0
12.5722,-87.0961,328.2,1,1,2023-01-21,1605,Terra,MODIS,81,61.03,304.2,17.5,D,0
