latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.4281,2.5734,314.6,2,1.4,2023-01-01,1032,Terra,MODIS,42,61.03,302.3,12,D,0
12.431,2.5555,318.9,2,1.4,2023-01-01,1032,Terra,MODIS,66,61.03,303.5,22.9,D,0
12.4189,2.5534,316.6,2,1.4,2023-01-01,1032,Terra,MODIS,52,61.03,303.1,16.7,D,0
12.3226,2.1705,315.1,1.9,1.3,2023-01-01,1032,Terra,MODIS,55,61.03,301.4,13.8,D,0
12.3903,2.5611,324.8,1.1,1,2023-01-01,1319,Aqua,MODIS,65,61.03,309.3,10.8,D,0
12.4065,2.6227,324.7,1.1,1,2023-01-01,1319,Aqua,MODIS,65,61.03,310.3,9,D,0
12.3976,2.5644,319.8,1.1,1,2023-01-01,1319,Aqua,MODIS,27,61.03,307.3,4.5,D,0
12.3901,2.2561,329,1.1,1,2023-01-03,1016,Terra,MODIS,80,61.03,303.5,21.3,D,0
12.3887,2.2657,316.5,1.1,1,2023-01-03,1016,Terra,MODIS,58,61.03,302.6,7,D,0
12.3294,2.1716,334.4,1.1,1,2023-01-03,1016,Terra,MODIS,85,61.03,304,28.6,D,0
12.3279,2.1811,322.8,1.1,1,2023-01-03,1016,Terra,MODIS,72,61.03,303.2,13,D,0
12.3133,2.2772,338.8,1.1,1,2023-01-03,1016,Terra,MODIS,88,61.03,303.4,37.4,D,0
12.3119,2.2868,326.8,1.1,1,2023-01-03,1016,Terra,MODIS,78,61.03,301.8,19.5,D,0
12.2663,2.2246,314.5,1.1,1,2023-01-03,1016,Terra,MODIS,42,61.03,303.1,5.5,D,0
12.2648,2.2342,316.1,1.1,1,2023-01-03,1016,Terra,MODIS,57,61.03,302.9,6.7,D,0
13.4308,6.6546,311.5,1.2,1.1,2023-01-04,2146,Terra,MODIS,83,61.03,289.8,14.8,N,0
13.4294,6.6442,303.6,1.1,1.1,2023-01-04,2146,Terra,MODIS,56,61.03,288.9,8.4,N,0
