latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
58.7885,6.1156,305.4,1.2,1.1,2023-04-21,1018,Terra,MODIS,57,61.03,292.4,7.1,D,0
58.492,6.3871,309.7,1.1,1.1,2023-04-21,1018,Terra,MODIS,66,61.03,291.1,9.7,D,0
58.7907,6.0951,306.1,1.2,1.1,2023-04-21,1018,Terra,MODIS,59,61.03,294.2,7.3,D,0
58.4898,6.4069,307.5,1.1,1.1,2023-04-21,1018,Terra,MODIS,55,61.03,289.7,8,D,0
58.4898,6.4076,308,1,1,2023-04-21,1235,Aqua,MODIS,54,61.03,289,7,D,0
58.4876,6.3907,310.5,1,1,2023-04-21,1235,Aqua,MODIS,63,61.03,292.2,8.9,D,0
58.7945,6.0929,313.1,1,1,2023-04-21,1235,Aqua,MODIS,50,61.03,291.7,10.4,D,0
59.3573,10.7522,303.2,1.6,1.3,2023-04-22,1058,Terra,MODIS,43,61.03,291.4,6.5,D,0
60.8764,11.1267,301.3,1.2,1.1,2023-05-06,1041,Terra,MODIS,28,61.03,285.8,7.7,D,0
59.3849,9.2312,301.5,1.5,1.2,2023-05-06,1139,Aqua,MODIS,0,61.03,287.5,10,D,0
58.5818,6.1427,341.8,2.2,1.4,2023-05-06,1317,Aqua,MODIS,93,61.03,290.4,142.5,D,0
58.5847,6.146,355.7,2.2,1.4,2023-05-06,1317,Aqua,MODIS,85,61.03,291.3,239.4,D,0
58.5829,6.1111,328,2.2,1.4,2023-05-06,1317,Aqua,MODIS,74,61.03,288.9,82.1,D,0
58.5801,6.1076,313.5,2.2,1.4,2023-05-06,1317,Aqua,MODIS,37,61.03,288.4,31.2,D,0
58.5948,6.1417,323.5,2.2,1.4,2023-05-06,1317,Aqua,MODIS,72,61.03,286.4,64.7,D,0
58.5931,6.1061,305.6,2.2,1.4,2023-05-06,1317,Aqua,MODIS,43,61.03,286.2,16.5,D,0
60.8325,11.2513,312,1,1,2023-05-08,1025,Terra,MODIS,72,61.03,292.4,8.7,D,0
60.8012,11.2907,307.3,2,1.4,2023-05-10,1249,Aqua,MODIS,51,61.03,286.1,16.6,D,0
60.3718,10.4384,307.1,1.6,1.3,2023-05-19,0944,Terra,MODIS,0,61.03,290.8,9.2,D,0
59.5499,8.5749,306.1,1,1,2023-06-04,1220,Aqua,MODIS,44,61.03,296,5.3,D,0
60.9223,10.9989,310.9,1.1,1,2023-06-11,1220,Aqua,MODIS,65,61.03,296.9,7.9,D,0
60.9199,10.9791,319.3,1.1,1,2023-06-11,1220,Aqua,MODIS,76,61.03,298.9,15.7,D,0
58.2762,6.9041,310,1,1,2023-06-13,1025,Terra,MODIS,35,61.03,293.6,5.8,D,0
63.7672,10.2771,302.2,1,1,2023-06-13,1206,Aqua,MODIS,23,61.03,289.9,2.6,D,0
66.3108,14.1777,302.3,1,1,2023-06-13,2003,Terra,MODIS,51,61.03,281.6,8.4,D,0
58.7456,8.5584,313.1,1.1,1,2023-06-16,1233,Aqua,MODIS,49,61.03,297.8,6.7,D,0
58.7434,8.5403,335,1.1,1,2023-06-16,1233,Aqua,MODIS,78,61.03,300.3,33.8,D,0
66.3057,14.1614,314.8,1.6,1.2,2023-06-18,1220,Aqua,MODIS,62,61.03,302.3,16,D,0
58.2727,6.8986,304.5,1.1,1,2023-06-23,1041,Terra,MODIS,35,61.03,292.8,3.8,D,0
60.5632,9.1261,302.8,1.1,1.1,2023-06-23,1232,Aqua,MODIS,30,61.03,291,3.2,D,0
58.1716,8.1285,310.6,1,1,2023-06-25,1024,Terra,MODIS,33,61.03,297.7,6.4,D,2
69.6111,19.9706,303.5,1.2,1.1,2023-06-28,1045,Terra,MODIS,0,61.03,291.6,5.4,D,0
58.1745,8.1325,311.3,1.3,1.1,2023-06-28,1048,Terra,MODIS,34,61.03,298.3,10.9,D,2
58.1748,8.1271,310.5,1.3,1.1,2023-06-28,1048,Terra,MODIS,17,61.03,298.6,10.4,D,2
59.5765,10.7587,309.9,1.1,1,2023-06-30,1032,Terra,MODIS,41,61.03,295.9,7.8,D,0
59.5715,10.7532,310.3,1,1,2023-07-09,1006,Terra,MODIS,66,61.03,293.7,6.6,D,0
66.3055,14.1779,309.8,1.1,1.1,2023-07-10,1045,Terra,MODIS,48,61.03,297.7,6.5,D,0
59.6239,9.638,306.1,1.1,1,2023-07-14,1229,Aqua,MODIS,53,61.03,291.6,5.2,D,0
59.7487,10.828,301.9,1,1,2023-07-23,1214,Aqua,MODIS,16,61.03,289.7,3.4,D,0
69.3588,19.7185,300.9,1.1,1,2023-07-24,1120,Aqua,MODIS,0,61.03,288.4,3.4,D,0
59.574,10.7519,301.9,1.1,1,2023-07-25,1159,Aqua,MODIS,26,61.03,288.7,3,D,2
58.2979,6.6698,301.2,1,1,2023-07-28,1226,Aqua,MODIS,0,61.03,290.5,3.1,D,0
59.5779,10.742,305.4,1.1,1,2023-08-05,1029,Terra,MODIS,48,61.03,291.6,5.6,D,2
69.9921,24.5927,301.8,1.9,1.3,2023-08-09,0925,Aqua,MODIS,0,61.03,286.1,8.4,D,0
66.3069,14.1778,304.4,1,1,2023-08-19,1010,Terra,MODIS,38,61.03,294.4,4.8,D,0
66.3073,14.1901,301,1.5,1.2,2023-08-25,1222,Aqua,MODIS,20,61.03,286.1,7.1,D,0
