latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
24.5048,56.6059,303.9,1.1,1.1,2023-01-10,2202,Aqua,MODIS,57,61.03,290.6,7.4,N,2
21.3069,57.8009,315.5,1,1,2023-01-12,0633,Terra,MODIS,53,61.03,301.6,4.7,D,0
23.4756,58.3012,309.1,1.4,1.2,2023-01-14,0617,Terra,MODIS,32,61.03,292.5,8.5,D,0
24.5046,56.6047,300.9,1.1,1,2023-01-15,2218,Aqua,MODIS,36,61.03,288.3,6,N,2
20.1994,55.848,313.9,1.5,1.2,2023-01-16,1833,Terra,MODIS,88,61.03,286.6,26,N,0
24.5034,56.603,303.8,1.1,1.1,2023-01-18,1818,Terra,MODIS,57,61.03,288.8,7.7,N,2
24.4984,56.607,318.6,1,1,2023-01-19,0944,Aqua,MODIS,60,61.03,299.3,8.1,D,2
21.3029,57.7958,300.1,1,1,2023-01-20,1802,Terra,MODIS,16,61.03,288.4,4.9,N,0
21.3895,56.3874,307.6,1.2,1.1,2023-01-20,1802,Terra,MODIS,72,61.03,286,12.8,N,0
24.5046,56.6004,316.9,1.2,1.1,2023-01-21,0931,Aqua,MODIS,43,61.03,293.4,14.7,D,2
21.3816,56.3885,300.5,2.2,1.4,2023-01-22,1746,Terra,MODIS,29,61.03,284.9,18.5,N,0
24.5043,56.598,308.3,1.8,1.3,2023-01-22,1747,Terra,MODIS,74,61.03,287.5,24.2,N,2
21.3922,56.392,316.8,1.2,1.1,2023-01-22,2222,Aqua,MODIS,94,61.03,285.1,21.8,N,0
21.0058,56.531,303.7,1.3,1.1,2023-01-23,1827,Terra,MODIS,57,61.03,286.9,10.9,N,0
21.3838,56.384,308.6,1.3,1.1,2023-01-23,1827,Terra,MODIS,75,61.03,285.1,16.2,N,0
21.1818,56.4228,303.2,1,1,2023-01-24,2208,Aqua,MODIS,54,61.03,285.1,7.8,N,0
18.321,55.111,303.4,1,1,2023-01-24,2209,Aqua,MODIS,55,61.03,286.4,7.6,N,0
24.5013,56.6056,315.7,1.1,1.1,2023-01-28,0933,Aqua,MODIS,0,61.03,298.9,10.6,D,2
24.5058,56.6053,309.2,1,1,2023-01-29,0644,Terra,MODIS,48,61.03,297.1,5.2,D,2
22.3403,56.434,321.7,2,1.4,2023-01-30,0919,Aqua,MODIS,46,61.03,308,20.8,D,0
23.1934,55.461,327.9,1.2,1.1,2023-02-01,1805,Terra,MODIS,100,61.03,289.5,34.9,N,0
24.5048,56.6034,318.1,1.1,1,2023-02-02,0949,Aqua,MODIS,52,61.03,300.9,8.7,D,2
24.503,56.6071,300.3,1.4,1.2,2023-02-02,2157,Aqua,MODIS,25,61.03,290.2,7.2,N,2
24.5019,56.6066,313.9,1.3,1.1,2023-02-03,0653,Terra,MODIS,45,61.03,298,9,D,2
24.4996,56.6057,320.4,1.1,1,2023-02-04,0936,Aqua,MODIS,55,61.03,302.5,9.5,D,2
21.3356,56.7018,310.7,1.4,1.2,2023-02-05,2227,Aqua,MODIS,81,61.03,286.8,20.4,N,0
21.1822,56.4191,300.1,1.4,1.2,2023-02-05,2227,Aqua,MODIS,17,61.03,284.3,9,N,0
21.1854,56.415,320.8,1,1,2023-02-06,1813,Terra,MODIS,100,61.03,287.4,19.6,N,0
24.5066,56.6017,306.6,1,1,2023-02-06,1814,Terra,MODIS,69,61.03,292.4,8.1,N,2
24.5046,56.6047,304.9,1,1,2023-02-07,2213,Aqua,MODIS,62,61.03,288.5,7.4,N,2
21.1822,56.4157,311.4,1,1,2023-02-07,2213,Aqua,MODIS,82,61.03,286.4,12.3,N,0
21.1808,56.4252,310.3,1,1,2023-02-07,2213,Aqua,MODIS,80,61.03,286.5,11.5,N,0
21.1856,56.4132,312,1.3,1.1,2023-02-08,1757,Terra,MODIS,84,61.03,285,18.7,N,0
17.9712,54.5162,304.1,1.4,1.2,2023-02-09,1837,Terra,MODIS,58,61.03,289.1,10.2,N,0
17.9696,54.503,314.5,1.4,1.2,2023-02-09,1837,Terra,MODIS,89,61.03,289,22.3,N,0
21.1783,56.4212,300.3,2.2,1.4,2023-02-09,1838,Terra,MODIS,23,61.03,287.5,14.6,N,0
21.1816,56.4249,306.2,1.2,1.1,2023-02-09,2200,Aqua,MODIS,67,61.03,285.8,11.8,N,0
17.9751,54.5131,318.8,1.4,1.2,2023-02-09,2201,Aqua,MODIS,97,61.03,287,30.2,N,0
22.3204,56.471,304.1,2.4,1.5,2023-02-10,1742,Terra,MODIS,58,61.03,287.5,25.8,N,0
21.4008,56.3236,304.5,1.5,1.2,2023-02-12,2229,Aqua,MODIS,60,61.03,285.5,13.7,N,0
20.9988,56.5342,309,1,1,2023-02-13,1806,Terra,MODIS,76,61.03,292.3,9.4,N,0
20.9973,56.5243,302,1,1,2023-02-13,1806,Terra,MODIS,46,61.03,291.6,4.9,N,0
21.4011,56.3224,305.8,1.1,1,2023-02-13,1806,Terra,MODIS,66,61.03,290.9,7.7,N,0
24.5053,56.5992,304.6,1,1,2023-02-13,1807,Terra,MODIS,61,61.03,293.5,6,N,2
20.1806,55.7228,314.2,1,1,2023-02-14,2216,Aqua,MODIS,89,61.03,286.3,15.5,N,0
21.0053,56.5326,313.1,1.7,1.3,2023-02-15,1750,Terra,MODIS,86,61.03,288.8,29.2,N,0
21.3987,56.327,302.1,1.8,1.3,2023-02-15,1750,Terra,MODIS,46,61.03,284.2,13.8,N,0
21.3959,56.3106,303.2,1.8,1.3,2023-02-15,1750,Terra,MODIS,54,61.03,283.7,15.3,N,0
