latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.1797,71.4212,307.2,1.2,1.1,2023-01-01,0827,Aqua,MODIS,44,61.03,297.1,7,D,0
29.9005,72.835,304.6,1,1,2023-01-01,0827,Aqua,MODIS,58,61.03,294.4,4.4,D,0
29.8988,72.8244,306.1,1,1,2023-01-01,0827,Aqua,MODIS,62,61.03,294.7,5.3,D,0
29.6443,72.322,305.5,1.1,1,2023-01-01,0827,Aqua,MODIS,58,61.03,295.4,4.5,D,0
28.7355,70.2782,305.5,1.4,1.2,2023-01-01,0827,Aqua,MODIS,41,61.03,294.4,7.4,D,0
29.9093,72.6626,304.6,1.1,1,2023-01-01,0827,Aqua,MODIS,59,61.03,293.9,4.4,D,0
28.5568,70.3172,306.6,1.4,1.2,2023-01-01,0827,Aqua,MODIS,43,61.03,295.1,8.9,D,0
29.7634,70.9155,308.4,1.2,1.1,2023-01-01,0827,Aqua,MODIS,64,61.03,292,10.5,D,0
29.8821,71.0123,309.9,1.2,1.1,2023-01-01,0827,Aqua,MODIS,51,61.03,292.6,10.2,D,0
29.8918,71.0101,321.3,1.2,1.1,2023-01-01,0827,Aqua,MODIS,80,61.03,292.1,23.7,D,0
30.6394,72.3026,310.6,1.1,1,2023-01-01,0827,Aqua,MODIS,69,61.03,293.1,9.5,D,0
30.8845,72.0947,310.1,1.1,1,2023-01-01,0827,Aqua,MODIS,70,61.03,291.8,10.3,D,0
31.6866,71.3886,305.6,1.1,1.1,2023-01-01,0827,Aqua,MODIS,51,61.03,293.2,6,D,0
31.6749,71.259,305.7,1.1,1.1,2023-01-01,0827,Aqua,MODIS,60,61.03,293.9,4.9,D,0
31.6117,70.8792,307.3,1.2,1.1,2023-01-01,0827,Aqua,MODIS,51,61.03,296.3,7,D,0
28.7887,70.8802,311.2,1.3,1.1,2023-01-01,0827,Aqua,MODIS,62,61.03,293.3,13.2,D,0
28.5828,70.2475,306.4,1.4,1.2,2023-01-01,0827,Aqua,MODIS,47,61.03,294.6,8.5,D,0
34.1866,73.6809,304,1,1,2023-01-01,0828,Aqua,MODIS,46,61.03,289.4,6.7,D,0
32.2798,71.5012,304.4,1.1,1,2023-01-01,0828,Aqua,MODIS,53,61.03,291.8,5.1,D,0
33.6101,71.0817,308.6,1.1,1,2023-01-01,0828,Aqua,MODIS,67,61.03,287.7,10.5,D,0
34.1881,73.6917,318,1,1,2023-01-01,0828,Aqua,MODIS,78,61.03,290.7,16.7,D,0
34.1638,73.3148,305.1,1,1,2023-01-01,0828,Aqua,MODIS,60,61.03,287.1,8.4,D,0
28.3506,69.9374,307.8,1.8,1.3,2023-01-02,0612,Terra,MODIS,60,61.03,290.6,18,D,0
28.2597,69.8002,312.6,1.7,1.3,2023-01-02,0612,Terra,MODIS,70,61.03,291.1,24.9,D,0
28.2565,69.8174,304.5,1.8,1.3,2023-01-02,0612,Terra,MODIS,50,61.03,291.1,12.6,D,0
29.1991,68.8046,306.1,1.4,1.2,2023-01-02,0612,Terra,MODIS,63,61.03,290.1,10.7,D,0
30.176,70.9094,305,1.9,1.3,2023-01-02,0612,Terra,MODIS,60,61.03,289.5,15.2,D,0
28.0726,69.743,304.3,1.7,1.3,2023-01-02,0612,Terra,MODIS,48,61.03,290,13,D,0
28.3473,69.955,306.3,1.8,1.3,2023-01-02,0612,Terra,MODIS,55,61.03,290.7,15.8,D,0
25.6019,69.0351,310.1,1.8,1.3,2023-01-02,0613,Terra,MODIS,61,61.03,294.3,15.7,D,0
26.0947,68.8837,315,1.7,1.3,2023-01-02,0613,Terra,MODIS,71,61.03,293,25.4,D,0
25.6438,68.685,313.6,1.7,1.3,2023-01-02,0613,Terra,MODIS,68,61.03,291.9,23,D,0
25.5934,69.0274,307.3,1.8,1.3,2023-01-02,0613,Terra,MODIS,34,61.03,294.9,10,D,0
25.6442,68.6793,313.5,1.7,1.3,2023-01-02,0613,Terra,MODIS,68,61.03,292,23.8,D,0
26.5651,68.3027,312.1,1.4,1.2,2023-01-02,0909,Aqua,MODIS,49,61.03,294.5,12.5,D,0
26.5728,68.3096,313.3,1.4,1.2,2023-01-02,0909,Aqua,MODIS,56,61.03,294.3,14.5,D,0
31.0242,70.7311,302.8,2.2,1.5,2023-01-02,0910,Aqua,MODIS,51,61.03,291.9,12.9,D,0
30.2469,70.9949,310.5,2.3,1.5,2023-01-02,0910,Aqua,MODIS,70,61.03,292.8,28.5,D,0
30.9002,70.6337,304.5,2.2,1.4,2023-01-02,0910,Aqua,MODIS,56,61.03,293.7,13.3,D,0
