latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.3222,35.3337,307.2,1.1,1.1,2023-01-21,1111,Aqua,MODIS,43,61.03,296.4,6.2,D,0
32.2859,35.1759,329.4,1,1,2023-05-17,1103,Aqua,MODIS,52,61.03,311.8,13.8,D,0
31.8787,35.4757,304.8,1,1,2023-05-25,2348,Aqua,MODIS,62,61.03,290.2,6.8,N,0
32.178,35.3083,331.1,1.1,1,2023-06-05,1115,Aqua,MODIS,66,61.03,313.4,15,D,0
31.5727,34.9415,303.5,1,1,2023-06-08,2347,Aqua,MODIS,55,61.03,293.4,4.4,N,0
32.0723,35.3502,331.6,1,1,2023-06-26,1113,Aqua,MODIS,63,61.03,315.9,10.6,D,0
32.4518,35.2564,332.1,1,1,2023-07-03,1113,Aqua,MODIS,58,61.03,314.4,10.8,D,2
31.6367,35.1435,310.4,1.1,1,2023-07-04,2358,Aqua,MODIS,80,61.03,292.1,11.3,N,0
31.6348,35.1548,311.4,1.1,1,2023-07-04,2358,Aqua,MODIS,82,61.03,293.1,12.1,N,0
32.2547,35.5661,346.6,1,1,2023-07-11,1918,Terra,MODIS,100,61.03,302,52.3,N,0
32.2532,35.5557,333.6,1,1,2023-07-11,1918,Terra,MODIS,100,61.03,302,30.3,N,0
32.2636,35.5643,339,1,1,2023-07-11,1918,Terra,MODIS,100,61.03,302,38.5,N,0
32.2621,35.5539,329.2,1,1,2023-07-11,1918,Terra,MODIS,100,61.03,302.6,24,N,0
32.2724,35.5624,317.7,1,1,2023-07-11,1918,Terra,MODIS,95,61.03,299.9,11.7,N,0
32.2709,35.5521,320,1,1,2023-07-11,1918,Terra,MODIS,99,61.03,301.6,13.8,N,0
32.2596,35.5627,311.7,1.1,1,2023-07-11,2357,Aqua,MODIS,83,61.03,297.6,9.2,N,0
32.2504,35.5606,325.6,1.1,1,2023-07-11,2357,Aqua,MODIS,100,61.03,299.1,23.6,N,0
32.2838,35.2842,349.5,1,1,2023-07-17,1111,Aqua,MODIS,91,61.03,320.5,39.7,D,0
32.2823,35.2737,338,1,1,2023-07-17,1111,Aqua,MODIS,76,61.03,319.4,18.7,D,0
31.9887,35.1991,305.7,1,1,2023-07-23,1917,Terra,MODIS,50,61.03,295.6,5,N,0
31.991,35.0058,334.1,2.2,1.4,2023-07-28,1041,Aqua,MODIS,71,61.03,314.7,47.3,D,0
31.9862,34.9826,342.3,2.2,1.4,2023-07-28,1041,Aqua,MODIS,85,61.03,315.8,87.6,D,0
31.8995,35.2328,306.1,1,1,2023-08-04,1916,Terra,MODIS,63,61.03,293.7,6.2,N,2
31.8699,35.2507,325.4,1,1,2023-08-06,0800,Terra,MODIS,48,61.03,312.8,7.5,D,0
31.8684,35.261,331.8,1,1,2023-08-06,0800,Terra,MODIS,72,61.03,312.8,14.8,D,0
32.2854,35.2726,324.5,1.6,1.3,2023-08-21,0824,Terra,MODIS,39,61.03,306.9,19.4,D,0
32.4318,35.0451,324.3,2.6,1.5,2023-08-26,2320,Aqua,MODIS,100,61.03,292.7,88.5,N,2
32.4385,35.0659,302.2,2.6,1.5,2023-08-26,2320,Aqua,MODIS,47,61.03,291,16.9,N,0
32.3372,35.5424,306.8,1.5,1.2,2023-09-12,1938,Terra,MODIS,69,61.03,295.5,7.2,N,0
31.9552,34.9793,327.4,4.2,1.9,2023-09-22,1027,Aqua,MODIS,54,61.03,302.1,120.9,D,0
31.9632,35.3233,325.2,1.4,1.2,2023-09-25,1053,Aqua,MODIS,48,61.03,312,13.9,D,0
31.9842,35.2246,350.8,1.1,1,2023-09-28,1120,Aqua,MODIS,94,61.03,312.6,56.5,D,0
31.9827,35.2132,353.3,1.1,1,2023-09-28,1120,Aqua,MODIS,95,61.03,312.1,63.3,D,0
32.1761,34.9468,324,1.1,1,2023-09-30,1106,Aqua,MODIS,61,61.03,310.4,8.3,D,0
32.4779,35.2147,323.8,1,1,2023-09-30,1106,Aqua,MODIS,61,61.03,307.7,9.7,D,0
32.2717,35.132,334.6,1.2,1.1,2023-10-14,1100,Aqua,MODIS,83,61.03,300.7,34.9,D,0
31.4917,34.4819,301.4,1.2,1.1,2023-10-15,2345,Aqua,MODIS,40,61.03,290.1,6.3,N,2
31.4884,34.4756,318,1.2,1.1,2023-10-15,2345,Aqua,MODIS,96,61.03,290.7,21.9,N,2
31.5073,35.091,309.7,1.2,1.1,2023-10-22,2342,Aqua,MODIS,78,61.03,288.4,14.5,N,2
31.5147,34.4588,321.8,1.2,1.1,2023-11-02,1105,Aqua,MODIS,70,61.03,299.7,16.3,D,2
31.5623,34.4765,322.8,1,1,2023-11-07,1117,Aqua,MODIS,53,61.03,304.1,11.8,D,0
32.0187,35.0214,321.4,1,1,2023-11-07,1117,Aqua,MODIS,67,61.03,305.9,10.1,D,0
32.0482,35.2755,314.1,1.1,1,2023-11-08,0805,Terra,MODIS,52,61.03,302.1,7.3,D,0
31.5475,34.5113,302.3,1.1,1.1,2023-11-13,1911,Terra,MODIS,48,61.03,291.3,5,N,2
32.3598,35.5411,324.2,1,1,2023-11-14,1113,Aqua,MODIS,81,61.03,292.5,20.3,D,0
31.5306,34.5189,309.6,1,1,2023-12-05,0001,Aqua,MODIS,78,61.03,287.8,11.1,N,0
31.5193,34.451,305.5,1.7,1.3,2023-12-06,1142,Aqua,MODIS,53,61.03,293.6,10.1,D,2
31.5214,34.4579,305.6,1,1,2023-12-14,0756,Terra,MODIS,62,61.03,288.2,6.1,D,2
31.5211,34.4638,303.2,1.6,1.2,2023-12-17,0819,Terra,MODIS,48,61.03,289.3,9.2,D,2
31.3231,34.2411,310.7,1.2,1.1,2023-12-20,1133,Aqua,MODIS,66,61.03,295.5,9.4,D,0
31.5164,34.4887,325,1.2,1.1,2023-12-25,2348,Aqua,MODIS,100,61.03,284.8,34.9,N,2
32.006,35.0151,309.2,1,1,2023-12-26,0752,Terra,MODIS,68,61.03,289.9,9.3,D,0
31.5156,34.4847,325.8,1,1,2023-12-26,0752,Terra,MODIS,84,61.03,292.7,24.2,D,2
31.5146,34.4723,305,2.5,1.5,2023-12-26,1048,Aqua,MODIS,58,61.03,294.4,13.3,D,2
