latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.4612,-81.4923,311.1,1.1,1,2023-01-02,1857,Aqua,MODIS,58,61.03,295.8,5.6,D,0
8.1309,-80.8134,311.4,1,1,2023-01-11,0332,Terra,MODIS,82,61.03,290.4,10.1,N,0
8.3037,-80.4945,302.6,1,1,2023-01-18,0325,Terra,MODIS,50,61.03,292.2,4,N,0
8.3495,-80.5599,326.7,1,1,2023-01-18,1541,Terra,MODIS,81,61.03,301.8,17.1,D,0
8.4402,-80.9795,319.3,1.4,1.2,2023-01-20,1525,Terra,MODIS,72,61.03,301.3,16.8,D,0
8.3579,-82.6626,313.1,1.8,1.3,2023-01-20,1525,Terra,MODIS,43,61.03,296.7,9.3,D,0
8.2752,-77.9507,308.9,1.4,1.2,2023-01-20,1836,Aqua,MODIS,34,61.03,295,5.2,D,0
9.0871,-79.3049,349.1,1.6,1.3,2023-01-20,1837,Aqua,MODIS,95,61.03,300.8,105.5,D,0
9.0894,-79.2903,334.1,1.6,1.3,2023-01-20,1837,Aqua,MODIS,87,61.03,299.8,51.8,D,0
8.2543,-82.0486,317.7,1.3,1.1,2023-01-21,1919,Aqua,MODIS,50,61.03,300.8,9.9,D,0
8.3181,-80.4974,311.5,3.4,1.7,2023-01-22,0254,Terra,MODIS,83,61.03,293.9,57.6,N,0
8.3147,-80.5023,311.9,3.4,1.7,2023-01-22,0254,Terra,MODIS,84,61.03,293.9,59.6,N,0
8.0968,-80.634,301.7,3.5,1.8,2023-01-22,0254,Terra,MODIS,44,61.03,291.7,26.3,N,0
8.1359,-80.6665,306.3,1.1,1,2023-01-23,0334,Terra,MODIS,68,61.03,292.1,6.7,N,0
8.1372,-80.657,303.5,1.1,1,2023-01-23,0334,Terra,MODIS,55,61.03,292.1,4.8,N,0
8.317,-80.4945,334.9,1.1,1,2023-01-23,0335,Terra,MODIS,100,61.03,293,38.2,N,0
8.4199,-82.5409,304,1,1,2023-01-24,0722,Aqua,MODIS,58,61.03,291.7,5.2,N,0
8.3922,-80.5676,320.1,1.1,1.1,2023-01-25,1852,Aqua,MODIS,64,61.03,300.6,7.6,D,0
9.0801,-79.2222,320.8,1.5,1.2,2023-01-27,1839,Aqua,MODIS,77,61.03,300.6,16.7,D,0
8.1817,-77.8221,315.6,1.2,1.1,2023-01-27,1839,Aqua,MODIS,64,61.03,301.2,9,D,0
8.1039,-80.9649,304.8,1.3,1.1,2023-01-28,0344,Terra,MODIS,61,61.03,294.3,6.9,N,2
8.0961,-80.7899,303.9,1.4,1.2,2023-01-28,0344,Terra,MODIS,57,61.03,291.8,8.6,N,0
7.9526,-80.4411,316.3,2,1.4,2023-01-28,1600,Terra,MODIS,67,61.03,300.5,15.2,D,2
7.7625,-81.4326,314.6,1.7,1.3,2023-01-28,1600,Terra,MODIS,65,61.03,296.5,17.8,D,0
7.76,-81.4173,310.5,1.7,1.3,2023-01-28,1600,Terra,MODIS,37,61.03,295.8,11,D,0
7.7612,-81.4235,317.6,1.7,1.3,2023-01-28,1600,Terra,MODIS,68,61.03,295.8,25,D,0
8.4429,-80.9313,311.5,1.8,1.3,2023-01-28,1600,Terra,MODIS,66,61.03,298.5,12.2,D,0
8.8323,-78.2324,310.1,2.2,1.4,2023-01-29,1826,Aqua,MODIS,39,61.03,294.2,17.2,D,0
8.8341,-78.2275,311,2.2,1.4,2023-01-29,1826,Aqua,MODIS,49,61.03,293.9,21.1,D,0
8.4343,-81.2811,301.1,1,1,2023-01-30,0328,Terra,MODIS,38,61.03,291,4.1,N,0
8.1828,-80.7653,319.3,1.1,1,2023-01-30,1544,Terra,MODIS,70,61.03,302.3,8.7,D,0
8.4378,-80.1341,315.3,1.1,1.1,2023-01-30,1544,Terra,MODIS,67,61.03,297.2,8,D,0
8.1405,-81.0992,352.6,1,1,2023-01-30,1544,Terra,MODIS,96,61.03,302.4,63.3,D,0
8.1391,-81.09,316.1,1,1,2023-01-30,1544,Terra,MODIS,62,61.03,300.9,6.5,D,0
8.4353,-80.4949,320.9,1.1,1,2023-01-30,1908,Aqua,MODIS,61,61.03,303.1,8.4,D,0
8.1817,-80.6543,322.8,1.1,1,2023-01-30,1908,Aqua,MODIS,65,61.03,305,7.4,D,0
