latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-4.6718,152.3617,323.4,1.4,1.2,2023-01-01,0321,Aqua,MODIS,58,61.03,296.5,25.5,D,0
-6.2765,145.3983,317.7,1,1,2023-01-03,0028,Terra,MODIS,74,61.03,298.1,11.2,D,0
-6.4546,146.7574,315.4,1.1,1.1,2023-01-03,0028,Terra,MODIS,70,61.03,296.9,10,D,0
-6.0171,145.2566,312,1,1,2023-01-03,0028,Terra,MODIS,54,61.03,291.4,7.7,D,0
-9.9553,147.994,319.6,1.4,1.2,2023-01-03,0029,Terra,MODIS,76,61.03,292.2,17.9,D,0
-9.9591,147.9864,315.9,1.4,1.2,2023-01-03,0029,Terra,MODIS,61,61.03,292.8,12.9,D,0
-9.9609,147.9993,315.4,1.4,1.2,2023-01-03,0029,Terra,MODIS,62,61.03,290.5,12.4,D,0
-6.3774,155.388,312.9,1.6,1.2,2023-01-03,0307,Aqua,MODIS,27,61.03,288.6,12.9,D,2
-8.0056,142.8478,314.5,1.4,1.2,2023-01-05,0432,Aqua,MODIS,44,61.03,291.3,8.1,D,0
-8.5507,142.6216,313.4,1.4,1.2,2023-01-05,0432,Aqua,MODIS,30,61.03,287.2,9.1,D,0
-4.0265,141.3077,315.2,1.3,1.1,2023-01-05,0433,Aqua,MODIS,64,61.03,294.8,8.7,D,0
-10.124,148.0965,321.1,1.8,1.3,2023-01-06,0336,Aqua,MODIS,0,61.03,295.9,23.4,D,0
-10.1209,148.0303,320.4,1.8,1.3,2023-01-06,0336,Aqua,MODIS,55,61.03,296.3,24.6,D,0
-10.123,148.0141,318.6,1.8,1.3,2023-01-06,0336,Aqua,MODIS,61,61.03,296.6,21.4,D,0
-9.7064,147.7112,313.2,1.9,1.3,2023-01-06,0336,Aqua,MODIS,67,61.03,295.2,13.2,D,0
-10.1199,148.1028,328.3,1.8,1.3,2023-01-06,0336,Aqua,MODIS,0,61.03,296.3,40.7,D,0
-8.498,142.1315,310,1,1,2023-01-08,0038,Terra,MODIS,64,61.03,284.3,5.3,D,0
-5.2412,142.297,313.6,1.2,1.1,2023-01-09,0407,Aqua,MODIS,57,61.03,281.2,12.7,D,0
-8.0123,147.6583,314.3,1,1,2023-01-11,0353,Aqua,MODIS,57,61.03,277,11,D,0
-6.1202,146.6641,314.7,1.1,1,2023-01-11,0353,Aqua,MODIS,67,61.03,282.2,12.7,D,0
-6.3785,155.4026,313.6,2.5,1.5,2023-01-12,0257,Aqua,MODIS,57,61.03,295.7,31.6,D,2
-5.0891,151.2504,318.1,1,1,2023-01-13,0340,Aqua,MODIS,61,61.03,299.1,10,D,0
-4.0161,141.3167,317.7,1,1,2023-01-14,0423,Aqua,MODIS,60,61.03,297.6,9,D,0
-9.7221,147.8888,311.4,1,1,2023-01-18,0355,Aqua,MODIS,63,61.03,288,6.3,D,0
-8.2778,141.5472,313.5,2.3,1.5,2023-01-18,0356,Aqua,MODIS,70,61.03,287.4,26.6,D,0
-8.2741,141.5515,310.5,2.3,1.5,2023-01-18,0356,Aqua,MODIS,64,61.03,287.2,18.7,D,0
-3.8968,142.6763,311,2.6,1.6,2023-01-27,0346,Aqua,MODIS,37,61.03,284.8,26.7,D,0
-3.9015,142.6819,313.4,2.6,1.6,2023-01-27,0346,Aqua,MODIS,73,61.03,285,36.9,D,0
-3.9047,142.6584,311.4,2.7,1.6,2023-01-27,0346,Aqua,MODIS,66,61.03,286.3,31.8,D,0
-6.6663,146.7437,338.5,1.3,1.1,2023-01-30,0414,Aqua,MODIS,89,61.03,284.3,51.1,D,0
