latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.3122,-72.1486,322.5,1.2,1.1,2023-01-02,1851,Aqua,MODIS,71,61.03,305.4,11.4,D,0
-11.4856,-74.4328,337,1,1,2023-01-02,1851,Aqua,MODIS,89,61.03,300,30.6,D,0
-11.4549,-74.4756,321.9,1,1,2023-01-02,1851,Aqua,MODIS,77,61.03,298,9.2,D,0
-10.9248,-74.8829,318.2,1,1,2023-01-02,1852,Aqua,MODIS,57,61.03,300.7,9.1,D,2
-5.5365,-78.511,331.5,1.1,1,2023-01-02,1853,Aqua,MODIS,83,61.03,305.9,23,D,0
-7.1843,-76.3885,327.3,1,1,2023-01-02,1853,Aqua,MODIS,63,61.03,290.4,19.4,D,0
-5.5351,-78.5008,332.2,1.1,1,2023-01-02,1853,Aqua,MODIS,84,61.03,304.7,25.2,D,0
-4.7709,-80.2933,327.2,1.3,1.1,2023-01-03,1517,Terra,MODIS,77,61.03,301.1,18.5,D,0
-4.7726,-80.2818,343.1,1.3,1.1,2023-01-03,1517,Terra,MODIS,91,61.03,301.4,52.5,D,0
-4.7618,-80.5507,321,1.4,1.2,2023-01-03,1517,Terra,MODIS,48,61.03,299.5,10.9,D,0
-9.0624,-77.7865,313.9,1,1,2023-01-03,1518,Terra,MODIS,44,61.03,289.5,9.7,D,0
-9.0611,-77.7954,314.8,1,1,2023-01-03,1518,Terra,MODIS,43,61.03,290,9.3,D,0
-12.6008,-69.1981,312.1,2.9,1.6,2023-01-03,1755,Aqua,MODIS,42,61.03,292.3,29.1,D,2
-12.599,-69.2052,312.2,2.9,1.6,2023-01-03,1755,Aqua,MODIS,35,61.03,292.4,28,D,2
-4.6455,-79.9065,320,2.8,1.6,2023-01-03,1936,Aqua,MODIS,64,61.03,288.8,49.9,D,0
-5.9125,-78.9799,304.7,1,1,2023-01-04,0335,Terra,MODIS,61,61.03,286.4,7.8,N,0
-5.8793,-79.0685,300.9,1,1,2023-01-04,0335,Terra,MODIS,35,61.03,285.8,5.7,N,0
-5.8806,-79.0778,302.7,1,1,2023-01-04,0335,Terra,MODIS,51,61.03,286.3,6.7,N,0
-7.3325,-76.0636,315.7,1.3,1.1,2023-01-04,1839,Aqua,MODIS,58,61.03,296.2,10.9,D,0
-8.1513,-75.0586,335.9,1.1,1.1,2023-01-04,1839,Aqua,MODIS,83,61.03,288.8,38.1,D,0
-7.2228,-76.0854,318.2,1.3,1.1,2023-01-04,1839,Aqua,MODIS,73,61.03,294.8,13.9,D,0
-7.2429,-76.2982,314.8,1.3,1.1,2023-01-04,1839,Aqua,MODIS,41,61.03,292.5,8.7,D,0
-7.208,-76.196,313.8,1.3,1.1,2023-01-04,1839,Aqua,MODIS,66,61.03,294.5,10.4,D,0
