latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.7074,120.1859,319.3,1,1,2023-01-01,0217,Terra,MODIS,42,61.03,301.5,9.7,D,0
10.9571,122.466,307.7,1.2,1.1,2023-01-01,0218,Terra,MODIS,51,61.03,291.1,5.8,D,0
13.0974,120.8161,315.6,1,1,2023-01-01,0218,Terra,MODIS,64,61.03,296.1,7.7,D,0
11.1692,122.1567,307.5,1.1,1.1,2023-01-01,0218,Terra,MODIS,52,61.03,290.3,5.4,D,0
9.675,123.134,313.1,1.4,1.2,2023-01-01,0219,Terra,MODIS,0,61.03,291.5,11.5,D,0
6.0449,121.0011,315.7,1.1,1.1,2023-01-01,0220,Terra,MODIS,42,61.03,297.6,9.7,D,2
14.831,120.4473,337.8,1.4,1.2,2023-01-02,0548,Aqua,MODIS,88,61.03,297.9,56.3,D,0
14.8294,120.4345,321.9,1.4,1.2,2023-01-02,0548,Aqua,MODIS,75,61.03,296.9,22.6,D,0
16.2969,120.6596,301.9,1.2,1.1,2023-01-02,1349,Terra,MODIS,45,61.03,289.8,6.1,N,0
18.1281,120.8394,317.9,1.1,1,2023-01-04,0535,Aqua,MODIS,69,61.03,285.3,17.1,D,0
10.2084,122.9165,313.4,1.9,1.4,2023-01-06,0228,Terra,MODIS,58,61.03,294.3,15.1,D,0
7.1307,124.6766,321.1,1,1,2023-01-06,0519,Aqua,MODIS,75,61.03,296.6,10.9,D,0
9.965,122.8204,313.9,1.1,1,2023-01-06,0520,Aqua,MODIS,32,61.03,295.2,6.7,D,0
10.2434,122.9629,350.1,1,1,2023-01-06,0520,Aqua,MODIS,95,61.03,301.6,57.3,D,0
10.2525,122.9615,316.7,1,1,2023-01-06,0520,Aqua,MODIS,40,61.03,299.5,5.9,D,0
15.1182,120.1747,303,1,1,2023-01-07,1358,Terra,MODIS,52,61.03,290.4,4.8,N,0
18.3247,120.7607,303.2,1,1,2023-01-07,1359,Terra,MODIS,54,61.03,290.6,4.2,N,0
18.3336,120.7592,301.2,1,1,2023-01-07,1359,Terra,MODIS,37,61.03,290.4,2.9,N,0
18.032,120.8526,310.5,1.1,1.1,2023-01-08,0210,Terra,MODIS,55,61.03,296,8.2,D,0
17.7543,120.8652,308.5,1.1,1,2023-01-08,0210,Terra,MODIS,51,61.03,294.4,5.6,D,0
17.6676,120.8254,314.7,1.1,1.1,2023-01-08,0210,Terra,MODIS,71,61.03,297.9,9.4,D,0
17.6542,120.8547,312.6,1.1,1,2023-01-08,0210,Terra,MODIS,67,61.03,298.9,7.6,D,0
17.5805,120.981,308.3,1.1,1,2023-01-08,0210,Terra,MODIS,59,61.03,292.2,6.8,D,0
15.4128,121.2095,312.9,1,1,2023-01-08,0211,Terra,MODIS,66,61.03,294.1,9.2,D,0
15.4114,121.219,317.7,1,1,2023-01-08,0211,Terra,MODIS,73,61.03,295.1,13.7,D,0
15.4167,120.1093,313.2,1.1,1.1,2023-01-08,0211,Terra,MODIS,57,61.03,294.4,10.8,D,0
15.4153,120.1195,323.6,1.1,1.1,2023-01-08,0211,Terra,MODIS,79,61.03,295.7,22.9,D,0
15.0911,120.3357,329.2,1.1,1,2023-01-08,0211,Terra,MODIS,84,61.03,295.8,27.9,D,2
15.0853,120.328,320.5,1.1,1,2023-01-08,0211,Terra,MODIS,77,61.03,295.5,18.4,D,0
15.0838,120.3385,307.8,1.1,1,2023-01-08,0211,Terra,MODIS,52,61.03,293.7,6.8,D,0
15.0916,120.2141,315.6,1.1,1.1,2023-01-08,0211,Terra,MODIS,72,61.03,296.6,11.2,D,0
13.3519,120.7286,309.9,1,1,2023-01-08,0211,Terra,MODIS,65,61.03,296.1,5.7,D,0
13.3494,120.7531,311.5,2.1,1.4,2023-01-08,0508,Aqua,MODIS,49,61.03,288.3,24.4,D,0
15.3514,120.1301,311.4,2.1,1.4,2023-01-08,0509,Aqua,MODIS,49,61.03,292.7,20.4,D,0
15.3479,120.1097,329.8,2.1,1.4,2023-01-08,0509,Aqua,MODIS,84,61.03,295.6,73,D,0
15.9314,120.1346,310.5,2,1.4,2023-01-08,0509,Aqua,MODIS,63,61.03,294.9,15.6,D,0
17.5832,120.8276,312.4,1.7,1.3,2023-01-08,0509,Aqua,MODIS,61,61.03,293.7,12.8,D,0
17.666,120.836,315.6,1.7,1.3,2023-01-08,0509,Aqua,MODIS,65,61.03,297.1,16.7,D,0
17.6631,120.8194,312.8,1.7,1.3,2023-01-08,0509,Aqua,MODIS,56,61.03,297.4,11.9,D,0
15.4098,120.0553,310.8,2.9,1.6,2023-01-09,0252,Terra,MODIS,27,61.03,296.2,26.2,D,0
15.4053,120.0795,310.1,2.9,1.6,2023-01-09,0252,Terra,MODIS,18,61.03,295.9,27.6,D,0
15.402,120.0749,310.8,2.9,1.6,2023-01-09,0252,Terra,MODIS,36,61.03,296.9,30.9,D,0
15.4403,120.6568,318.5,1.7,1.3,2023-01-09,0551,Aqua,MODIS,70,61.03,300.6,16.1,D,0
15.5629,120.263,312.4,1.6,1.2,2023-01-09,0551,Aqua,MODIS,46,61.03,299.4,11.5,D,0
18.3248,120.8294,303.2,1.3,1.1,2023-01-09,1343,Terra,MODIS,54,61.03,289.1,7.7,N,0
17.6961,120.5267,308.9,2.1,1.4,2023-01-10,0154,Terra,MODIS,51,61.03,293.8,11.7,D,0
18.1413,120.7709,304.2,2.3,1.5,2023-01-10,1424,Terra,MODIS,59,61.03,290.4,18,N,0
18.4874,120.8656,316.1,1.5,1.2,2023-01-11,0235,Terra,MODIS,65,61.03,294.5,22,D,0
15.9882,120.0596,312.4,1.4,1.2,2023-01-11,0236,Terra,MODIS,61,61.03,296.9,10.4,D,0
15.025,120.4839,310.8,1.6,1.2,2023-01-11,0236,Terra,MODIS,42,61.03,294.4,10.2,D,0
13.2725,120.8405,315.3,1,1,2023-01-11,0537,Aqua,MODIS,63,61.03,287.5,13.7,D,0
