latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.6935,15.9869,307.4,1.3,1.1,2023-01-14,0141,Aqua,MODIS,71,61.03,274.6,16.8,N,2
51.6918,15.9931,305,1.3,1.1,2023-01-14,0141,Aqua,MODIS,63,61.03,274.6,14.8,N,2
51.688,15.9827,302,1,1,2023-01-16,0128,Aqua,MODIS,46,61.03,272.2,10.4,N,2
51.6883,15.9748,303.7,2,1.4,2023-02-28,0910,Terra,MODIS,49,61.03,275.6,25,D,2
51.6886,15.9818,301.8,1,1,2023-03-01,0951,Terra,MODIS,49,61.03,278.7,8.5,D,2
53.1169,17.0454,300.5,1,1,2023-03-02,1144,Aqua,MODIS,38,61.03,280.9,7.2,D,0
50.2026,23.135,300.2,1.1,1,2023-03-10,0928,Terra,MODIS,31,61.03,280.9,6.4,D,0
51.6875,15.9837,302.8,1,1,2023-03-15,0132,Aqua,MODIS,52,61.03,272.5,11.2,N,2
51.7005,17.449,300.3,1,1,2023-03-16,1147,Aqua,MODIS,0,61.03,278.9,6,D,2
52.1783,16.8151,309.8,1,1,2023-03-16,1147,Aqua,MODIS,69,61.03,279.1,12.8,D,0
52.1758,16.8003,308.1,1,1,2023-03-16,1147,Aqua,MODIS,63,61.03,279.5,11.6,D,0
52.6356,16.6291,309.6,1,1,2023-03-16,1147,Aqua,MODIS,65,61.03,281.8,12,D,0
52.6929,16.2899,300.8,1.1,1,2023-03-16,1147,Aqua,MODIS,37,61.03,281.6,6.6,D,0
52.6904,16.2748,304.7,1.1,1,2023-03-16,1147,Aqua,MODIS,60,61.03,281,9.2,D,0
49.6633,21.5797,301.9,1,1,2023-03-18,1132,Aqua,MODIS,50,61.03,281.5,6.4,D,0
51.195,20.8708,312.2,1,1,2023-03-18,1133,Aqua,MODIS,72,61.03,279.3,14.4,D,0
52.3423,21.2878,302.5,2,1.4,2023-03-19,1215,Aqua,MODIS,52,61.03,272,23.1,D,0
49.9033,22.7588,305.5,1.6,1.2,2023-03-20,0945,Terra,MODIS,61,61.03,283.8,14,D,0
52.7505,23.5151,310.7,1,1,2023-03-20,1120,Aqua,MODIS,70,61.03,287.2,10.5,D,0
52.7844,23.5477,305.5,1,1,2023-03-20,1120,Aqua,MODIS,61,61.03,285.2,7.3,D,0
51.8265,18.2006,306.3,1.4,1.2,2023-03-30,1002,Terra,MODIS,63,61.03,284.1,12.8,D,0
51.6886,15.9731,300.4,1.1,1,2023-04-06,0954,Terra,MODIS,27,61.03,287.4,5.9,D,2
51.6862,15.9877,300.7,1.1,1,2023-04-06,0954,Terra,MODIS,25,61.03,287.2,5.8,D,2
51.8657,18.0537,306.4,1,1,2023-04-06,1150,Aqua,MODIS,60,61.03,281.4,7.9,D,0
52.4706,20.9467,303.3,1.1,1,2023-04-08,0938,Terra,MODIS,52,61.03,285.5,6.8,D,0
52.3892,20.836,312.8,1,1,2023-04-08,1136,Aqua,MODIS,0,61.03,289.2,12.3,D,0
53.9939,20.6932,303.6,1,1,2023-04-08,1136,Aqua,MODIS,53,61.03,289.1,4.3,D,0
54.3823,20.6637,307.4,1.1,1,2023-04-10,0921,Terra,MODIS,65,61.03,290,7.2,D,0
50.6934,23.109,304.6,1,1,2023-04-10,0922,Terra,MODIS,56,61.03,277.5,8.5,D,0
54.3265,21.5317,306.4,1.4,1.2,2023-04-12,1109,Aqua,MODIS,63,61.03,291.6,9.9,D,0
51.3124,22.0636,304.7,2.3,1.5,2023-04-14,1054,Aqua,MODIS,48,61.03,288.7,17.6,D,0
54.47,17.4555,300.4,1.1,1,2023-04-18,0954,Terra,MODIS,33,61.03,287,3.3,D,0
53.5781,20.3099,300.6,1,1,2023-04-20,0938,Terra,MODIS,29,61.03,287.1,3.7,D,2
54.3801,18.4628,304.1,1,1,2023-04-20,1151,Aqua,MODIS,57,61.03,291.4,4.8,D,0
51.6838,21.4369,362.4,1,1,2023-04-22,0922,Terra,MODIS,87,61.03,296.9,90.2,D,0
50.3402,19.3372,308.9,1,1,2023-04-22,0922,Terra,MODIS,64,61.03,296.6,5.7,D,2
50.4142,18.143,311,1.1,1,2023-04-22,0922,Terra,MODIS,65,61.03,295.5,8.9,D,2
50.4101,18.1494,307,1.2,1.1,2023-04-22,1136,Aqua,MODIS,44,61.03,296,6,D,2
53.7282,21.9692,303.6,1,1,2023-04-22,1137,Aqua,MODIS,20,61.03,292.3,3,D,0
