latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.0559,-66.8071,314.4,1.9,1.4,2023-02-13,1737,Aqua,MODIS,63,61.03,296.8,23.4,D,0
18.0214,-66.2998,320.4,2.3,1.5,2023-02-27,1512,Terra,MODIS,56,61.03,298.6,35.3,D,0
18.0607,-66.5446,321.5,1.2,1.1,2023-03-01,1456,Terra,MODIS,76,61.03,304.1,15,D,2
17.9673,-66.1485,323.6,1.2,1.1,2023-03-01,1456,Terra,MODIS,78,61.03,303.8,16.7,D,2
17.9654,-66.137,327.1,1.2,1.1,2023-03-01,1456,Terra,MODIS,81,61.03,304.3,21.5,D,2
17.9496,-66.1632,331.6,1.2,1.1,2023-03-01,1456,Terra,MODIS,80,61.03,301.4,28.1,D,2
17.9477,-66.1518,328.1,1.2,1.1,2023-03-01,1456,Terra,MODIS,66,61.03,302.9,22.5,D,2
17.9888,-66.2927,332.8,1.2,1.1,2023-03-02,1810,Aqua,MODIS,85,61.03,305,25.4,D,0
18.3081,-67.1526,321,1,1,2023-03-08,1449,Terra,MODIS,56,61.03,300,11.3,D,0
18.0391,-66.9312,308.8,1,1,2023-03-10,0222,Terra,MODIS,76,61.03,292.7,8.4,N,0
18.318,-67.2184,317.1,1,1,2023-03-11,1758,Aqua,MODIS,55,61.03,302.9,6.7,D,0
18.3977,-67.1402,332.2,1,1,2023-03-18,1759,Aqua,MODIS,84,61.03,306.7,23.5,D,0
18.3962,-67.1498,327.9,1,1,2023-03-18,1759,Aqua,MODIS,80,61.03,307,17.1,D,2
18.2087,-66.0556,310.8,1.3,1.1,2023-03-20,1745,Aqua,MODIS,44,61.03,296.4,9.3,D,2
18.06,-66.9573,317.3,1.5,1.2,2023-03-20,1745,Aqua,MODIS,48,61.03,301.6,9.9,D,2
18.2179,-66.9911,301.3,1,1,2023-03-24,0625,Aqua,MODIS,40,61.03,289.4,5.5,N,0
18.2027,-65.9141,322.3,1.2,1.1,2023-03-27,1746,Aqua,MODIS,76,61.03,302.7,15,D,0
18.0436,-66.414,303,1,1,2023-04-03,0224,Terra,MODIS,53,61.03,292.3,4.7,N,0
17.9941,-66.2583,322.5,2.5,1.5,2023-04-04,1829,Aqua,MODIS,70,61.03,304.3,29,D,2
18.4758,-66.4245,308.2,2.3,1.5,2023-04-18,0250,Terra,MODIS,59,61.03,291.4,26.6,N,2
18.0139,-66.9716,337.7,1,1,2023-04-22,1802,Aqua,MODIS,88,61.03,304.4,24.9,D,0
18.0125,-66.9809,329.2,1,1,2023-04-22,1802,Aqua,MODIS,81,61.03,304.5,12.9,D,0
18.195,-67.1416,313.6,2.6,1.5,2023-04-26,1735,Aqua,MODIS,0,61.03,296.8,28,D,2
18.2904,-67.1383,318.7,1.4,1.2,2023-05-12,1500,Terra,MODIS,43,61.03,304.1,11.8,D,2
18.3762,-65.8439,321.7,1,1,2023-05-27,1802,Aqua,MODIS,47,61.03,304.9,8.8,D,2
18.2659,-66.6505,310.1,1.1,1.1,2023-05-31,1452,Terra,MODIS,32,61.03,295.6,4.6,D,0
18.4109,-66.3255,320.3,1,1,2023-06-03,1801,Aqua,MODIS,48,61.03,303.1,10.1,D,2
18.3038,-66.722,312.5,1,1,2023-06-14,0224,Terra,MODIS,85,61.03,292.1,10.4,N,0
18.3026,-66.7315,310.9,1,1,2023-06-14,0224,Terra,MODIS,81,61.03,292,9.2,N,0
18.3779,-65.8392,316.5,1,1,2023-06-17,1800,Aqua,MODIS,51,61.03,298.1,8,D,2
18.4615,-66.2372,315.7,1,1,2023-06-19,1443,Terra,MODIS,42,61.03,294.8,6.3,D,0
18.2282,-66.0365,315.7,2.7,1.6,2023-06-21,1732,Aqua,MODIS,30,61.03,297.6,28,D,2
18.0021,-66.8569,307.5,2,1.4,2023-07-30,0605,Aqua,MODIS,54,61.03,294.8,18.1,N,0
17.9991,-66.8618,316.4,1.1,1,2023-07-30,1448,Terra,MODIS,66,61.03,295.7,8.3,D,2
18.1454,-65.8279,313.6,2.1,1.4,2023-08-07,1738,Aqua,MODIS,46,61.03,294.8,17.6,D,2
18.2282,-66.0172,310.6,4.3,1.9,2023-08-31,1518,Terra,MODIS,42,61.03,293.1,41.7,D,2
18.3753,-65.8339,319.6,1,1,2023-08-31,1800,Aqua,MODIS,51,61.03,303.2,8,D,2
18.2348,-66.0235,311.8,3.1,1.7,2023-09-04,1731,Aqua,MODIS,33,61.03,295.3,33.8,D,2
18.0422,-65.878,318.1,1.1,1,2023-09-07,1758,Aqua,MODIS,57,61.03,303.5,10,D,2
17.9901,-66.2185,315.4,1.4,1.2,2023-09-09,1453,Terra,MODIS,62,61.03,297.7,9.9,D,0
18.2182,-66.0423,319.4,1.1,1,2023-09-16,1444,Terra,MODIS,35,61.03,299.1,12,D,2
18.2361,-66.0402,314.5,3.9,1.8,2023-09-18,1727,Aqua,MODIS,35,61.03,296.2,45.2,D,2
18.2266,-66.0419,314.8,3.9,1.8,2023-09-18,1727,Aqua,MODIS,27,61.03,296.9,46,D,2
18.4609,-66.659,334.9,1,1,2023-09-19,1809,Aqua,MODIS,86,61.03,299.3,24.1,D,0
18.2167,-66.0406,311.1,1.9,1.4,2023-09-26,1459,Terra,MODIS,40,61.03,295.6,16.8,D,2
18.042,-65.88,313.4,1.4,1.2,2023-09-28,1752,Aqua,MODIS,55,61.03,299.2,9,D,2
18.2887,-67.1341,313,1.2,1.1,2023-10-03,1450,Terra,MODIS,48,61.03,296,9.8,D,2
18.2868,-67.1384,317.2,1.1,1,2023-10-03,1804,Aqua,MODIS,51,61.03,300.3,8,D,2
18.4976,-67.1416,313.6,1.1,1,2023-10-03,1804,Aqua,MODIS,0,61.03,298.7,7.2,D,0
18.4933,-67.0595,322.9,1.2,1.1,2023-10-10,1802,Aqua,MODIS,76,61.03,300.1,15.6,D,0
18.1207,-66.1412,314.1,1.3,1.1,2023-10-15,1448,Terra,MODIS,17,61.03,298.7,11.8,D,2
18.021,-66.2775,315.9,1.3,1.1,2023-12-08,1759,Aqua,MODIS,65,61.03,302.1,10,D,0
