latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.8901,51.5424,314.2,1,1,2023-01-01,1005,Aqua,MODIS,60,61.03,296.2,8,D,2
25.8896,51.5398,303.2,1,1,2023-01-08,0704,Terra,MODIS,52,61.03,289.9,4,D,2
25.9145,51.4895,305.4,1.1,1,2023-01-08,1008,Aqua,MODIS,55,61.03,294,5.1,D,0
25.8781,51.5364,302,1.2,1.1,2023-01-09,1842,Terra,MODIS,39,61.03,286.6,7.1,N,2
25.8794,51.5535,308.1,2.3,1.5,2023-01-11,0729,Terra,MODIS,46,61.03,289.4,22.2,D,2
25.8807,51.5472,311.7,2.3,1.5,2023-01-11,0729,Terra,MODIS,60,61.03,289.3,30.6,D,2
25.8918,51.5413,306,1,1,2023-01-11,1826,Terra,MODIS,18,61.03,287.4,8.2,N,2
25.8978,51.5198,309.3,1,1,2023-01-11,1826,Terra,MODIS,76,61.03,284,11,N,2
25.8878,51.5464,301.3,1.2,1.1,2023-01-11,2244,Aqua,MODIS,40,61.03,285.6,7.9,N,2
25.8928,51.5469,304.5,1.1,1,2023-01-16,1835,Terra,MODIS,57,61.03,287.6,6.5,N,2
25.9018,51.5541,304.2,2.1,1.4,2023-01-16,2300,Aqua,MODIS,54,61.03,288.3,17.4,N,2
25.9127,51.5516,301.3,2.1,1.4,2023-01-16,2300,Aqua,MODIS,20,61.03,288.1,12.3,N,2
25.894,51.5393,300.7,1.1,1.1,2023-01-18,1819,Terra,MODIS,29,61.03,285.3,6.4,N,2
25.8988,51.5432,301.3,2.6,1.6,2023-01-27,1756,Terra,MODIS,37,61.03,285.1,25.4,N,2
25.8937,51.5179,328.5,2.6,1.6,2023-01-27,1756,Terra,MODIS,100,61.03,284.7,121.6,N,0
25.9015,51.5109,318.9,3.7,1.8,2023-01-28,0741,Terra,MODIS,76,61.03,290.4,105.5,D,0
25.9009,51.5298,330.6,2.2,1.4,2023-01-28,0934,Aqua,MODIS,85,61.03,292,85.8,D,2
25.8967,51.5086,335.2,2.2,1.4,2023-01-28,0934,Aqua,MODIS,88,61.03,293.2,106.8,D,0
25.8995,51.5206,376.2,1.1,1.1,2023-01-28,1837,Terra,MODIS,100,61.03,288.5,162.5,N,2
25.893,51.5439,305,1.1,1.1,2023-01-28,1837,Terra,MODIS,63,61.03,287.7,9,N,2
25.9009,51.5315,313.7,1.1,1.1,2023-01-28,1837,Terra,MODIS,86,61.03,285.6,14.7,N,2
25.8982,51.5097,302.3,1.1,1.1,2023-01-28,1837,Terra,MODIS,23,61.03,286,6.8,N,0
25.9092,51.5123,306.6,4.4,1.9,2023-01-28,2319,Aqua,MODIS,69,61.03,283.7,88,N,0
25.9061,51.5076,303.4,4.4,1.9,2023-01-28,2319,Aqua,MODIS,55,61.03,283.1,71.4,N,0
25.8965,51.5498,314.1,4.4,1.9,2023-01-28,2319,Aqua,MODIS,88,61.03,284.7,133,N,2
25.8932,51.5478,302.1,1.1,1,2023-01-30,1821,Terra,MODIS,37,61.03,288.1,6.3,N,2
25.8892,51.5399,314.5,1,1,2023-01-31,1003,Aqua,MODIS,66,61.03,298.4,8.9,D,2
25.924,51.5175,301.1,1.8,1.3,2023-02-01,1806,Terra,MODIS,33,61.03,288.4,10.2,N,0
25.9208,51.5001,303.8,1.8,1.3,2023-02-01,1806,Terra,MODIS,57,61.03,287.9,15.3,N,0
25.9182,51.5133,302,1.5,1.2,2023-02-02,1846,Terra,MODIS,46,61.03,288.8,8.3,N,0
25.8898,51.5413,308.1,1.1,1,2023-02-03,0653,Terra,MODIS,37,61.03,295.8,5.4,D,2
24.9282,51.5621,307.4,1,1,2023-02-04,1830,Terra,MODIS,71,61.03,287.2,9.2,N,2
25.893,51.5405,304.9,1,1,2023-02-04,1831,Terra,MODIS,54,61.03,287.3,7.3,N,2
25.8944,51.5494,302.5,1.1,1,2023-02-05,2226,Aqua,MODIS,50,61.03,288.7,7.5,N,2
24.9353,51.5624,306.5,1.1,1,2023-02-05,2226,Aqua,MODIS,68,61.03,286.7,10.2,N,0
24.9236,51.5589,308.4,1.3,1.1,2023-02-06,1814,Terra,MODIS,74,61.03,291.3,13.2,N,2
25.8927,51.5418,314,1,1,2023-02-07,1005,Aqua,MODIS,51,61.03,299.4,5.8,D,2
25.8902,51.5481,312.3,1,1,2023-02-08,0702,Terra,MODIS,43,61.03,295,7,D,2
24.9265,51.5568,301.5,2.5,1.5,2023-02-08,1758,Terra,MODIS,42,61.03,287.5,22.5,N,2
24.9236,51.5601,354.5,1.2,1.1,2023-02-09,0952,Aqua,MODIS,73,61.03,302.7,82.3,D,2
25.8893,51.5453,310.9,1.1,1.1,2023-02-09,0952,Aqua,MODIS,22,61.03,295.2,6.6,D,2
24.9266,51.5581,300.2,1.2,1.1,2023-02-09,1839,Terra,MODIS,21,61.03,283.3,8,N,2
25.9052,51.5509,311.9,1.2,1.1,2023-02-13,0711,Terra,MODIS,34,61.03,296.8,6.4,D,2
25.8891,51.5469,316.4,1,1,2023-02-14,1007,Aqua,MODIS,33,61.03,304.1,6.3,D,2
25.8887,51.547,312.6,1,1,2023-02-15,0655,Terra,MODIS,50,61.03,299,5.7,D,2
24.9258,51.5331,305.7,3.3,1.7,2023-02-15,1751,Terra,MODIS,36,61.03,290.7,38.8,N,0
25.889,51.5454,302,1,1,2023-02-16,1833,Terra,MODIS,27,61.03,290.8,5.1,N,2
25.9104,51.5522,322.1,1,1,2023-02-19,2230,Aqua,MODIS,100,61.03,287.2,21,N,2
25.8941,51.5426,300.6,1,1,2023-02-19,2230,Aqua,MODIS,30,61.03,286.9,6.1,N,2
25.9037,51.5595,313.3,1,1,2023-02-20,0704,Terra,MODIS,22,61.03,295.7,6.9,D,2
25.8885,51.5441,315.6,1.1,1,2023-02-21,1009,Aqua,MODIS,33,61.03,300,8,D,2
25.8911,51.5419,300.9,1.3,1.1,2023-02-21,1841,Terra,MODIS,35,61.03,287.2,7.8,N,2
25.8835,51.5397,309.7,1,1,2023-02-23,1825,Terra,MODIS,78,61.03,290.8,9.2,N,2
25.8923,51.5381,305.9,1,1,2023-02-23,1825,Terra,MODIS,34,61.03,291.5,6.3,N,2
25.9149,51.5579,303.4,1,1,2023-02-23,1825,Terra,MODIS,55,61.03,290.9,5.6,N,2
25.8889,51.5363,302.3,3.5,1.8,2023-02-24,1906,Terra,MODIS,44,61.03,288.3,35,N,2
25.8909,51.5442,304.7,1.1,1,2023-02-28,1834,Terra,MODIS,58,61.03,292.6,6.3,N,2
25.8908,51.5449,316.2,1.1,1,2023-03-04,0706,Terra,MODIS,42,61.03,301.6,8.3,D,2
25.8889,51.541,304.9,1.4,1.2,2023-03-05,1843,Terra,MODIS,37,61.03,292.8,8.7,N,2
