latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
0.4506,16.1434,304.6,2.9,1.6,2023-01-02,0937,Terra,MODIS,26,61.03,287.2,8.3,D,0
-1.3461,15.991,310.6,1.8,1.3,2023-01-02,1219,Aqua,MODIS,47,61.03,290.8,10.7,D,0
-1.3578,15.9927,317.3,1.8,1.3,2023-01-02,1219,Aqua,MODIS,73,61.03,292.7,24.4,D,0
-3.0398,15.9351,310.3,1.9,1.4,2023-01-02,1219,Aqua,MODIS,61,61.03,292,16.8,D,0
-1.3515,15.9866,318.6,1.8,1.3,2023-01-02,1219,Aqua,MODIS,75,61.03,291.2,25.4,D,0
0.2069,15.8036,308.4,1.8,1.3,2023-01-02,1219,Aqua,MODIS,53,61.03,291.2,9.2,D,0
0.1222,15.5287,313.2,1.9,1.3,2023-01-02,1219,Aqua,MODIS,67,61.03,294.4,17.9,D,0
-0.1632,15.8654,310.4,1.8,1.3,2023-01-02,1219,Aqua,MODIS,62,61.03,294,11.1,D,0
3.2692,16.7953,318.3,1.3,1.1,2023-01-02,1220,Aqua,MODIS,72,61.03,301.4,16,D,0
1.4991,15.9216,309.3,1.6,1.3,2023-01-02,1220,Aqua,MODIS,57,61.03,295.6,8.7,D,0
1.497,15.9071,309.2,1.6,1.3,2023-01-02,1220,Aqua,MODIS,57,61.03,295.9,8.5,D,0
1.4986,15.9148,314.1,1.6,1.3,2023-01-02,1220,Aqua,MODIS,69,61.03,295.9,17,D,0
2.1741,18.0576,312.3,1.2,1.1,2023-01-02,1220,Aqua,MODIS,61,61.03,300,6.1,D,0
2.3894,17.6231,311.4,1.2,1.1,2023-01-02,1220,Aqua,MODIS,59,61.03,298.6,6.2,D,0
2.3233,18.1291,316.1,3.2,1.7,2023-01-03,1302,Aqua,MODIS,63,61.03,289.5,50.9,D,0
2.1516,13.9509,307.5,1,1,2023-01-04,0921,Terra,MODIS,54,61.03,294.1,4.5,D,2
2.3337,18.1388,305.1,1.8,1.3,2023-01-04,0921,Terra,MODIS,33,61.03,287,8.9,D,0
3.1796,16.5423,312.7,1.4,1.2,2023-01-04,0921,Terra,MODIS,50,61.03,301.1,11.7,D,0
3.372,17.1787,310.7,1.5,1.2,2023-01-04,0921,Terra,MODIS,66,61.03,298.5,11.9,D,0
2.149,13.9521,306.7,1,1,2023-01-05,1249,Aqua,MODIS,30,61.03,291.7,3,D,2
-0.2053,14.9259,316.5,1,1,2023-01-05,1249,Aqua,MODIS,73,61.03,284.9,12.9,D,0
2.1478,13.9431,313.9,1,1,2023-01-05,1249,Aqua,MODIS,67,61.03,295,8.4,D,2
1.4164,16.3224,319.2,1.3,1.1,2023-01-05,1249,Aqua,MODIS,0,61.03,297.9,14.2,D,2
1.4181,16.3268,314.5,1.3,1.1,2023-01-05,1249,Aqua,MODIS,54,61.03,296.9,9.2,D,0
1.4917,15.919,310.6,1.2,1.1,2023-01-05,1249,Aqua,MODIS,52,61.03,293.4,6,D,0
1.4902,15.9083,323.6,1.2,1.1,2023-01-05,1249,Aqua,MODIS,78,61.03,294.2,21,D,0
3.37,17.1782,311.5,1,1,2023-01-06,0905,Terra,MODIS,64,61.03,297,6,D,0
1.431,16.1763,311.7,1,1,2023-01-06,0906,Terra,MODIS,48,61.03,294.9,6.3,D,2
-4.5164,12.0519,328.5,1.3,1.1,2023-01-06,0907,Terra,MODIS,82,61.03,294.5,31.7,D,2
-0.6083,15.9765,304.5,1.6,1.3,2023-01-06,2126,Terra,MODIS,60,61.03,283.1,12.9,N,0
-2.784,15.7733,308.6,1.5,1.2,2023-01-06,2126,Terra,MODIS,75,61.03,287.7,14.2,N,0
3.3682,17.174,314.1,1,1,2023-01-07,1236,Aqua,MODIS,25,61.03,298.7,7.6,D,0
-0.9781,15.8725,310.8,1.6,1.2,2023-01-09,1222,Aqua,MODIS,53,61.03,292.6,11,D,0
