latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.2742,55.375,317.6,1.1,1,2023-03-17,0622,Terra,MODIS,49,61.03,301.9,7.8,D,0
-21.0215,55.2642,314.5,1,1,2023-06-25,1017,Aqua,MODIS,53,61.03,296.8,10.6,D,0
-21.0228,55.2542,311.4,1,1,2023-06-25,1017,Aqua,MODIS,30,61.03,294.9,8.3,D,0
-21.2455,55.7343,444.6,2.2,1.4,2023-07-02,0542,Terra,MODIS,100,61.03,305.3,2069.9,D,1
-21.2324,55.7355,381.4,2.2,1.4,2023-07-02,0542,Terra,MODIS,100,61.03,299.1,511.9,D,1
-21.2425,55.7185,369.8,2.2,1.4,2023-07-02,0542,Terra,MODIS,100,61.03,292.6,373.1,D,1
-21.2421,55.746,415.7,1,1,2023-07-02,1016,Aqua,MODIS,100,61.03,297.5,372.7,D,1
-21.2434,55.7366,454.3,1,1,2023-07-02,1016,Aqua,MODIS,100,61.03,323.5,795.7,D,1
-21.2331,55.7445,318.2,1,1,2023-07-02,1016,Aqua,MODIS,65,61.03,285.3,16.3,D,1
-21.2285,55.7467,326.4,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,283.3,249,N,1
-21.2306,55.7181,318.7,4.6,2,2023-07-02,1751,Terra,MODIS,97,61.03,279,177.7,N,1
-21.2624,55.7458,387,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,286.5,1675.3,N,1
-21.2653,55.7119,344.4,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,279.6,482.7,N,1
-21.2473,55.7152,312.8,4.6,2,2023-07-02,1751,Terra,MODIS,77,61.03,278.3,125.4,N,1
-21.2275,55.7419,323.3,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,282.6,218.4,N,1
-21.2448,55.7454,340.4,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,284.2,419.7,N,1
-21.2822,55.7542,319.6,4.6,2,2023-07-02,1751,Terra,MODIS,99,61.03,288.9,179.1,N,1
-21.2845,55.723,313.4,4.6,2,2023-07-02,1751,Terra,MODIS,82,61.03,283.6,129.6,N,1
-21.281,55.7513,382.3,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,290,1487.9,N,1
-21.2835,55.7192,358.4,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,282.6,766.6,N,1
-21.2635,55.7504,397.4,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,287.5,2157.5,N,1
-21.266,55.7181,378.4,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,282,1356.1,N,1
-21.2459,55.7498,325.5,4.6,2,2023-07-02,1751,Terra,MODIS,100,61.03,283.7,236.5,N,1
-21.248,55.7214,314.9,4.6,2,2023-07-02,1751,Terra,MODIS,87,61.03,279.1,143.4,N,1
-21.2374,55.74,331.7,4.5,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,279.2,303.1,N,1
-21.2429,55.7656,313.3,4.4,1.9,2023-07-02,2110,Aqua,MODIS,81,61.03,282.7,131.4,N,1
-21.2548,55.7372,337.8,4.5,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,279.6,374.9,N,1
-21.2604,55.7632,413.8,4.4,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,292.2,3002.2,N,1
-21.2718,55.7322,375.2,4.5,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,280.4,1196.9,N,1
-21.2778,55.7603,383.1,4.4,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,287.2,1460.1,N,1
-21.2369,55.7348,323.5,4.5,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,277.6,216.4,N,1
-21.2427,55.7609,322.8,4.4,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,282.1,205.6,N,1
-21.2543,55.7318,320.7,4.5,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,277.6,189.2,N,1
-21.2602,55.7584,412.1,4.4,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,291,2893.7,N,1
-21.2711,55.7259,352.2,4.5,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,277.7,612.6,N,1
-21.2776,55.7555,379.6,4.4,1.9,2023-07-02,2110,Aqua,MODIS,100,61.03,287,1338.4,N,1
-21.2798,55.7167,374.5,3.4,1.7,2023-07-03,1057,Aqua,MODIS,100,61.03,295.8,781.1,D,1
-21.2888,55.7246,376.8,3.4,1.7,2023-07-03,1057,Aqua,MODIS,82,61.03,293.8,837.8,D,1
-21.2698,55.7653,377.4,3.4,1.7,2023-07-03,1057,Aqua,MODIS,65,61.03,293.6,848.5,D,1
-21.2683,55.7357,334.2,1,1,2023-07-03,1831,Terra,MODIS,100,61.03,278.8,39.1,N,1
-21.267,55.7451,343.2,1,1,2023-07-03,1831,Terra,MODIS,100,61.03,279.3,53.6,N,1
-21.2772,55.7371,314,1,1,2023-07-03,1831,Terra,MODIS,84,61.03,278.9,16.1,N,1
-21.276,55.7465,317.5,1,1,2023-07-03,1831,Terra,MODIS,94,61.03,278.9,19,N,1
-21.2689,55.7438,380.2,3.5,1.8,2023-07-04,1912,Terra,MODIS,100,61.03,286.7,972.3,N,1
-21.2777,55.7012,326,3.5,1.8,2023-07-04,1912,Terra,MODIS,100,61.03,277.6,165.9,N,1
-21.2749,55.7381,378.2,3.5,1.8,2023-07-04,1912,Terra,MODIS,100,61.03,286.9,929.6,N,1
-21.2655,55.7324,348.2,3.8,1.8,2023-07-04,2234,Aqua,MODIS,100,61.03,277.4,435.3,N,1
-21.2712,55.7209,328.1,3.8,1.8,2023-07-04,2234,Aqua,MODIS,100,61.03,275.5,212,N,1
-21.2741,55.7418,364.7,1.6,1.2,2023-07-05,1815,Terra,MODIS,100,61.03,283.7,204,N,1
-21.2757,55.7279,335.7,1.6,1.2,2023-07-05,1815,Terra,MODIS,100,61.03,279.3,79.3,N,1
-21.263,55.7407,307.2,1.6,1.2,2023-07-05,1815,Terra,MODIS,52,61.03,280.3,22.4,N,1
-21.2577,55.7505,308.7,1.4,1.2,2023-07-05,2138,Aqua,MODIS,61,61.03,281.6,18.6,N,1
-21.2661,55.7368,422.4,1.4,1.2,2023-07-05,2138,Aqua,MODIS,100,61.03,295.3,707.6,N,1
-21.2682,55.7486,451.6,1.4,1.2,2023-07-05,2138,Aqua,MODIS,100,61.03,322,1237.5,N,1
-21.2701,55.7596,323.2,1.4,1.2,2023-07-05,2138,Aqua,MODIS,73,61.03,289.7,37,N,1
-21.2767,55.7348,305.6,1.4,1.2,2023-07-05,2138,Aqua,MODIS,11,61.03,279.9,15.1,N,1
-21.2788,55.7468,312.2,1.4,1.2,2023-07-05,2138,Aqua,MODIS,68,61.03,283.8,22.1,N,1
-21.2724,55.7206,321.2,3.6,1.8,2023-07-06,0647,Terra,MODIS,60,61.03,288.3,126.2,D,1
-21.273,55.7208,360.1,2.9,1.6,2023-07-06,0947,Aqua,MODIS,100,61.03,294.3,385.8,D,1
-21.2708,55.744,361.8,2.8,1.6,2023-07-06,0947,Aqua,MODIS,94,61.03,289.2,406.6,D,1
-21.2827,55.7399,368.5,2.8,1.6,2023-07-06,0947,Aqua,MODIS,94,61.03,293.7,491.9,D,1
-21.2682,55.7384,322.3,2.8,1.6,2023-07-06,0947,Aqua,MODIS,48,61.03,289.5,78.5,D,1
-21.2743,55.7584,349,1.8,1.3,2023-07-06,1855,Terra,MODIS,100,61.03,292.2,143.9,N,1
-21.2667,55.7337,365.7,1.8,1.3,2023-07-06,1855,Terra,MODIS,100,61.03,281.7,241.5,N,1
-21.2781,55.7366,379.4,1.8,1.3,2023-07-06,1855,Terra,MODIS,100,61.03,291.6,350.4,N,1
-21.2729,55.7455,399.8,2,1.4,2023-07-06,2219,Aqua,MODIS,100,61.03,292.1,727.9,N,1
