latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.0817,26.4197,300.7,1.3,1.1,2023-01-03,1935,Terra,MODIS,32,61.03,278.8,11.3,N,0
45.0845,26.4353,315.1,1.3,1.1,2023-01-03,1935,Terra,MODIS,91,61.03,279.1,25.2,N,0
44.2707,23.0048,305,1.3,1.1,2023-01-06,0854,Terra,MODIS,60,61.03,282.3,13,D,0
45.2539,29.5522,315.8,3.2,1.7,2023-01-19,0759,Terra,MODIS,65,61.03,283.7,85.5,D,0
45.2499,29.5693,300.5,3.5,1.8,2023-01-19,0937,Terra,MODIS,38,61.03,285.5,30.5,D,0
45.056,26.5583,301.5,1,1,2023-01-19,1128,Aqua,MODIS,47,61.03,287.5,4.8,D,0
45.2497,29.5648,324.7,1.2,1.1,2023-01-19,1128,Aqua,MODIS,83,61.03,288.7,31.2,D,0
45.248,29.5491,305.6,1.2,1.1,2023-01-19,1128,Aqua,MODIS,62,61.03,287.3,9.8,D,0
45.7701,25.8397,309.9,1,1,2023-01-19,1128,Aqua,MODIS,69,61.03,285.8,10.3,D,0
45.7789,25.8371,312.1,1,1,2023-01-19,1128,Aqua,MODIS,72,61.03,285.3,12.2,D,0
44.6925,28.7798,317.2,1.2,1.1,2023-01-21,0008,Aqua,MODIS,95,61.03,278,25.1,N,0
46.8747,27.2343,309.4,1,1,2023-01-21,1116,Aqua,MODIS,69,61.03,285.6,11.1,D,0
46.8727,27.2213,304.5,1,1,2023-01-21,1116,Aqua,MODIS,59,61.03,285.8,8,D,0
44.3458,22.6981,301.4,3.4,1.7,2023-02-01,1051,Aqua,MODIS,47,61.03,281.4,39.5,D,0
44.3352,22.6586,301.7,3.4,1.7,2023-02-01,1051,Aqua,MODIS,46,61.03,281.7,40.8,D,0
44.8431,28.8886,324.9,1.4,1.2,2023-02-15,1056,Aqua,MODIS,25,61.03,277,34.7,D,0
44.8473,28.8921,321.3,1.4,1.2,2023-02-15,1056,Aqua,MODIS,52,61.03,276.2,30,D,0
44.8442,28.8756,313.8,1.4,1.2,2023-02-15,1056,Aqua,MODIS,41,61.03,277.1,20.7,D,0
43.9953,24.8355,308.5,1.1,1,2023-02-16,0910,Terra,MODIS,67,61.03,282.2,11.4,D,0
44.9461,26.0706,305.4,1.1,1.1,2023-02-16,0910,Terra,MODIS,61,61.03,281,10.9,D,2
44.1152,26.292,322.6,1.1,1,2023-02-16,1138,Aqua,MODIS,82,61.03,287.8,24.5,D,0
44.1135,26.2783,301,1.1,1,2023-02-16,1138,Aqua,MODIS,44,61.03,287.5,5.5,D,0
45.5295,20.9823,301.4,1,1,2023-02-16,2017,Terra,MODIS,40,61.03,271.6,10.1,N,0
43.8871,23.483,339.1,1.8,1.3,2023-02-20,0838,Terra,MODIS,79,61.03,284.6,105.7,D,0
45.0887,29.5457,369.7,1,1,2023-02-20,1111,Aqua,MODIS,0,61.03,284.5,119.2,D,0
43.8033,25.3611,325.9,1.4,1.2,2023-02-20,1111,Aqua,MODIS,84,61.03,290.4,36.7,D,0
43.8002,25.3446,301.4,1.4,1.2,2023-02-20,1111,Aqua,MODIS,47,61.03,289.4,4.9,D,0
45.0868,29.5332,367.3,1,1,2023-02-20,1111,Aqua,MODIS,0,61.03,285.2,111.2,D,0
45.1911,29.2402,310,1,1,2023-02-20,1111,Aqua,MODIS,0,61.03,281.7,12.6,D,0
45.1892,29.2277,321.8,1,1,2023-02-20,1111,Aqua,MODIS,0,61.03,282.6,23,D,0
44.9357,23.5411,302.8,1.1,1,2023-02-21,0919,Terra,MODIS,32,61.03,287.2,5.6,D,0
44.9281,23.5465,307.9,1.1,1,2023-02-21,0919,Terra,MODIS,66,61.03,286.9,10.3,D,0
44.2731,25.6373,303.9,1.4,1.2,2023-02-21,0919,Terra,MODIS,57,61.03,278.7,11.8,D,0
44.4514,22.6466,302.4,1.1,1,2023-02-21,0919,Terra,MODIS,52,61.03,285.9,6.7,D,0
43.7397,25.7355,301.5,1.5,1.2,2023-02-21,1153,Aqua,MODIS,47,61.03,290.1,6.4,D,0
43.8837,23.4164,305.1,1.2,1.1,2023-02-21,1153,Aqua,MODIS,45,61.03,293.1,5,D,0
43.8853,23.4311,312.9,1.2,1.1,2023-02-21,1153,Aqua,MODIS,69,61.03,292.5,12.4,D,0
44.0809,25.4972,301,1.5,1.2,2023-02-21,1153,Aqua,MODIS,40,61.03,288.1,6.1,D,0
44.8137,23.0797,305.8,1.2,1.1,2023-02-21,1154,Aqua,MODIS,62,61.03,292.5,6.5,D,0
44.8521,23.9965,302.3,1.3,1.1,2023-02-21,1154,Aqua,MODIS,52,61.03,290.8,5.1,D,0
44.7746,22.9079,304.5,1.2,1.1,2023-02-21,1154,Aqua,MODIS,50,61.03,291.2,5.6,D,0
44.8041,23.0821,305.7,1.2,1.1,2023-02-21,1154,Aqua,MODIS,55,61.03,292.5,6.6,D,0
44.7841,22.9058,308.4,1.2,1.1,2023-02-21,1154,Aqua,MODIS,67,61.03,291.7,9.1,D,0
