latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.2582,30.3502,323.7,1.4,1.2,2023-01-20,1158,Aqua,MODIS,38,61.03,301.9,21.2,D,0
-1.6193,30.8319,308.6,1.3,1.1,2023-02-11,1955,Terra,MODIS,75,61.03,289,14.2,N,0
-1.6145,30.8333,300.3,1.1,1.1,2023-02-11,2332,Aqua,MODIS,25,61.03,288,6.3,N,0
-1.5074,30.5859,327.5,1.2,1.1,2023-02-19,1154,Aqua,MODIS,68,61.03,303.3,16.3,D,0
-1.5121,30.4866,331,1.2,1.1,2023-02-19,1154,Aqua,MODIS,81,61.03,306,26.1,D,0
-1.5137,30.4755,325.5,1.2,1.1,2023-02-19,1154,Aqua,MODIS,72,61.03,304.3,17.4,D,0
-1.5503,30.6114,323,1.3,1.1,2023-02-24,0818,Terra,MODIS,79,61.03,295.9,21,D,0
-1.5426,30.6049,316.4,2.3,1.5,2023-02-24,1210,Aqua,MODIS,62,61.03,291.6,24.3,D,0
-1.5201,30.754,300.3,1.1,1.1,2023-03-07,1958,Terra,MODIS,24,61.03,282.6,6.8,N,0
-2.2716,30.2362,329.9,1,1,2023-03-14,1146,Aqua,MODIS,83,61.03,296.9,16.5,D,0
-1.5558,30.5604,314.1,1,1,2023-06-02,0806,Terra,MODIS,70,61.03,296.8,6.8,D,0
-1.5676,30.5457,320.9,1.3,1.1,2023-06-08,1134,Aqua,MODIS,73,61.03,302.3,15.7,D,0
-1.5693,30.5339,318.8,1.3,1.1,2023-06-08,1134,Aqua,MODIS,65,61.03,301.2,12.9,D,0
-1.5354,30.4816,318.8,1.3,1.1,2023-06-08,1134,Aqua,MODIS,70,61.03,301.4,14.7,D,0
-2.074,30.8157,317,1.3,1.1,2023-06-15,1134,Aqua,MODIS,54,61.03,297.1,9.1,D,0
-1.5839,30.4288,319.6,1,1,2023-06-20,1147,Aqua,MODIS,44,61.03,297.7,11.3,D,0
-1.5444,30.5136,320,1,1,2023-06-20,1147,Aqua,MODIS,70,61.03,302.5,10,D,0
-1.7186,30.7041,301.5,1.9,1.4,2023-06-28,0008,Aqua,MODIS,32,61.03,286.9,16.9,N,0
-1.7259,30.715,300.8,2,1.4,2023-06-28,0008,Aqua,MODIS,8,61.03,287,14.6,N,0
-2.6686,28.9139,311.5,1.7,1.3,2023-06-28,0748,Terra,MODIS,61,61.03,293.9,11.1,D,0
-1.7637,30.7165,330.4,1.5,1.2,2023-06-29,1132,Aqua,MODIS,77,61.03,297.2,36.4,D,0
-1.7742,30.7183,340.8,1.5,1.2,2023-06-29,1132,Aqua,MODIS,89,61.03,301.4,62.1,D,0
-1.7581,30.7261,340.3,2.3,1.5,2023-06-30,1214,Aqua,MODIS,86,61.03,276,128.3,D,0
-1.7805,30.7354,363.2,2.3,1.5,2023-06-30,1214,Aqua,MODIS,94,61.03,278,298.9,D,0
-1.7811,30.7517,323,2.3,1.5,2023-06-30,1214,Aqua,MODIS,0,61.03,276.5,54.6,D,0
-1.7842,30.7302,359.5,2.3,1.5,2023-06-30,1214,Aqua,MODIS,86,61.03,278.8,271.8,D,0
-1.5599,30.4142,330.3,1.2,1.1,2023-07-02,1200,Aqua,MODIS,82,61.03,302.7,26.5,D,0
-1.7915,30.7224,320.9,1.3,1.1,2023-07-02,1200,Aqua,MODIS,52,61.03,303.6,11.4,D,0
-1.5734,30.5265,319.2,1.2,1.1,2023-07-02,1200,Aqua,MODIS,56,61.03,301.8,9.9,D,0
-1.5615,30.4035,343,1.2,1.1,2023-07-02,1200,Aqua,MODIS,91,61.03,304,50.5,D,0
-1.5438,30.4558,324.7,1.2,1.1,2023-07-02,1200,Aqua,MODIS,77,61.03,300.7,19.2,D,0
-1.4173,30.566,312.4,1.1,1,2023-07-03,0756,Terra,MODIS,50,61.03,294.5,6.4,D,0
-1.5395,30.5806,315.1,1.1,1,2023-07-03,0756,Terra,MODIS,67,61.03,296.3,7.9,D,0
-1.7487,30.7576,325.6,1.8,1.3,2023-07-05,0739,Terra,MODIS,46,61.03,300.3,39,D,0
-1.7749,30.043,313.2,2.1,1.4,2023-07-05,0739,Terra,MODIS,66,61.03,297.8,16.3,D,0
-1.7412,30.777,302,1,1,2023-07-05,1959,Terra,MODIS,46,61.03,288.5,5.4,N,0
-1.7203,30.7834,332.8,1.7,1.3,2023-07-06,0820,Terra,MODIS,0,61.03,293,63.6,D,0
-1.718,30.7878,313.7,2.2,1.4,2023-07-07,1213,Aqua,MODIS,16,61.03,288.3,29.2,D,0
-1.724,30.8102,328.6,1,1,2023-07-08,0804,Terra,MODIS,79,61.03,294.2,21.7,D,0
-1.7137,30.8025,334.1,1,1,2023-07-08,0804,Terra,MODIS,50,61.03,298.4,27.4,D,0
-1.715,30.8114,332.5,1,1,2023-07-08,0804,Terra,MODIS,53,61.03,295.4,26.7,D,0
-1.5868,30.5412,320.3,1,1,2023-07-11,1145,Aqua,MODIS,56,61.03,299.3,8.4,D,0
-1.5778,30.5397,325.1,1,1,2023-07-11,1145,Aqua,MODIS,74,61.03,300.6,13.6,D,0
-1.5665,30.4338,316,1.1,1,2023-07-15,0755,Terra,MODIS,52,61.03,302.4,6.4,D,0
-1.578,30.5241,316.5,3.2,1.7,2023-07-15,1116,Aqua,MODIS,44,61.03,298.1,26.2,D,0
-1.5903,30.5318,314.6,3.2,1.7,2023-07-15,1116,Aqua,MODIS,44,61.03,298.2,17.2,D,0
-1.746,30.7377,316.1,3.6,1.8,2023-07-16,0835,Terra,MODIS,31,61.03,300.9,48.4,D,0
-1.7557,30.7309,321,3.6,1.8,2023-07-16,0835,Terra,MODIS,68,61.03,301.5,76.3,D,0
-1.5591,30.4275,327,1.1,1.1,2023-07-16,1158,Aqua,MODIS,64,61.03,306.8,14.2,D,0
-1.7322,30.7003,345.9,1.1,1.1,2023-07-16,1158,Aqua,MODIS,92,61.03,307.7,49.3,D,0
-1.7857,30.7045,356.2,1.1,1.1,2023-07-16,1158,Aqua,MODIS,98,61.03,309.1,74.7,D,0
-1.7872,30.6943,325.2,1.1,1.1,2023-07-16,1158,Aqua,MODIS,22,61.03,311,9.9,D,0
-1.7797,30.7071,374.4,1.1,1.1,2023-07-16,1158,Aqua,MODIS,94,61.03,311.2,141.4,D,0
-1.7811,30.6969,385.4,1.1,1.1,2023-07-16,1158,Aqua,MODIS,100,61.03,315.9,198.2,D,0
-1.7592,30.7146,335.2,1.1,1.1,2023-07-16,1158,Aqua,MODIS,48,61.03,310.5,20.5,D,0
-1.7497,30.7132,336.7,1.1,1.1,2023-07-16,1158,Aqua,MODIS,48,61.03,313.3,24.8,D,0
-1.7402,30.7118,355.6,1.1,1.1,2023-07-16,1158,Aqua,MODIS,97,61.03,312.3,71.7,D,0
-1.7417,30.7019,345.9,1.1,1.1,2023-07-16,1158,Aqua,MODIS,86,61.03,306.3,47.6,D,0
-1.7629,29.7985,327.2,1.1,1,2023-07-16,1158,Aqua,MODIS,76,61.03,303.7,18.6,D,0
-1.7015,30.6793,300.8,3.1,1.7,2023-07-17,0019,Aqua,MODIS,25,61.03,286.7,29.7,N,0
-1.688,30.6775,328.4,1.9,1.3,2023-07-17,0738,Terra,MODIS,57,61.03,301.9,45.6,D,0
-1.6922,30.666,325.8,1.9,1.4,2023-07-17,0738,Terra,MODIS,64,61.03,299.1,39.7,D,0
-1.7,30.676,323.6,1.9,1.3,2023-07-17,0738,Terra,MODIS,77,61.03,301.2,33.6,D,0
-1.5134,30.5642,320.1,1.1,1,2023-07-18,1143,Aqua,MODIS,33,61.03,303.8,6.7,D,0
-1.5932,29.3127,323.4,1.2,1.1,2023-07-18,1143,Aqua,MODIS,72,61.03,306.7,13.1,D,0
-1.3528,30.1412,321.2,1.1,1,2023-07-18,1144,Aqua,MODIS,62,61.03,304,9.5,D,0
-1.3514,30.151,342.3,1.1,1,2023-07-18,1144,Aqua,MODIS,90,61.03,307.7,41.6,D,0
-1.4664,30.1615,302.2,1.5,1.2,2023-07-19,0005,Aqua,MODIS,48,61.03,285.7,11.7,N,0
-1.559,30.5923,316.6,3.7,1.8,2023-07-19,1225,Aqua,MODIS,71,61.03,296.7,50.4,D,0
-1.5522,30.5338,315.1,1,1,2023-07-20,0802,Terra,MODIS,52,61.03,301.9,4.3,D,0
-1.3981,30.3067,319.7,1,1,2023-07-20,0802,Terra,MODIS,47,61.03,305.1,6.9,D,0
-1.5469,30.6139,334.5,1.8,1.3,2023-07-20,1129,Aqua,MODIS,86,61.03,306.7,54.7,D,0
-1.5216,30.6152,305.5,1.8,1.3,2023-07-20,2022,Terra,MODIS,64,61.03,287.5,16.2,N,0
-1.5245,30.6095,301.1,1.8,1.3,2023-07-20,2022,Terra,MODIS,8,61.03,287.8,9.8,N,0
-1.486,30.5283,322.7,1.9,1.3,2023-07-21,1211,Aqua,MODIS,66,61.03,307.2,20.5,D,0
-2.2696,30.3419,324.6,1.8,1.3,2023-07-21,1211,Aqua,MODIS,49,61.03,305.6,30.1,D,0
-2.258,30.3404,336.1,1.8,1.3,2023-07-21,1211,Aqua,MODIS,79,61.03,303.4,61.7,D,0
-2.2584,30.3494,333.6,1.8,1.3,2023-07-21,1211,Aqua,MODIS,61,61.03,306.1,53.5,D,0
-1.4951,30.5196,321.3,1.9,1.3,2023-07-21,1211,Aqua,MODIS,39,61.03,305.4,17.3,D,0
-1.5096,30.5172,314.9,1.4,1.2,2023-07-22,0746,Terra,MODIS,65,61.03,300.6,8.3,D,0
-1.9174,30.6538,333.3,1.1,1,2023-07-23,1156,Aqua,MODIS,80,61.03,311.4,18.8,D,0
-1.7781,29.7765,316.9,1,1,2023-07-23,1157,Aqua,MODIS,41,61.03,303.6,5.2,D,0
-1.5662,30.4701,325.8,1.1,1,2023-07-23,1157,Aqua,MODIS,58,61.03,309.9,7.9,D,0
-1.6184,29.2917,322,1,1,2023-07-23,1157,Aqua,MODIS,63,61.03,307.8,7.3,D,0
-1.5475,29.3291,326.5,1,1,2023-07-23,1157,Aqua,MODIS,68,61.03,310.2,10.1,D,1
-1.5098,30.509,321.4,1.2,1.1,2023-07-25,0810,Terra,MODIS,73,61.03,304.1,10.7,D,0
-1.4988,30.5002,327.9,1.2,1.1,2023-07-25,0810,Terra,MODIS,80,61.03,303.1,18.6,D,0
-1.5003,30.5104,355.2,1.2,1.1,2023-07-25,0810,Terra,MODIS,97,61.03,304.8,78.5,D,0
-1.5228,30.4649,324.7,1.2,1.1,2023-07-25,0810,Terra,MODIS,77,61.03,302.5,14.7,D,0
-2.243,29.4658,320.9,1.1,1,2023-07-25,0810,Terra,MODIS,74,61.03,298.1,13.7,D,0
-1.5875,30.5047,324.4,1.1,1,2023-07-25,1142,Aqua,MODIS,31,61.03,306.7,8.8,D,0
-1.5316,30.5228,317.7,3.4,1.7,2023-07-26,1224,Aqua,MODIS,66,61.03,301.3,28.8,D,0
-1.8191,30.6817,304,2.7,1.6,2023-07-26,1932,Terra,MODIS,58,61.03,289.8,25.8,N,0
-1.7718,30.7083,300.6,4.3,1.9,2023-07-26,2308,Aqua,MODIS,31,61.03,286.8,44.3,N,0
-1.7771,30.7431,301.5,4.2,1.9,2023-07-26,2308,Aqua,MODIS,41,61.03,287.7,47,N,0
-1.7791,30.7354,307.2,4.2,1.9,2023-07-26,2308,Aqua,MODIS,71,61.03,287.7,74.7,N,0
-2.2957,30.2336,322.4,2.1,1.4,2023-07-27,1128,Aqua,MODIS,68,61.03,303,27.4,D,0
