latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.4844,-172.3013,315.7,1.1,1,2023-01-19,2125,Terra,MODIS,46,61.03,295.2,9.6,D,0
-13.4814,-172.3074,311.8,2.4,1.5,2023-01-23,0053,Aqua,MODIS,0,61.03,294.4,24.5,D,0
-13.8457,-171.8118,318.8,2.6,1.6,2023-01-27,2159,Terra,MODIS,65,61.03,290.9,49,D,0
-13.4875,-172.3004,313,2.2,1.4,2023-02-27,2156,Terra,MODIS,33,61.03,296.1,21.6,D,0
-13.4882,-172.3107,315.1,2.9,1.6,2023-03-01,0050,Aqua,MODIS,28,61.03,297.7,39.5,D,0
-13.4738,-172.3127,315.2,2.9,1.6,2023-03-01,0050,Aqua,MODIS,0,61.03,297.2,37.6,D,0
-13.4868,-172.3154,314.4,2.9,1.6,2023-03-01,0050,Aqua,MODIS,23,61.03,297.6,36.3,D,0
-13.4723,-172.3174,314.6,2.9,1.6,2023-03-01,0050,Aqua,MODIS,0,61.03,297.2,36.9,D,0
-13.4818,-172.3012,314.8,1,1,2023-03-20,2134,Terra,MODIS,29,61.03,297.3,7.4,D,0
-13.5046,-172.5688,310.5,4.6,2,2023-04-07,0042,Aqua,MODIS,18,61.03,291.1,49.2,D,0
-13.5038,-172.5763,310.6,4.6,2,2023-04-07,0042,Aqua,MODIS,27,61.03,291.2,51.7,D,0
-13.5113,-172.5732,312.9,4.5,1.9,2023-04-09,0206,Aqua,MODIS,37,61.03,296.8,55.9,D,0
-13.5114,-172.5776,312.9,4.5,1.9,2023-04-09,0206,Aqua,MODIS,46,61.03,296.9,57.7,D,0
-13.5135,-172.5772,314.8,2.2,1.4,2023-05-30,0153,Aqua,MODIS,24,61.03,297.3,23.4,D,0
-13.4825,-172.3072,311.9,2.4,1.5,2023-08-07,0101,Aqua,MODIS,0,61.03,295,23.5,D,0
-13.5028,-172.5598,312.1,3.9,1.8,2023-09-11,0053,Aqua,MODIS,31,61.03,294.1,50.4,D,0
-13.5132,-172.5657,312.2,3.9,1.8,2023-09-11,0053,Aqua,MODIS,17,61.03,294,51.4,D,0
-13.484,-172.2972,311.2,1.7,1.3,2023-09-26,2142,Terra,MODIS,0,61.03,292.4,16.1,D,0
-13.4879,-172.5393,318.9,1.1,1,2023-10-05,2117,Terra,MODIS,14,61.03,299.6,10.7,D,0
-13.4892,-172.3055,312,2.5,1.5,2023-10-26,0104,Aqua,MODIS,16,61.03,296.8,23.4,D,0
-13.4882,-172.2936,315.4,1.2,1.1,2023-11-10,2110,Terra,MODIS,45,61.03,296.8,7.6,D,0
-13.5051,-172.571,315.6,2.7,1.6,2023-11-11,2151,Terra,MODIS,19,61.03,293.1,34.1,D,0
-13.5065,-172.577,316.1,2.4,1.5,2023-11-12,2053,Terra,MODIS,28,61.03,294.8,27.1,D,0
-13.5103,-172.5553,315,2.4,1.5,2023-11-12,2053,Terra,MODIS,31,61.03,294.4,24.3,D,0
-13.4901,-172.2966,312.4,2.3,1.5,2023-12-05,2145,Terra,MODIS,0,61.03,297.5,20.3,D,0
-13.4802,-172.303,312.7,1.7,1.3,2023-12-28,2058,Terra,MODIS,37,61.03,290.4,12.9,D,0
-13.4874,-172.3124,311.8,2.4,1.5,2023-12-29,0109,Aqua,MODIS,32,61.03,288.8,23.5,D,0
-13.4907,-172.5467,316.4,1.3,1.1,2023-12-30,0150,Aqua,MODIS,48,61.03,288,14.5,D,0
