latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.0202,49.5745,310.2,1,1,2023-01-01,0710,Terra,MODIS,67,61.03,295.1,5.2,D,2
27.0187,49.5844,312.1,1,1,2023-01-01,0710,Terra,MODIS,70,61.03,295.1,6.6,D,2
17.2796,42.4098,324,1.6,1.2,2023-01-01,0713,Terra,MODIS,69,61.03,302.4,17.3,D,2
17.2791,42.403,323.7,1.6,1.2,2023-01-01,0713,Terra,MODIS,74,61.03,302.3,17.2,D,2
24.0067,43.4328,304.8,2.4,1.5,2023-01-01,1004,Aqua,MODIS,27,61.03,285.9,10.8,D,0
24.2436,43.763,303.1,2.3,1.5,2023-01-01,1005,Aqua,MODIS,29,61.03,284.6,6.2,D,0
24.0111,40.8728,303.1,1.2,1.1,2023-01-02,0752,Terra,MODIS,38,61.03,286.6,3.1,D,0
24.0375,40.4468,303,1,1,2023-01-02,1047,Aqua,MODIS,0,61.03,286.2,2.9,D,0
24.1101,41.556,301.5,1,1,2023-01-02,1047,Aqua,MODIS,12,61.03,285.7,2.9,D,0
23.9491,40.2795,304.9,1,1,2023-01-02,1047,Aqua,MODIS,11,61.03,287.3,3.3,D,0
17.2804,42.4053,307,2.1,1.4,2023-01-02,1846,Terra,MODIS,70,61.03,291.9,20.9,N,2
17.2896,42.4083,309.9,1.1,1,2023-01-02,2257,Aqua,MODIS,79,61.03,294,9.8,N,2
17.2804,42.4069,306.4,1.1,1,2023-01-02,2257,Aqua,MODIS,67,61.03,293,7.1,N,2
22.5527,54.0327,346.8,1,1,2023-01-03,0951,Aqua,MODIS,92,61.03,304.9,42.3,D,0
23.581,41.1221,302.2,1.2,1.1,2023-01-04,1034,Aqua,MODIS,37,61.03,285.7,3.8,D,0
23.9113,40.9988,301.5,1.2,1.1,2023-01-04,1034,Aqua,MODIS,14,61.03,285.2,3.4,D,0
17.2825,42.4125,306,1.7,1.3,2023-01-04,2244,Aqua,MODIS,66,61.03,294.1,15.6,N,2
17.2858,42.4019,306.8,1,1,2023-01-05,1911,Terra,MODIS,69,61.03,295.9,6.9,N,2
27.0672,49.5733,303.7,3.2,1.7,2023-01-05,1914,Terra,MODIS,56,61.03,284,44.3,N,2
27.0647,49.5682,307,3.2,1.7,2023-01-05,1914,Terra,MODIS,70,61.03,284.2,52.5,N,2
17.4412,42.7458,326.5,1.1,1,2023-01-06,0722,Terra,MODIS,77,61.03,302.9,15.3,D,0
17.2764,42.4048,327.5,1.6,1.2,2023-01-07,1101,Aqua,MODIS,76,61.03,302.7,22.5,D,2
27.0116,49.5694,301.7,1.7,1.3,2023-01-07,1858,Terra,MODIS,43,61.03,284.7,13.8,N,2
27.0246,49.5847,306.5,1.7,1.3,2023-01-07,1858,Terra,MODIS,68,61.03,285.1,19.5,N,2
27.0229,49.5679,311.7,1.7,1.3,2023-01-07,1858,Terra,MODIS,83,61.03,285.1,27.1,N,2
27.0133,49.5747,325.3,1.7,1.3,2023-01-07,1858,Terra,MODIS,100,61.03,285.4,53.8,N,2
17.2817,42.412,309.7,1.1,1.1,2023-01-07,2313,Aqua,MODIS,78,61.03,292.7,11.5,N,2
27.0167,49.5829,312.4,1,1,2023-01-09,1842,Terra,MODIS,85,61.03,285.8,14.3,N,2
27.0154,49.5725,314.3,1,1,2023-01-09,1842,Terra,MODIS,89,61.03,285.1,16,N,2
23.9778,38.2634,308.7,2.1,1.4,2023-01-09,2258,Aqua,MODIS,75,61.03,289.4,31.5,N,2
17.2871,42.4071,311.3,1,1,2023-01-09,2300,Aqua,MODIS,82,61.03,294.9,11.2,N,2
27.0187,49.5738,310.4,1.2,1.1,2023-01-10,0955,Aqua,MODIS,58,61.03,285.8,9.7,D,2
23.9758,38.2548,309.1,1,1,2023-01-10,1923,Terra,MODIS,77,61.03,290.8,9.9,N,2
17.2799,42.4076,327.8,1.1,1.1,2023-01-11,1035,Aqua,MODIS,77,61.03,305.8,11.2,D,2
17.2783,42.3973,325.6,1.1,1.1,2023-01-11,1035,Aqua,MODIS,73,61.03,305.4,8.6,D,2
27.0298,49.5212,307,1.2,1.1,2023-01-11,1826,Terra,MODIS,70,61.03,282.9,13.6,N,2
27.0143,49.5775,314.9,1.1,1.1,2023-01-11,1826,Terra,MODIS,90,61.03,284.7,19.7,N,2
27.0242,49.5169,303.8,1.2,1.1,2023-01-11,1826,Terra,MODIS,57,61.03,283.3,10.2,N,0
27.0316,49.5212,301.1,1,1,2023-01-11,2244,Aqua,MODIS,38,61.03,281.3,7.7,N,2
27.0225,49.5811,314.1,1,1,2023-01-11,2244,Aqua,MODIS,88,61.03,283.6,15.9,N,2
26.9032,41.6249,300.7,2.3,1.5,2023-01-12,0810,Terra,MODIS,18,61.03,281.8,7.9,D,0
26.3755,37.8404,308.6,1.3,1.1,2023-01-12,0810,Terra,MODIS,36,61.03,295.7,5.9,D,0
27.0287,49.5135,312.5,2,1.4,2023-01-12,0942,Aqua,MODIS,67,61.03,291.2,24.7,D,0
21.3038,39.1517,302,1.4,1.2,2023-01-12,1906,Terra,MODIS,46,61.03,291.7,7.6,N,0
17.2847,42.4113,301.6,2.1,1.4,2023-01-12,2329,Aqua,MODIS,42,61.03,287.1,16.2,N,2
27.0264,49.5168,320.7,1,1,2023-01-13,0713,Terra,MODIS,78,61.03,291.8,16.9,D,0
27.0249,49.5268,326.9,1,1,2023-01-13,0713,Terra,MODIS,83,61.03,292.4,23.8,D,2
27.0173,49.5769,323.3,1,1,2023-01-13,0713,Terra,MODIS,80,61.03,294.1,18.9,D,2
27.0158,49.5869,309,1,1,2023-01-13,0713,Terra,MODIS,61,61.03,293.2,6.2,D,2
17.2756,42.3978,316,1.8,1.3,2023-01-13,1022,Aqua,MODIS,50,61.03,287.3,15.3,D,2
25.6378,49.3901,301.1,2.2,1.4,2023-01-13,1810,Terra,MODIS,37,61.03,282.9,22.6,N,2
27.0165,49.5779,302.7,1.2,1.1,2023-01-13,2231,Aqua,MODIS,51,61.03,286.6,8.4,N,2
27.0338,49.5207,334.2,1.2,1.1,2023-01-13,2231,Aqua,MODIS,100,61.03,287.5,46.8,N,2
27.0322,49.5325,326.9,1.2,1.1,2023-01-13,2231,Aqua,MODIS,100,61.03,287.6,34.5,N,2
17.2855,42.3992,304.3,1.9,1.3,2023-01-14,1849,Terra,MODIS,41,61.03,292.1,13.3,N,2
18.7928,42.6519,306.4,1.7,1.3,2023-01-14,1849,Terra,MODIS,68,61.03,283.9,20.5,N,0
18.7902,42.6363,315.3,1.7,1.3,2023-01-14,1849,Terra,MODIS,91,61.03,283.3,34.6,N,0
18.7918,42.6457,319.4,1.7,1.3,2023-01-14,1849,Terra,MODIS,99,61.03,284,41.3,N,0
27.0207,49.5844,302.8,2.5,1.5,2023-01-14,2313,Aqua,MODIS,51,61.03,284.7,28.1,N,2
17.2881,42.4053,307.9,1.2,1.1,2023-01-14,2316,Aqua,MODIS,73,61.03,293.9,11.4,N,2
27.0407,49.5746,309.2,1.2,1.1,2023-01-15,0657,Terra,MODIS,65,61.03,291.2,7.1,D,2
27.0392,49.5866,307.6,1.2,1.1,2023-01-15,0657,Terra,MODIS,51,61.03,291,5.5,D,2
27.0371,49.5803,314.7,1.2,1.1,2023-01-15,0657,Terra,MODIS,53,61.03,291,11.6,D,2
27.0177,49.5775,317,1.2,1.1,2023-01-15,0657,Terra,MODIS,76,61.03,293.4,15.5,D,2
24.1988,47.3982,309.6,1.1,1,2023-01-15,1010,Aqua,MODIS,56,61.03,292.9,5.1,D,0
24.2281,47.2414,320.7,1.1,1.1,2023-01-15,1010,Aqua,MODIS,76,61.03,293,17.3,D,0
17.2812,42.4027,308.9,1.6,1.2,2023-01-15,1930,Terra,MODIS,76,61.03,293.7,17.5,N,2
17.2828,42.4069,319.9,1.2,1.1,2023-01-16,0741,Terra,MODIS,69,61.03,296.1,6.8,D,2
17.281,42.403,332.4,1.1,1,2023-01-16,1051,Aqua,MODIS,81,61.03,305.8,19.7,D,2
27.037,49.5493,363.7,1,1,2023-01-16,1835,Terra,MODIS,100,61.03,283.6,96.7,N,2
27.0478,49.5512,306.3,1,1,2023-01-16,1835,Terra,MODIS,64,61.03,280.3,9.8,N,2
27.0385,49.5592,371.5,1,1,2023-01-16,1835,Terra,MODIS,100,61.03,282.7,121.3,N,2
25.639,49.39,303.4,1.5,1.2,2023-01-16,2300,Aqua,MODIS,55,61.03,286.1,14.2,N,2
27.0377,49.5586,302.5,1.5,1.2,2023-01-16,2300,Aqua,MODIS,35,61.03,276.8,15,N,2
26.7817,50.0024,305.3,1.6,1.2,2023-01-16,2300,Aqua,MODIS,64,61.03,286.9,15.7,N,2
24.8878,49.1925,300.7,1.5,1.2,2023-01-16,2301,Aqua,MODIS,33,61.03,286.3,12.4,N,0
22.54,53.9417,307.8,3.7,1.8,2023-01-16,2301,Aqua,MODIS,72,61.03,284.3,74.2,N,0
22.5489,53.9358,309.6,3.7,1.8,2023-01-16,2301,Aqua,MODIS,78,61.03,283.6,80.3,N,0
17.2903,42.4054,302.1,1,1,2023-01-16,2303,Aqua,MODIS,32,61.03,291.2,4.6,N,2
17.2814,42.404,303,1,1,2023-01-16,2303,Aqua,MODIS,47,61.03,291.1,5.3,N,2
27.0364,49.5716,316.6,3.7,1.8,2023-01-17,1916,Terra,MODIS,93,61.03,284.2,114.2,N,2
27.0336,49.535,320.3,3.7,1.8,2023-01-17,1916,Terra,MODIS,100,61.03,283.4,136.9,N,2
27.0448,49.5655,320,3.7,1.8,2023-01-17,1916,Terra,MODIS,100,61.03,284.2,135.4,N,2
27.0422,49.5288,311.6,3.7,1.8,2023-01-17,1916,Terra,MODIS,83,61.03,282.9,88,N,2
27.142,49.2255,300.5,3.5,1.8,2023-01-17,1916,Terra,MODIS,29,61.03,282.2,44.4,N,0
27.042,49.5718,316.1,3.3,1.7,2023-01-17,2204,Aqua,MODIS,90,61.03,283.6,94.6,N,2
27.0439,49.5669,318.1,3.3,1.7,2023-01-17,2204,Aqua,MODIS,95,61.03,283.4,106,N,2
27.0332,49.5659,325.4,1.2,1.1,2023-01-18,0722,Terra,MODIS,83,61.03,288.8,29,D,2
27.0345,49.547,322.5,1.2,1.1,2023-01-18,0722,Terra,MODIS,81,61.03,287.4,26.3,D,2
27.0325,49.5592,342,1.2,1.1,2023-01-18,0722,Terra,MODIS,92,61.03,289.5,62.9,D,2
26.7808,50.0096,309,1.3,1.1,2023-01-18,0722,Terra,MODIS,58,61.03,290.3,12.1,D,2
27.0186,49.5816,304.9,1.3,1.1,2023-01-18,0722,Terra,MODIS,57,61.03,288.8,7.1,D,2
27.0353,49.5537,354.8,1.2,1.1,2023-01-18,0722,Terra,MODIS,98,61.03,289.7,98.4,D,2
26.3552,43.6498,309.3,1.1,1.1,2023-01-18,0723,Terra,MODIS,65,61.03,288.6,9.2,D,0
20.4225,45.6023,332.4,1,1,2023-01-18,0724,Terra,MODIS,84,61.03,296.5,27.5,D,0
17.278,42.4024,322.5,1.1,1,2023-01-18,0725,Terra,MODIS,53,61.03,300.2,12.1,D,2
17.282,42.4021,324.7,1.1,1,2023-01-18,1038,Aqua,MODIS,62,61.03,298.9,12.3,D,2
27.0331,49.5326,317,2.6,1.5,2023-01-18,1040,Aqua,MODIS,75,61.03,293.1,47.7,D,2
27.0284,49.5669,317.7,2.6,1.5,2023-01-18,1040,Aqua,MODIS,76,61.03,293.7,51.2,D,2
27.0261,49.5411,327.1,2.6,1.5,2023-01-18,1040,Aqua,MODIS,84,61.03,293.9,89.9,D,2
27.0353,49.5584,326.1,2.6,1.5,2023-01-18,1040,Aqua,MODIS,83,61.03,294.3,83.8,D,2
22.5457,53.9213,308.1,1,1,2023-01-18,1818,Terra,MODIS,73,61.03,287.6,10.9,N,0
22.5355,53.9195,327,1,1,2023-01-18,1818,Terra,MODIS,100,61.03,289,27.7,N,0
27.0335,49.5519,349.4,1.4,1.2,2023-01-18,1819,Terra,MODIS,100,61.03,286.5,103.8,N,2
25.6354,49.3893,309,1.5,1.2,2023-01-18,1819,Terra,MODIS,76,61.03,281.8,23.1,N,2
27.0195,49.5755,306,1.4,1.2,2023-01-18,1819,Terra,MODIS,67,61.03,285.9,14.8,N,2
27.0359,49.5656,315.7,1.4,1.2,2023-01-18,1819,Terra,MODIS,92,61.03,286.2,26.1,N,2
26.9472,49.6012,328.2,1,1,2023-01-18,2247,Aqua,MODIS,100,61.03,282.9,31.6,N,0
27.0389,49.5509,328.3,1,1,2023-01-18,2247,Aqua,MODIS,100,61.03,282.8,30.6,N,2
27.0372,49.5611,357.6,1,1,2023-01-18,2247,Aqua,MODIS,100,61.03,286.8,86.4,N,2
26.9488,49.5909,337.2,1,1,2023-01-18,2247,Aqua,MODIS,100,61.03,282.5,44.5,N,2
25.6406,49.394,310.9,1,1,2023-01-18,2247,Aqua,MODIS,81,61.03,277.1,15.3,N,2
17.2848,42.4102,304.5,1.3,1.1,2023-01-18,2250,Aqua,MODIS,60,61.03,293.3,9.4,N,2
27.0298,49.566,312.8,4.3,1.9,2023-01-19,0625,Terra,MODIS,56,61.03,285.1,99.9,D,2
27.0316,49.5666,315.2,1.8,1.3,2023-01-19,0945,Aqua,MODIS,69,61.03,293.7,23.7,D,2
27.0282,49.5487,334.3,1.8,1.3,2023-01-19,0945,Aqua,MODIS,87,61.03,295,75.5,D,2
27.0376,49.56,327.5,1.8,1.3,2023-01-19,0945,Aqua,MODIS,83,61.03,294.2,52.4,D,2
27.0342,49.5422,325.4,1.8,1.3,2023-01-19,0945,Aqua,MODIS,81,61.03,294.1,47.3,D,2
25.6319,49.3861,300.5,1.8,1.3,2023-01-19,1900,Terra,MODIS,28,61.03,281.1,16.8,N,2
27.0204,49.57,302.5,1.9,1.3,2023-01-19,1900,Terra,MODIS,50,61.03,285.4,18.4,N,2
27.0376,49.5611,328.5,1.9,1.3,2023-01-19,1900,Terra,MODIS,100,61.03,286.5,73.7,N,2
