latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.1296,-12.9851,327.7,2.7,1.6,2023-01-01,1457,Aqua,MODIS,68,61.03,302.7,64.6,D,0
13.1048,-13.2034,320.5,2.6,1.6,2023-01-01,1457,Aqua,MODIS,58,61.03,303.2,35.7,D,0
13.1021,-13.227,316.7,2.6,1.5,2023-01-01,1457,Aqua,MODIS,29,61.03,301.6,22.4,D,0
13.1523,-12.9122,325.9,2.8,1.6,2023-01-01,1457,Aqua,MODIS,44,61.03,301.7,44.2,D,0
13.0486,-14.3448,317,2.1,1.4,2023-01-01,1457,Aqua,MODIS,49,61.03,303.8,16.4,D,0
13.2417,-13.8257,321,2.3,1.5,2023-01-01,1457,Aqua,MODIS,64,61.03,306.3,30,D,0
13.2392,-13.8469,325.9,2.3,1.5,2023-01-01,1457,Aqua,MODIS,74,61.03,305,45.7,D,0
13.4202,-12.67,321.7,2.9,1.6,2023-01-01,1457,Aqua,MODIS,64,61.03,307,37.2,D,0
13.0971,-13.2211,320.8,2.6,1.5,2023-01-01,1457,Aqua,MODIS,62,61.03,301.8,36.4,D,0
13.1495,-12.9066,328.4,2.8,1.6,2023-01-01,1457,Aqua,MODIS,49,61.03,304.5,52.7,D,0
13.1211,-12.9338,333.9,2.7,1.6,2023-01-01,1457,Aqua,MODIS,83,61.03,306.1,83.3,D,0
13.1183,-12.9587,334.6,2.7,1.6,2023-01-01,1457,Aqua,MODIS,78,61.03,306.5,92.5,D,0
13.1352,-12.9357,340.3,2.7,1.6,2023-01-01,1457,Aqua,MODIS,88,61.03,307.7,132.1,D,0
13.1324,-12.9605,365.4,2.7,1.6,2023-01-01,1457,Aqua,MODIS,100,61.03,306,384.2,D,0
12.6941,-12.6647,325,2.8,1.6,2023-01-01,1457,Aqua,MODIS,75,61.03,305.5,50.7,D,0
12.6977,-12.6727,326.1,2.8,1.6,2023-01-01,1457,Aqua,MODIS,71,61.03,304.8,55.3,D,0
12.9128,-11.8547,324.2,3.3,1.7,2023-01-01,1457,Aqua,MODIS,68,61.03,306.6,61.4,D,0
12.8084,-12.7431,319.6,2.8,1.6,2023-01-01,1457,Aqua,MODIS,53,61.03,304.6,24.9,D,0
12.9237,-11.8608,328.7,3.3,1.7,2023-01-01,1457,Aqua,MODIS,78,61.03,305.4,89.4,D,0
12.6911,-12.69,321.6,2.8,1.6,2023-01-01,1457,Aqua,MODIS,53,61.03,303.7,34.7,D,0
12.9719,-11.7118,322.7,3.4,1.7,2023-01-01,1457,Aqua,MODIS,68,61.03,307.4,44.2,D,0
12.6832,-12.1153,321.9,3.1,1.7,2023-01-01,1457,Aqua,MODIS,69,61.03,305.5,45.9,D,0
12.9683,-11.7427,328.2,3.4,1.7,2023-01-01,1457,Aqua,MODIS,78,61.03,305.4,84,D,0
12.9685,-11.7192,327.3,3.4,1.7,2023-01-01,1457,Aqua,MODIS,76,61.03,306.9,71.1,D,0
12.9651,-11.7501,322.2,3.4,1.7,2023-01-01,1457,Aqua,MODIS,62,61.03,305.3,43,D,0
12.8772,-13.5298,321.6,2.4,1.5,2023-01-01,1457,Aqua,MODIS,55,61.03,305.3,31.3,D,0
12.8845,-13.536,321.9,2.4,1.5,2023-01-01,1457,Aqua,MODIS,65,61.03,304.7,33.3,D,0
13.0069,-13.6254,317.2,2.4,1.5,2023-01-01,1457,Aqua,MODIS,53,61.03,303.7,23.4,D,0
13.1293,-12.9549,375.2,2.7,1.6,2023-01-01,1457,Aqua,MODIS,100,61.03,307.5,521.1,D,0
13.1263,-12.9794,333.1,2.7,1.6,2023-01-01,1457,Aqua,MODIS,71,61.03,303.8,88.2,D,0
12.6855,-12.1109,320.5,3.1,1.7,2023-01-01,1457,Aqua,MODIS,67,61.03,305.7,39.3,D,0
13.0999,-13.1975,320,2.6,1.6,2023-01-01,1457,Aqua,MODIS,56,61.03,303.1,32.6,D,0
13.253,-15.4305,323,1.8,1.3,2023-01-01,1458,Aqua,MODIS,67,61.03,305.4,22.9,D,0
