latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.3182,21.9824,303.6,1,1,2023-01-03,1135,Aqua,MODIS,56,61.03,284.5,8.4,D,0
45.1838,21.3506,301.7,1.1,1,2023-01-03,1136,Aqua,MODIS,48,61.03,285.3,6.6,D,0
44.5938,20.9739,307.4,2,1.4,2023-01-31,2046,Terra,MODIS,71,61.03,271.3,36.4,N,2
44.5971,20.9679,304.1,2,1.4,2023-01-31,2046,Terra,MODIS,59,61.03,271.2,31.1,N,2
45.0816,19.2802,304.6,1.1,1.1,2023-02-12,1205,Aqua,MODIS,59,61.03,284.1,8.4,D,0
44.9974,20.4954,301.2,1.9,1.4,2023-02-17,1221,Aqua,MODIS,45,61.03,287.2,11,D,2
44.0518,22.1937,310.8,1.5,1.2,2023-02-19,1207,Aqua,MODIS,70,61.03,292.3,15.7,D,0
45.0765,21.2066,309,1,1,2023-02-21,0919,Terra,MODIS,68,61.03,289.8,8.3,D,2
42.3401,21.7113,305.3,1,1,2023-02-21,1153,Aqua,MODIS,61,61.03,291.8,5.3,D,0
42.9509,21.73,308.6,1,1,2023-02-21,1153,Aqua,MODIS,67,61.03,295,6.4,D,0
42.9621,21.2584,309.2,1,1,2023-02-21,1153,Aqua,MODIS,68,61.03,291.9,8.4,D,0
43.0765,21.4283,304.2,1,1,2023-02-21,1153,Aqua,MODIS,51,61.03,290.8,5.6,D,0
43.0145,20.4383,302.2,1,1,2023-02-21,1153,Aqua,MODIS,32,61.03,289.8,4.3,D,0
43.0128,20.4262,301.2,1,1,2023-02-21,1153,Aqua,MODIS,24,61.03,289.8,4,D,0
43.6178,20.6575,305.1,1,1,2023-02-21,1153,Aqua,MODIS,48,61.03,294.5,6,D,0
44.0029,22.2623,307.8,1.1,1,2023-02-21,1153,Aqua,MODIS,66,61.03,293.4,6.1,D,0
44.0012,22.2485,308,1.1,1,2023-02-21,1153,Aqua,MODIS,66,61.03,293.9,6.4,D,0
44.9189,20.0575,309.3,1,1,2023-02-21,1154,Aqua,MODIS,68,61.03,296.3,5.9,D,0
44.9172,20.045,313.8,1,1,2023-02-21,1154,Aqua,MODIS,74,61.03,295.9,9.2,D,0
45.3145,20.382,307.4,1,1,2023-02-21,1154,Aqua,MODIS,62,61.03,289,6.9,D,0
45.3234,20.3796,306.7,1,1,2023-02-21,1154,Aqua,MODIS,60,61.03,286.4,6.4,D,0
45.1232,19.1442,301.2,2.1,1.4,2023-02-22,1000,Terra,MODIS,45,61.03,288.4,9.3,D,0
44.0543,21.216,300.9,1.1,1,2023-02-23,1140,Aqua,MODIS,42,61.03,287,4.7,D,0
44.0523,21.2033,305.7,1.1,1,2023-02-23,1140,Aqua,MODIS,62,61.03,285.4,7.8,D,0
44.25,20.2091,305.6,1.1,1.1,2023-02-23,1140,Aqua,MODIS,62,61.03,289.6,7.1,D,0
44.3605,19.8242,302.2,1.1,1.1,2023-02-23,1140,Aqua,MODIS,51,61.03,288.2,5.8,D,0
44.5117,21.758,302.1,1.1,1,2023-03-07,0904,Terra,MODIS,51,61.03,288.5,5,D,0
43.4794,22.1009,332.5,1.1,1.1,2023-03-07,1157,Aqua,MODIS,88,61.03,282.1,38.7,D,0
43.4888,22.0988,308.7,1.1,1.1,2023-03-07,1157,Aqua,MODIS,68,61.03,281.2,11.1,D,0
44.2169,22.5071,302.2,1.8,1.3,2023-03-12,1212,Aqua,MODIS,27,61.03,285.8,10.3,D,0
44.2287,22.5053,310.9,1.8,1.3,2023-03-12,1212,Aqua,MODIS,71,61.03,286.2,24.4,D,0
44.2267,22.4813,300.9,1.8,1.3,2023-03-12,1212,Aqua,MODIS,42,61.03,285.1,9.9,D,0
45.777,19.0327,310.6,1,1,2023-03-14,1159,Aqua,MODIS,70,61.03,295.6,6.1,D,0
42.9563,21.2402,314.2,1.5,1.2,2023-03-19,1213,Aqua,MODIS,75,61.03,292.3,21,D,0
45.8387,20.2033,307.2,1.1,1,2023-03-22,0930,Terra,MODIS,62,61.03,292.9,5.8,D,0
45.8365,20.2167,309.1,1.1,1,2023-03-22,0930,Terra,MODIS,66,61.03,293.9,7.2,D,0
45.0859,20.0793,311.7,1.1,1,2023-03-22,0930,Terra,MODIS,71,61.03,295.4,7.9,D,0
43.5022,20.8756,313.1,1,1,2023-03-23,1146,Aqua,MODIS,72,61.03,294.4,10.7,D,0
44.3978,20.137,306.2,1,1,2023-03-23,1146,Aqua,MODIS,55,61.03,293.6,4.4,D,0
44.5355,21.7473,313.1,1,1,2023-03-24,0914,Terra,MODIS,73,61.03,291.5,10.3,D,0
44.1456,22.0583,300.8,1,1,2023-03-24,0914,Terra,MODIS,42,61.03,285.2,3.2,D,0
43.0827,21.4764,306.6,1,1,2023-03-24,0915,Terra,MODIS,61,61.03,291.5,6.3,D,0
44.5524,21.7502,310,1.1,1.1,2023-03-24,2021,Terra,MODIS,79,61.03,281,13.9,N,0
44.5508,21.7363,308.7,1.1,1.1,2023-03-24,2021,Terra,MODIS,75,61.03,280.9,12.8,N,0
44.5574,21.7423,322,1.1,1.1,2023-03-24,2021,Terra,MODIS,100,61.03,282.4,26.6,N,0
44.5558,21.7284,323,1.1,1.1,2023-03-24,2021,Terra,MODIS,100,61.03,281.8,27.5,N,0
44.5651,21.7266,319.5,1.1,1.1,2023-03-24,2021,Terra,MODIS,99,61.03,282.4,23.9,N,0
45.2029,19.6776,304.5,1,1,2023-03-24,2021,Terra,MODIS,60,61.03,277.7,9.1,N,0
45.2013,19.665,300.6,1,1,2023-03-24,2021,Terra,MODIS,31,61.03,278.7,6.9,N,0
44.5615,21.752,314.1,1.6,1.3,2023-03-25,0025,Aqua,MODIS,88,61.03,279.6,33.8,N,0
44.5335,22.5401,308.2,1.9,1.4,2023-03-26,1214,Aqua,MODIS,0,61.03,295.4,12.4,D,0
44.5457,22.5377,309.3,1.9,1.4,2023-03-26,1214,Aqua,MODIS,57,61.03,296.6,15.6,D,0
43.2554,22.314,309,1,1,2023-03-30,1146,Aqua,MODIS,61,61.03,291.5,5.8,D,0
44.6013,20.9794,303.4,1.1,1,2023-03-31,0907,Terra,MODIS,33,61.03,290.2,4,D,2
45.9623,19.5272,302.2,1,1,2023-04-10,0923,Terra,MODIS,29,61.03,290.9,3.3,D,0
44.5953,20.9748,312.7,1,1,2023-04-13,1148,Aqua,MODIS,73,61.03,298.9,6.8,D,2
44.5999,20.9871,309,1.1,1,2023-04-22,0924,Terra,MODIS,60,61.03,296.5,5.3,D,2
44.602,20.9742,310.8,1.1,1,2023-04-22,0924,Terra,MODIS,66,61.03,297.6,6.5,D,2
45.4412,20.2026,320.2,1.4,1.2,2023-05-02,0940,Terra,MODIS,66,61.03,297.6,22.9,D,0
44.597,20.9719,313.4,1.3,1.1,2023-05-21,0932,Terra,MODIS,68,61.03,299.3,8.9,D,2
44.5941,20.9874,312.2,1.3,1.1,2023-05-21,0932,Terra,MODIS,65,61.03,299.3,7.6,D,2
43.8424,20.0416,313,1,1,2023-06-09,0923,Terra,MODIS,69,61.03,299.7,7.5,D,2
43.6168,21.0036,310.4,1.1,1.1,2023-06-09,0923,Terra,MODIS,57,61.03,298.1,7.4,D,2
43.6145,21.0169,309,1.1,1.1,2023-06-09,0923,Terra,MODIS,48,61.03,297.2,5.9,D,2
45.7854,19.1245,313.4,1.1,1,2023-06-14,0931,Terra,MODIS,52,61.03,299.7,6.7,D,2
44.4342,20.6885,311.8,1.3,1.1,2023-06-14,0931,Terra,MODIS,72,61.03,290.8,10.8,D,2
44.596,20.9966,302.9,2.2,1.4,2023-06-21,0135,Aqua,MODIS,52,61.03,288.3,20.6,N,2
44.6023,20.9699,300.4,2.2,1.4,2023-06-21,0135,Aqua,MODIS,27,61.03,288.3,15.9,N,2
44.6852,21.1961,315.5,1.1,1,2023-06-21,0922,Terra,MODIS,59,61.03,303.1,7.7,D,2
46.0366,20.1662,319.4,1,1,2023-06-21,0922,Terra,MODIS,45,61.03,300.9,7,D,0
44.8597,20.6588,316.8,1.1,1,2023-06-21,0922,Terra,MODIS,31,61.03,302.2,6.6,D,2
43.6008,20.2044,310.5,1.1,1,2023-06-21,0923,Terra,MODIS,59,61.03,298.4,5.7,D,0
43.6168,20.9998,313.2,1.1,1.1,2023-06-21,0923,Terra,MODIS,46,61.03,299.4,7.8,D,2
43.6145,21.0131,314,1.1,1.1,2023-06-21,0923,Terra,MODIS,54,61.03,299.9,8.1,D,2
42.5413,21.9076,315.2,1.2,1.1,2023-06-21,0923,Terra,MODIS,56,61.03,301.1,8.8,D,2
44.4368,20.698,317.1,1.2,1.1,2023-06-26,0930,Terra,MODIS,73,61.03,298.5,14.1,D,2
43.7843,19.6905,304,1.2,1.1,2023-06-26,0930,Terra,MODIS,41,61.03,291.7,4.6,D,0
44.7458,21.2578,316.8,2.5,1.5,2023-06-27,0833,Terra,MODIS,32,61.03,302.5,31.9,D,0
43.7561,20.0999,307.6,1,1,2023-06-27,1159,Aqua,MODIS,29,61.03,294.3,3.4,D,2
44.599,20.9796,303.8,1.4,1.2,2023-07-02,1947,Terra,MODIS,45,61.03,287.2,11.2,N,2
45.3896,20.433,317.5,1,1,2023-07-03,0921,Terra,MODIS,49,61.03,299.9,6.6,D,2
44.8712,20.7634,317.4,1.1,1,2023-07-03,0921,Terra,MODIS,71,61.03,298.3,10.9,D,0
44.9521,20.1984,315.4,1,1,2023-07-03,0921,Terra,MODIS,58,61.03,301.8,6.9,D,0
43.1553,20.5327,313,1.1,1,2023-07-03,0922,Terra,MODIS,19,61.03,299.4,6.8,D,2
44.5966,20.9811,315.5,1,1,2023-07-05,0905,Terra,MODIS,54,61.03,297.6,7.9,D,2
44.4377,20.6871,317.1,1.2,1.1,2023-07-08,0929,Terra,MODIS,73,61.03,299.3,13.1,D,2
44.4383,20.6939,314.4,1.2,1.1,2023-07-08,0929,Terra,MODIS,45,61.03,299.9,9.5,D,2
44.435,20.702,311.2,1.2,1.1,2023-07-08,0929,Terra,MODIS,45,61.03,299.2,6.5,D,2
44.6757,20.8057,311.8,1,1,2023-07-10,0913,Terra,MODIS,30,61.03,295.6,6.2,D,0
42.3212,21.634,307.8,1,1,2023-07-12,2002,Terra,MODIS,72,61.03,294.3,7.2,N,0
44.5988,20.982,305.4,1,1,2023-07-12,2003,Terra,MODIS,29,61.03,294.9,5.8,N,2
42.5445,21.9074,319.8,1.2,1.1,2023-07-15,0921,Terra,MODIS,43,61.03,304.9,10.2,D,2
44.5947,20.9767,318.8,1.1,1,2023-07-15,0921,Terra,MODIS,49,61.03,304.8,8.2,D,2
