latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.5736,-11.9542,316.1,3,1.6,2023-01-01,1033,Terra,MODIS,70,61.03,297.7,49.4,D,0
8.8471,-10.7671,311.7,2.3,1.5,2023-01-01,1033,Terra,MODIS,34,61.03,299.6,16.8,D,0
8.8601,-10.7645,313.8,2.3,1.5,2023-01-01,1033,Terra,MODIS,59,61.03,300.7,22.6,D,0
9.1303,-12.8972,310.4,3.5,1.8,2023-01-01,1033,Terra,MODIS,55,61.03,297.6,35.1,D,0
9.125,-12.8905,308.4,3.5,1.8,2023-01-01,1033,Terra,MODIS,43,61.03,297.4,24.5,D,0
9.1158,-11.9367,319.9,2.9,1.6,2023-01-01,1033,Terra,MODIS,75,61.03,299.4,58.5,D,0
9.5745,-11.9466,316.8,3,1.6,2023-01-01,1033,Terra,MODIS,71,61.03,297.9,51.9,D,0
9.118,-11.9299,321,2.9,1.6,2023-01-01,1033,Terra,MODIS,76,61.03,300,62.8,D,0
8.682,-12.3835,315.1,2.6,1.5,2023-01-01,1456,Aqua,MODIS,61,61.03,300.7,25.2,D,0
7.8439,-11.9223,311.5,2.7,1.6,2023-01-01,1456,Aqua,MODIS,54,61.03,298.8,19.6,D,0
8.6901,-12.7487,315.4,2.4,1.5,2023-01-01,1456,Aqua,MODIS,62,61.03,301.1,25.9,D,0
8.6888,-12.7339,316.2,2.4,1.5,2023-01-01,1456,Aqua,MODIS,64,61.03,302.1,27.1,D,0
8.7806,-12.3324,316.4,2.6,1.6,2023-01-01,1456,Aqua,MODIS,64,61.03,302.9,23.5,D,0
8.7236,-12.7824,314.1,2.4,1.5,2023-01-01,1456,Aqua,MODIS,42,61.03,301.1,18,D,0
8.7369,-12.784,316.5,2.4,1.5,2023-01-01,1456,Aqua,MODIS,62,61.03,302.1,24.8,D,0
8.8655,-12.3722,317.2,2.6,1.6,2023-01-01,1456,Aqua,MODIS,66,61.03,303,29.6,D,0
8.8626,-12.3956,319.4,2.6,1.5,2023-01-01,1456,Aqua,MODIS,70,61.03,302.4,38.3,D,0
8.9871,-11.5185,316,3.1,1.7,2023-01-01,1456,Aqua,MODIS,53,61.03,301.6,35.5,D,0
8.9838,-11.545,328.2,3,1.7,2023-01-01,1456,Aqua,MODIS,81,61.03,302,97.9,D,0
8.9986,-11.547,315.5,3,1.7,2023-01-01,1456,Aqua,MODIS,62,61.03,300.5,33.6,D,0
9.0567,-11.329,312.2,3.2,1.7,2023-01-01,1456,Aqua,MODIS,49,61.03,300.2,26.8,D,0
9.0532,-11.3564,311.4,3.2,1.7,2023-01-01,1456,Aqua,MODIS,41,61.03,299.8,23.5,D,0
8.9364,-12.261,319,2.7,1.6,2023-01-01,1456,Aqua,MODIS,69,61.03,303.4,32.7,D,0
8.9283,-12.2676,316,2.7,1.6,2023-01-01,1456,Aqua,MODIS,63,61.03,303.7,21.4,D,0
9.056,-11.3362,315.9,3.2,1.7,2023-01-01,1456,Aqua,MODIS,63,61.03,300.2,41.7,D,0
9.063,-11.6487,314.4,3,1.6,2023-01-01,1456,Aqua,MODIS,52,61.03,302.4,27.4,D,0
9.0246,-12.182,317.1,2.7,1.6,2023-01-01,1456,Aqua,MODIS,66,61.03,304.1,29.8,D,0
9.0279,-12.1876,317.4,2.7,1.6,2023-01-01,1456,Aqua,MODIS,66,61.03,303.4,31.2,D,0
9.0432,-12.4079,316.5,2.6,1.6,2023-01-01,1456,Aqua,MODIS,64,61.03,303.5,23.1,D,0
9.0403,-12.4311,315,2.6,1.5,2023-01-01,1456,Aqua,MODIS,58,61.03,303,19,D,0
9.1362,-11.8983,316.3,2.9,1.6,2023-01-01,1456,Aqua,MODIS,47,61.03,302.6,28.5,D,0
9.1392,-11.9068,318,2.9,1.6,2023-01-01,1456,Aqua,MODIS,46,61.03,302.5,34,D,0
9.1709,-12.2387,316,2.7,1.6,2023-01-01,1456,Aqua,MODIS,64,61.03,302,28.5,D,0
9.2995,-11.9299,318.5,2.9,1.6,2023-01-01,1456,Aqua,MODIS,69,61.03,304,38.7,D,0
9.414,-11.1309,311.8,3.3,1.7,2023-01-01,1456,Aqua,MODIS,48,61.03,300,28.4,D,0
9.4113,-11.1383,312.2,3.3,1.7,2023-01-01,1456,Aqua,MODIS,51,61.03,300,28.5,D,0
9.349,-11.9175,317,2.9,1.6,2023-01-01,1456,Aqua,MODIS,66,61.03,301.9,36,D,0
9.2984,-12.6706,321,2.5,1.5,2023-01-01,1456,Aqua,MODIS,73,61.03,302.5,43.1,D,0
9.315,-12.6496,315.4,2.5,1.5,2023-01-01,1456,Aqua,MODIS,45,61.03,302.5,21.1,D,0
9.3855,-12.3559,316.5,2.7,1.6,2023-01-01,1456,Aqua,MODIS,62,61.03,304.7,21.6,D,0
9.466,-12.5654,319.9,2.6,1.5,2023-01-01,1456,Aqua,MODIS,71,61.03,302.7,37,D,0
9.5697,-11.9604,314.7,2.9,1.6,2023-01-01,1456,Aqua,MODIS,60,61.03,302.1,28.7,D,0
9.5747,-12.0374,320.8,2.8,1.6,2023-01-01,1456,Aqua,MODIS,72,61.03,303.6,51.8,D,0
9.5763,-12.0423,319.6,2.8,1.6,2023-01-01,1456,Aqua,MODIS,70,61.03,303.6,45.3,D,0
9.612,-12.5654,315.6,2.6,1.5,2023-01-01,1456,Aqua,MODIS,43,61.03,302.8,21.3,D,0
9.7145,-11.8748,314.5,2.9,1.6,2023-01-01,1456,Aqua,MODIS,58,61.03,300.9,32.1,D,0
9.6258,-12.5674,326.9,2.6,1.5,2023-01-01,1456,Aqua,MODIS,69,61.03,303.6,61.8,D,0
9.7198,-11.8576,312.6,3,1.6,2023-01-01,1456,Aqua,MODIS,47,61.03,301,25.5,D,0
9.6357,-12.5524,320.5,2.6,1.5,2023-01-01,1456,Aqua,MODIS,71,61.03,302.8,39.4,D,0
9.6328,-12.5759,323.2,2.6,1.5,2023-01-01,1456,Aqua,MODIS,75,61.03,302.6,48.4,D,0
