latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.6059,21.1854,302.4,1.3,1.1,2023-01-23,0905,Terra,MODIS,52,61.03,278.3,12.2,D,2
48.6044,21.1842,302.2,1.4,1.2,2023-01-24,0946,Terra,MODIS,51,61.03,279.4,13.4,D,2
48.6013,21.1752,302,1,1,2023-01-24,1145,Aqua,MODIS,50,61.03,281.8,7.5,D,2
48.6027,21.1847,303.2,1.1,1,2023-02-07,1150,Aqua,MODIS,55,61.03,274.8,10,D,2
48.6009,21.1706,301.1,1.1,1,2023-02-07,1150,Aqua,MODIS,44,61.03,274,9,D,2
48.6101,21.1825,305.7,1.5,1.2,2023-02-08,1944,Terra,MODIS,65,61.03,269,22.6,N,2
48.6035,21.1792,306.7,1.5,1.2,2023-02-08,1944,Terra,MODIS,69,61.03,267.7,23.8,N,2
48.6048,21.1843,305.6,1.1,1.1,2023-02-10,0110,Aqua,MODIS,33,61.03,265.2,14.6,N,2
48.6073,21.1821,302.9,1,1,2023-02-19,0059,Aqua,MODIS,52,61.03,274.7,10.4,N,2
48.6101,21.1896,303.5,1,1,2023-02-21,0918,Terra,MODIS,56,61.03,284.8,7.2,D,2
48.6092,21.1839,305,1.1,1.1,2023-02-21,1155,Aqua,MODIS,0,61.03,282,9.5,D,2
48.6096,21.1838,301.7,1.1,1,2023-02-28,2019,Terra,MODIS,43,61.03,273,11.5,N,2
48.6066,21.1822,315.7,1,1,2023-03-02,1143,Aqua,MODIS,76,61.03,289.9,13.3,D,2
48.6046,21.1689,310.8,1,1,2023-03-02,1143,Aqua,MODIS,70,61.03,289.3,9.7,D,2
48.5983,21.1729,302.5,1.1,1.1,2023-03-04,1129,Aqua,MODIS,51,61.03,287.2,6.4,D,2
48.6065,21.1861,311.8,1.4,1.2,2023-03-08,0944,Terra,MODIS,72,61.03,284,19.8,D,2
48.6087,21.1767,301.1,1.1,1,2023-03-09,1956,Terra,MODIS,37,61.03,276.2,10.2,N,2
48.6091,21.1823,303.8,1.1,1,2023-03-12,0912,Terra,MODIS,57,61.03,283.8,8.6,D,2
