latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.4739,13.9756,310.9,1,1,2023-02-07,2040,Terra,MODIS,81,61.03,266.5,16.2,N,0
45.5451,13.7365,318.7,1,1,2023-05-21,1217,Aqua,MODIS,53,61.03,301.6,8,D,2
45.5475,13.7449,314.1,1.2,1.1,2023-05-23,1203,Aqua,MODIS,47,61.03,300.3,6.9,D,2
45.5579,13.7558,312.7,1.4,1.2,2023-05-29,1004,Terra,MODIS,26,61.03,300.1,7.6,D,2
45.7413,14.7323,309.3,1.2,1.1,2023-06-17,0955,Terra,MODIS,57,61.03,298.3,8.3,D,2
45.5517,13.7445,322.8,1,1,2023-06-18,1215,Aqua,MODIS,61,61.03,304.4,10.9,D,2
45.551,13.7438,324.7,1,1,2023-06-25,1214,Aqua,MODIS,59,61.03,305.8,10.8,D,2
46.4076,16.1635,309.8,1,1,2023-06-26,0930,Terra,MODIS,35,61.03,298.1,4.7,D,2
45.5518,13.7481,320.2,1.1,1.1,2023-06-29,0954,Terra,MODIS,51,61.03,300.4,10.3,D,2
45.5493,13.7439,323.1,1.1,1,2023-07-02,1213,Aqua,MODIS,58,61.03,302.7,9.8,D,2
45.7383,14.7318,306,1.3,1.1,2023-07-04,1159,Aqua,MODIS,34,61.03,291.1,5.9,D,2
46.6271,16.2947,315.8,2.3,1.5,2023-07-08,1131,Aqua,MODIS,69,61.03,300.5,27.8,D,0
46.6203,16.2663,314.8,2.3,1.5,2023-07-08,1131,Aqua,MODIS,67,61.03,300.8,24.3,D,0
45.5493,13.743,323.9,1.1,1,2023-07-09,1212,Aqua,MODIS,59,61.03,304.9,11.5,D,2
45.8822,13.8999,322,1.1,1,2023-07-09,1212,Aqua,MODIS,41,61.03,308.2,12.3,D,2
46.3339,15.4314,313.2,1.2,1.1,2023-07-11,0953,Terra,MODIS,51,61.03,301.2,9,D,2
46.3644,15.0999,317.3,1.2,1.1,2023-07-11,0953,Terra,MODIS,38,61.03,302.8,10.7,D,2
45.8866,13.8976,318.4,1.1,1.1,2023-07-11,0953,Terra,MODIS,52,61.03,302.4,9,D,2
45.549,13.7415,320.2,1.1,1.1,2023-07-11,0954,Terra,MODIS,13,61.03,300.9,8,D,2
46.6333,16.2686,313.8,2.4,1.5,2023-07-15,1130,Aqua,MODIS,46,61.03,300.3,20.8,D,0
45.5512,13.7506,319.4,1.3,1.1,2023-07-16,1001,Terra,MODIS,49,61.03,302.4,10.2,D,2
45.5482,13.7393,323.4,1.1,1,2023-07-16,1211,Aqua,MODIS,16,61.03,305.5,13.5,D,2
46.3625,15.1015,310.4,1.2,1.1,2023-07-23,0952,Terra,MODIS,63,61.03,297.6,8.8,D,2
45.8879,13.9039,312.6,1.1,1,2023-07-23,0952,Terra,MODIS,56,61.03,297.9,7,D,2
46.3633,15.1061,310.6,1.4,1.2,2023-07-28,1000,Terra,MODIS,64,61.03,299.5,11.8,D,2
45.549,13.7463,318.6,1.3,1.1,2023-07-28,1000,Terra,MODIS,54,61.03,297,14.8,D,2
45.5464,13.7412,317.8,1,1,2023-07-28,1223,Aqua,MODIS,47,61.03,300.8,6.5,D,2
45.5486,13.7425,307.2,1.8,1.3,2023-08-08,1153,Aqua,MODIS,45,61.03,291.8,10.8,D,2
45.5499,13.7386,318.6,1,1,2023-08-25,1217,Aqua,MODIS,28,61.03,304,5.4,D,2
45.5742,15.1921,306.5,1,1,2023-09-01,1215,Aqua,MODIS,36,61.03,293.2,3.9,D,2
45.5504,13.7379,313.5,1.1,1,2023-09-08,1213,Aqua,MODIS,25,61.03,302,4.7,D,0
46.0834,14.4855,312.9,1,1,2023-09-11,0932,Terra,MODIS,58,61.03,300.4,6.7,D,2
