latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.4397,160.2815,317,1,1,2023-02-16,0309,Aqua,MODIS,62,61.03,299.3,7.5,D,0
-9.4885,160.2892,322.7,1.1,1,2023-04-08,0305,Aqua,MODIS,57,61.03,298,14.8,D,0
-9.4388,160.177,314.2,1.1,1,2023-04-20,0319,Aqua,MODIS,65,61.03,299.8,6.5,D,0
-8.2526,157.6666,321.2,1,1,2023-04-20,0320,Aqua,MODIS,74,61.03,297.5,13.6,D,0
-8.2539,157.6576,327.8,1,1,2023-04-20,0320,Aqua,MODIS,81,61.03,298,21,D,0
-9.4691,160.0563,313.5,1.1,1.1,2023-05-27,0305,Aqua,MODIS,58,61.03,294.2,7.9,D,0
-9.4232,159.8863,312.1,2.2,1.4,2023-06-12,0250,Aqua,MODIS,46,61.03,294.4,20.1,D,0
-9.4669,160.187,323.3,1.1,1,2023-09-19,0312,Aqua,MODIS,72,61.03,300.1,12.9,D,0
-9.4577,160.1857,324.2,1.1,1,2023-09-19,0312,Aqua,MODIS,71,61.03,299.6,14.5,D,0
-11.5476,160.149,308.7,1,1,2023-09-23,1509,Aqua,MODIS,62,61.03,291.7,8.3,N,0
-9.4614,159.9528,320.4,1,1,2023-10-01,0322,Aqua,MODIS,62,61.03,297.3,10.1,D,0
-9.4628,159.9437,324.6,1,1,2023-10-01,0322,Aqua,MODIS,78,61.03,296.7,15.2,D,0
-8.229,157.7277,311.4,1,1,2023-11-22,0326,Aqua,MODIS,46,61.03,294,6.3,D,0
-8.2303,157.7185,321.1,1,1,2023-11-22,0326,Aqua,MODIS,73,61.03,291.8,15.3,D,0
-9.5022,160.4301,312.7,1,1,2023-12-18,0324,Aqua,MODIS,61,61.03,295,6.2,D,0
-9.45,160.1594,318.7,1,1,2023-12-18,0324,Aqua,MODIS,72,61.03,299.8,9.5,D,0
-9.351,159.8267,312.2,1,1,2023-12-18,0324,Aqua,MODIS,50,61.03,299,4.5,D,0
