latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.0245,45.6021,324.8,3,1.6,2023-01-05,1110,Aqua,MODIS,27,61.03,307.7,25.7,D,0
1.7297,44.6153,334.4,1.3,1.1,2023-01-11,1031,Aqua,MODIS,78,61.03,304.2,33.2,D,0
2.85,45.7017,332.7,1.1,1,2023-01-11,1031,Aqua,MODIS,58,61.03,316.8,10.9,D,0
2.6774,45.5907,321.4,1.2,1.1,2023-01-13,0720,Terra,MODIS,47,61.03,305.4,12,D,0
2.6734,45.579,339.6,1.9,1.3,2023-01-13,1018,Aqua,MODIS,85,61.03,306.2,78,D,0
3.1683,45.576,326.9,1.8,1.3,2023-01-13,1018,Aqua,MODIS,67,61.03,305.7,27.3,D,0
-1.1658,41.7745,325.3,1,1,2023-01-14,1059,Aqua,MODIS,43,61.03,306.3,6.9,D,0
3.0191,45.6087,337,1.1,1,2023-01-18,1034,Aqua,MODIS,78,61.03,315,18.2,D,0
3.0113,45.6194,337.5,1.1,1,2023-01-18,1034,Aqua,MODIS,78,61.03,315.8,18.3,D,0
2.3434,42.174,338.2,3.1,1.7,2023-01-20,1021,Aqua,MODIS,83,61.03,308.1,114.5,D,0
2.3467,42.1947,329.4,3.1,1.7,2023-01-20,1021,Aqua,MODIS,69,61.03,307.8,46,D,0
2.3424,42.167,332,3.1,1.7,2023-01-20,1021,Aqua,MODIS,74,61.03,308.4,69.1,D,0
3.0311,45.6032,330.2,1.6,1.3,2023-01-20,1021,Aqua,MODIS,72,61.03,304.2,22,D,0
3.0289,45.5886,332.1,1.6,1.3,2023-01-20,1021,Aqua,MODIS,75,61.03,305.5,28.2,D,0
3.0306,45.5962,337.5,1.6,1.3,2023-01-20,1021,Aqua,MODIS,83,61.03,304.5,44.5,D,0
-1.0914,41.8409,323.5,1.1,1,2023-01-21,1102,Aqua,MODIS,54,61.03,301.8,9.1,D,0
