latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.1262,-4.0911,316,1.1,1,2023-01-01,0221,Aqua,MODIS,92,61.03,273.7,20.4,N,0
39.2047,-1.7606,304.4,1,1,2023-01-01,1326,Aqua,MODIS,59,61.03,286.6,6.2,D,0
37.9941,-4.3265,303.5,1.1,1,2023-01-01,1326,Aqua,MODIS,53,61.03,286.8,7.1,D,0
43.5401,-5.8281,307.3,1,1,2023-01-02,1105,Terra,MODIS,65,61.03,283.6,10.5,D,2
42.3885,-2.7282,301.2,3.1,1.7,2023-01-03,1008,Terra,MODIS,45,61.03,279.5,40,D,0
38.5923,-1.071,304.7,1.1,1,2023-01-03,1313,Aqua,MODIS,53,61.03,291,6.3,D,0
38.7134,-0.7309,302,1,1,2023-01-03,1313,Aqua,MODIS,50,61.03,288.8,5,D,0
38.5858,-1.0626,347.3,1.1,1,2023-01-03,1313,Aqua,MODIS,90,61.03,293.2,61.1,D,0
38.2383,-1.3711,308.8,1.1,1,2023-01-03,1313,Aqua,MODIS,68,61.03,293.5,7.5,D,0
38.3722,-0.7094,303.8,1.1,1,2023-01-03,1313,Aqua,MODIS,57,61.03,290.6,5.2,D,0
38.3239,-1.6799,318.5,1.1,1.1,2023-01-03,1313,Aqua,MODIS,79,61.03,292.3,19.2,D,0
38.5877,-1.0506,343.9,1.1,1,2023-01-03,1313,Aqua,MODIS,88,61.03,291.9,53.9,D,0
41.5603,-1.3809,300.9,1,1,2023-01-03,1314,Aqua,MODIS,43,61.03,288.5,4.3,D,0
42.381,-2.7365,301.6,1.1,1,2023-01-03,1314,Aqua,MODIS,48,61.03,284.3,7.2,D,0
43.5378,-5.8313,308.2,1.4,1.2,2023-01-03,1314,Aqua,MODIS,67,61.03,284.7,16.7,D,2
41.6252,0.158,302.1,1.1,1,2023-01-04,1049,Terra,MODIS,38,61.03,277.7,7.6,D,0
39.5106,-0.6166,305.1,1.1,1,2023-01-04,1050,Terra,MODIS,60,61.03,285.8,8.9,D,0
39.4659,-0.5772,305,1.1,1,2023-01-04,1050,Terra,MODIS,60,61.03,286.3,8.4,D,0
42.3801,-1.6072,302.2,1.3,1.1,2023-01-05,1301,Aqua,MODIS,51,61.03,286.9,8.8,D,0
43.1487,-1.811,309.1,1.3,1.1,2023-01-06,1033,Terra,MODIS,68,61.03,282.5,16.4,D,0
43.147,-1.7949,323.4,1.3,1.1,2023-01-06,1033,Terra,MODIS,82,61.03,282.4,33.6,D,0
38.7718,-1.753,302.1,1.4,1.2,2023-01-06,1342,Aqua,MODIS,51,61.03,285.4,8.6,D,0
38.7668,-1.7467,302.2,1.4,1.2,2023-01-06,1342,Aqua,MODIS,51,61.03,285.5,8.6,D,0
43.1684,-3.7094,302.4,1.3,1.1,2023-01-06,2139,Terra,MODIS,49,61.03,275.4,13.4,N,0
38.0878,-1.4411,305.1,1.1,1,2023-01-10,1316,Aqua,MODIS,60,61.03,294.5,5,D,0
38.2004,-1.2559,305,1,1,2023-01-10,1316,Aqua,MODIS,60,61.03,292.6,4.7,D,0
38.253,-1.6831,312.8,1.1,1,2023-01-10,1316,Aqua,MODIS,73,61.03,294.6,11.3,D,0
38.3563,-1.1565,325.1,1,1,2023-01-10,1316,Aqua,MODIS,83,61.03,292.2,22.9,D,0
38.3544,-1.1682,315.7,1,1,2023-01-10,1316,Aqua,MODIS,76,61.03,292.4,13.2,D,0
38.7186,-0.7274,305.4,1,1,2023-01-10,1316,Aqua,MODIS,61,61.03,289.3,6.8,D,0
38.6891,-1.5733,300.2,1.1,1,2023-01-10,1316,Aqua,MODIS,31,61.03,289.4,4.2,D,0
39.1035,-1.9845,301.9,1.1,1,2023-01-10,1316,Aqua,MODIS,49,61.03,288,4.9,D,0
39.6458,-2.802,317.3,1.1,1.1,2023-01-10,1316,Aqua,MODIS,73,61.03,284.3,19.8,D,0
40.1131,-2.2278,301.6,1.1,1,2023-01-10,1316,Aqua,MODIS,48,61.03,285.6,6.5,D,0
40.3144,-2.4709,312.6,1.1,1,2023-01-10,1316,Aqua,MODIS,69,61.03,285.5,14.7,D,0
40.3123,-2.4831,309.2,1.1,1,2023-01-10,1316,Aqua,MODIS,64,61.03,285.5,11.9,D,0
37.7993,-1.3844,308.6,1.1,1,2023-01-10,1316,Aqua,MODIS,67,61.03,295,7,D,0
37.7973,-1.3962,305.2,1.1,1,2023-01-10,1316,Aqua,MODIS,61,61.03,293.7,4.6,D,0
42.5053,-2.9469,312.7,1.1,1,2023-01-10,1317,Aqua,MODIS,73,61.03,282.9,14.3,D,0
41.1232,-2.6929,300.1,1.1,1,2023-01-10,1317,Aqua,MODIS,28,61.03,285.6,5.9,D,0
38.3325,-1.6922,306.6,1.5,1.2,2023-01-12,1303,Aqua,MODIS,64,61.03,290.1,13.8,D,0
38.2425,-1.6767,301.5,1.5,1.2,2023-01-12,1303,Aqua,MODIS,44,61.03,290.8,7.8,D,0
43.5217,-5.736,300.5,1.1,1.1,2023-01-13,1347,Aqua,MODIS,39,61.03,289,5.4,D,2
39.9605,-5.8903,303.2,1,1,2023-01-15,1332,Aqua,MODIS,55,61.03,285.2,7.6,D,0
40.2634,-5.9167,304.2,1,1,2023-01-15,1332,Aqua,MODIS,55,61.03,283.6,8.9,D,0
43.5392,-5.8319,307.1,1,1,2023-01-15,1333,Aqua,MODIS,65,61.03,284.1,10.3,D,2
37.4535,-3.1814,300.7,1,1,2023-01-16,1053,Terra,MODIS,40,61.03,280,6.2,D,0
41.3291,1.6583,300.2,1.1,1.1,2023-01-17,1319,Aqua,MODIS,31,61.03,286.7,5.6,D,2
38.0475,-1.2953,316.2,2.8,1.6,2023-01-18,1401,Aqua,MODIS,76,61.03,285,64.6,D,0
43.5258,-5.7267,302.9,1,1,2023-01-21,1101,Terra,MODIS,54,61.03,282.8,7.9,D,2
36.8978,-2.2155,302.7,1.1,1,2023-01-22,1334,Aqua,MODIS,53,61.03,288.8,5,D,0
39.377,-0.5463,300.4,1,1,2023-01-23,1046,Terra,MODIS,36,61.03,282.3,6.5,D,0
39.3751,-0.5345,310.5,1,1,2023-01-23,1046,Terra,MODIS,70,61.03,282.6,13.2,D,0
37.5699,-1.384,310.9,1,1,2023-01-23,1046,Terra,MODIS,71,61.03,285.2,12.3,D,0
37.5681,-1.3727,306.7,1,1,2023-01-23,1046,Terra,MODIS,64,61.03,284.3,9.4,D,0
