latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.3513,80.9311,317.5,1.1,1,2023-01-10,0810,Aqua,MODIS,66,61.03,301.4,8.1,D,0
6.1922,81.2006,318.2,1.1,1,2023-01-14,0443,Terra,MODIS,0,61.03,297.3,11.8,D,0
7.8471,80.1438,302.4,1.1,1,2023-01-16,1651,Terra,MODIS,49,61.03,290.4,3.9,N,0
8.0818,81.2471,310.3,1.3,1.1,2023-01-19,0800,Aqua,MODIS,61,61.03,292.3,9.1,D,0
8.9213,80.9846,303.6,1.1,1,2023-01-19,2017,Aqua,MODIS,38,61.03,290.6,6.7,N,0
6.9661,80.2063,317.7,1.2,1.1,2023-02-09,0808,Aqua,MODIS,55,61.03,301.4,10.8,D,0
8.0533,79.8708,313.8,1.2,1.1,2023-02-16,0810,Aqua,MODIS,53,61.03,302.6,6.3,D,0
6.513,81.011,319.7,1.1,1,2023-02-16,0810,Aqua,MODIS,71,61.03,304.4,10,D,0
6.8049,80.6875,311.7,1.1,1,2023-02-16,0810,Aqua,MODIS,28,61.03,299.3,5.4,D,0
7.7765,80.347,313.8,1.1,1.1,2023-02-16,0810,Aqua,MODIS,58,61.03,302.7,5.9,D,0
8.01,80.7995,312,1.1,1,2023-02-16,0810,Aqua,MODIS,52,61.03,300.5,6.7,D,0
7.8705,80.1406,312,1.9,1.4,2023-02-18,0757,Aqua,MODIS,57,61.03,296.5,11.3,D,0
7.3875,80.2017,319.7,1.1,1,2023-02-21,0826,Aqua,MODIS,67,61.03,304.3,5.4,D,0
7.7689,80.2654,317.6,1.1,1,2023-02-23,0812,Aqua,MODIS,55,61.03,295.8,9.1,D,0
6.6281,81.2213,315.4,1.2,1.1,2023-02-24,0458,Terra,MODIS,57,61.03,293.5,8.6,D,0
6.6265,81.2317,320.1,1.2,1.1,2023-02-24,0458,Terra,MODIS,76,61.03,293.8,14,D,0
6.6233,81.2248,323.8,1.2,1.1,2023-02-24,0458,Terra,MODIS,80,61.03,294.1,20.5,D,0
7.4964,80.0458,316.8,1.9,1.3,2023-02-25,0759,Aqua,MODIS,68,61.03,294.3,17.8,D,0
7.5027,80.038,319,1.9,1.3,2023-02-25,0759,Aqua,MODIS,72,61.03,295,23.5,D,0
8.4609,80.3315,316.4,1.7,1.3,2023-02-25,0759,Aqua,MODIS,65,61.03,301.8,13.9,D,0
8.9466,80.4902,317.4,2,1.4,2023-02-26,0841,Aqua,MODIS,68,61.03,300.8,25.8,D,0
7.2142,80.5023,324.1,1.2,1.1,2023-03-07,0829,Aqua,MODIS,76,61.03,301.3,16.7,D,0
7.9672,80.1346,321.5,1.2,1.1,2023-03-07,0829,Aqua,MODIS,60,61.03,299.5,11.8,D,0
7.203,80.5105,315.9,1,1,2023-03-07,1643,Terra,MODIS,92,61.03,293.9,12.4,N,0
7.1941,80.5118,316.6,1,1,2023-03-07,1643,Terra,MODIS,94,61.03,293.6,13.1,N,0
7.5424,80.8348,309.9,1.2,1.1,2023-03-08,0500,Terra,MODIS,37,61.03,295.1,5.6,D,0
6.7124,81.1166,316.8,1.2,1.1,2023-03-08,0500,Terra,MODIS,69,61.03,300.1,10.8,D,0
7.2145,80.6424,323.9,1,1,2023-03-09,0815,Aqua,MODIS,77,61.03,300.5,15.4,D,0
7.2131,80.6333,326.1,1,1,2023-03-09,0815,Aqua,MODIS,79,61.03,301.4,17.4,D,0
7.9799,80.2113,316.3,1,1,2023-03-09,0816,Aqua,MODIS,48,61.03,300.4,7.1,D,0
7.561,80.1155,326,1,1,2023-03-09,0816,Aqua,MODIS,78,61.03,304.1,13.7,D,0
7.8144,80.088,332.2,1,1,2023-03-09,0816,Aqua,MODIS,84,61.03,301.8,24.8,D,0
8.0913,80.1504,315.2,1,1,2023-03-09,0816,Aqua,MODIS,57,61.03,297.9,5.6,D,0
8.3469,80.2627,319.3,1,1,2023-03-09,0816,Aqua,MODIS,70,61.03,298.7,9.5,D,0
8.3456,80.2535,315.5,1,1,2023-03-09,0816,Aqua,MODIS,62,61.03,298.4,6.1,D,0
7.8527,80.0184,313.8,3,1.7,2023-03-13,0748,Aqua,MODIS,59,61.03,293,25.3,D,0
7.367,79.9826,318.1,1.2,1.1,2023-03-14,0830,Aqua,MODIS,47,61.03,295.3,8.7,D,0
8.1233,80.0613,327.4,1.2,1.1,2023-03-14,0831,Aqua,MODIS,78,61.03,301.6,20,D,0
8.2758,81.0141,316.4,1.4,1.2,2023-03-14,0831,Aqua,MODIS,30,61.03,298.6,10.5,D,0
9.2458,80.2775,318.2,1.3,1.1,2023-03-14,0831,Aqua,MODIS,30,61.03,302.6,10,D,0
6.617,81.2433,310.2,1,1,2023-03-15,0452,Terra,MODIS,43,61.03,289.1,6,D,0
7.9438,80.2185,328.1,1,1,2023-03-16,0817,Aqua,MODIS,71,61.03,298,16.1,D,0
7.7606,80.1001,321.2,1,1,2023-03-16,0817,Aqua,MODIS,70,61.03,300.3,7.9,D,0
7.8157,80.0947,327.9,1,1,2023-03-16,0817,Aqua,MODIS,79,61.03,299.1,16.3,D,0
7.8351,80.1012,321.5,1,1,2023-03-16,0817,Aqua,MODIS,70,61.03,299,9,D,0
7.894,80.2538,320.5,1,1,2023-03-16,0817,Aqua,MODIS,64,61.03,297.4,7.4,D,0
7.9205,80.1849,349.6,1,1,2023-03-16,0817,Aqua,MODIS,89,61.03,303.4,50.5,D,0
7.9192,80.1758,348.6,1,1,2023-03-16,0817,Aqua,MODIS,82,61.03,301.1,49.6,D,0
7.9308,80.1926,334.2,1,1,2023-03-16,0817,Aqua,MODIS,85,61.03,300.4,23.2,D,0
7.9295,80.1835,350.5,1,1,2023-03-16,0817,Aqua,MODIS,83,61.03,299.7,52.3,D,0
7.9451,80.2276,345.2,1,1,2023-03-16,0817,Aqua,MODIS,92,61.03,301.4,43.5,D,0
8.1271,80.0859,328.7,1,1,2023-03-16,0817,Aqua,MODIS,80,61.03,303.7,15.9,D,0
8.3776,81.0469,321.3,1,1,2023-03-16,0817,Aqua,MODIS,40,61.03,302.3,9.1,D,0
8.9932,80.8392,317.2,1,1,2023-03-16,0817,Aqua,MODIS,60,61.03,300.6,6.2,D,0
7.5364,80.8342,310.8,1.4,1.2,2023-03-18,0803,Aqua,MODIS,11,61.03,294.9,7.4,D,0
7.8609,80.0875,314.1,1.5,1.2,2023-03-18,0803,Aqua,MODIS,51,61.03,296.4,9.2,D,0
8.8883,80.4183,312.9,2.4,1.5,2023-03-19,0846,Aqua,MODIS,37,61.03,289.1,17.1,D,0
7.8402,80.1265,318.6,1,1,2023-03-23,0818,Aqua,MODIS,62,61.03,294.7,8.9,D,0
6.7288,81.2107,315.4,1.9,1.4,2023-03-25,0509,Terra,MODIS,71,61.03,297.2,19,D,0
7.1613,79.8887,318.4,1.6,1.2,2023-03-25,0804,Aqua,MODIS,45,61.03,300.2,14.7,D,2
8.7349,80.1533,320.7,1.4,1.2,2023-03-25,0805,Aqua,MODIS,72,61.03,298.4,23,D,0
9.5243,80.497,313.7,1,1,2023-03-27,0453,Terra,MODIS,54,61.03,300.1,6.9,D,3
7.1699,79.8853,314.2,2.2,1.4,2023-03-30,0518,Terra,MODIS,21,61.03,299,19.4,D,2
6.1791,81.003,325.7,1,1,2023-03-30,0818,Aqua,MODIS,76,61.03,304.5,11.5,D,0
7.1702,79.8881,322.3,1,1,2023-03-30,0819,Aqua,MODIS,30,61.03,305.9,8.2,D,2
7.8332,79.9505,320.5,1,1,2023-03-30,0819,Aqua,MODIS,60,61.03,301.9,8,D,0
8.3685,80.2073,328.2,1,1,2023-03-30,0819,Aqua,MODIS,73,61.03,303.5,15.2,D,0
7.1632,79.8856,312.3,1.5,1.2,2023-04-01,0805,Aqua,MODIS,25,61.03,288.8,7.6,D,2
7.3044,81.7642,325.5,1,1,2023-04-03,0445,Terra,MODIS,64,61.03,303.2,7.2,D,0
6.6533,81.2318,322,1,1,2023-04-03,0446,Terra,MODIS,70,61.03,299.2,11.3,D,0
7.8574,80.2056,321.9,1,1,2023-04-06,0820,Aqua,MODIS,63,61.03,305.4,8.4,D,0
6.7763,81.1674,314.3,1.1,1,2023-04-08,0454,Terra,MODIS,72,61.03,280.8,11.1,D,0
7.1876,80.7169,309.4,2.4,1.5,2023-04-10,0752,Aqua,MODIS,39,61.03,289.6,20.9,D,0
7.9721,80.5752,306.2,1,1,2023-04-12,1646,Terra,MODIS,65,61.03,294.3,4.9,N,0
9.0121,80.702,320,1,1,2023-04-13,0820,Aqua,MODIS,62,61.03,301.7,8.2,D,0
8.0891,81.2505,318.3,1.6,1.2,2023-04-17,0430,Terra,MODIS,38,61.03,300.1,11,D,0
9.0101,80.8686,319,1.8,1.3,2023-04-18,0510,Terra,MODIS,43,61.03,302.8,16.4,D,0
8.7985,80.8885,325.4,1.8,1.3,2023-04-18,0510,Terra,MODIS,77,61.03,301.7,34.9,D,0
8.7915,80.8809,328.6,1.8,1.3,2023-04-18,0510,Terra,MODIS,73,61.03,302.1,41.7,D,0
