latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.9525,31.3375,319.9,3.9,1.8,2023-01-01,0852,Terra,MODIS,66,61.03,297.2,65.1,D,0
14.3942,24.0127,313,1.1,1.1,2023-01-01,0852,Terra,MODIS,47,61.03,298.9,6.1,D,0
11.639,25.4032,316.2,1.5,1.2,2023-01-01,0853,Terra,MODIS,16,61.03,303.2,8.9,D,0
10.6704,24.977,333.6,1.4,1.2,2023-01-01,0853,Terra,MODIS,84,61.03,306.9,40,D,0
10.6759,24.9716,328.6,1.4,1.2,2023-01-01,0853,Terra,MODIS,79,61.03,303.8,29.1,D,0
10.6739,24.9845,321.4,1.5,1.2,2023-01-01,0853,Terra,MODIS,62,61.03,305.5,15.5,D,0
11.6368,25.4166,324.4,1.5,1.2,2023-01-01,0853,Terra,MODIS,71,61.03,303.8,23.7,D,0
13.5146,23.6034,319.8,1.1,1,2023-01-01,0853,Terra,MODIS,68,61.03,301.6,10.1,D,0
12.6469,26.9768,321.1,1.9,1.3,2023-01-01,0853,Terra,MODIS,66,61.03,302.6,22.6,D,0
12.6525,26.972,320.5,1.9,1.3,2023-01-01,0853,Terra,MODIS,65,61.03,303.4,23,D,0
11.6151,30.5494,322.2,3.8,1.8,2023-01-01,0853,Terra,MODIS,71,61.03,299.2,79.2,D,0
11.6068,30.541,319.1,3.8,1.8,2023-01-01,0853,Terra,MODIS,58,61.03,299.3,55.7,D,0
10.6674,24.957,368.5,1.4,1.2,2023-01-01,0853,Terra,MODIS,100,61.03,305.5,174.1,D,0
10.6654,24.9699,359.1,1.4,1.2,2023-01-01,0853,Terra,MODIS,99,61.03,307.4,126.8,D,0
10.2101,27.503,319.9,2.3,1.5,2023-01-01,0853,Terra,MODIS,68,61.03,301.5,26.7,D,0
10.5623,25.1414,321.9,1.5,1.2,2023-01-01,0853,Terra,MODIS,70,61.03,302.3,19,D,0
10.5601,25.1547,321.9,1.5,1.2,2023-01-01,0853,Terra,MODIS,70,61.03,303.5,18.8,D,0
10.4986,25.2353,315.3,1.5,1.2,2023-01-01,0853,Terra,MODIS,45,61.03,303.3,9.1,D,0
9.7947,28.7893,316.6,3,1.6,2023-01-01,0853,Terra,MODIS,40,61.03,297.3,39.7,D,0
9.9068,31.1859,321.3,4.5,2,2023-01-01,0853,Terra,MODIS,68,61.03,296.6,89.7,D,0
10.5369,24.008,320.1,1.3,1.1,2023-01-01,0853,Terra,MODIS,57,61.03,305.9,9.4,D,0
10.5253,24.0177,319.5,1.3,1.1,2023-01-01,0853,Terra,MODIS,32,61.03,305.8,9,D,0
12.226,25.201,322.5,1.4,1.2,2023-01-01,0853,Terra,MODIS,67,61.03,302.3,18.7,D,0
9.8996,31.2258,319.6,4.6,2,2023-01-01,0853,Terra,MODIS,65,61.03,296.2,81.5,D,0
12.224,25.2138,326.7,1.4,1.2,2023-01-01,0853,Terra,MODIS,74,61.03,302.2,26.6,D,0
11.2138,29.6177,325,3.2,1.7,2023-01-01,0853,Terra,MODIS,73,61.03,302.2,75.9,D,0
11.2153,29.6113,321.3,3.2,1.7,2023-01-01,0853,Terra,MODIS,67,61.03,302.1,50.8,D,0
10.8999,30.7664,318.2,4,1.9,2023-01-01,0853,Terra,MODIS,59,61.03,300.2,51.1,D,0
10.9101,30.763,320.4,4,1.9,2023-01-01,0853,Terra,MODIS,66,61.03,300.7,68,D,0
9.9046,31.1801,318,4.5,2,2023-01-01,0853,Terra,MODIS,61,61.03,296.6,62.8,D,0
9.8976,31.2201,321.1,4.6,2,2023-01-01,0853,Terra,MODIS,68,61.03,296.3,94.2,D,0
10.6724,24.9641,359,1.4,1.2,2023-01-01,0853,Terra,MODIS,99,61.03,305.9,125.4,D,0
8.8396,24.0455,336.1,1.3,1.1,2023-01-01,0854,Terra,MODIS,86,61.03,302.4,45.6,D,0
8.8295,24.0439,330.1,1.3,1.1,2023-01-01,0854,Terra,MODIS,81,61.03,302.4,32.7,D,0
8.8144,23.6106,320.3,1.3,1.1,2023-01-01,0854,Terra,MODIS,67,61.03,303.1,12.2,D,0
10.2437,24.76,324.2,1.4,1.2,2023-01-01,0854,Terra,MODIS,46,61.03,304,20.4,D,0
9.2028,23.6157,320.9,1.2,1.1,2023-01-01,0854,Terra,MODIS,68,61.03,302.4,12.9,D,0
8.894,24.0235,319.5,1.3,1.1,2023-01-01,0854,Terra,MODIS,66,61.03,300.6,13.9,D,0
10.1841,24.8228,327.4,1.4,1.2,2023-01-01,0854,Terra,MODIS,77,61.03,306,26.6,D,0
10.1736,24.8211,328.5,1.4,1.2,2023-01-01,0854,Terra,MODIS,79,61.03,304.1,28.7,D,0
9.1961,23.6599,315.7,1.3,1.1,2023-01-01,0854,Terra,MODIS,45,61.03,302.2,6.8,D,0
8.986,23.6949,324.1,1.3,1.1,2023-01-01,0854,Terra,MODIS,74,61.03,300.7,21.1,D,0
8.8127,23.6217,316.4,1.3,1.1,2023-01-01,0854,Terra,MODIS,47,61.03,303.4,8,D,0
8.7414,24.0842,320,1.4,1.2,2023-01-01,0854,Terra,MODIS,67,61.03,301.5,15.1,D,0
10.2786,23.4377,326.5,1.2,1.1,2023-01-01,0854,Terra,MODIS,76,61.03,304.5,17.6,D,0
10.1465,23.8195,322.7,1.2,1.1,2023-01-01,0854,Terra,MODIS,69,61.03,304.6,14.4,D,0
10.0667,23.8689,318.1,1.3,1.1,2023-01-01,0854,Terra,MODIS,56,61.03,304.9,8.4,D,0
9.9511,23.6802,327.4,1.2,1.1,2023-01-01,0854,Terra,MODIS,76,61.03,303.2,21.5,D,0
9.3458,24.2846,317.5,1.4,1.2,2023-01-01,0854,Terra,MODIS,57,61.03,303.5,8.7,D,0
9.1787,24.1721,320.7,1.3,1.2,2023-01-01,0854,Terra,MODIS,61,61.03,304.1,14,D,0
9.1685,24.1705,321.6,1.3,1.2,2023-01-01,0854,Terra,MODIS,66,61.03,301.3,16.4,D,0
9.2045,23.6045,338.3,1.2,1.1,2023-01-01,0854,Terra,MODIS,87,61.03,303.1,42.7,D,0
8.8888,24.2561,317,1.4,1.2,2023-01-01,0854,Terra,MODIS,59,61.03,302.5,11.4,D,0
10.34,30.2029,329.2,1,1,2023-01-01,1139,Aqua,MODIS,72,61.03,310.3,11.4,D,0
10.3685,30.3393,335.8,1,1,2023-01-01,1139,Aqua,MODIS,81,61.03,311.6,20.1,D,0
10.3204,30.001,330.9,1,1,2023-01-01,1139,Aqua,MODIS,70,61.03,311.4,14.8,D,0
10.3191,29.9919,342.7,1,1,2023-01-01,1139,Aqua,MODIS,67,61.03,311.6,33.5,D,0
10.3788,30.3472,326.4,1,1,2023-01-01,1139,Aqua,MODIS,56,61.03,308.7,8.1,D,0
10.3775,30.338,343.7,1,1,2023-01-01,1139,Aqua,MODIS,89,61.03,310.8,34.4,D,0
9.9432,27.2919,321.7,1.1,1.1,2023-01-01,1139,Aqua,MODIS,44,61.03,307.4,11,D,0
9.497,24.3728,325.6,1.8,1.3,2023-01-01,1139,Aqua,MODIS,68,61.03,308.1,24.4,D,0
9.9249,27.1421,327.2,1.2,1.1,2023-01-01,1139,Aqua,MODIS,70,61.03,304.9,21.1,D,0
9.4952,24.3843,322.9,1.8,1.3,2023-01-01,1139,Aqua,MODIS,61,61.03,307.7,19.3,D,0
10.4051,29.8902,328,1,1,2023-01-01,1139,Aqua,MODIS,67,61.03,308.4,11.8,D,0
10.6945,31.8464,324.1,1.2,1.1,2023-01-01,1139,Aqua,MODIS,63,61.03,305.4,10.8,D,0
9.9497,26.6403,325.2,1.2,1.1,2023-01-01,1139,Aqua,MODIS,32,61.03,306.2,13.2,D,0
10.5073,30.3443,326,1,1,2023-01-01,1139,Aqua,MODIS,49,61.03,310.9,5.4,D,0
10.3974,29.5069,327.2,1,1,2023-01-01,1139,Aqua,MODIS,44,61.03,312.2,8.5,D,0
10.7383,31.8079,333.1,1.2,1.1,2023-01-01,1139,Aqua,MODIS,79,61.03,307.5,22.8,D,0
10.7368,31.7973,340,1.2,1.1,2023-01-01,1139,Aqua,MODIS,86,61.03,308.7,36.5,D,0
10.7464,31.796,326.4,1.2,1.1,2023-01-01,1139,Aqua,MODIS,68,61.03,307.4,12.7,D,0
10.2702,28.3189,325.6,1,1,2023-01-01,1139,Aqua,MODIS,56,61.03,310.1,7,D,0
10.2792,28.3175,327.3,1,1,2023-01-01,1139,Aqua,MODIS,63,61.03,311.2,8.9,D,0
9.7463,24.7897,322.3,1.6,1.3,2023-01-01,1139,Aqua,MODIS,55,61.03,306.2,17.5,D,0
10.7748,31.7649,324.9,1.2,1.1,2023-01-01,1139,Aqua,MODIS,37,61.03,307.2,9.9,D,0
10.7844,31.7635,354.1,1.2,1.1,2023-01-01,1139,Aqua,MODIS,96,61.03,306.3,71.1,D,0
10.783,31.753,325.8,1.2,1.1,2023-01-01,1139,Aqua,MODIS,45,61.03,307.4,12.1,D,0
10.1918,27.4925,332.1,1.1,1,2023-01-01,1139,Aqua,MODIS,66,61.03,310,18.1,D,0
10.2012,27.4911,329.8,1.1,1,2023-01-01,1139,Aqua,MODIS,61,61.03,308.1,13.5,D,0
10.2135,27.5094,327.6,1.1,1,2023-01-01,1139,Aqua,MODIS,63,61.03,309.9,10.4,D,0
10.212,27.4995,328.8,1.1,1,2023-01-01,1139,Aqua,MODIS,62,61.03,310.1,11.9,D,0
9.6943,24.1064,324.7,1.9,1.3,2023-01-01,1139,Aqua,MODIS,66,61.03,307.3,23.4,D,0
9.7889,24.6248,326.6,1.7,1.3,2023-01-01,1139,Aqua,MODIS,70,61.03,306.2,25.3,D,0
10.8151,31.4226,330.8,1.1,1.1,2023-01-01,1139,Aqua,MODIS,75,61.03,308.9,17.4,D,0
10.8136,31.4124,335.1,1.1,1.1,2023-01-01,1139,Aqua,MODIS,81,61.03,307.6,24.5,D,0
10.8203,31.4152,328.1,1.1,1.1,2023-01-01,1139,Aqua,MODIS,70,61.03,307.6,14.1,D,0
10.8189,31.405,325.8,1.1,1.1,2023-01-01,1139,Aqua,MODIS,65,61.03,305.7,10.6,D,0
10.5028,28.1508,336.2,1,1,2023-01-01,1139,Aqua,MODIS,81,61.03,310.4,21.3,D,0
10.5119,28.1494,327.4,1,1,2023-01-01,1139,Aqua,MODIS,66,61.03,311.5,9.2,D,0
10.521,28.148,329.7,1,1,2023-01-01,1139,Aqua,MODIS,71,61.03,311.1,12.5,D,0
10.9069,30.7659,326.6,1.1,1,2023-01-01,1139,Aqua,MODIS,64,61.03,310.9,7.8,D,0
10.7931,29.506,328.4,1,1,2023-01-01,1139,Aqua,MODIS,65,61.03,311.8,9.4,D,0
10.5347,27.7408,353.2,1.1,1,2023-01-01,1139,Aqua,MODIS,96,61.03,310.8,60.4,D,0
10.5333,27.7311,323.6,1.1,1,2023-01-01,1139,Aqua,MODIS,40,61.03,308.7,7.1,D,0
10.5453,27.749,324.7,1.1,1,2023-01-01,1139,Aqua,MODIS,54,61.03,309.2,8,D,0
10.5439,27.7393,331.6,1.1,1,2023-01-01,1139,Aqua,MODIS,75,61.03,310.4,17.5,D,0
10.8718,29.929,341.5,1,1,2023-01-01,1139,Aqua,MODIS,86,61.03,310.2,31.2,D,0
10.5631,27.8053,333,1.1,1,2023-01-01,1139,Aqua,MODIS,77,61.03,311,18.2,D,0
10.8808,29.9277,333.7,1,1,2023-01-01,1139,Aqua,MODIS,74,61.03,311.8,19.1,D,0
10.5799,27.8068,326.8,1.1,1,2023-01-01,1139,Aqua,MODIS,65,61.03,311.9,10.4,D,0
10.5784,27.7972,342.2,1.1,1,2023-01-01,1139,Aqua,MODIS,87,61.03,312.5,34.9,D,0
10.6513,28.2207,339.3,1,1,2023-01-01,1139,Aqua,MODIS,84,61.03,311.8,27,D,0
10.8655,29.5633,355.3,1,1,2023-01-01,1139,Aqua,MODIS,97,61.03,315,56.3,D,0
10.1418,24.8146,322.1,1.6,1.2,2023-01-01,1139,Aqua,MODIS,43,61.03,308,11.9,D,0
10.6214,27.7709,328,1.1,1,2023-01-01,1139,Aqua,MODIS,68,61.03,311.9,11.5,D,0
