latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.9103,-56.6821,300,1.9,1.3,2023-02-01,0132,Terra,MODIS,11,61.03,289.4,8,N,0
5.9006,-56.5049,324.7,1,1,2023-02-06,1731,Aqua,MODIS,79,61.03,294.6,16.9,D,0
5.9019,-56.4956,343.5,1,1,2023-02-06,1731,Aqua,MODIS,92,61.03,294.9,45.6,D,0
5.8542,-56.7466,323.1,1.1,1,2023-02-20,1736,Aqua,MODIS,76,61.03,299.7,15.9,D,0
5.9018,-56.5471,320.7,1.5,1.2,2023-03-10,1712,Aqua,MODIS,64,61.03,295.3,20.6,D,0
5.8975,-56.5398,320.8,1.5,1.2,2023-03-10,1712,Aqua,MODIS,71,61.03,295.1,21.2,D,0
5.9074,-56.6837,308.3,2.9,1.6,2023-03-11,0122,Terra,MODIS,74,61.03,290.6,32.2,N,0
5.911,-56.6753,306.3,1.1,1,2023-03-11,0530,Aqua,MODIS,68,61.03,292.2,6.2,N,0
5.8974,-56.6845,322.8,2.2,1.5,2023-03-11,1754,Aqua,MODIS,26,61.03,285.5,44.9,D,0
5.8875,-56.6916,309.3,1.2,1.1,2023-03-12,0203,Terra,MODIS,77,61.03,292.6,9.1,N,0
5.889,-56.681,305.3,1.2,1.1,2023-03-12,0203,Terra,MODIS,45,61.03,292.8,5.8,N,0
5.8867,-56.6872,318.6,2.8,1.6,2023-03-12,1658,Aqua,MODIS,75,61.03,295.8,45.7,D,0
5.8999,-56.3902,312.1,2.9,1.6,2023-03-17,1428,Terra,MODIS,51,61.03,291.7,26.7,D,0
5.8971,-56.3962,311.8,2.9,1.6,2023-03-17,1428,Terra,MODIS,51,61.03,291.9,27.3,D,0
5.8931,-56.3708,309.7,2.9,1.6,2023-03-17,1428,Terra,MODIS,48,61.03,293.2,20,D,0
5.9214,-56.9119,306.3,2.6,1.6,2023-03-17,1429,Terra,MODIS,50,61.03,290.5,13.1,D,0
5.0297,-55.0183,308.4,1.2,1.1,2023-03-17,1713,Aqua,MODIS,51,61.03,286.7,7,D,0
5.8086,-56.9117,315.9,2.8,1.6,2023-03-19,1700,Aqua,MODIS,71,61.03,299.1,34.7,D,0
5.8055,-56.9063,316.8,2.8,1.6,2023-03-19,1700,Aqua,MODIS,60,61.03,299.1,36.8,D,0
2.1424,-56.0418,317.9,1,1,2023-03-22,1727,Aqua,MODIS,53,61.03,298.8,8.3,D,0
2.1411,-56.0507,322.2,1,1,2023-03-22,1727,Aqua,MODIS,77,61.03,299.3,12.5,D,0
5.9005,-56.6846,319.4,1,1,2023-03-22,1728,Aqua,MODIS,64,61.03,296,8.6,D,0
5.7778,-56.7022,302.6,1.3,1.1,2023-03-24,0204,Terra,MODIS,50,61.03,288.2,6,N,0
5.8064,-56.9069,317.6,2.3,1.5,2023-03-25,1756,Aqua,MODIS,63,61.03,295.4,28.5,D,0
5.8639,-56.8507,316.9,1.1,1,2023-03-26,1405,Terra,MODIS,63,61.03,296.2,10.1,D,0
5.804,-56.8177,313.4,1.1,1,2023-03-26,1405,Terra,MODIS,69,61.03,293.8,8.1,D,0
5.8027,-56.8083,312.5,1.1,1,2023-03-26,1405,Terra,MODIS,68,61.03,292.9,7.3,D,0
5.8651,-56.3737,318,1.4,1.2,2023-03-27,1743,Aqua,MODIS,69,61.03,291.1,14,D,0
5.8634,-56.3861,317.1,1.4,1.2,2023-03-27,1743,Aqua,MODIS,62,61.03,291.8,13,D,0
5.8608,-56.8819,315.4,1.2,1.1,2023-03-28,1349,Terra,MODIS,54,61.03,294.6,7.6,D,2
5.8073,-56.874,320,1.2,1.1,2023-03-28,1349,Terra,MODIS,73,61.03,296.8,12.6,D,0
5.8058,-56.8634,322.7,1.2,1.1,2023-03-28,1349,Terra,MODIS,76,61.03,294.6,16.6,D,0
5.805,-56.7996,343.3,1.4,1.2,2023-03-31,1715,Aqua,MODIS,92,61.03,298,68.1,D,0
5.8031,-56.812,316.5,1.4,1.2,2023-03-31,1715,Aqua,MODIS,67,61.03,296.8,12.1,D,0
5.8965,-56.4692,325.3,1.3,1.1,2023-03-31,1715,Aqua,MODIS,80,61.03,297.4,24.2,D,0
5.8657,-57.0409,318.6,1,1,2023-04-02,1357,Terra,MODIS,72,61.03,296.1,10.5,D,0
5.8644,-57.0319,323.1,1,1,2023-04-02,1357,Terra,MODIS,77,61.03,296.2,14.7,D,0
5.8835,-56.6925,322.1,1.4,1.2,2023-04-03,1743,Aqua,MODIS,62,61.03,301.7,14.5,D,0
5.8329,-56.9034,338.1,1.3,1.1,2023-04-03,1743,Aqua,MODIS,88,61.03,303.2,40.9,D,0
5.8312,-56.915,322.1,1.3,1.1,2023-04-03,1743,Aqua,MODIS,54,61.03,303,11.4,D,0
5.8825,-56.6868,320.2,1.4,1.2,2023-04-03,1743,Aqua,MODIS,47,61.03,301.5,10.8,D,0
5.9075,-56.8847,324,1.3,1.1,2023-04-03,1743,Aqua,MODIS,58,61.03,300.7,18.5,D,0
5.8977,-56.9548,321.1,1.3,1.1,2023-04-03,1743,Aqua,MODIS,62,61.03,302.8,12.5,D,0
5.8156,-55.7675,312.8,4,1.9,2023-04-04,1648,Aqua,MODIS,56,61.03,292.1,57.5,D,0
5.8099,-55.8031,320.3,4.1,1.9,2023-04-04,1648,Aqua,MODIS,72,61.03,291.7,109,D,0
5.8042,-55.7694,312.3,4,1.9,2023-04-04,1648,Aqua,MODIS,54,61.03,291.3,56.1,D,0
5.7982,-55.8049,314.8,4.1,1.9,2023-04-04,1648,Aqua,MODIS,58,61.03,290.1,72,D,0
5.8149,-55.7696,313.4,1.5,1.2,2023-04-05,0204,Terra,MODIS,87,61.03,292.3,19.7,N,0
5.4594,-55.1725,310.8,2.8,1.6,2023-04-05,1422,Terra,MODIS,66,61.03,286.3,33.6,D,0
5.4692,-55.1763,308.5,2.8,1.6,2023-04-05,1422,Terra,MODIS,62,61.03,286,25.8,D,0
5.2642,-55.7305,325.2,1,1,2023-04-05,1729,Aqua,MODIS,80,61.03,294.2,18.5,D,0
5.8212,-55.7644,334.2,1,1,2023-04-05,1730,Aqua,MODIS,86,61.03,299.5,27.2,D,0
5.8199,-55.7735,340.2,1,1,2023-04-05,1730,Aqua,MODIS,90,61.03,299.4,36.8,D,0
5.8958,-56.4034,319,1,1,2023-04-05,1730,Aqua,MODIS,65,61.03,300.6,9.4,D,0
5.8391,-56.9223,319.4,1,1,2023-04-05,1730,Aqua,MODIS,49,61.03,301.6,5.9,D,0
5.8313,-57.0395,319.2,1,1,2023-04-05,1730,Aqua,MODIS,69,61.03,300,9.7,D,0
5.853,-57.0153,319.8,1,1,2023-04-05,1730,Aqua,MODIS,61,61.03,301,7,D,0
5.8517,-57.0242,339.7,1,1,2023-04-05,1730,Aqua,MODIS,89,61.03,301.5,32.6,D,0
5.8811,-56.9467,324.4,1,1,2023-04-05,1730,Aqua,MODIS,77,61.03,301.9,11.9,D,0
5.8771,-57.0371,319.5,1,1,2023-04-05,1730,Aqua,MODIS,58,61.03,300.9,7.4,D,0
5.8819,-57.0708,318.6,1,1,2023-04-05,1730,Aqua,MODIS,47,61.03,300,7.8,D,0
5.9242,-56.9041,320.4,1,1,2023-04-05,1730,Aqua,MODIS,63,61.03,301,9.4,D,0
5.923,-56.913,328.3,1,1,2023-04-05,1730,Aqua,MODIS,81,61.03,302.1,17.6,D,0
5.9191,-56.9397,323.7,1,1,2023-04-05,1730,Aqua,MODIS,62,61.03,301.5,12.4,D,0
5.9178,-56.9486,327.9,1,1,2023-04-05,1730,Aqua,MODIS,78,61.03,302,17.1,D,0
4.9159,-54.8524,303.7,1,1,2023-04-07,0148,Terra,MODIS,57,61.03,291,4.2,N,0
5.6101,-55.2325,314.2,1.1,1.1,2023-04-07,1716,Aqua,MODIS,47,61.03,296.2,7,D,0
5.8519,-57.0358,312.6,1.4,1.2,2023-04-07,1716,Aqua,MODIS,31,61.03,281.4,9.5,D,0
5.8568,-57.042,318.1,1.4,1.2,2023-04-07,1716,Aqua,MODIS,74,61.03,282.9,16.6,D,0
5.7909,-56.8566,318.6,2.5,1.5,2023-04-08,1758,Aqua,MODIS,46,61.03,296.6,25.1,D,0
5.8094,-56.8057,328.6,1.1,1.1,2023-04-09,1349,Terra,MODIS,81,61.03,300.3,20.4,D,0
5.7801,-56.8722,328.5,1.2,1.1,2023-04-09,1349,Terra,MODIS,76,61.03,297.6,22,D,0
4.9816,-55.4342,305.5,4,1.9,2023-04-10,1430,Terra,MODIS,44,61.03,286.9,31.7,D,0
5.0713,-55.5481,302.5,1.2,1.1,2023-04-12,0156,Terra,MODIS,49,61.03,292.1,4.4,N,0
5.8376,-55.2086,311.3,1.9,1.4,2023-04-12,1414,Terra,MODIS,36,61.03,294.4,20.3,D,2
5.8887,-56.8233,316.7,1.4,1.2,2023-04-12,1414,Terra,MODIS,72,61.03,295,13.9,D,0
5.8868,-56.8106,323.8,1.4,1.2,2023-04-12,1414,Terra,MODIS,80,61.03,294.9,25.1,D,0
5.8438,-56.6715,317.1,1.5,1.2,2023-04-12,1414,Terra,MODIS,73,61.03,297.1,14.8,D,0
5.808,-56.8284,314.8,1.4,1.2,2023-04-12,1414,Terra,MODIS,45,61.03,294.6,13.1,D,0
5.8459,-55.2727,320.5,1.1,1,2023-04-12,1730,Aqua,MODIS,72,61.03,301.7,8.8,D,2
4.8685,-55.6009,315.1,1,1,2023-04-12,1730,Aqua,MODIS,62,61.03,298.2,7.3,D,0
5.2568,-55.7253,316.6,1,1,2023-04-12,1730,Aqua,MODIS,69,61.03,298.1,8.9,D,0
5.751,-56.7094,314.9,1,1,2023-04-12,1730,Aqua,MODIS,63,61.03,287.2,8.2,D,0
5.7777,-56.7769,321.6,1,1,2023-04-12,1730,Aqua,MODIS,75,61.03,285.1,14.1,D,0
5.7866,-56.7782,317.5,1,1,2023-04-12,1730,Aqua,MODIS,65,61.03,285.2,9.7,D,0
5.7928,-56.8608,323.6,1,1,2023-04-12,1730,Aqua,MODIS,78,61.03,282.6,14.4,D,0
5.8389,-56.6678,316,1,1,2023-04-12,1730,Aqua,MODIS,30,61.03,292.6,6.3,D,0
5.8979,-56.9009,314.9,1,1,2023-04-12,1730,Aqua,MODIS,61,61.03,286.9,7.6,D,0
