latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-26.7527,31.6925,312.6,1.5,1.2,2023-01-02,0806,Terra,MODIS,22,61.03,296.5,7.5,D,0
-26.7449,31.6871,313.5,1.5,1.2,2023-01-02,0806,Terra,MODIS,42,61.03,296.1,9,D,0
-26.647,31.041,316.2,1,1,2023-01-04,0750,Terra,MODIS,60,61.03,303.1,8,D,0
-26.9625,30.9903,323.1,1,1,2023-01-04,0751,Terra,MODIS,77,61.03,301.3,13.5,D,0
-26.9536,30.9919,317.9,1,1,2023-01-04,0751,Terra,MODIS,60,61.03,302,8.3,D,0
-26.809,31.9788,318.2,1,1,2023-01-04,0751,Terra,MODIS,34,61.03,301,7.4,D,0
-26.7808,31.7771,325.2,1,1,2023-01-04,0751,Terra,MODIS,78,61.03,300.2,15.8,D,0
-26.9631,31.9371,311.9,1.2,1.1,2023-01-09,0800,Terra,MODIS,46,61.03,298.6,6.8,D,0
-26.9646,31.9495,315,1.2,1.1,2023-01-09,0800,Terra,MODIS,65,61.03,298.5,9.8,D,0
-26.9632,31.937,323.5,1.7,1.3,2023-01-09,1215,Aqua,MODIS,74,61.03,304.5,25.6,D,0
-26.9601,31.954,320.7,1.7,1.3,2023-01-09,1215,Aqua,MODIS,65,61.03,304.3,19.8,D,0
-26.0233,31.3479,304.1,1.3,1.2,2023-01-09,2006,Terra,MODIS,58,61.03,290.2,8.4,N,0
-26.015,31.3545,304.9,1.3,1.1,2023-01-09,2006,Terra,MODIS,62,61.03,289.8,9.4,N,0
-26.4069,30.9603,323,1.1,1,2023-01-11,0744,Terra,MODIS,75,61.03,299.3,16.6,D,0
-26.4613,31.0191,365.7,1.1,1,2023-01-11,0744,Terra,MODIS,100,61.03,307.9,103.6,D,0
-26.4629,31.0295,342.9,1.1,1,2023-01-11,0744,Terra,MODIS,91,61.03,306,43.3,D,0
-26.5842,30.9134,320.6,1.1,1,2023-01-11,0744,Terra,MODIS,71,61.03,307.1,13.5,D,0
-26.5709,30.9488,382.7,1.1,1,2023-01-11,0744,Terra,MODIS,100,61.03,306.9,174.6,D,0
-26.5726,30.9593,372.8,1.1,1,2023-01-11,0744,Terra,MODIS,100,61.03,306.6,131.5,D,0
-26.5733,30.9043,352.7,1.1,1,2023-01-11,0744,Terra,MODIS,96,61.03,303.8,67.3,D,0
-26.575,30.9151,414.1,1.1,1,2023-01-11,0744,Terra,MODIS,100,61.03,314.4,379.7,D,0
-26.5801,30.947,320.2,1.1,1,2023-01-11,0744,Terra,MODIS,70,61.03,304.8,13.6,D,0
-26.5145,31.1167,315,1.1,1,2023-01-11,0744,Terra,MODIS,54,61.03,302.6,8.6,D,0
-26.4052,30.9497,328.5,1.1,1,2023-01-11,0744,Terra,MODIS,81,61.03,301,23.9,D,0
-26.0172,31.3445,325,1.1,1,2023-01-11,1202,Aqua,MODIS,71,61.03,305.4,16,D,0
-26.5805,30.9144,340.2,1,1,2023-01-11,1202,Aqua,MODIS,88,61.03,310.8,36.6,D,0
-26.5821,30.904,340.2,1,1,2023-01-11,1202,Aqua,MODIS,88,61.03,309.4,36.1,D,0
-26.5204,31.1183,318.8,1.1,1,2023-01-11,1202,Aqua,MODIS,55,61.03,305,10.5,D,0
-26.0226,31.3524,334.3,1.1,1,2023-01-11,1202,Aqua,MODIS,83,61.03,310.2,27.3,D,0
-26.002,31.3192,366,1.1,1,2023-01-11,1202,Aqua,MODIS,100,61.03,306.5,105.3,D,0
-26.0036,31.3088,363,1.1,1,2023-01-11,1202,Aqua,MODIS,100,61.03,312.5,95.4,D,0
-25.9702,31.6745,341.1,2.4,1.5,2023-01-11,1950,Terra,MODIS,100,61.03,293.5,159.7,N,0
-25.9751,31.6698,328.8,2.4,1.5,2023-01-11,1950,Terra,MODIS,100,61.03,293.3,96.2,N,0
-25.9515,31.3554,319.2,3,1.6,2023-01-12,0825,Terra,MODIS,71,61.03,299.1,61.5,D,0
-25.9519,31.3476,322.4,3,1.6,2023-01-12,0825,Terra,MODIS,75,61.03,299.4,82.5,D,0
-26.4803,31.0217,320.2,2.9,1.6,2023-01-12,0825,Terra,MODIS,73,61.03,299.7,68.6,D,0
-26.5812,30.9755,343.4,2.8,1.6,2023-01-12,0825,Terra,MODIS,92,61.03,298.5,208.9,D,0
-26.5838,31.0061,354.8,2.9,1.6,2023-01-12,0825,Terra,MODIS,97,61.03,299.4,318.1,D,0
-25.9489,31.3253,313.4,3,1.6,2023-01-12,0825,Terra,MODIS,46,61.03,298.6,37,D,0
-26.6469,31.0638,345.7,4.8,2,2023-01-12,1244,Aqua,MODIS,92,61.03,300.3,462.1,D,0
-26.6486,31.0558,352.5,4.8,2,2023-01-12,1244,Aqua,MODIS,96,61.03,300.7,599.5,D,0
-26.5123,31.2944,324.3,1.1,1,2023-01-13,1148,Aqua,MODIS,45,61.03,309.8,9.3,D,2
-26.3025,30.9385,317.6,1.1,1,2023-01-13,1149,Aqua,MODIS,36,61.03,301,8.1,D,0
-26.0445,31.7863,305.5,4.5,2,2023-01-13,1934,Terra,MODIS,32,61.03,292.1,54.6,N,0
-26.0442,31.7794,305.1,4.5,2,2023-01-13,1934,Terra,MODIS,19,61.03,292.2,53.3,N,0
-26.5146,31.2964,319.2,1.6,1.2,2023-01-14,0809,Terra,MODIS,38,61.03,304.3,15.3,D,2
-26.6417,31.0553,310.7,1,1,2023-01-16,0753,Terra,MODIS,17,61.03,297.5,5,D,0
-27.1278,31.2412,320.1,1,1,2023-01-16,0753,Terra,MODIS,71,61.03,301.4,10.7,D,0
-27.1292,31.2514,321.2,1,1,2023-01-16,0753,Terra,MODIS,73,61.03,298.9,12.6,D,0
-27.1306,31.2617,317.7,1,1,2023-01-16,0753,Terra,MODIS,58,61.03,299.3,9.2,D,0
-27.1386,31.2543,330.4,1,1,2023-01-16,0753,Terra,MODIS,82,61.03,301.9,24.8,D,0
-26.2115,31.7685,308.8,3.1,1.7,2023-01-18,1944,Terra,MODIS,63,61.03,293.7,37,N,0
-26.2128,31.7634,311.8,3.1,1.7,2023-01-18,1944,Terra,MODIS,76,61.03,293.5,48.8,N,0
-26.084,31.7782,315.8,2.1,1.4,2023-01-20,0721,Terra,MODIS,46,61.03,299.4,16.3,D,0
-26.6785,31.9813,318.7,1,1,2023-01-20,1151,Aqua,MODIS,21,61.03,301.4,6.1,D,0
-26.4616,31.0213,374.2,1,1,2023-01-23,0746,Terra,MODIS,100,61.03,311,128.8,D,0
-26.4697,31.0137,351,1,1,2023-01-23,0746,Terra,MODIS,96,61.03,303.8,58.2,D,0
-26.4712,31.0238,348,1,1,2023-01-23,0746,Terra,MODIS,94,61.03,307.8,51.5,D,0
-27.1336,31.2564,328.7,1,1,2023-01-23,0747,Terra,MODIS,80,61.03,302.5,20.1,D,0
-27.1351,31.2664,320.6,1,1,2023-01-23,0747,Terra,MODIS,69,61.03,303.1,11.3,D,0
-26.6823,30.8808,364.6,1.8,1.3,2023-01-23,1220,Aqua,MODIS,100,61.03,306.2,211.8,D,0
-26.6854,30.8643,325,1.8,1.3,2023-01-23,1220,Aqua,MODIS,70,61.03,303.4,29.9,D,0
-26.4692,31.0257,341,1.9,1.3,2023-01-23,1220,Aqua,MODIS,88,61.03,307,91.6,D,0
-26.3726,30.9413,313,3.2,1.7,2023-01-24,0827,Terra,MODIS,40,61.03,299.7,27.5,D,0
-26.3877,30.9401,313.9,3.2,1.7,2023-01-24,0827,Terra,MODIS,35,61.03,298.8,34.3,D,0
-26.3857,30.933,320.5,3.2,1.7,2023-01-24,0827,Terra,MODIS,66,61.03,299.9,64,D,0
-27.1333,31.2605,349,3.4,1.7,2023-01-24,0828,Terra,MODIS,94,61.03,302.4,314.7,D,0
-27.1361,31.2962,316.4,3.4,1.7,2023-01-24,0828,Terra,MODIS,60,61.03,300.6,45.7,D,0
-27.1283,31.2541,344,3.4,1.7,2023-01-24,0828,Terra,MODIS,91,61.03,302.5,257.6,D,0
-27.1308,31.2894,324.3,3.4,1.7,2023-01-24,0828,Terra,MODIS,75,61.03,300.5,92,D,0
-26.4203,30.8549,334.5,1,1,2023-01-27,1154,Aqua,MODIS,85,61.03,302.1,25.3,D,0
-26.4218,30.8448,325.1,1,1,2023-01-27,1154,Aqua,MODIS,71,61.03,298.7,13.7,D,0
-26.391,30.9325,338.4,1,1,2023-01-27,1154,Aqua,MODIS,88,61.03,300.1,33.5,D,0
-26.382,30.9309,329.9,1,1,2023-01-27,1154,Aqua,MODIS,67,61.03,302.8,22.5,D,0
-26.3859,30.9332,323.7,1,1,2023-01-28,0756,Terra,MODIS,72,61.03,305.4,14.3,D,0
-26.4221,30.9274,393.4,1,1,2023-01-28,0756,Terra,MODIS,100,61.03,311.7,219.6,D,0
-26.4235,30.9376,315.2,1,1,2023-01-28,0756,Terra,MODIS,31,61.03,297.9,6.5,D,0
-26.4295,30.9198,381.8,1,1,2023-01-28,0756,Terra,MODIS,100,61.03,306.8,161.9,D,0
-26.4309,30.9299,375.6,1,1,2023-01-28,0756,Terra,MODIS,100,61.03,304.5,136.1,D,0
-26.4849,31.1225,328,1,1,2023-01-28,0756,Terra,MODIS,79,61.03,301.9,23.9,D,0
-26.4863,31.1329,321.2,1,1,2023-01-28,0756,Terra,MODIS,70,61.03,298.9,15.8,D,0
-26.4546,30.8323,338.2,1,1,2023-01-28,0756,Terra,MODIS,88,61.03,305.5,33.3,D,0
-26.9933,31.0461,319.2,1.4,1.2,2023-02-06,0733,Terra,MODIS,73,61.03,299.4,18.2,D,0
-26.0087,31.3069,332.4,1.9,1.4,2023-02-07,1130,Aqua,MODIS,86,61.03,295.1,74.1,D,0
