latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
58.3614,12.387,301.3,1,1,2023-02-25,1021,Terra,MODIS,40,61.03,271.3,9.8,D,2
59.6167,16.7481,303.4,1,1,2023-03-23,1007,Terra,MODIS,56,61.03,280.8,8.9,D,0
59.586,16.2227,308.4,1,1,2023-04-08,1138,Aqua,MODIS,67,61.03,286.2,9.2,D,0
60.1304,16.1809,307.7,1,1,2023-04-08,1138,Aqua,MODIS,66,61.03,288.3,9.8,D,2
59.5888,16.24,301,1,1,2023-04-08,1138,Aqua,MODIS,43,61.03,287,4.7,D,0
57.9463,12.563,301.6,1.1,1.1,2023-04-09,1220,Aqua,MODIS,24,61.03,289.5,5.2,D,0
59.7182,17.4427,301.6,1,1,2023-04-15,1138,Aqua,MODIS,45,61.03,288,5.3,D,0
58.932,18.273,305.1,1.1,1,2023-04-17,1124,Aqua,MODIS,0,61.03,286.5,9.5,D,0
62.1001,16.6897,302.1,1.1,1,2023-04-21,1016,Terra,MODIS,44,61.03,280.6,7.8,D,0
59.2962,17.7159,302.5,1.3,1.1,2023-04-21,1017,Terra,MODIS,0,61.03,290.4,5.5,D,0
58.1723,14.06,307.4,1.1,1,2023-04-21,1017,Terra,MODIS,44,61.03,290.7,7.1,D,0
58.1665,14.0369,303.9,1.1,1,2023-04-21,1017,Terra,MODIS,46,61.03,290.5,4.7,D,0
58.1635,14.0544,310.2,1.1,1,2023-04-21,1017,Terra,MODIS,70,61.03,290.7,9.5,D,0
60.2857,16.0538,327.2,1.9,1.3,2023-04-21,1057,Aqua,MODIS,74,61.03,288.7,64.6,D,0
60.2781,16.0234,321.2,1.9,1.3,2023-04-21,1057,Aqua,MODIS,61,61.03,288,48.7,D,0
60.2821,16.0156,306.5,1.9,1.3,2023-04-21,1057,Aqua,MODIS,0,61.03,287.8,18.4,D,0
58.3538,12.3893,309.7,1.3,1.1,2023-04-22,1139,Aqua,MODIS,46,61.03,296,9.4,D,2
58.3497,12.3688,305.8,1.3,1.1,2023-04-22,1139,Aqua,MODIS,26,61.03,292.9,4.9,D,0
56.6808,16.2739,309.2,1,1,2023-04-23,1002,Terra,MODIS,68,61.03,290.3,8,D,0
58.4363,15.6385,305.4,1.1,1,2023-04-28,1009,Terra,MODIS,46,61.03,288.4,6,D,0
58.4393,15.6213,304,1.1,1,2023-04-28,1009,Terra,MODIS,35,61.03,288.3,5,D,0
55.8831,12.8664,303.5,1,1,2023-04-28,1010,Terra,MODIS,56,61.03,285.3,5.2,D,2
58.1424,13.7986,300.7,1.7,1.3,2023-04-28,1235,Aqua,MODIS,13,61.03,286.8,7.6,D,0
56.1652,12.5808,302.3,1,1,2023-05-02,1206,Aqua,MODIS,37,61.03,290.2,3.5,D,0
58.3564,12.3806,306.1,1.1,1,2023-05-04,1153,Aqua,MODIS,59,61.03,287.4,8.4,D,0
58.4142,15.1533,305.1,1.1,1,2023-05-07,0945,Terra,MODIS,51,61.03,292.4,5.1,D,0
56.4211,12.6497,317.8,1.1,1,2023-05-07,1220,Aqua,MODIS,56,61.03,294.4,13.5,D,0
57.0633,13.1861,300.1,1.2,1.1,2023-05-08,1026,Terra,MODIS,12,61.03,287.8,3.4,D,0
56.5796,13.5722,309.1,1.6,1.2,2023-05-09,0929,Terra,MODIS,68,61.03,290.3,16.9,D,0
56.5776,13.5978,301.5,1.6,1.2,2023-05-09,0929,Terra,MODIS,47,61.03,291,7.6,D,0
60.1263,16.1752,303.6,1.2,1.1,2023-05-09,1207,Aqua,MODIS,37,61.03,288.9,5.2,D,0
58.1156,15.9137,307.5,3.1,1.7,2023-05-09,1905,Terra,MODIS,55,61.03,278.6,59.3,N,0
60.1341,16.1751,301.5,1,1,2023-05-10,1009,Terra,MODIS,34,61.03,288.4,4.2,D,2
56.6005,13.4698,304.7,1,1,2023-05-10,1010,Terra,MODIS,60,61.03,291.9,5.2,D,0
57.848,13.1864,314.6,2.2,1.4,2023-05-10,1248,Aqua,MODIS,70,61.03,293.1,34.7,D,0
57.8461,13.1511,333.4,2.1,1.4,2023-05-10,1248,Aqua,MODIS,83,61.03,294.2,97.7,D,0
57.4201,15.1125,301.6,2.4,1.5,2023-05-11,1050,Terra,MODIS,25,61.03,287.5,9.7,D,0
56.8809,14.8061,302.2,2.5,1.5,2023-05-11,1050,Terra,MODIS,0,61.03,284.6,10.6,D,2
64.686,20.6227,305.1,1.5,1.2,2023-05-11,1154,Aqua,MODIS,60,61.03,293.9,8.5,D,0
58.359,12.3794,314.7,1.1,1.1,2023-05-12,0953,Terra,MODIS,54,61.03,295.8,11.4,D,0
58.3585,12.3889,300.1,1,1,2023-05-13,0202,Aqua,MODIS,18,61.03,279.9,8.2,N,2
64.9615,20.7398,312.4,1.1,1.1,2023-05-14,0935,Terra,MODIS,72,61.03,292.2,11.1,D,0
58.3647,12.3923,302.4,1,1,2023-05-15,0148,Aqua,MODIS,49,61.03,279.1,9,N,0
63.7277,18.5115,309.7,1.9,1.4,2023-05-16,1030,Aqua,MODIS,65,61.03,288,25.9,D,0
63.7303,18.4995,308,1.9,1.4,2023-05-16,1030,Aqua,MODIS,66,61.03,288.1,22.2,D,0
59.4709,15.2329,300.3,2.2,1.4,2023-05-19,1057,Aqua,MODIS,19,61.03,288.7,6.7,D,0
57.7823,12.7622,301.9,1.2,1.1,2023-05-20,1026,Terra,MODIS,17,61.03,290.2,3.3,D,0
57.492,13.0342,303.8,1.1,1.1,2023-05-21,1220,Aqua,MODIS,16,61.03,287.6,2.6,D,0
62.7357,13.9398,302,1.4,1.2,2023-05-21,1221,Aqua,MODIS,37,61.03,291.9,3.4,D,0
57.4269,15.0997,301.2,1.2,1.1,2023-05-26,0937,Terra,MODIS,14,61.03,289.4,4.3,D,0
57.4191,15.0828,300.5,1.8,1.3,2023-05-26,1234,Aqua,MODIS,28,61.03,288.3,7.7,D,2
60.7104,14.4083,308.9,1.1,1,2023-05-27,1138,Aqua,MODIS,68,61.03,291.5,8.9,D,0
65.4632,21.916,304.7,1.3,1.1,2023-05-27,1139,Aqua,MODIS,56,61.03,284.8,11.7,D,0
57.5628,18.2949,305.3,1.3,1.1,2023-05-30,1205,Aqua,MODIS,46,61.03,292.2,7.3,D,0
59.6535,13.9569,306.4,1,1,2023-05-30,1206,Aqua,MODIS,46,61.03,294.2,5.2,D,0
57.4891,15.837,302.3,1,1,2023-06-01,1151,Aqua,MODIS,14,61.03,284.5,3.3,D,2
56.5958,13.7204,303.8,1.1,1.1,2023-06-04,1219,Aqua,MODIS,15,61.03,290,4.2,D,0
65.612,22.1313,300.3,1,1,2023-06-05,0950,Terra,MODIS,0,61.03,287.7,3.8,D,2
60.6869,17.1038,322.7,1,1,2023-06-05,0952,Terra,MODIS,77,61.03,295.6,17.3,D,2
60.1764,14.0424,300.1,1.8,1.3,2023-06-05,1929,Terra,MODIS,18,61.03,287.3,12.2,N,0
61.0026,17.0989,304.2,1.2,1.1,2023-06-07,0935,Terra,MODIS,58,61.03,290,7.5,D,0
61.0004,17.12,305.8,1.2,1.1,2023-06-07,0935,Terra,MODIS,59,61.03,289.4,8.7,D,0
60.0732,13.4972,301.4,1,1,2023-06-08,1016,Terra,MODIS,20,61.03,289.9,2.7,D,0
59.4667,17.9791,302.5,2.4,1.5,2023-06-09,1233,Aqua,MODIS,26,61.03,291.2,9.7,D,0
59.2249,17.1081,315.2,1,1,2023-06-10,1137,Aqua,MODIS,74,61.03,291,12.7,D,0
59.2221,17.091,305.9,1,1,2023-06-10,1137,Aqua,MODIS,57,61.03,291.5,5.8,D,0
56.216,15.2026,326.8,1.2,1.1,2023-06-11,1218,Aqua,MODIS,83,61.03,296.7,28.6,D,0
56.218,15.2169,311.7,1.2,1.1,2023-06-11,1218,Aqua,MODIS,61,61.03,296.1,9.6,D,0
56.216,15.1975,319.9,1.2,1.1,2023-06-11,1218,Aqua,MODIS,77,61.03,296.5,20,D,0
58.2809,16.2549,305.5,1.4,1.2,2023-06-11,1219,Aqua,MODIS,0,61.03,294.3,8.1,D,0
56.8434,15.7495,304.7,1,1,2023-06-12,0147,Aqua,MODIS,61,61.03,276.4,11.9,N,0
56.0113,12.7675,312.5,2.1,1.4,2023-06-12,1122,Aqua,MODIS,51,61.03,300.4,19.3,D,2
57.0072,15.9503,315.5,1.5,1.2,2023-06-12,1122,Aqua,MODIS,72,61.03,297.2,19.7,D,0
57.0022,15.9276,312.3,1.5,1.2,2023-06-12,1122,Aqua,MODIS,67,61.03,297.8,15.2,D,0
57.0172,15.9429,348.6,1.5,1.2,2023-06-12,1122,Aqua,MODIS,95,61.03,297.6,99.9,D,0
57.0123,15.9201,349.1,1.5,1.2,2023-06-12,1122,Aqua,MODIS,95,61.03,297.6,102.3,D,0
57.0098,15.9477,305.1,3.7,1.8,2023-06-12,1300,Aqua,MODIS,32,61.03,293.4,32.4,D,0
57.009,15.8866,305.8,3.6,1.8,2023-06-12,1300,Aqua,MODIS,48,61.03,294.1,33.8,D,0
63.4993,15.6529,300,1.1,1,2023-06-13,1023,Terra,MODIS,12,61.03,288.1,2.3,D,0
63.4171,15.5222,300.6,1.1,1,2023-06-13,1023,Terra,MODIS,9,61.03,288.1,2.3,D,0
62.8778,15.479,301.4,1.1,1,2023-06-13,1023,Terra,MODIS,0,61.03,288.7,3.2,D,0
62.7024,15.3167,303.9,1.1,1,2023-06-13,1023,Terra,MODIS,47,61.03,292,4.9,D,0
60.0412,16.9952,309.5,1.2,1.1,2023-06-13,1205,Aqua,MODIS,20,61.03,295.9,5.1,D,0
66.8979,22.2654,358.6,1.2,1.1,2023-06-14,0925,Terra,MODIS,86,61.03,295.9,107.3,D,0
66.9006,22.2388,344.7,1.2,1.1,2023-06-14,0925,Terra,MODIS,81,61.03,297.4,66.1,D,0
66.8911,22.2325,325.8,1.2,1.1,2023-06-14,0925,Terra,MODIS,83,61.03,296,28.8,D,0
66.8884,22.2592,367.1,1.2,1.1,2023-06-14,0925,Terra,MODIS,100,61.03,296,139.3,D,0
66.8828,22.2115,342.2,2.7,1.6,2023-06-14,0933,Aqua,MODIS,88,61.03,295.3,196.2,D,0
66.8959,22.2669,373.1,2.7,1.6,2023-06-14,0933,Aqua,MODIS,100,61.03,294.5,530.3,D,0
66.8796,22.2206,365.3,2.7,1.6,2023-06-14,0933,Aqua,MODIS,100,61.03,296.5,425.3,D,0
66.8991,22.2574,354.2,2.7,1.6,2023-06-14,0933,Aqua,MODIS,85,61.03,293.1,298,D,0
66.8869,22.2736,353.4,2.1,1.4,2023-06-14,1103,Terra,MODIS,85,61.03,295.2,201.3,D,0
66.8983,22.2356,352.7,2.1,1.4,2023-06-14,1103,Terra,MODIS,91,61.03,297.5,195.1,D,0
62.7585,17.9236,308.4,1.2,1.1,2023-06-14,1110,Aqua,MODIS,45,61.03,296.2,6.8,D,0
66.8903,22.2652,353,1,1,2023-06-14,1110,Aqua,MODIS,97,61.03,295,68.5,D,0
66.8873,22.243,394.2,1,1,2023-06-14,1110,Aqua,MODIS,100,61.03,308.8,224.5,D,0
66.8989,22.2575,307.3,1,1,2023-06-14,1110,Aqua,MODIS,35,61.03,294.5,4.9,D,0
66.8959,22.2353,345.8,1,1,2023-06-14,1110,Aqua,MODIS,89,61.03,298.9,52.7,D,0
63.6313,15.9918,314.8,1.1,1,2023-06-15,1152,Aqua,MODIS,0,61.03,295.8,11.3,D,0
64.5722,16.6065,324.3,1.5,1.2,2023-06-16,1047,Terra,MODIS,77,61.03,292.3,33.2,D,0
64.5666,16.6049,324.2,1.5,1.2,2023-06-16,1047,Terra,MODIS,71,61.03,291.2,32.9,D,0
64.215,17.4315,310.3,1.6,1.2,2023-06-16,1047,Terra,MODIS,56,61.03,296.4,12.2,D,0
64.5694,16.6019,321.7,1.4,1.2,2023-06-16,1056,Aqua,MODIS,75,61.03,293.5,28.3,D,0
64.2067,17.4136,310.7,1.3,1.1,2023-06-16,1056,Aqua,MODIS,69,61.03,298.6,9.9,D,0
64.5638,16.5768,306,1.4,1.2,2023-06-16,1056,Aqua,MODIS,51,61.03,290.7,8.1,D,0
64.2098,17.3921,310.3,2.4,1.5,2023-06-16,1234,Aqua,MODIS,45,61.03,293.2,22.8,D,0
59.599,15.1991,314.8,1.1,1,2023-06-17,1136,Aqua,MODIS,33,61.03,302.3,8.4,D,0
64.463,17.6561,309.7,1,1,2023-06-17,1138,Aqua,MODIS,60,61.03,299.3,5.2,D,0
67.2765,20.1544,318.2,1.2,1.1,2023-06-18,1030,Terra,MODIS,70,61.03,297.2,13.6,D,0
67.268,20.1428,320.6,1.2,1.1,2023-06-18,1030,Terra,MODIS,77,61.03,298,16.6,D,0
67.2698,20.1386,325.1,1.1,1.1,2023-06-18,1042,Aqua,MODIS,81,61.03,298.3,22.4,D,0
67.3065,23.7123,376,1.1,1,2023-06-19,0933,Terra,MODIS,100,61.03,300,146.9,D,0
67.3183,23.6959,315.3,1.1,1,2023-06-19,0933,Terra,MODIS,70,61.03,296.3,11.5,D,0
67.3154,23.7195,332,1.1,1,2023-06-19,0933,Terra,MODIS,86,61.03,297.8,31.1,D,0
67.3095,23.6887,354.7,1.1,1,2023-06-19,0933,Terra,MODIS,97,61.03,298.3,75.9,D,0
67.2953,23.687,328.5,2,1.4,2023-06-19,0946,Aqua,MODIS,84,61.03,295.4,66,D,0
67.306,23.7234,351.7,2,1.4,2023-06-19,0946,Aqua,MODIS,96,61.03,295.9,169.7,D,0
63.8026,17.7807,304.2,2.5,1.5,2023-06-19,1111,Terra,MODIS,43,61.03,288,17.6,D,0
63.7896,17.8232,309.4,2.6,1.5,2023-06-19,1111,Terra,MODIS,68,61.03,287.4,31.4,D,0
63.7968,17.8167,312.7,1,1,2023-06-19,1123,Aqua,MODIS,45,61.03,292.1,8.4,D,0
64.3834,19.9557,316,1,1,2023-06-19,1123,Aqua,MODIS,67,61.03,298.9,9.3,D,0
58.3602,12.376,304.4,1.4,1.2,2023-06-19,2049,Terra,MODIS,60,61.03,284.7,14.2,N,0
