latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.4874,8.462,300.6,1.1,1,2023-02-24,1224,Aqua,MODIS,39,61.03,287.3,4.9,D,0
46.0273,8.919,311.8,1.3,1.1,2023-03-09,1026,Terra,MODIS,72,61.03,287.6,17.1,D,0
45.8556,8.9983,308.1,1.3,1.1,2023-03-09,1026,Terra,MODIS,67,61.03,288.8,12.9,D,0
45.8524,9.015,300.1,1.3,1.1,2023-03-09,1026,Terra,MODIS,19,61.03,288.1,6.1,D,2
46.1806,8.9924,301.4,1.3,1.1,2023-03-09,1026,Terra,MODIS,41,61.03,288.4,7,D,2
47.1715,7.5624,303.7,1.1,1,2023-03-18,1002,Terra,MODIS,57,61.03,289.3,6.8,D,2
47.0737,8.27,303.7,1.1,1,2023-03-18,1002,Terra,MODIS,57,61.03,289.9,5.6,D,2
47.0687,8.2683,301.3,1.1,1,2023-03-28,1020,Terra,MODIS,46,61.03,285.2,6.5,D,2
47.5518,8.0379,309.5,1,1,2023-04-04,1012,Terra,MODIS,69,61.03,283.2,11.5,D,2
47.1748,7.5663,300.9,1,1,2023-04-04,1012,Terra,MODIS,43,61.03,284.3,6.4,D,2
46.8176,8.6013,300.1,1.1,1,2023-05-03,1246,Aqua,MODIS,19,61.03,289.7,4.6,D,0
47.173,7.5664,317,1,1,2023-05-22,1012,Terra,MODIS,75,61.03,300.9,9.8,D,2
47.2085,7.5634,310.8,1.6,1.2,2023-05-25,1037,Terra,MODIS,65,61.03,292.1,14.2,D,2
47.2067,7.5567,314.4,1.6,1.2,2023-05-25,1037,Terra,MODIS,75,61.03,292.5,21.1,D,2
47.1848,7.6918,306.1,1.1,1,2023-05-26,1231,Aqua,MODIS,15,61.03,293.5,3.6,D,0
47.175,7.5604,311.4,1.1,1,2023-05-27,1020,Terra,MODIS,61,61.03,298.9,7,D,2
47.1734,7.5626,317.1,1,1,2023-06-03,1012,Terra,MODIS,57,61.03,302.2,9.8,D,2
47.1733,7.5625,301.3,1,1,2023-06-05,2103,Terra,MODIS,40,61.03,288.3,5.8,N,2
47.1775,7.5635,316.8,1.1,1,2023-06-08,1020,Terra,MODIS,56,61.03,302.7,10.1,D,2
47.1737,7.564,319.4,1,1,2023-06-10,1004,Terra,MODIS,58,61.03,299.5,12.3,D,2
46.7749,6.6165,325.7,1.1,1,2023-06-12,1258,Aqua,MODIS,73,61.03,293.6,23.1,D,2
47.1714,7.5629,300.8,1,1,2023-06-12,2055,Terra,MODIS,34,61.03,288.5,5.3,N,2
47.2413,8.1885,314.3,1.1,1.1,2023-06-23,1229,Aqua,MODIS,62,61.03,299.7,10,D,2
47.3083,7.7804,315.8,1.1,1.1,2023-06-23,1229,Aqua,MODIS,32,61.03,301.7,11.1,D,0
47.0679,8.2622,301.5,1,1,2023-06-24,2054,Terra,MODIS,41,61.03,289.3,5,N,0
47.177,7.5674,316.7,1.3,1.1,2023-06-25,1027,Terra,MODIS,52,61.03,304.3,9.8,D,2
46.2047,7.2826,301.6,1.1,1,2023-07-06,2053,Terra,MODIS,43,61.03,287.9,5.7,N,2
47.243,8.8315,312.9,1.4,1.2,2023-07-07,1026,Terra,MODIS,44,61.03,300.9,6.9,D,2
47.6563,9.1266,317.6,2.2,1.4,2023-07-11,1159,Aqua,MODIS,34,61.03,302.5,21.2,D,2
47.1704,7.5625,321.1,1.1,1,2023-07-17,1253,Aqua,MODIS,55,61.03,302,12.2,D,2
46.3599,8.0244,305.7,2.9,1.6,2023-07-17,2012,Terra,MODIS,14,61.03,289.3,30.9,N,0
46.3508,7.9881,316.2,2.9,1.6,2023-07-17,2012,Terra,MODIS,84,61.03,290.3,67.9,N,0
46.3627,8.0203,306.1,2.9,1.6,2023-07-17,2012,Terra,MODIS,51,61.03,288.7,36.8,N,0
46.3532,7.9829,308.6,2.9,1.6,2023-07-17,2012,Terra,MODIS,63,61.03,289.2,44.8,N,0
47.1756,7.5595,305.9,1,1,2023-08-16,2058,Terra,MODIS,66,61.03,291.9,6.4,N,2
47.1752,7.5677,312.6,1.1,1,2023-09-02,0957,Terra,MODIS,68,61.03,299.2,7.9,D,2
47.0677,8.2651,310.5,1,1,2023-09-02,0957,Terra,MODIS,60,61.03,298.1,5.4,D,2
47.0731,8.2615,300.1,1,1,2023-09-04,2049,Terra,MODIS,16,61.03,290.1,4.4,N,0
47.1754,7.5655,312.8,1.2,1.1,2023-09-05,1022,Terra,MODIS,67,61.03,299.6,10.2,D,2
46.7496,7.6084,313.8,1.3,1.1,2023-09-06,1228,Aqua,MODIS,46,61.03,301.5,8.4,D,2
47.2622,8.1769,311.6,1,1,2023-09-07,1005,Terra,MODIS,48,61.03,299.7,5.8,D,0
47.1752,7.5613,312.4,1,1,2023-09-07,1005,Terra,MODIS,58,61.03,300.7,6.1,D,2
46.5613,8.8586,304.4,1.7,1.3,2023-09-08,1213,Aqua,MODIS,30,61.03,292.4,7.6,D,0
47.171,7.5676,312.1,1.3,1.1,2023-09-09,0949,Terra,MODIS,59,61.03,300.4,7.7,D,2
47.5636,9.0997,311.9,1.2,1.1,2023-09-09,1255,Aqua,MODIS,25,61.03,298,6.6,D,2
46.6261,7.0394,312.8,1.4,1.2,2023-09-10,1029,Terra,MODIS,52,61.03,299.6,10.4,D,0
46.6203,7.0302,310.3,1.4,1.2,2023-09-10,1029,Terra,MODIS,26,61.03,298.8,7.6,D,0
