latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.677,36.2167,302.7,1,1,2023-01-02,1050,Aqua,MODIS,42,61.03,285.9,7,D,0
37.0587,41.8552,303.7,2.5,1.5,2023-01-03,0955,Aqua,MODIS,55,61.03,293.6,15.1,D,0
34.7276,36.0413,306.3,1,1,2023-01-05,0815,Terra,MODIS,0,61.03,286.9,7.1,D,0
34.6055,37.8623,304.2,1.1,1,2023-01-11,1040,Aqua,MODIS,58,61.03,287.2,7.2,D,0
36.9671,40.3527,308.5,1,1,2023-01-11,1040,Aqua,MODIS,67,61.03,290.4,8.7,D,0
36.9656,40.3415,301.5,1,1,2023-01-11,1040,Aqua,MODIS,47,61.03,290.2,4.2,D,0
37.062,40.6149,304.3,1.5,1.2,2023-01-15,1014,Aqua,MODIS,58,61.03,291.3,9.3,D,0
37.0474,41.2571,300.3,2.1,1.4,2023-01-18,0720,Terra,MODIS,35,61.03,285.7,13.7,D,2
36.9994,42.0587,301.3,1,1,2023-01-21,0745,Terra,MODIS,46,61.03,290.1,3.8,D,0
37.1387,41.8178,307.5,1.2,1.1,2023-01-22,1017,Aqua,MODIS,64,61.03,295.5,6.8,D,0
37.1363,41.8042,304.4,1.2,1.1,2023-01-22,1017,Aqua,MODIS,51,61.03,294,4.2,D,0
34.6127,37.8661,304,1.1,1,2023-01-24,0811,Terra,MODIS,58,61.03,288.2,6.3,D,0
34.9133,37.9485,301.5,1.1,1,2023-01-24,0811,Terra,MODIS,43,61.03,286.9,5.5,D,0
36.9356,42.1219,302.8,1.3,1.1,2023-01-25,1046,Aqua,MODIS,54,61.03,292.8,4.4,D,0
36.9728,40.3669,306.3,1.1,1,2023-01-25,1046,Aqua,MODIS,63,61.03,291,7.5,D,0
36.9994,42.0639,303.3,1.1,1,2023-01-26,0754,Terra,MODIS,48,61.03,289.2,5.2,D,0
34.6112,37.8541,300.9,1.3,1.1,2023-02-03,1035,Aqua,MODIS,42,61.03,289.5,4,D,0
34.6664,40.8021,315.1,1.8,1.3,2023-02-06,1104,Aqua,MODIS,56,61.03,290.4,27.3,D,0
36.5292,39.024,304.6,1.6,1.3,2023-02-13,1106,Aqua,MODIS,59,61.03,289.5,11.8,D,0
36.531,39.042,302,1.6,1.3,2023-02-13,1106,Aqua,MODIS,50,61.03,288.4,8.8,D,0
35.2107,35.9648,300.4,1.4,1.2,2023-02-14,0750,Terra,MODIS,27,61.03,285.6,9.1,D,2
36.5231,39.024,300.2,2.3,1.5,2023-02-14,1011,Aqua,MODIS,32,61.03,288.9,11.1,D,0
35.8491,38.0792,303.8,4.1,1.9,2023-02-16,1135,Aqua,MODIS,57,61.03,289.4,33.1,D,0
33.3967,36.1573,305.9,1.5,1.2,2023-02-17,1039,Aqua,MODIS,53,61.03,294.5,8.4,D,0
36.5092,39.0255,305.9,2.9,1.6,2023-02-18,1122,Aqua,MODIS,60,61.03,293.2,22.7,D,0
36.9392,42.1276,302.1,1.2,1.1,2023-02-19,0758,Terra,MODIS,51,61.03,291,3.8,D,0
35.9138,38.0402,304.5,1,1,2023-02-19,0759,Terra,MODIS,59,61.03,291.8,4.7,D,0
36.0669,37.7023,351.5,1.4,1.2,2023-02-20,1108,Aqua,MODIS,84,61.03,295.9,105,D,0
35.9486,38.7487,300.7,1.3,1.1,2023-02-21,0743,Terra,MODIS,36,61.03,289.6,4.2,D,2
35.1095,40.5246,307.7,1.1,1,2023-02-21,0743,Terra,MODIS,62,61.03,291.8,6.7,D,0
35.849,38.074,320.3,1.1,1,2023-02-22,1055,Aqua,MODIS,75,61.03,296.7,14.5,D,0
35.8475,38.0625,308.9,1,1,2023-02-22,1055,Aqua,MODIS,47,61.03,296.8,4.4,D,0
36.1553,38.9973,309,1.1,1.1,2023-02-22,1055,Aqua,MODIS,52,61.03,296.8,5.5,D,0
35.9792,38.7501,309.2,1.1,1,2023-02-24,0808,Terra,MODIS,65,61.03,291.3,8.8,D,0
35.7757,39.5823,304.7,1.2,1.1,2023-02-24,0808,Terra,MODIS,41,61.03,290,6.2,D,0
36.0795,37.7085,319.2,1.1,1,2023-02-24,1042,Aqua,MODIS,75,61.03,298.1,13.5,D,0
36.0776,37.6968,371.9,1.1,1,2023-02-24,1042,Aqua,MODIS,100,61.03,299.8,131.8,D,0
36.1175,37.6501,315.8,1.1,1,2023-02-24,1042,Aqua,MODIS,71,61.03,297.7,10.9,D,0
35.9295,38.8242,309.6,1.4,1.2,2023-02-26,1028,Aqua,MODIS,41,61.03,293.3,8.3,D,0
