latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.5453,120.3528,306.5,1.3,1.1,2023-01-12,1410,Terra,MODIS,46,61.03,292.2,9.3,N,2
23.8029,120.5216,321.6,1,1,2023-01-13,0527,Aqua,MODIS,77,61.03,302,10.7,D,0
23.8612,120.3463,316,1,1,2023-01-13,0527,Aqua,MODIS,71,61.03,300.4,5.1,D,0
23.0607,120.3424,311.1,1.3,1.1,2023-01-15,0514,Aqua,MODIS,37,61.03,299.5,6.6,D,0
23.6492,120.3849,313.7,1.2,1.1,2023-01-20,0211,Terra,MODIS,72,61.03,294.4,11.2,D,0
23.6478,120.3968,308.7,1.2,1.1,2023-01-20,0211,Terra,MODIS,44,61.03,294.9,6.6,D,2
23.6463,120.3905,314.4,1.2,1.1,2023-01-20,0211,Terra,MODIS,75,61.03,294.7,12.5,D,2
23.6624,120.1975,317.8,2,1.4,2023-01-24,0503,Aqua,MODIS,68,61.03,288.6,40.7,D,0
22.5404,120.3551,309.7,1,1,2023-01-26,1356,Terra,MODIS,68,61.03,291,10.1,N,2
22.0732,120.7259,310.9,1,1,2023-01-27,0532,Aqua,MODIS,44,61.03,291,8,D,0
24.0356,120.5503,314.5,1,1,2023-01-27,0532,Aqua,MODIS,74,61.03,291.4,11.3,D,0
23.7889,120.9245,306.5,1.1,1,2023-01-29,0519,Aqua,MODIS,64,61.03,295.5,7.2,D,0
24.4516,120.6763,320.9,1.1,1,2023-01-29,0519,Aqua,MODIS,73,61.03,293.2,17.9,D,0
24.4499,120.6658,340.5,1.1,1,2023-01-29,0519,Aqua,MODIS,90,61.03,293.8,46.2,D,2
24.4607,120.6745,325.8,1.1,1,2023-01-29,0519,Aqua,MODIS,56,61.03,293.4,20.7,D,0
24.4591,120.6641,333.8,1.1,1,2023-01-29,0519,Aqua,MODIS,81,61.03,295,32.5,D,0
24.4823,120.6917,318.3,1.1,1,2023-01-29,0519,Aqua,MODIS,69,61.03,293.8,15.2,D,2
24.4806,120.6813,315.5,1.1,1,2023-01-29,0519,Aqua,MODIS,60,61.03,294,12.2,D,2
23.1657,120.2544,323.5,1.7,1.3,2023-02-07,0508,Aqua,MODIS,76,61.03,298,28.7,D,0
23.1638,120.2499,321.2,1.7,1.3,2023-02-07,0508,Aqua,MODIS,74,61.03,298.1,22.5,D,0
22.5454,120.3567,305.6,1.2,1.1,2023-02-10,1746,Aqua,MODIS,34,61.03,294.3,7.6,N,2
23.6171,120.3269,321.2,1,1,2023-02-12,0524,Aqua,MODIS,76,61.03,305.1,8.8,D,2
23.6156,120.317,321.1,1,1,2023-02-12,0524,Aqua,MODIS,75,61.03,305.2,8.9,D,0
23.8804,120.3018,314.6,1,1,2023-02-12,0524,Aqua,MODIS,39,61.03,301,4.6,D,0
24.302,120.8336,317.3,1,1,2023-02-12,0524,Aqua,MODIS,70,61.03,301.6,7.4,D,0
24.2779,120.7691,307.8,1,1,2023-02-18,0224,Terra,MODIS,49,61.03,297.1,4.2,D,2
24.2452,120.7966,310.1,1,1,2023-02-18,0224,Terra,MODIS,49,61.03,297.6,5.1,D,0
24.1334,120.5619,309.7,1,1,2023-02-18,0224,Terra,MODIS,62,61.03,296.2,5.7,D,0
24.132,120.5715,319.5,1,1,2023-02-18,0224,Terra,MODIS,79,61.03,296.8,13.5,D,0
22.5473,120.3543,315.5,1,1,2023-02-18,0225,Terra,MODIS,45,61.03,299.8,4.8,D,2
23.7414,120.6912,309,1,1,2023-02-19,0526,Aqua,MODIS,44,61.03,282.6,7.1,D,0
23.4433,120.4503,328.2,1.3,1.1,2023-02-24,0541,Aqua,MODIS,83,61.03,301.2,26.2,D,2
23.4418,120.4382,316.5,1.2,1.1,2023-02-24,0541,Aqua,MODIS,72,61.03,301.5,9.6,D,2
23.4342,120.3781,314.8,1.2,1.1,2023-02-24,0541,Aqua,MODIS,67,61.03,299.1,8.5,D,0
22.0554,120.7263,312.6,1,1,2023-02-26,0527,Aqua,MODIS,55,61.03,297.1,7,D,2
24.197,120.5557,328.6,1,1,2023-02-26,0528,Aqua,MODIS,82,61.03,294.6,23.2,D,2
24.1956,120.5461,323.7,1,1,2023-02-26,0528,Aqua,MODIS,77,61.03,295,17.7,D,0
24.2853,120.6001,333.1,1,1,2023-02-26,0528,Aqua,MODIS,85,61.03,294.4,28.9,D,0
24.2839,120.5904,333.1,1,1,2023-02-26,0528,Aqua,MODIS,85,61.03,293.4,28.7,D,0
24.6418,120.7773,307.2,1.6,1.3,2023-02-27,0201,Terra,MODIS,0,61.03,293.2,7.8,D,0
23.4758,120.3075,315.9,3.9,1.8,2023-02-27,0610,Aqua,MODIS,65,61.03,294.6,65,D,0
23.4638,120.3036,313.4,3.9,1.8,2023-02-27,0610,Aqua,MODIS,58,61.03,294.7,50.6,D,0
24.183,120.5465,307.2,4.2,1.9,2023-02-27,0610,Aqua,MODIS,58,61.03,291.2,32.7,D,0
23.3709,120.3039,334.5,1.3,1.1,2023-02-28,0514,Aqua,MODIS,89,61.03,301.1,37.8,D,0
23.3707,120.3106,320.6,1.3,1.1,2023-02-28,0514,Aqua,MODIS,79,61.03,301.6,12.8,D,0
23.3685,120.2977,329,1.3,1.1,2023-02-28,0514,Aqua,MODIS,85,61.03,301.7,27.2,D,0
22.5779,120.5542,315.3,2.2,1.5,2023-03-01,0556,Aqua,MODIS,63,61.03,302.4,16.4,D,0
24.1534,120.5568,315.2,1,1,2023-03-02,0226,Terra,MODIS,75,61.03,293.4,10.4,D,0
24.1444,120.5552,311.3,1,1,2023-03-02,0226,Terra,MODIS,55,61.03,294.3,7,D,2
24.1446,120.5613,319.3,2.1,1.4,2023-03-02,0501,Aqua,MODIS,62,61.03,293.8,39.3,D,0
24.1936,120.5967,310.1,1.2,1.1,2023-03-04,0210,Terra,MODIS,57,61.03,295.5,6,D,2
24.1922,120.608,309.8,1.2,1.1,2023-03-04,0210,Terra,MODIS,57,61.03,294.9,5.5,D,2
23.4269,120.439,313.7,1.2,1.1,2023-03-04,0210,Terra,MODIS,73,61.03,294,9.9,D,0
24.231,120.5905,308.7,2.4,1.5,2023-03-05,0251,Terra,MODIS,55,61.03,295.7,14.3,D,0
24.2343,120.5862,315,2.4,1.5,2023-03-05,0251,Terra,MODIS,75,61.03,295.9,31.7,D,0
24.2279,120.5749,321.1,1,1,2023-03-05,0530,Aqua,MODIS,56,61.03,301,10.2,D,2
24.2394,120.8535,320.2,1,1,2023-03-05,0530,Aqua,MODIS,75,61.03,301.4,12.5,D,0
24.197,120.5503,316.1,1,1,2023-03-05,0530,Aqua,MODIS,71,61.03,301.8,8.1,D,0
