latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.3131,69.338,302.3,2.2,1.4,2023-01-05,0804,Aqua,MODIS,51,61.03,286.9,18.5,D,2
40.3118,69.3313,305.4,2.2,1.4,2023-01-05,0804,Aqua,MODIS,61,61.03,287.1,25.3,D,0
37.3619,69.3515,302.3,3.5,1.8,2023-02-06,0925,Aqua,MODIS,32,61.03,285.3,31.1,D,0
37.3134,69.3809,320.6,1.5,1.2,2023-02-07,0617,Terra,MODIS,80,61.03,287.4,33.3,D,0
37.3104,69.3968,308.9,1.5,1.2,2023-02-07,0617,Terra,MODIS,68,61.03,286.1,16.3,D,0
37.2951,69.3881,328.4,1.2,1.1,2023-02-07,0830,Aqua,MODIS,81,61.03,290.7,30.7,D,0
37.3045,69.3856,324.4,1.2,1.1,2023-02-07,0830,Aqua,MODIS,83,61.03,291.5,26.1,D,0
37.3515,69.3727,339.6,1.2,1.1,2023-02-07,0830,Aqua,MODIS,92,61.03,291.6,51.8,D,0
37.3494,69.36,306.1,1.2,1.1,2023-02-07,0830,Aqua,MODIS,63,61.03,291,7.2,D,0
37.1768,67.8097,308.6,1.4,1.2,2023-02-07,0830,Aqua,MODIS,0,61.03,288.4,10.8,D,0
37.3839,69.3626,304.3,1.1,1,2023-02-21,0834,Aqua,MODIS,50,61.03,294,4.3,D,0
37.4241,69.3768,309.7,1.1,1,2023-02-21,0834,Aqua,MODIS,66,61.03,291.9,7.4,D,0
38.5503,68.7827,309.2,1.1,1,2023-02-21,0834,Aqua,MODIS,57,61.03,293.2,6.7,D,2
37.2211,68.097,305.3,1.3,1.1,2023-02-24,0903,Aqua,MODIS,61,61.03,280.9,9.3,D,0
37.2964,68.6901,309.9,1,1,2023-02-26,0849,Aqua,MODIS,0,61.03,282.9,8.6,D,0
38.5526,68.7806,311.5,1.1,1,2023-02-28,0836,Aqua,MODIS,71,61.03,293.9,6.6,D,2
40.236,69.2918,302.6,1,1,2023-02-28,0837,Aqua,MODIS,53,61.03,291.3,4,D,2
37.8926,68.8439,303.8,1.4,1.2,2023-03-02,0540,Terra,MODIS,53,61.03,291.4,7.6,D,0
37.392,69.3621,313.8,1.6,1.2,2023-03-03,0905,Aqua,MODIS,65,61.03,295.6,16,D,0
37.3915,69.3565,310.4,1.6,1.2,2023-03-03,0905,Aqua,MODIS,43,61.03,296,10.2,D,0
40.6973,70.7374,300.6,2.1,1.4,2023-03-04,0523,Terra,MODIS,30,61.03,278.3,10.9,D,2
37.1362,68.1343,315.9,1,1,2023-03-05,0851,Aqua,MODIS,45,61.03,301.7,4.8,D,0
40.1639,69.183,304.6,1.1,1.1,2023-03-07,0548,Terra,MODIS,55,61.03,290.1,5.3,D,0
38.2996,68.9446,307.9,1.1,1.1,2023-03-07,0549,Terra,MODIS,63,61.03,294.1,5.9,D,0
38.2887,68.9552,306.5,1.1,1.1,2023-03-07,0549,Terra,MODIS,54,61.03,294,4.5,D,0
37.1443,68.1176,312.3,1.2,1.1,2023-03-07,0549,Terra,MODIS,56,61.03,300.1,5.9,D,0
37.4484,68.5092,314,1.1,1,2023-03-07,0838,Aqua,MODIS,62,61.03,299.6,8.5,D,0
38.5506,68.7797,311.7,1,1,2023-03-07,0838,Aqua,MODIS,71,61.03,295.8,5.4,D,2
37.5615,69.4962,306.9,2.3,1.5,2023-03-08,0630,Terra,MODIS,53,61.03,288.9,27.4,D,0
40.306,69.8659,301.4,1.3,1.1,2023-03-10,0613,Terra,MODIS,38,61.03,270.3,8.9,D,0
37.1648,69.1506,313.9,1.6,1.2,2023-03-10,0906,Aqua,MODIS,39,61.03,298,14.9,D,0
37.3657,68.0001,318.8,1.4,1.2,2023-03-10,0906,Aqua,MODIS,65,61.03,301.2,14,D,0
37.179,69.1476,312,3.1,1.7,2023-03-11,0517,Terra,MODIS,57,61.03,290.5,45.3,D,0
37.4739,69.4057,310.4,2.2,1.4,2023-03-11,0810,Aqua,MODIS,49,61.03,285.2,24.6,D,0
37.3554,69.3829,316.1,1.6,1.2,2023-03-14,1644,Terra,MODIS,93,61.03,281.2,34.8,N,0
37.3568,69.3768,314.8,1.6,1.2,2023-03-14,1644,Terra,MODIS,90,61.03,280.1,33.2,N,0
37.1819,68.5192,337.8,2.5,1.5,2023-03-15,0921,Aqua,MODIS,0,61.03,303.2,121.1,D,0
37.1879,68.5139,328.4,2.5,1.5,2023-03-15,0921,Aqua,MODIS,67,61.03,302.3,65.3,D,0
37.287,68.7405,327.6,1.4,1.2,2023-03-16,0825,Aqua,MODIS,79,61.03,300,32.5,D,0
37.3065,68.7848,337.1,1.4,1.2,2023-03-16,0825,Aqua,MODIS,87,61.03,301.3,53.4,D,0
37.2877,68.7454,317,1.1,1,2023-03-17,0606,Terra,MODIS,70,61.03,293.3,11.9,D,0
37.2858,68.7572,310.1,1.1,1,2023-03-17,0606,Terra,MODIS,46,61.03,294.5,5.5,D,0
37.6224,69.583,314.1,1,1,2023-03-21,0840,Aqua,MODIS,62,61.03,299.6,6.3,D,0
39.8507,70.58,302.8,1.5,1.2,2023-03-22,0614,Terra,MODIS,22,61.03,289.5,4.1,D,2
38.5546,68.7864,311.5,1.3,1.1,2023-03-22,0615,Terra,MODIS,55,61.03,296.8,6.6,D,2
40.4281,70.3216,309.5,1,1,2023-03-24,0558,Terra,MODIS,46,61.03,289.5,7.4,D,0
39.8456,70.5854,311.5,1.1,1,2023-04-20,0830,Aqua,MODIS,51,61.03,294.9,5.4,D,0
38.5377,68.2251,324.6,1.1,1,2023-04-22,0608,Terra,MODIS,79,61.03,303.2,16.4,D,0
39.849,70.5876,313,1.1,1,2023-04-29,0559,Terra,MODIS,37,61.03,298.8,3.9,D,2
40.2395,69.697,314.5,1.1,1.1,2023-05-04,0830,Aqua,MODIS,41,61.03,301.9,5.9,D,2
40.331,69.6588,329.1,2.1,1.4,2023-05-05,0912,Aqua,MODIS,81,61.03,309.5,50.4,D,0
37.364,69.381,362.2,2,1.4,2023-05-13,0815,Aqua,MODIS,100,61.03,303.4,228.8,D,0
37.3545,69.3773,324.6,2,1.4,2023-05-13,0815,Aqua,MODIS,51,61.03,299.8,30.3,D,0
37.3665,69.3732,365.5,2,1.4,2023-05-13,0815,Aqua,MODIS,100,61.03,302.3,254.2,D,0
37.2266,69.0924,327.1,1.7,1.3,2023-05-19,0911,Aqua,MODIS,45,61.03,309.1,24.3,D,2
37.8035,74.1821,305.9,1.1,1.1,2023-05-27,0814,Aqua,MODIS,40,61.03,286.1,8.3,D,0
38.5576,68.7329,329.6,1.1,1.1,2023-05-28,0608,Terra,MODIS,50,61.03,308.8,14.7,D,2
38.5276,68.5683,323.7,1.1,1.1,2023-05-28,0608,Terra,MODIS,42,61.03,308.8,10.6,D,2
