latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.1707,99.8283,310.2,1.4,1.2,2023-01-01,0642,Aqua,MODIS,51,61.03,293.6,10.9,D,0
6.2841,101.2413,317.3,1.3,1.1,2023-01-01,0642,Aqua,MODIS,71,61.03,296,15.4,D,0
6.2859,101.2527,314.1,1.3,1.1,2023-01-01,0642,Aqua,MODIS,66,61.03,296.5,11.1,D,0
12.9337,101.1145,318,1.1,1,2023-01-01,0643,Aqua,MODIS,39,61.03,303.7,5.5,D,0
12.8855,101.0871,314.5,1.1,1,2023-01-01,0643,Aqua,MODIS,36,61.03,300.9,4,D,0
16.2244,101.0976,316.4,1,1,2023-01-01,0644,Aqua,MODIS,66,61.03,305.1,6.5,D,0
16.117,100.4562,315.4,1.1,1,2023-01-01,0644,Aqua,MODIS,39,61.03,303.6,6.5,D,0
13.6915,101.2453,318.4,1.1,1,2023-01-01,0644,Aqua,MODIS,67,61.03,299,11.7,D,0
13.7416,101.4542,314.5,1,1,2023-01-01,0644,Aqua,MODIS,55,61.03,301.7,4.8,D,0
13.8594,101.4972,316.8,1,1,2023-01-01,0644,Aqua,MODIS,65,61.03,303.1,7,D,0
13.9527,101.7568,312.8,1,1,2023-01-01,0644,Aqua,MODIS,52,61.03,300.3,4.3,D,0
14.0497,101.4741,333,1,1,2023-01-01,0644,Aqua,MODIS,86,61.03,301.3,27.5,D,0
14.1511,101.9135,343,1,1,2023-01-01,0644,Aqua,MODIS,92,61.03,301.9,43.6,D,0
14.1498,101.9042,336.1,1,1,2023-01-01,0644,Aqua,MODIS,88,61.03,302.1,31.9,D,0
13.7388,99.2436,308.9,1.3,1.1,2023-01-01,0644,Aqua,MODIS,38,61.03,297.1,8.4,D,0
14.1601,101.9121,315.1,1,1,2023-01-01,0644,Aqua,MODIS,67,61.03,299.4,8.3,D,0
14.1587,101.9028,312.7,1,1,2023-01-01,0644,Aqua,MODIS,58,61.03,299.5,6.2,D,0
14.158,101.0894,325.9,1.1,1,2023-01-01,0644,Aqua,MODIS,80,61.03,305.1,17.6,D,0
14.148,100.9602,314.5,1.1,1,2023-01-01,0644,Aqua,MODIS,65,61.03,302.1,6.2,D,0
14.1706,100.9409,321.5,1.1,1,2023-01-01,0644,Aqua,MODIS,76,61.03,304.4,12.9,D,0
14.1757,100.6632,323,1.1,1.1,2023-01-01,0644,Aqua,MODIS,77,61.03,300.3,16.1,D,0
14.3564,100.949,315.4,1.1,1,2023-01-01,0644,Aqua,MODIS,66,61.03,303.1,7,D,0
14.8181,101.8695,311.8,1,1,2023-01-01,0644,Aqua,MODIS,29,61.03,298.8,3.4,D,0
14.8701,101.3505,312.7,1,1,2023-01-01,0644,Aqua,MODIS,37,61.03,299.8,6.3,D,0
14.8686,101.341,315,1,1,2023-01-01,0644,Aqua,MODIS,50,61.03,300.4,7.9,D,0
14.8519,101.1074,312.7,1.1,1,2023-01-01,0644,Aqua,MODIS,36,61.03,300.6,3.7,D,0
15.4141,104.3313,319.7,1.1,1,2023-01-01,0644,Aqua,MODIS,72,61.03,299.4,12.6,D,0
14.9716,100.983,321.2,1.1,1,2023-01-01,0644,Aqua,MODIS,51,61.03,302,11.1,D,0
14.7627,99.6212,315,1.2,1.1,2023-01-01,0644,Aqua,MODIS,53,61.03,300.8,9.1,D,0
15.375,103.4384,317.1,1,1,2023-01-01,0644,Aqua,MODIS,66,61.03,301.9,7.3,D,0
15.1341,101.2699,316.9,1,1,2023-01-01,0644,Aqua,MODIS,58,61.03,303.1,7.7,D,0
15.1326,101.2604,323.5,1,1,2023-01-01,0644,Aqua,MODIS,75,61.03,303.1,13.9,D,0
15.0976,101.0299,318.7,1.1,1,2023-01-01,0644,Aqua,MODIS,52,61.03,301.9,9.7,D,0
15.0227,100.3581,315.1,1.1,1.1,2023-01-01,0644,Aqua,MODIS,64,61.03,301,9,D,0
15.3258,102.1932,316,1,1,2023-01-01,0644,Aqua,MODIS,61,61.03,302.1,6.5,D,0
15.043,99.7036,320,1.2,1.1,2023-01-01,0644,Aqua,MODIS,74,61.03,302.5,13.1,D,0
15.3352,101.1958,316.7,1,1,2023-01-01,0644,Aqua,MODIS,49,61.03,302.2,6.9,D,0
15.168,99.7896,315.2,1.2,1.1,2023-01-01,0644,Aqua,MODIS,66,61.03,301.4,8.2,D,0
15.6535,100.5494,323.1,1.1,1,2023-01-01,0644,Aqua,MODIS,76,61.03,308.6,9.4,D,0
15.652,100.5394,326.5,1.1,1,2023-01-01,0644,Aqua,MODIS,80,61.03,309.5,14.1,D,0
15.7546,100.7292,324.3,1.1,1,2023-01-01,0644,Aqua,MODIS,77,61.03,307.4,13,D,0
15.7428,100.5893,317.5,1.1,1,2023-01-01,0644,Aqua,MODIS,69,61.03,305.8,5.9,D,0
15.7745,100.6293,320.7,1.1,1,2023-01-01,0644,Aqua,MODIS,35,61.03,306.6,7.7,D,0
15.773,100.6194,320.6,1.1,1,2023-01-01,0644,Aqua,MODIS,34,61.03,306.1,7.8,D,0
15.7837,100.6278,322.2,1.1,1,2023-01-01,0644,Aqua,MODIS,64,61.03,308.7,10.2,D,0
15.7822,100.6179,322.8,1.1,1,2023-01-01,0644,Aqua,MODIS,67,61.03,308.9,10.9,D,0
15.7822,100.5567,323.8,1.1,1,2023-01-01,0644,Aqua,MODIS,64,61.03,308.4,10.1,D,0
15.7977,100.5337,326,1.1,1,2023-01-01,0644,Aqua,MODIS,70,61.03,310,12.3,D,0
15.8145,100.582,324.4,1.1,1,2023-01-01,0644,Aqua,MODIS,78,61.03,308.5,12.4,D,0
16.3145,103.9839,315.6,1.1,1,2023-01-01,0644,Aqua,MODIS,64,61.03,300.2,7.6,D,0
15.933,100.627,317.5,1.1,1,2023-01-01,0644,Aqua,MODIS,68,61.03,305.9,5.9,D,0
16.35,103.4338,316.5,1,1,2023-01-01,0644,Aqua,MODIS,66,61.03,297.6,7.6,D,2
16.3978,103.6574,315.2,1.1,1,2023-01-01,0644,Aqua,MODIS,56,61.03,299.5,6.3,D,0
15.9527,100.5264,323.3,1.1,1,2023-01-01,0644,Aqua,MODIS,77,61.03,307.5,11.9,D,0
