latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3844,-15.7466,343.4,1.7,1.3,2023-01-01,1458,Aqua,MODIS,90,61.03,311.1,75.1,D,0
13.4005,-15.4294,320.5,1.8,1.3,2023-01-01,1458,Aqua,MODIS,44,61.03,307.5,14.5,D,0
13.3957,-15.7482,336.1,1.7,1.3,2023-01-01,1458,Aqua,MODIS,71,61.03,306.9,51.2,D,0
13.5812,-15.0371,319.4,1.2,1.1,2023-01-03,1444,Aqua,MODIS,66,61.03,296.6,9.1,D,0
13.5868,-15.0539,316.8,1.9,1.3,2023-01-04,1057,Terra,MODIS,60,61.03,302.7,15.3,D,0
13.589,-15.0711,314.1,1.9,1.3,2023-01-04,1057,Terra,MODIS,37,61.03,301.7,9.2,D,0
13.6104,-14.5239,305.2,2,1.4,2023-01-04,2325,Terra,MODIS,63,61.03,288.5,18.3,N,0
13.6138,-14.53,303.6,2,1.4,2023-01-04,2325,Terra,MODIS,23,61.03,288.4,15,N,0
13.6027,-14.5378,322.3,1.8,1.3,2023-01-05,1138,Terra,MODIS,76,61.03,296.5,28.9,D,0
13.4016,-15.4507,326.1,1.1,1,2023-01-05,1431,Aqua,MODIS,73,61.03,309.6,13.1,D,0
13.6042,-15.3293,322.9,1,1,2023-01-05,1431,Aqua,MODIS,69,61.03,306.4,10.3,D,0
13.4031,-15.4411,333.2,1.1,1,2023-01-05,1431,Aqua,MODIS,84,61.03,311.4,22.2,D,0
13.6328,-14.8571,347.4,1,1,2023-01-07,1122,Terra,MODIS,93,61.03,306.4,47.1,D,0
13.6314,-14.8478,327.5,1,1,2023-01-07,1122,Terra,MODIS,78,61.03,302.8,15.1,D,0
13.3016,-14.2507,331.4,1.1,1,2023-01-07,1122,Terra,MODIS,77,61.03,306.9,21.9,D,0
13.2991,-14.2522,336.9,1.3,1.1,2023-01-07,1418,Aqua,MODIS,86,61.03,309.2,36.2,D,0
13.2914,-14.2442,325,1.3,1.1,2023-01-07,1418,Aqua,MODIS,44,61.03,308.5,12.4,D,0
13.2895,-14.2564,342.9,1.3,1.1,2023-01-07,1418,Aqua,MODIS,90,61.03,308.6,51.7,D,0
13.2889,-14.2504,331.7,1.3,1.1,2023-01-07,1418,Aqua,MODIS,81,61.03,308.5,23.6,D,0
13.2869,-14.2626,329.1,1.3,1.1,2023-01-07,1418,Aqua,MODIS,75,61.03,308,17.8,D,0
13.4119,-14.2518,326.9,1.3,1.1,2023-01-07,1418,Aqua,MODIS,74,61.03,309.9,17.7,D,0
13.4099,-14.264,326.1,1.3,1.1,2023-01-07,1418,Aqua,MODIS,73,61.03,310.6,16.2,D,0
13.7171,-14.9841,345.2,1.5,1.2,2023-01-07,1418,Aqua,MODIS,0,61.03,307.5,73.6,D,0
13.3608,-15.8957,325.7,1.1,1.1,2023-01-10,1448,Aqua,MODIS,49,61.03,299.4,19.2,D,0
13.284,-16.7979,327,1,1,2023-01-10,1448,Aqua,MODIS,0,61.03,304.6,14.1,D,0
13.5526,-15.664,331.5,1.2,1.1,2023-01-10,1448,Aqua,MODIS,61,61.03,310.3,19.8,D,0
13.5512,-15.6746,333.3,1.2,1.1,2023-01-10,1448,Aqua,MODIS,75,61.03,307.5,23.7,D,0
13.5552,-15.6701,331.3,1.2,1.1,2023-01-10,1448,Aqua,MODIS,61,61.03,308.8,20.1,D,0
13.2822,-14.2484,339.8,2.2,1.4,2023-01-11,1051,Terra,MODIS,90,61.03,302.5,104.9,D,0
13.2798,-14.2289,327.1,2.2,1.4,2023-01-11,1051,Terra,MODIS,80,61.03,300.4,50.3,D,0
13.3927,-15.4846,304.1,1.3,1.1,2023-01-11,2318,Terra,MODIS,58,61.03,289.5,9.8,N,0
13.3607,-14.2377,328.8,1.4,1.2,2023-01-12,1132,Terra,MODIS,79,61.03,303.4,30.3,D,0
13.3586,-14.2247,324.4,1.4,1.2,2023-01-12,1132,Terra,MODIS,66,61.03,307.8,22.5,D,0
13.326,-14.3296,316.2,1.4,1.2,2023-01-12,1132,Terra,MODIS,42,61.03,298.9,12.1,D,0
